	Rbp4_tdTpositive_cell_169	Rorb_tdTpositive_cell_40	Scnn1a.Tg2_tdTpositive_cell_2	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dicer1	0.56	0.0	7.44	0.0	0.06	20.73	20.39	20.97
Efna2	1.55	0.0	0.0	0.0	0.0	7.62	8.45	8.53
Enpp1	1.01	0.0	0.0	0.0	0.0	3.39	3.57	3.09
Etaa1	46.0	0.0	0.03	0.0	0.0	5.25	5.89	5.8
Fam129c	0.19	0.0	0.0	0.0	0.0	1.87	2.03	2.1
Fam190a	3.44	0.0	0.0	0.0	0.0	5.45	5.1	6.09
Fam84b	40.77	0.0	0.0	0.0	4.88	6.47	6.76	5.21
Fbxo17	54.8	9.56	2.41	3.45	5.27	4.89	5.15	4.73
Fbxo4	54.5	0.0	0.0	0.0	0.0	3.97	4.73	5.07
Fkbp8	66.22	12.83	70.74	6.31	2.54	325.84	367.96	350.02
Frs2	42.11	0.0	0.0	0.04	0.58	27.3	27.76	28.52
Galk1	61.33	0.0	0.0	0.0	0.0	14.02	13.71	14.02
Gm10767	53.25	0.77	0.0	0.0	0.0	2.95	2.97	4.16
Gm16023	3.39	0.0	0.26	0.08	0.12	2.26	1.9	1.62
Gm17252	15.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2002	8.66	0.0	8.17	0.0	0.36	1.73	1.86	1.4
Gm6289	3.55	0.0	0.39	0.0	0.0	1.01	0.57	0.97
Gm7444	16.75	0.0	0.0	0.0	0.0	0.42	0.15	0.35
Gmcl1	64.6	1.15	14.32	17.21	0.93	27.92	27.69	27.72
Gstm7	71.56	0.0	0.0	0.0	0.0	21.95	22.99	22.27
H2-Ke6	29.78	0.0	0.0	0.0	0.0	32.23	38.73	39.89
Hist2h2be	32.39	0.26	0.25	0.09	0.0	7.8	6.84	7.85
Hoxa1	0.16	0.0	0.0	0.0	0.0	0.0	0.08	0.04
Hspa1b	0.83	0.0	0.0	0.0	0.0	11.17	8.82	9.33
Igsf1	0.27	0.0	0.0	0.0	0.0	2.85	4.08	4.1
Igsf6	10.84	0.0	0.0	0.0	0.0	1.49	1.53	1.71
Il11ra2	8.66	0.0	8.17	0.0	0.36	1.73	1.86	1.4
Il2ra	2.46	1.59	0.64	0.38	0.36	1.66	1.62	1.43
Inca1	51.03	0.0	0.0	0.0	0.0	2.89	3.9	3.42
Kdm3b	24.36	0.57	21.15	0.0	0.0	26.29	25.01	26.31
Kif14	0.41	0.14	0.04	0.02	0.1	0.36	0.25	0.35
Kif5c	71.9	91.2	63.61	23.56	30.1	410.62	385.0	413.29
Lctl	0.95	0.0	0.0	0.0	0.0	0.2	0.19	0.11
Lhfpl4	10.26	2.89	18.93	1.23	24.0	70.47	72.39	74.47
Lims2	51.12	0.0	0.0	0.0	0.0	15.04	14.33	12.25
Lipc	0.25	0.0	0.0	0.0	0.0	0.26	0.19	0.11
Lmo2	0.31	0.0	0.0	0.0	0.0	27.11	28.71	29.03
Lpp	14.16	2.52	0.6	0.36	0.79	2.8	2.71	3.18
Melk	12.19	0.0	0.0	0.0	0.0	1.21	1.15	0.84
Mios	103.17	0.0	0.98	0.06	0.0	18.47	15.78	17.51
Mir128-1	37.17	9.92	0.0	0.0	0.0	8.85	8.34	3.04
Mir433	8.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir713	16.55	0.0	0.0	0.0	0.0	2.74	0.0	0.0
Mkl1	0.0	0.06	3.7	6.47	7.37	33.82	40.94	38.6
Msr1	0.13	0.0	0.03	0.0	0.08	0.19	0.05	0.17
Mthfd2	159.65	0.0	47.52	0.0	0.0	8.19	8.45	8.9
Mum1l1	23.85	0.0	0.0	0.0	0.0	1.88	2.3	1.77
Nek10	6.68	0.0	0.0	0.0	0.0	1.71	1.22	0.97
Nek11	0.0	0.0	0.0	0.0	0.0	1.5	1.13	0.97
Nlrc4	40.27	0.26	0.28	0.06	0.04	0.79	0.43	0.73
Npnt	92.23	0.0	0.0	0.0	0.0	16.04	17.87	16.6
Olfml3	57.84	0.0	0.0	0.0	0.0	18.85	21.75	19.52
Paf1	32.14	12.68	38.95	0.0	0.0	63.06	68.82	63.51
Parm1	373.0	0.0	0.0	85.25	0.0	37.93	38.64	41.9
Pcdhgb5	5.82	0.0	0.26	0.0	0.0	6.3	5.37	4.94
Pcp4l1	67.0	0.0	0.08	0.0	0.0	156.51	179.9	170.19
Pcsk9	1.86	0.0	0.0	0.0	0.0	4.29	5.67	4.86
Pex14	112.04	75.64	0.07	39.87	0.0	48.28	53.86	50.16
Phc2	26.85	0.19	7.58	0.09	66.56	62.58	72.31	66.96
Phka1	7.48	0.0	0.0	0.0	0.0	11.15	10.2	11.14
Polr3gl	104.93	5.35	3.81	55.81	1.53	24.42	25.97	26.68
Ppic	0.32	0.0	0.0	0.0	0.0	3.51	3.62	2.33
Ppp1r3c	0.17	0.0	0.0	0.0	0.0	33.23	34.22	31.53
Ppp2r5a	130.41	0.0	0.18	0.0	0.0	69.33	67.41	67.73
Prex2	9.94	0.31	0.44	16.08	0.14	20.86	16.59	21.5
Rab36	162.89	0.0	23.09	0.0	0.12	25.79	24.56	26.37
Rbl2	50.62	0.1	22.76	0.73	0.0	27.69	27.57	27.58
Rbm20	29.25	0.0	0.0	0.0	0.0	1.86	2.36	2.73
Rgs7	30.55	72.13	0.05	7.11	0.13	88.61	86.6	88.47
Ropn1	40.2	0.0	0.0	0.0	0.0	0.0	0.34	0.25
Rras	0.0	0.0	0.0	0.0	0.0	15.53	18.66	16.47
Rspo1	26.97	0.0	0.0	0.0	0.0	10.29	8.47	9.06
Rusc1	0.0	109.43	70.56	69.67	8.68	119.11	132.83	118.88
Sat2	92.4	0.0	0.0	0.0	0.0	11.86	12.58	11.65
Sgcz	72.5	0.0	0.0	0.0	0.0	3.6	3.2	3.08
Sh2b3	0.0	0.0	0.0	0.0	0.0	17.87	19.01	18.95
Slain1	50.04	0.0	0.1	0.0	0.0	44.08	47.41	49.76
Slc26a4	51.04	0.0	0.0	0.0	0.0	5.18	3.82	4.68
Slc6a15	406.11	134.76	34.86	0.07	66.27	43.02	42.74	39.88
Snora21	126.86	29.4	0.0	0.0	0.0	0.0	2.02	0.0
Snora23	64.33	0.0	0.0	0.0	0.0	1.32	3.12	2.05
Snora34	66.25	0.0	0.0	0.0	0.0	15.62	10.19	11.16
Sod2	714.61	305.5	138.43	20.54	35.56	100.83	100.39	103.87
Sox3	0.23	0.0	0.06	0.0	0.0	0.67	1.49	1.39
Sp3	103.54	14.15	0.03	0.06	0.0	33.68	31.73	33.06
St6galnac1	0.78	0.13	0.06	0.0	0.0	0.12	0.04	0.04
Stk38	156.02	0.0	17.42	0.0	0.0	27.2	26.95	27.88
Tap2	51.04	0.0	0.0	0.0	0.0	7.0	8.13	8.42
Tbkbp1	8.81	0.0	0.0	0.0	0.0	34.8	38.98	38.2
Tmem125	66.5	0.0	0.0	0.0	0.0	8.64	10.25	11.07
Tmem173	1.23	0.0	0.0	0.0	0.0	3.89	3.89	4.04
Tnfrsf9	56.0	0.08	0.0	0.0	0.02	0.57	0.68	0.99
Tprn	15.99	0.0	0.0	0.0	0.0	12.4	15.45	14.14
Tpst2	104.3	0.0	5.68	0.0	2.2	32.37	33.75	31.49
Trafd1	74.33	0.1	25.37	13.46	0.0	56.12	57.23	50.58
Trim6	0.1	0.0	0.0	0.0	0.0	0.21	0.12	0.24
Tspan1	38.06	0.0	0.0	0.0	0.0	0.3	0.14	0.42
Tysnd1	31.66	0.0	0.0	8.14	0.28	17.18	21.61	21.13
Ubox5	70.6	0.0	0.0	0.0	0.0	8.96	10.32	9.38
Unc119	33.68	0.0	22.76	0.0	0.0	38.1	42.75	36.91
Utp20	40.09	0.0	0.0	0.0	0.0	9.8	9.18	10.39
Wdr91	66.78	0.0	0.05	0.0	0.0	24.26	23.42	24.49
Xlr3c	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zadh2	0.0	0.0	0.0	0.0	0.0	22.79	23.39	24.11
Zfp282	26.01	0.05	0.03	0.0	0.0	9.84	9.67	9.87
Zfp319	0.0	0.0	0.0	0.0	0.0	12.77	14.21	14.02
Zfp428	18.6	10.52	2.07	0.0	0.0	41.49	46.5	46.86
Zfp433	282.62	1.01	0.17	65.38	98.64	12.58	9.11	12.27
Zfp653	37.52	0.0	0.0	0.0	0.0	18.56	21.26	19.22
Zfp804b	29.4	0.0	0.0	0.0	0.0	1.27	0.46	0.86
c15_tRNA-Gly-GGG	63.22	0.0	11.69	0.0	0.0	3.48	6.28	3.59
c4_tRNA-Phe-TTY	23.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c8_tRNA-Leu-CTG	42.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	1622.06	0.0	1075.62	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	26.24	9032.87	8417.95	8583.15
