	Cux2_tdTnegative_cell_5	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Kcnq3	0.0	15.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	3.79	0.8	3.7	2.27	53.72	40.28	59.42
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Mical2	0.0	46.86	0.0	0.09	0.0	0.0	0.17	0.09	0.0	0.03	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	52.36	45.2	26.76	39.73	226.64	202.81	243.34
Mir25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	1.95	2.14
Mrpl54	0.0	93.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	26.11	38.28	4.39	26.09	39.68	44.01	42.45
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mtap7d2	0.0	94.75	0.0	0.25	0.0	0.0	0.33	0.09	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	70.38	101.7	49.63	55.37	112.29	108.26	106.88
Myt1l	0.06	46.94	0.0	0.04	0.0	0.0	0.26	0.05	0.0	0.03	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	105.4	105.73	89.19	74.38	108.73	92.4	106.64
Nbea	0.0	20.54	0.0	0.03	0.0	0.0	0.12	0.03	0.0	0.02	43.48	0.02	0.0	0.0	0.0	0.0	0.0	0.0	21.66	25.57	24.53	19.49	86.62	79.29	87.87
Ndufa10	0.0	279.21	0.0	0.0	0.0	0.0	0.0	0.0	161.94	399.54	0.0	43.95	0.0	0.0	0.0	0.0	273.18	0.0	78.04	308.49	99.62	203.93	203.73	210.1	204.47
Ndufb2	0.0	426.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	114.37	180.75	49.8	100.01	161.25	181.94	168.51
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Pcdhga3	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.74	8.59	2.11	5.85	14.42	16.32	18.38
Pcsk2	0.0	81.78	0.0	0.07	0.0	0.0	0.13	0.15	0.0	0.04	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	121.1	180.59	120.55	174.86	244.72	241.91	241.58
Phactr1	0.0	79.77	0.4	0.28	0.0	0.0	0.83	0.18	0.27	0.09	0.29	0.6	0.0	0.0	0.0	0.0	0.12	0.0	152.16	154.66	143.45	159.98	250.29	240.7	240.9
Prickle2	0.0	26.76	0.0	0.04	0.0	0.0	0.08	0.05	0.0	0.02	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	29.06	23.64	18.95	12.94	85.57	84.5	85.69
Psmd3	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.12	1.61	2.5	4.68	128.29	138.98	132.76
Psmd5	0.0	19.67	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	14.75	14.72	27.21	12.73	49.38	49.21	44.6
Pzp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.02	0.02
Rgl1	0.0	17.83	0.0	0.0	0.0	0.0	36.36	0.0	0.68	0.29	0.12	0.05	0.0	0.0	0.0	0.0	0.0	0.78	6.31	11.22	4.09	4.93	61.77	58.64	61.78
Rpgrip1l	0.0	3.56	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	38.38	3.95	11.5	6.69	4.44	11.64	10.12	11.23
Rraga	0.0	156.9	0.0	0.0	0.0	0.0	7.71	0.88	0.0	0.0	0.29	0.34	0.0	0.0	0.0	0.0	0.0	0.0	57.64	89.71	49.34	64.41	150.93	161.88	152.26
Sbno2	0.0	0.17	13.51	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.0	0.25	3.46	0.0	0.37	11.04	12.05	12.55
Sez6l2	0.0	40.97	0.0	0.09	0.1	0.0	0.18	0.1	0.18	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	24.16	20.71	29.69	25.24	200.78	204.89	199.02
Slc25a16	127.44	9.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	10.02	9.16	7.65	38.92	36.43	35.64
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Snapc1	0.0	29.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	345.14	0.0	0.0	0.0	1.17	0.0	22.47	37.91	8.33	11.73	38.5	35.61	37.24
Snord116	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	2.67	1.84	0.0	1.22	1.15	1.9
Snord116l1	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	2.67	1.84	0.0	1.22	1.15	1.9
Snord116l2	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	2.67	1.84	0.0	1.22	1.15	1.9
Sntb2	0.0	6.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	1.48	0.35	2.32	8.1	8.38	8.11
Tspan13	40.0	284.18	8.18	1.48	0.5	2.5	343.27	5.05	1.1	208.33	159.34	3.7	3.53	1.59	0.54	1.64	17.13	1.98	50.95	181.9	84.24	89.18	232.21	236.24	228.37
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ubtd2	0.0	16.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.05	0.19	1.5	6.46	36.11	33.89	33.78
Unc119	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	38.1	42.75	36.91
Vipr1	0.0	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.35	0.32	1.18	18.95	18.84	15.92
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.59	0.13	0.13	0.14
Vti1b	0.0	199.66	0.54	0.26	0.0	0.0	371.23	0.28	0.0	0.0	0.0	3.84	0.0	0.0	0.0	0.0	0.49	0.0	74.28	165.67	52.72	110.23	225.68	209.93	212.04
Yrdc	0.0	5.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76	2.07	0.39	4.95	28.42	31.75	27.82
Zfp184	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7	0.0	0.0	0.25	2.67	2.44	2.34
Zfp597	0.0	11.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	6.8	10.31	5.32	11.17	11.44	11.33
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
