	Rbp4_tdTpositive_cell_7	Rbp4_tdTpositive_cell_49	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cadm3	9.67	41.1	12.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.15	258.6	271.92
Cblb	0.31	23.59	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.49	10.66	10.78
Ccdc136	59.01	56.09	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.78	44.7	42.68
Ccdc97	23.02	45.76	5.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.13	0.0	31.05	0.0	36.38	38.7	37.48
Ccl27b	177.13	179.05	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Cd83	0.0	88.15	5.1	20.18	1638.49	0.57	0.0	0.0	0.0	45.88	865.86	0.0	0.0	0.0	15.75	15.31	13.54
Chrna6	219.91	134.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.22	0.21
Chrnb3	11.9	5.03	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	1.35	1.32
Cmpk2	63.16	38.27	7.04	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.47	19.96	19.64
Copb2	200.72	169.01	49.94	0.11	0.0	0.0	0.0	0.0	0.06	0.15	0.0	0.0	0.0	0.0	76.61	78.71	75.04
Cst3	1263.9	1952.07	471.62	79037.77	54056.74	72522.19	67515.86	70378.51	72390.07	61052.51	80478.24	95318.24	75159.39	84616.84	1961.51	2186.93	2204.12
Cwc27	46.28	239.83	8.19	0.17	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.55	13.87	15.78
Dbnl	17.72	83.54	10.25	0.0	0.16	0.0	0.0	0.0	13.77	0.0	0.0	0.0	0.0	0.0	58.85	63.6	67.0
Ddit4l	169.04	331.96	12.73	0.0	0.0	0.89	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	23.76	20.82	23.0
Def8	118.46	34.74	7.0	0.0	0.0	0.32	0.0	0.09	0.0	0.0	87.99	0.0	0.0	0.0	35.39	33.88	35.5
Dip2a	28.77	14.38	4.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	41.24	40.77	45.1
Dusp28	11.76	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.98	31.47	29.99
Duxbl	0.14	0.3	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	2.0	1.18
Eif2ak1	130.51	4.12	11.19	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	39.5	0.0	66.21	67.05	64.24
Eif4e2	105.25	104.3	22.99	0.33	0.58	6.49	11.41	0.99	5.38	11.0	0.34	0.77	3.47	1.67	38.48	36.43	35.26
Eif5	118.81	152.02	52.17	0.17	0.0	0.0	0.19	0.09	49.72	0.24	14.0	0.0	0.0	0.0	140.35	143.5	145.74
Elp4	0.0	39.17	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	9.41	7.65	9.61
Fbxw2	0.0	86.68	5.45	0.0	0.15	0.0	1.26	0.12	0.05	2.84	0.0	1.34	0.0	0.0	71.59	70.35	70.75
Fstl1	105.15	47.07	20.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3	25.42	26.36
Gapdhs	1.32	8.77	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	2.36	3.14
Get4	42.05	62.81	14.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.98	62.01	56.66
Gipc1	4.76	81.72	15.19	2.55	0.32	6.08	5.84	1.12	2.65	16.88	2.82	1.27	1.02	9.62	73.83	85.57	79.88
Gm13242	1.01	0.0	0.21	0.34	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0
Gm13306	177.13	179.05	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Gm2002	6.68	0.23	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Gm2506	177.13	179.05	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Gm5797	1.46	1.81	0.0	0.0	0.0	0.0	0.0	0.0	1.35	106.13	0.0	0.0	0.0	0.0	0.16	0.28	0.67
Gpr158	73.88	35.75	9.06	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.39	83.48	85.5
Grina	6.35	481.5	217.24	0.0	0.0	0.0	0.0	0.21	0.11	0.0	1.48	0.0	0.0	0.0	438.71	454.74	430.01
Htr1b	0.0	93.73	8.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.36	8.65	9.29
Igf1	59.62	22.11	44.72	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	2.39	3.44
Il11ra2	6.68	0.23	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Ino80e	0.0	103.45	38.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1	34.43	33.74
Jakmip2	127.83	146.81	34.59	0.0	0.0	0.0	0.18	0.0	0.05	0.0	0.0	0.0	0.0	0.0	45.62	37.45	47.23
Kcna1	90.42	107.29	12.12	0.04	0.08	0.0	0.14	0.08	0.02	0.0	0.0	0.0	0.13	0.0	67.54	63.94	72.6
Kcnab3	70.59	94.28	13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.93	59.23	53.9
Kcnh3	1.35	4.6	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.3	118.14	114.28
Klk11	1.4	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.16
L3mbtl1	24.57	44.49	1.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.17	12.31	13.53
Lage3	134.76	229.99	58.03	0.0	0.0	324.99	0.0	0.0	0.0	0.0	305.83	0.0	0.0	0.0	26.52	27.77	26.58
Lgr4	111.73	88.84	55.8	0.0	45.47	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	16.24	15.3	16.58
Lrrc8d	34.96	31.09	6.89	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	29.66	30.55	32.25
Luc7l3	283.15	467.89	274.58	0.59	0.0	0.0	1.17	0.42	0.0	0.0	0.0	0.0	6.61	0.0	121.15	101.28	129.92
Ly6h	32.69	49.98	12.34	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.82	367.1	337.26
Lynx1	70.83	100.49	20.37	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	249.12	247.11	249.79
Mir680-2	22.17	8.87	0.0	0.0	0.0	0.0	0.0	8.64	0.0	0.0	61.18	0.0	0.0	0.0	5.31	8.34	7.14
Mpp4	11.3	11.62	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.63	1.0
Mrps5	170.82	335.91	37.92	187.1	0.0	0.0	0.46	0.5	0.0	0.0	0.0	0.0	0.0	0.0	55.04	55.85	51.07
Mthfd1	8.08	65.87	10.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.62	27.48	29.4	28.61
Mthfd2	58.77	147.19	6.67	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	393.86	8.19	8.45	8.9
Mtmr2	33.32	39.64	81.72	0.53	0.25	0.0	1.07	0.12	0.0	0.0	17.01	0.0	0.0	53.99	42.48	41.76	39.44
N28178	126.93	156.87	8.3	0.26	0.0	0.0	0.0	0.0	0.0	4.58	0.0	0.0	0.14	0.0	216.35	208.94	221.69
Npnt	65.28	111.64	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	447.14	0.0	0.0	16.04	17.87	16.6
Nppc	71.05	48.69	0.26	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.29	0.0	0.0	0.0	6.68	8.21	8.5
Nrip3	510.11	258.92	46.18	0.0	0.0	0.0	0.0	0.09	0.05	0.0	0.0	0.0	0.0	0.0	79.58	79.31	80.83
Nsmce2	360.95	194.46	97.25	0.0	0.0	0.0	291.16	0.0	34.06	138.27	0.0	0.0	324.34	0.0	29.61	29.06	26.73
Otx1	72.66	134.36	0.98	0.77	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	5.06	5.76	5.71
Pcdh9	234.57	491.59	39.7	0.46	0.0	0.22	0.12	0.06	0.0	0.08	0.0	0.18	0.0	0.0	64.45	58.09	62.65
Pgap2	79.9	130.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.69	15.83	18.41
Pgp	19.31	0.0	4.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.56	109.61	115.46
Plac9	94.51	93.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.87	14.17	12.86
Pou3f2	108.63	121.92	37.44	1.95	0.0	1.65	0.14	0.19	0.08	1.78	0.0	0.0	0.0	0.0	13.26	11.79	12.91
Ppp1cc	0.0	65.44	25.44	0.14	0.0	198.85	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.89	210.87	186.07
Prmt1	61.5	17.18	9.92	8.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.39	92.37	87.72
Ptdss1	124.55	0.31	16.2	0.0	0.0	0.0	0.0	0.0	449.63	0.0	0.0	0.0	0.0	22.83	51.72	54.95	54.5
Ptprn2	128.64	92.76	30.28	0.0	0.06	0.0	0.0	0.07	0.0	0.0	0.0	0.14	0.0	0.0	221.75	226.44	219.46
Rab10	173.74	69.57	24.38	0.09	0.0	0.0	61.56	0.1	0.0	0.0	0.14	0.0	33.82	0.0	125.64	123.8	124.07
Rad23b	41.88	33.5	9.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.39	127.11	122.14
Reln	158.98	59.01	10.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.59	26.5	29.11
Rhbdl1	80.0	14.64	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.67	79.86	77.35
Rora	53.83	72.88	13.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.2	13.12	17.62
Rpf1	63.75	0.0	7.55	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	108.7	18.61	15.75	14.14
Rpl27	519.25	276.5	442.77	997.45	1572.09	493.96	1683.98	0.51	450.57	1304.91	0.0	682.66	372.91	588.22	218.71	234.57	229.36
Sbsn	10.0	82.47	14.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.78	10.08	13.09
Scml2	58.43	43.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.86	1.04
Slc5a6	70.68	80.32	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.74	17.63	16.22
Snord116	2.6	3.06	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l1	2.6	3.06	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l2	2.6	3.06	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	1.15	1.9
St13	200.26	145.25	19.76	179.96	53.39	0.0	53.08	0.0	0.0	0.0	646.41	34.53	0.0	0.0	141.08	140.69	138.58
Stau2	48.15	135.52	46.88	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.93	82.37	83.05
Taf11	0.0	68.55	41.41	0.0	0.0	0.0	0.0	0.59	0.15	0.0	0.0	0.0	0.0	0.0	51.09	54.18	49.09
Tead1	0.16	14.31	0.13	0.09	0.0	0.0	0.17	0.0	0.23	1.29	0.31	0.59	0.06	0.35	5.49	5.49	6.28
Tfip11	29.05	73.3	3.99	0.0	0.0	0.0	0.0	0.0	0.05	0.0	742.06	0.0	0.0	0.0	35.65	37.75	36.35
Thy1	277.99	224.1	134.45	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	659.66	677.75	653.67
Tiprl	82.37	115.09	40.26	1.23	0.41	0.0	15.99	0.39	0.64	1.02	0.31	0.0	0.0	0.0	26.07	25.03	23.74
Ubfd1	100.46	45.52	16.04	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	555.75	0.0	34.57	34.06	31.54
Ubiad1	0.0	36.03	3.13	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.66	8.07	8.8
Wdr11	62.29	11.69	10.5	0.07	0.0	0.0	0.14	0.0	0.0	0.1	279.69	1.98	0.0	0.0	35.59	34.95	35.38
Wdr36	147.52	0.0	26.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.26	23.75	24.17
Wee1	69.55	43.15	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.38	17.81	17.68
Ybey	56.12	52.72	11.81	4.65	4.21	3.71	9.44	1.56	4.1	6.82	3.4	5.25	6.17	2.39	5.24	5.16	5.31
Zbtb17	36.06	54.23	0.83	0.0	0.0	0.0	18.61	0.0	0.0	0.0	0.0	0.6	0.0	0.0	25.11	26.02	25.58
Zfp106	53.54	23.43	14.47	25.65	0.0	0.0	0.56	0.0	0.0	0.05	0.0	0.0	0.0	0.0	81.46	75.11	80.47
Zfp422	89.03	110.08	17.25	1.65	1.7	1.5	8.3	2.27	3.26	3.83	2.7	2.68	0.82	1.92	22.59	22.57	23.03
Zfp472	64.95	100.63	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4	3.31	4.85
Znrf1	22.48	32.69	4.59	0.0	0.0	0.66	31.98	0.1	0.0	0.0	0.0	0.0	0.0	0.0	71.69	73.05	70.91
c11_tRNA-Arg-AGG	24.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c14_tRNA-Ala-GCA	25.74	35.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73	7.2	0.0
c7_5S	36.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8	0.0	0.0	0.0	0.0	0.0	4.92	3.36	1.4
