	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	CAV_LP_Ipsi_tdTpos_cell_12	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Colec12	7.85	11.33	9.81	30.64	16.73	7.29	7.0	9.24	3.67	44.44	23.58	34.36	36.55	87.45	19.72	16.52	16.46	21.46	10.75	7.4	4.0	14.05	8.55	12.65	8.61	10.44	12.24	6.69	11.4	9.07	17.13	12.51	8.52	11.99	13.16	11.96	12.34	12.0	8.46	15.21	15.96	40.3	54.73	1.76	73.79	7.23	12.61	19.43	11.79	18.28	10.56	10.22	26.9	33.88	22.64	19.14	17.11	8.69	7.76	35.53	13.66	3.7	0.61	35.02	20.29	20.84
Csnk1a1	0.0	33.55	0.0	39.38	19.87	0.0	97.59	103.01	0.0	155.42	138.17	73.99	163.56	14.31	36.54	132.99	2.65	62.41	30.87	5.38	33.64	0.11	43.1	27.18	28.39	30.78	3.17	13.44	55.96	10.58	6.44	74.48	0.53	0.0	94.67	41.45	20.03	0.67	45.3	59.86	117.39	29.58	216.84	0.0	259.92	0.0	18.36	89.16	28.29	30.26	4.36	76.37	61.05	173.12	137.22	0.0	31.64	5.11	38.56	17.79	14.94	34.43	0.0	83.1	245.55	231.46
D330041H03Rik	46.19	5.16	1.53	79.36	35.7	2.12	42.29	33.22	0.0	2.67	75.06	2.86	5.71	5.55	14.58	12.02	3.25	61.46	10.51	0.45	0.03	12.89	0.1	18.49	28.86	1.52	1.15	4.19	26.73	31.14	0.74	8.38	26.72	2.6	15.08	1.15	9.62	0.15	26.22	7.66	1.39	36.86	3.09	4.14	111.55	1.68	1.62	35.05	1.41	5.72	23.97	2.08	0.95	88.81	1.94	6.24	0.77	0.7	2.48	0.25	32.15	0.56	0.0	11.79	4.13	4.82
F10	0.58	0.64	0.1	1.92	1.07	0.12	1.41	0.43	0.0	2.05	0.82	1.21	0.43	0.99	0.36	0.46	0.26	1.39	0.92	0.16	0.41	0.12	0.51	0.23	0.5	0.28	0.09	0.41	0.82	0.3	1.07	0.28	0.27	0.88	0.41	0.88	0.68	0.0	0.24	0.63	0.67	1.38	0.49	0.0	4.21	0.0	0.81	0.22	0.66	0.27	0.45	0.15	0.54	1.54	0.14	0.87	0.32	0.81	0.41	0.01	0.0	0.04	0.06	0.79	0.65	0.85
G730013B05Rik	5.81	8.76	2.22	14.14	7.83	1.27	0.17	5.59	0.0	35.61	9.87	19.32	24.8	40.16	8.01	6.6	7.55	10.32	3.58	8.2	4.03	4.08	3.97	10.43	5.04	8.57	5.29	9.2	5.69	4.3	7.26	4.46	2.16	5.02	9.91	4.44	5.29	4.54	5.39	4.13	15.25	21.75	57.94	1.41	83.99	0.0	5.28	5.91	4.36	5.46	5.87	2.32	20.78	21.35	12.66	6.24	14.95	3.25	2.26	3.84	8.74	3.17	2.06	13.94	4.54	3.61
Gabpb2	0.22	0.51	0.66	1.03	0.75	0.37	0.06	0.56	0.0	2.88	2.04	0.76	37.38	3.64	1.39	0.49	1.56	1.53	0.35	0.6	0.32	0.52	0.52	0.17	0.26	0.56	0.96	0.52	0.36	0.61	0.38	0.68	0.24	0.73	0.77	0.79	0.78	0.39	0.28	0.65	0.44	0.81	2.05	0.0	3.78	0.0	0.67	0.65	0.47	0.6	0.39	0.44	1.05	1.17	1.18	0.93	37.41	0.15	0.56	0.44	18.11	0.46	0.06	1.25	9.12	8.74
Galnt9	0.0	2.12	0.0	118.62	69.99	0.0	0.0	0.0	0.0	0.0	87.3	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	20.31	0.0	0.0	0.0	0.0	33.24	0.0	57.19	0.0	0.0	0.0	1.25	0.0	0.0	51.51	10.86	0.0	0.0	0.0	0.28	19.86	4.36	0.0	362.09	0.0	0.0	1.28	0.0	17.6	0.12	0.0	0.0	182.53	0.0	0.0	0.0	0.0	0.12	0.0	9.12	0.0	0.0	21.61	60.54	63.63
Gm10662	1.88	0.89	0.0	3.7	0.62	0.0	0.0	0.16	0.0	4.59	2.84	1.74	0.6	4.27	3.45	1.62	0.81	0.31	0.38	0.0	0.05	0.96	0.42	0.16	0.23	0.24	0.18	0.0	0.0	0.15	0.0	0.66	0.49	0.0	0.66	1.36	0.68	1.29	0.29	1.05	3.19	3.1	1.44	0.0	0.25	1.87	0.34	0.59	0.19	0.0	0.28	0.6	0.64	5.7	1.24	2.17	1.86	1.02	1.32	0.53	0.15	0.54	0.0	2.54	1.34	1.37
Gm10857	0.43	0.0	0.09	0.0	0.24	0.0	0.0	0.55	0.0	0.23	0.84	0.44	0.0	1.07	1.06	0.52	0.15	0.55	0.27	0.04	0.0	0.5	0.25	0.11	0.0	0.15	0.21	0.53	0.24	1.1	0.11	0.23	0.07	0.25	0.0	0.23	0.0	1.39	0.06	0.26	0.31	0.44	0.77	0.0	1.62	0.0	0.0	0.07	0.08	0.0	0.14	0.63	1.21	2.35	0.85	0.38	0.96	0.09	0.33	0.13	0.17	0.0	0.0	1.16	0.41	0.15
Gm14047	1.56	0.8	0.91	2.88	1.0	0.55	0.0	0.19	0.0	1.85	2.04	0.3	0.92	3.61	2.56	0.96	0.37	0.58	0.29	0.81	0.14	0.39	0.34	1.4	0.28	0.59	1.22	0.47	0.0	0.18	0.0	0.22	0.0	0.17	0.0	0.88	0.0	0.6	1.4	0.35	0.0	1.99	1.46	0.0	5.18	0.0	0.19	0.23	0.0	2.24	0.25	0.11	1.64	3.31	0.66	1.4	0.67	1.1	0.35	0.26	0.0	0.28	0.0	0.92	4.16	4.56
Gm15441	0.74	0.22	0.37	1.01	1.39	0.42	0.48	0.0	0.0	1.37	0.62	0.07	0.0	0.0	0.86	0.76	0.67	1.08	0.59	0.21	0.09	0.66	0.39	0.17	0.23	0.0	0.18	0.05	0.0	0.49	0.18	0.0	0.35	0.1	0.36	0.22	0.3	0.33	0.09	0.69	0.52	1.13	2.0	0.0	0.95	0.0	0.38	0.19	0.4	0.42	0.95	0.17	4.45	1.59	1.68	1.71	1.69	0.29	0.0	0.0	0.51	0.27	0.0	1.16	5.49	4.63
Gm17821	117.62	127.67	71.0	158.3	144.83	44.72	35.58	109.53	0.1	373.77	175.54	231.94	392.7	774.86	204.39	223.31	211.02	199.06	130.67	149.2	83.86	158.01	114.81	109.85	125.35	145.62	107.97	127.92	138.45	152.69	147.65	141.67	99.22	155.3	179.51	109.01	105.43	115.41	117.21	127.57	146.15	363.0	462.54	18.28	487.05	29.62	95.33	135.71	105.99	202.83	140.03	101.87	275.8	308.99	169.31	156.61	207.51	68.5	99.38	102.26	171.27	55.36	24.98	325.45	56.08	58.58
Il22ra1	0.25	0.21	0.13	0.21	0.34	0.04	0.13	0.27	0.0	0.89	0.69	0.34	0.6	0.17	0.17	0.2	0.53	0.46	0.43	0.19	0.06	0.31	0.25	0.2	0.13	0.41	0.31	0.24	0.15	0.25	0.35	0.37	0.07	0.08	0.66	0.0	0.0	0.1	0.22	0.47	0.09	1.07	1.3	0.0	1.92	0.0	0.23	0.25	0.19	0.17	0.32	0.26	1.54	0.95	1.63	0.5	1.26	0.2	0.2	0.24	0.34	0.11	0.0	0.69	0.51	0.53
Itga4	1.98	4.29	1.93	3.8	5.3	1.44	1.64	3.12	0.0	6.3	8.79	6.92	14.21	13.73	4.36	4.65	3.06	8.99	5.5	4.09	3.79	3.93	3.33	3.93	5.13	4.53	2.75	3.24	3.3	2.42	3.21	4.0	2.04	3.83	6.0	4.21	4.05	3.45	3.54	2.75	2.85	25.05	17.57	1.64	122.41	0.0	2.7	4.73	2.74	2.73	3.16	2.34	11.85	10.43	4.67	4.59	7.1	4.0	2.58	2.93	6.37	2.79	0.45	13.96	11.38	11.06
Lipi	1.86	1.01	0.51	1.05	1.94	0.0	0.53	1.08	0.0	4.41	2.0	1.14	2.52	3.26	2.31	3.07	1.13	2.85	0.25	0.88	0.33	1.43	0.33	0.94	1.32	2.0	0.99	1.18	0.76	0.58	1.0	0.22	0.15	1.26	2.72	0.71	0.0	1.5	0.55	0.63	1.78	3.87	6.15	0.23	5.8	0.0	2.94	1.89	0.75	1.75	1.43	0.6	4.73	4.63	2.71	1.89	3.19	0.17	0.89	0.41	0.0	0.63	0.0	4.42	5.24	4.8
Lpp	8.69	1.57	1.03	1.27	1.35	0.92	0.49	1.04	0.0	4.37	25.54	2.53	2.58	5.74	6.1	17.36	9.46	1.36	1.44	0.66	0.5	0.98	0.59	0.62	1.09	0.89	0.85	1.04	0.92	0.66	1.46	0.43	0.63	1.91	1.47	1.13	1.27	0.87	1.02	0.92	1.55	3.37	2.95	0.05	6.39	0.07	0.46	0.76	0.59	2.02	3.13	0.6	1.5	2.91	1.96	2.62	1.67	0.5	0.51	0.64	0.98	0.61	0.12	3.37	2.8	3.18
Mbd4	4.06	20.84	3.14	36.87	3.8	0.97	0.73	4.71	0.29	11.36	68.44	6.71	13.16	16.53	8.97	3.23	4.9	61.64	4.55	3.24	3.95	2.93	3.04	3.15	2.34	3.07	28.04	2.33	4.47	4.69	3.13	25.44	3.59	6.4	6.19	3.27	4.79	2.8	10.09	35.05	6.93	9.34	167.31	2.84	41.96	0.31	12.52	3.89	3.43	4.55	20.32	2.01	9.78	13.39	18.76	35.42	7.36	2.35	3.55	2.45	33.65	2.2	0.0	11.5	9.76	8.23
Nudt16l1	0.25	140.92	0.0	391.74	129.85	91.46	0.32	55.21	0.0	0.1	74.95	0.0	172.44	0.0	240.37	0.0	82.51	217.89	77.33	112.93	0.4	95.29	31.11	74.55	0.0	12.42	96.82	72.55	95.26	11.86	109.2	13.03	12.08	0.57	120.88	45.51	109.82	48.58	62.22	44.46	132.79	97.13	531.35	66.11	28.21	0.0	2.65	87.15	149.15	74.99	69.23	73.97	88.83	346.65	91.5	0.0	121.44	58.27	0.0	57.64	171.5	3.78	0.3	85.4	75.08	67.3
Nuf2	2.45	1.37	1.26	2.21	0.77	0.42	0.0	1.81	0.0	5.0	3.25	2.47	2.04	10.63	2.59	2.67	1.84	1.83	0.99	3.09	0.44	2.94	1.67	1.14	0.83	1.92	0.81	1.43	3.13	1.36	1.34	1.91	1.47	1.26	13.66	0.93	1.62	1.59	1.3	2.35	1.7	4.18	10.42	0.12	8.39	0.85	1.29	1.1	1.81	1.7	2.78	1.51	2.8	3.86	3.35	3.02	4.17	0.31	0.57	0.53	1.32	0.56	0.0	4.72	4.5	5.02
Nup98	0.52	0.0	0.0	61.9	0.34	0.0	0.0	0.0	0.0	2.74	0.0	2.53	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.0	0.35	10.81	0.27	0.29	0.0	0.0	0.0	2.82	0.0	14.12	0.71	0.0	0.0	0.87	0.0	0.0	30.98	1.0	0.11	0.72	4.96	1.34	0.0	0.0	0.0	10.18	0.0	0.0	0.83	0.67	0.0	0.13	95.73	0.0	2.95	0.0	0.0	0.47	0.0	0.0	0.04	0.0	17.91	14.53	15.02
Ocm	0.89	0.41	0.0	0.7	0.0	0.0	0.0	0.0	0.0	1.49	0.91	0.0	0.89	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.34	0.0	0.8	0.0	0.0	0.34	1.31	8.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	1.39	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.97	1.65	1.14
Pddc1	211.44	72.81	0.16	366.29	169.48	76.02	363.51	72.37	0.47	206.75	162.38	98.54	4.68	10.78	4.79	78.4	102.41	225.92	70.8	0.99	66.59	13.56	6.26	2.22	74.17	40.16	42.29	141.39	159.66	19.97	103.67	29.25	7.84	127.87	6.59	83.69	11.02	151.71	87.09	170.99	10.75	192.5	14.75	0.0	113.72	0.23	52.14	13.97	61.19	122.47	122.61	112.04	121.28	371.34	142.65	126.47	100.43	104.76	74.36	140.15	46.83	85.18	0.0	126.0	38.27	38.63
Prss43	0.18	1.42	0.99	1.12	0.34	0.15	0.2	1.39	0.0	3.32	0.97	0.65	1.27	4.75	2.45	1.58	1.81	3.36	0.59	0.58	0.62	0.52	0.76	0.5	0.0	0.24	0.79	1.27	1.01	0.0	1.0	0.25	0.97	1.56	0.55	0.59	0.84	0.57	0.82	1.63	1.96	2.21	1.73	0.0	3.1	0.0	0.29	3.48	0.49	1.74	1.32	1.02	2.93	3.53	2.46	1.24	2.88	0.13	0.74	0.79	0.71	0.05	0.38	3.01	0.31	0.35
Sst	54779.79	110572.87	47293.26	27080.23	52293.57	92299.24	48476.57	38673.83	0.0	43.44	0.0	72114.03	327.67	41248.39	0.0	79456.04	80147.45	0.0	46171.02	53894.31	43875.07	39090.22	56866.87	57147.69	41946.67	53884.47	50199.22	49702.56	51551.12	68952.67	41941.87	63593.53	65451.11	55479.93	53524.63	52986.0	54018.45	59257.22	56460.73	63808.17	50608.74	0.0	0.0	0.0	0.0	0.0	41295.0	40924.0	24261.62	40020.56	28051.12	78404.02	40301.33	70180.73	33572.19	40569.83	27831.0	27470.9	19702.28	21855.63	60686.4	23126.63	0.0	0.0	558.6	558.0
Tfcp2l1	0.52	0.16	0.03	0.37	0.48	0.02	0.0	0.31	0.0	0.51	1.21	0.29	0.24	0.55	0.23	0.45	0.38	0.25	0.22	0.09	0.12	0.2	0.13	0.13	0.16	0.18	0.23	0.55	0.23	0.48	0.32	0.32	0.15	0.05	0.12	0.33	0.35	0.15	0.1	0.11	0.7	0.68	0.71	0.0	1.33	0.0	0.53	0.17	0.25	0.22	0.11	0.26	0.98	0.89	0.5	0.33	1.11	0.05	0.12	0.13	0.3	0.17	0.0	0.83	2.51	2.58
Veph1	3.91	8.76	2.85	6.03	3.28	2.22	1.0	4.68	0.22	19.86	13.41	11.01	16.88	36.16	5.51	6.27	4.89	6.39	1.84	2.5	2.17	3.32	2.45	2.7	3.69	4.26	4.81	3.62	2.22	0.85	5.7	1.85	1.22	1.79	5.79	2.78	2.57	3.66	2.33	6.13	5.71	8.93	15.31	1.4	13.94	0.14	1.88	5.7	2.49	4.7	3.31	3.35	10.81	8.99	8.4	8.51	6.31	2.75	2.0	0.87	5.21	1.07	0.12	12.3	3.28	3.64
Vmn2r55	1.01	0.77	0.22	2.06	2.46	0.45	0.17	0.23	0.0	2.78	2.14	1.66	1.5	1.24	1.64	2.12	1.94	1.57	1.45	0.98	1.05	1.44	1.04	0.97	1.0	0.72	1.11	0.92	0.96	0.32	0.63	0.82	0.76	1.11	0.76	0.27	0.28	1.08	0.73	1.4	0.81	2.92	4.6	0.0	5.13	0.3	0.38	1.03	0.17	1.8	1.7	0.85	2.04	1.71	1.82	1.65	0.89	1.18	0.86	0.52	0.55	0.17	0.0	3.3	3.27	3.31
Ybx1	23.83	27.35	6.68	96.44	21.12	7.24	13.61	23.61	0.0	62.74	8.13	20.57	58.05	16.47	67.22	42.35	59.93	13.86	33.15	93.19	10.77	18.99	53.85	11.27	29.2	21.23	17.21	24.11	59.45	50.42	20.07	23.13	4.46	12.88	40.61	49.19	17.56	8.31	17.29	3.3	55.71	37.17	90.69	1.09	103.29	0.0	24.9	65.51	48.68	38.32	22.16	6.77	43.7	100.23	33.66	42.19	3.93	49.55	34.68	23.1	41.33	20.62	55.9	81.03	108.32	110.68
