	Cux2_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_31	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27
Golga7	436.34	146.61	6.97	0.0	1.06	407.59	0.15	222.55	0.0	0.0
Hs6st1	34.4	1.03	0.0	0.0	0.0	92.26	0.0	0.0	0.0	0.0
Hsf5	31.4	0.0	0.0	0.0	0.0	41.02	33.44	0.0	0.0	0.0
Idi2	0.21	0.31	0.0	0.0	0.0	0.47	0.06	0.0	0.0	0.0
Ints4	175.6	0.11	0.0	93.01	181.21	238.5	0.04	174.01	21.35	0.0
Kcna4	82.18	0.0	0.0	0.0	0.13	78.73	1.96	0.0	0.1	0.0
Kcnk4	21.77	0.0	0.0	0.0	0.0	47.02	16.83	0.0	21.48	4.61
Lsm12	89.87	0.0	0.0	0.31	0.0	122.75	6.08	0.0	0.61	0.0
Magee1	133.89	62.48	0.0	0.11	0.11	318.41	40.27	3.54	21.24	0.0
Morc2a	66.33	36.99	0.0	0.0	0.77	148.63	1.47	0.0	0.0	0.0
Neurl3	12.48	4.15	0.0	13.49	7.87	12.76	4.63	2.42	1.65	2.07
Olfr1300-ps1	0.0	0.31	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0
Pcgf3	77.5	0.0	0.0	0.0	0.0	11.31	0.0	43.5	0.0	0.0
Pi4ka	103.99	16.96	0.0	28.21	2.81	121.21	54.1	0.26	6.26	0.98
Pigr	1.16	1.01	0.25	0.77	0.61	1.32	0.82	0.33	0.63	0.36
Ppp2r5d	173.17	58.37	0.0	4.69	63.56	129.79	5.55	93.7	0.5	39.23
Ptpla	99.39	0.0	0.0	0.0	0.0	192.79	0.16	0.0	0.0	0.0
Ptprf	28.75	5.68	0.0	0.0	0.0	53.72	9.48	0.0	0.03	0.0
Rnf114	280.6	0.0	0.0	0.0	2.92	356.0	101.85	20.33	4.24	0.0
Rph3a	280.43	158.32	0.0	86.75	328.23	278.57	66.99	0.07	110.56	99.14
Senp7	72.62	0.0	0.0	9.03	0.55	90.6	4.14	33.91	0.0	0.0
Slc48a1	115.32	0.0	26.42	0.0	2.27	201.3	0.05	0.0	17.44	0.0
Slc4a8	33.93	0.06	0.0	0.0	1.9	23.01	0.02	5.89	7.65	2.54
Smg1	47.44	42.73	6.67	3.85	50.26	58.18	2.1	21.46	2.26	11.81
Stambpl1	164.78	138.01	0.0	0.0	0.0	151.33	73.62	0.0	0.0	0.0
Stmn1	7760.35	12096.72	10015.46	13005.25	11961.92	5743.13	10665.83	10789.21	12161.23	11287.74
Sumf2	70.93	5.16	6.45	8.54	36.91	74.49	32.8	2.67	4.65	8.93
Surf2	404.17	150.91	0.0	238.78	0.35	278.97	25.39	30.19	0.0	0.0
Sytl4	0.0	0.0	0.0	0.02	0.0	0.17	0.0	0.0	0.0	0.0
Tas1r3	1.05	0.0	0.13	0.42	0.23	1.31	0.16	0.0	0.27	0.0
Tiparp	36.92	0.0	0.0	0.0	0.0	80.26	101.54	0.0	0.0	0.0
Tlcd2	4.43	0.21	0.7	0.0	1.01	9.37	0.64	0.0	0.17	0.56
Tll1	0.56	0.4	0.0	3.37	0.7	1.35	0.61	0.25	0.09	0.0
Trip11	58.4	0.0	0.0	0.0	3.27	101.05	17.32	0.0	0.07	25.98
Tsfm	240.24	0.0	0.0	0.0	0.0	322.89	80.68	0.25	17.2	0.0
Whrn	88.03	0.0	0.0	0.0	0.0	105.9	130.23	0.0	0.0	0.0
Wnt9a	43.65	0.0	0.0	0.0	0.0	78.97	1.91	0.0	47.51	0.0
Xrcc6	203.39	0.0	0.0	4.82	0.0	254.18	0.07	0.0	0.0	5.36
Zcchc11	144.24	41.82	0.0	0.0	14.0	123.29	9.86	5.68	0.47	8.54
Zmynd8	340.1	242.09	83.25	418.33	274.52	642.06	138.28	305.98	368.37	129.33
