	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Apc2	26.22	3.72	0.11	6.17	0.0	11.31	0.02	14.97	0.0	1.78	0.0	3.1	49.75	52.05	53.73
Atg2a	27.73	3.09	0.0	0.39	0.04	0.0	16.3	0.0	0.0	10.15	2.04	0.78	23.55	25.17	24.88
Bok	150.27	52.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.58	64.87	58.2
C920021L13Rik	43.15	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	1.61	1.15
Cables2	111.12	0.0	0.0	12.4	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.74	27.62	25.95
Car10	115.24	37.63	0.73	0.0	0.0	0.0	0.0	0.28	0.0	0.11	0.08	0.07	94.51	87.6	92.14
Cbx6	32.68	10.44	0.8	1.03	1.41	0.23	11.51	0.0	0.38	0.0	12.63	1.08	221.26	219.29	227.16
Ccdc77	66.38	28.02	0.03	0.0	0.0	0.0	0.0	2.96	0.0	0.0	0.0	0.0	4.29	3.73	4.6
Ccni	147.96	50.5	26.31	5.92	25.25	9.43	15.52	0.0	37.94	25.32	9.15	41.51	203.39	206.34	205.86
Clip2	8.17	1.11	0.0	0.0	0.0	0.0	0.99	2.91	0.0	0.0	0.3	0.0	80.06	84.47	83.45
Ctdnep1	71.11	46.48	0.1	0.0	0.0	0.81	1.34	1.63	33.21	4.78	30.58	8.06	83.05	85.68	86.14
Ctr9	52.01	22.91	25.54	11.01	2.52	0.0	0.0	0.0	5.67	0.61	11.27	3.24	36.47	38.44	34.89
D330022K07Rik	25.16	0.28	0.24	0.25	0.18	0.0	0.0	0.31	0.0	0.12	0.0	0.19	3.97	3.26	5.42
D430041D05Rik	27.62	0.0	0.01	0.0	7.05	13.27	0.0	0.0	0.0	6.88	0.0	0.0	69.49	61.56	70.36
Det1	70.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8	4.04	4.47
Dlat	78.13	53.26	19.65	4.36	6.12	25.96	10.5	13.21	0.89	0.0	3.04	0.06	70.3	71.53	64.97
Dock4	11.96	0.0	0.58	0.03	0.0	0.91	0.1	0.0	0.82	0.25	0.0	0.78	54.79	49.85	53.18
E330021D16Rik	26.63	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	2.53	3.06	3.56
Ect2l	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.07	0.26	0.14
Efna4	0.18	0.28	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.42	0.35	0.73
Fam83h	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	2.57	2.06
Fkbp15	55.57	0.0	0.0	4.11	29.36	0.81	0.0	0.0	1.02	0.0	6.54	2.98	23.24	23.08	24.79
Frs3	13.17	0.0	0.0	0.93	0.0	0.0	0.91	1.03	1.05	0.0	0.23	0.0	16.84	19.9	17.99
Fus	50.65	40.87	3.77	10.33	0.0	0.35	6.43	0.0	0.0	0.48	0.27	0.0	236.98	238.88	232.01
Galr3	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.32	0.25
Gas2l1	43.31	1.59	0.02	5.01	0.0	0.0	0.0	0.0	0.0	19.12	19.4	0.0	51.84	56.7	51.4
Gfra2	120.81	3.57	0.82	1.85	1.21	1.85	2.5	1.57	1.28	1.73	0.72	3.09	52.68	49.17	55.8
Gm13034	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13845	137.02	0.0	0.0	0.0	0.0	35.93	0.17	0.0	0.9	1.89	0.0	0.0	5.25	5.54	5.42
Gm1673	22.47	0.0	2.5	1.49	2.63	3.41	0.0	0.62	15.38	6.17	0.0	0.0	53.39	62.92	63.57
Gm2002	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Gm5523	10.59	0.9	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	2.1	1.04	0.75	1.52
Gm88	26.01	0.0	0.0	9.76	0.0	0.0	0.0	0.0	0.0	1.94	0.73	0.0	47.98	56.84	50.95
Gm8801	32.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gp1bb	97.58	2.02	0.0	0.0	6.83	0.0	0.0	0.01	0.0	0.0	0.0	0.27	18.54	22.4	21.44
Gpr182	87.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	2.05	2.43
Heatr7b1	25.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.02
Hist1h2bq	0.85	0.0	0.08	0.0	0.04	0.0	0.0	0.0	0.07	0.0	0.06	0.0	0.38	0.28	0.38
Hist1h2br	0.85	0.0	0.08	0.0	0.04	0.0	0.0	0.0	0.07	0.0	0.06	0.0	0.38	0.28	0.38
Ifi44	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.48	0.77
Il11ra2	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Incenp	165.36	0.0	0.0	0.0	0.0	24.29	6.28	0.0	0.0	0.0	0.0	0.0	12.77	12.28	12.24
Kank2	32.92	0.23	0.03	0.0	0.0	0.0	0.05	0.16	0.0	0.06	0.05	0.01	5.72	7.31	6.18
Kcmf1	101.27	6.7	3.26	0.78	0.31	0.49	0.52	1.08	10.74	1.93	7.79	0.0	40.33	40.77	37.67
Kdm4d	49.32	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	1.75	1.49
LOC100041550	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC434960	11.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lasp1	110.13	0.0	15.16	39.0	0.0	0.09	1.61	0.0	0.0	28.12	27.77	21.83	103.07	106.31	102.26
Lor	6.3	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.16	4.32	0.0	0.0	8.94	15.74	9.17
MGC107098	7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
March11	20.69	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	2.11	2.92	0.0	4.13	4.92	4.79
Mars2	138.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	11.21	10.76	12.6
Mdk	69.71	0.0	0.11	0.0	0.0	0.0	0.21	7.84	0.0	0.0	0.0	0.0	24.5	33.44	27.76
Me1	59.06	32.25	0.0	22.64	0.0	0.0	0.0	0.0	0.0	0.0	16.69	0.0	46.9	47.04	44.19
Metrnl	26.83	0.0	0.21	0.0	0.12	0.0	0.61	0.59	0.24	0.0	0.36	0.0	6.05	5.43	5.13
Mgat1	81.69	0.82	0.54	38.99	6.35	13.53	0.0	0.0	0.0	0.0	0.0	0.0	43.12	47.31	46.19
Mir384	11.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	7.88
Mir5113	27.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	0.0
Mlh1	54.1	11.34	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.13	11.01	10.6	11.61
Mnt	43.76	0.3	6.43	5.78	1.18	0.0	0.64	0.0	0.0	0.0	0.0	1.14	24.86	27.2	21.08
Mon1b	62.44	7.7	11.39	0.0	0.0	0.0	8.68	0.0	0.0	0.18	23.35	4.02	21.42	20.31	20.94
Mxra8	76.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	6.67	5.15
Myh1	70.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.46	0.33
Myo10	13.44	0.0	0.01	0.0	0.0	0.0	0.0	0.0	1.02	0.0	0.0	0.0	12.04	13.83	12.89
Npy	359.05	173305.25	149629.49	130527.91	173863.58	166048.87	191162.16	154857.31	153405.37	147732.76	151963.58	180453.32	214.21	196.57	200.76
Peli1	28.5	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7	26.4	25.67
Phrf1	41.86	2.9	7.76	0.0	1.97	0.0	18.59	0.0	0.0	1.56	1.59	0.0	23.3	24.41	24.98
Pick1	160.77	0.0	0.0	0.7	0.0	1.32	0.0	0.0	0.0	5.96	0.0	0.0	51.4	51.22	51.97
Pigl	63.04	0.0	0.0	0.0	36.37	0.0	0.0	0.0	0.0	2.5	0.0	0.0	8.28	9.45	10.17
Plaa	34.04	0.0	0.09	1.87	4.64	0.09	15.8	0.0	5.43	4.44	2.14	0.4	17.38	15.98	17.12
Plbd2	64.17	0.0	18.69	13.94	0.0	0.45	19.08	32.75	1.38	11.08	0.97	0.0	56.52	58.58	55.52
Pmf1	123.31	0.0	0.0	0.0	0.0	0.34	0.0	12.57	0.0	0.0	36.99	0.0	4.89	3.84	7.15
Polq	3.78	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	1.59	1.77
Pop5	84.35	0.0	0.08	25.74	8.89	0.0	22.01	0.0	52.44	16.28	0.0	0.0	68.3	76.5	66.07
Pou2f2	3.71	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	4.68	3.6	5.8
Ppapdc1a	363.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41	6.19	7.36
Prdm2	24.33	0.11	2.09	4.15	0.34	0.14	5.11	0.34	3.95	0.32	0.03	1.73	26.89	26.87	24.83
Raet1c	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Ralgds	48.46	0.19	0.0	0.0	8.75	21.99	0.0	0.0	0.08	0.17	0.0	16.93	60.54	63.25	59.45
Rbfox2	52.18	13.4	12.58	14.27	15.26	2.71	14.64	0.25	18.07	8.66	3.56	0.03	114.48	109.59	110.57
Rcl1	116.11	33.77	0.0	0.47	13.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.35	20.3	15.53
Rnf39	55.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.29	10.12	8.63
Scarb2	78.35	0.0	0.0	1.21	0.0	0.0	0.0	0.0	1.0	27.18	0.0	1.09	84.94	85.35	89.91
Sclt1	45.71	8.6	0.29	0.0	0.0	17.16	0.0	0.0	0.0	0.0	0.0	7.26	6.3	5.96	7.68
Slain2	19.28	0.0	0.0	0.0	5.86	0.0	0.0	0.0	0.0	0.0	0.3	0.05	16.28	15.41	16.28
Slc25a28	111.61	64.82	0.0	32.44	13.02	0.0	0.0	7.95	0.0	0.0	0.0	27.44	37.24	45.6	38.7
Slc29a3	43.7	0.26	0.2	2.12	0.7	0.0	0.2	0.0	0.31	0.5	0.0	0.04	10.22	9.05	10.8
Slc5a2	4.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.12
Slc6a7	55.86	0.0	8.27	0.0	0.0	1.44	0.0	0.7	0.41	2.0	43.38	22.97	59.28	59.0	59.67
Slc8a2	6.26	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	2.49	0.0	196.02	207.87	203.44
Snta1	72.15	0.33	0.0	0.0	1.18	14.59	6.4	0.0	0.0	0.0	0.0	0.0	25.48	30.84	30.12
Snx8	125.42	0.26	0.0	0.22	0.0	2.23	0.0	0.0	0.0	0.0	0.0	0.0	10.36	12.14	11.67
Specc1	44.41	0.0	2.38	14.4	11.68	1.62	0.0	0.0	0.0	1.26	0.26	8.97	31.49	28.45	33.24
St3gal5	167.89	51.36	5.76	29.6	4.47	0.29	4.9	4.11	0.0	0.42	0.2	0.07	137.49	142.88	149.64
Stard13	33.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75	6.35	4.88
Stard4	72.38	0.0	0.03	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	0.0	16.9	17.27	18.41
Stk39	78.72	16.39	36.2	1.28	8.66	0.0	0.0	0.0	0.0	10.94	8.86	0.0	52.61	49.61	50.93
Tmem104	12.42	1.78	0.05	13.62	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.19	9.7	9.58
Tnni3k	82.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.4	0.37
Unc119b	23.74	5.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.35	22.4	20.12
Vash1	38.31	16.84	0.02	0.0	0.04	0.0	0.0	10.26	0.0	0.05	0.16	0.0	26.64	27.19	26.45
Vps37b	29.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.01	44.26	36.05
Xkr8	109.65	0.29	0.21	0.22	0.12	0.0	0.5	0.09	0.0	0.07	0.24	0.2	2.81	3.24	3.47
Ybx2	71.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.29	5.34	6.38
Zdhhc7	68.98	0.24	0.0	0.0	0.0	9.83	0.0	33.52	0.39	0.06	0.0	0.0	27.69	29.79	28.29
Zfp383	20.02	0.78	0.06	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.61	11.75	9.84
Zfp771	9.46	0.0	1.65	0.0	0.42	0.0	0.0	0.59	0.0	0.24	0.0	0.96	49.36	68.79	59.63
Znfx1	29.55	0.09	0.04	0.15	4.69	0.0	1.34	0.0	0.0	0.0	13.03	13.21	31.57	30.53	31.25
mt_AK131577	1812.02	729.87	1040.04	1060.94	1006.07	594.69	1416.58	2085.68	1047.52	1585.46	1216.13	1141.51	4857.0	4144.16	4779.18
mt_AK132015	1812.02	729.87	1040.04	1060.94	1006.07	594.69	1416.58	2085.68	1047.52	1585.46	1216.13	1141.51	4857.0	4144.16	4779.18
mt_AK132098	1812.02	729.87	1040.04	1060.94	1006.07	594.69	1416.58	2085.68	1047.52	1585.46	1216.13	1141.51	4857.0	4144.16	4779.18
mt_AK153747	233.35	0.0	0.0	0.0	17.22	18.37	0.0	0.0	46.88	0.0	0.0	0.0	634.98	1067.91	1205.94
mt_AK167037	1812.02	729.87	1040.04	1060.94	1006.07	594.69	1416.58	2085.68	1047.52	1585.46	1216.13	1141.51	4857.0	4144.16	4779.18
