	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_36	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Atf5	0.0	0.0	20.66	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.21	0.0	18.53	19.7	21.07
B4galt6	5.41	93.49	125.77	0.67	0.71	18.87	69.02	53.69	52.16	53.14	5.78	42.15	47.36	81.44	19.9	5.41	3.51	346.65	0.25	90.25	2.24	14.3	0.74	23.46	1.63	78.47	74.46	73.74
BC023829	0.0	0.0	262.02	0.0	0.0	0.66	0.0	0.0	62.72	0.0	0.0	0.0	0.0	16.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.37	1.68	297.1	0.0	37.65	38.52	34.82
Boc	0.0	0.0	118.37	0.0	0.0	0.0	2.57	0.0	9.78	0.42	0.47	0.0	0.0	0.12	12.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.35	0.0	12.25	13.07	13.82
Brwd1	0.0	68.26	277.72	0.0	0.0	0.0	65.3	5.23	32.14	6.56	169.84	80.52	86.46	245.17	16.81	335.85	6.37	67.24	0.0	11.88	0.0	61.84	0.37	323.7	0.0	77.01	70.69	76.65
Btbd2	0.0	0.0	109.88	0.42	0.0	4.7	0.0	9.78	0.0	0.0	0.0	0.0	4.83	0.0	14.4	0.0	0.24	0.0	0.0	0.0	0.0	7.94	0.0	9.12	0.0	48.85	57.18	57.08
Btbd6	0.0	0.0	133.74	0.0	0.0	0.0	32.23	1.19	0.0	0.0	0.0	0.0	0.0	11.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.7	0.0	52.54	59.16	57.36
C1qtnf4	0.0	7.23	36.78	0.0	0.0	0.0	0.25	0.0	0.0	3.83	0.0	1.21	0.0	4.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	28.67	0.0	181.7	250.29	223.5
C2cd2	0.2	0.91	21.75	0.0	0.49	0.2	0.21	0.9	11.7	1.25	0.7	0.5	1.4	4.16	1.46	0.05	0.31	2.47	0.69	2.83	1.57	0.37	0.94	20.54	0.47	6.44	6.23	5.89
Camk2b	0.0	164.05	281.45	0.0	0.0	30.88	95.06	91.36	186.06	45.44	53.37	57.05	93.98	161.84	45.88	0.4	0.0	0.19	0.35	0.32	0.0	68.0	0.52	142.37	0.0	532.26	557.69	545.35
Camk2d	0.0	114.29	155.91	0.0	41.17	5.82	0.0	3.78	0.0	151.95	215.23	144.25	82.41	41.38	119.13	73.8	0.52	0.0	0.0	0.15	0.14	75.75	0.29	240.5	0.0	72.85	74.83	76.26
Ccdc3	0.0	12.62	121.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.32	0.29	0.0	0.0	0.0	92.46	0.0	146.78	0.0	11.29	11.62	12.69
Ccl27b	0.0	113.94	175.95	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	289.98	0.0	30.63	28.29	22.96
Cdc42ep2	0.0	76.86	82.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.44	0.0	0.0	0.0	0.0	0.0	4.0	0.28	114.05	0.0	15.4	16.7	15.62
Cds2	0.0	94.39	218.46	0.0	0.1	10.05	38.66	6.61	22.48	6.65	11.77	32.54	29.71	34.53	4.05	0.44	0.65	1.01	0.18	0.75	0.29	17.48	0.51	146.98	0.33	203.83	204.49	205.55
Celf5	0.0	19.01	86.18	0.0	0.0	7.57	21.58	24.53	33.11	34.39	16.72	36.48	16.06	32.92	23.77	1.46	0.17	1.29	0.96	1.04	0.0	7.75	0.1	39.53	0.36	163.01	160.05	172.09
Coq2	0.0	0.82	124.56	7.1	0.0	0.0	0.58	0.0	91.28	0.0	30.3	19.21	0.0	133.36	143.3	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	490.45	0.0	82.05	91.76	88.39
Cuta	0.0	33.93	578.96	0.0	0.0	42.28	56.11	175.36	226.3	67.03	161.3	138.12	275.71	204.11	198.69	1048.99	1.32	0.0	0.0	0.0	0.0	265.57	1.5	372.13	892.07	81.34	81.86	77.54
Dap3	118.41	62.22	175.0	0.38	0.0	8.18	77.92	60.65	81.54	40.64	49.39	19.81	31.19	48.98	20.54	0.35	0.98	6.21	0.0	0.29	0.84	22.88	2.63	52.42	6.57	32.85	34.46	32.16
Dbn1	0.0	61.33	119.07	0.0	0.0	1.34	13.42	12.45	31.49	0.67	72.56	3.62	13.64	25.77	14.02	0.0	0.0	0.0	0.0	0.0	0.0	26.3	0.14	172.02	0.0	181.07	196.52	190.0
Dcaf8	0.0	61.1	312.05	0.0	397.49	0.34	70.36	38.38	45.13	7.84	20.44	35.12	22.58	1.03	0.0	0.09	14.75	0.21	0.0	0.0	0.16	8.69	0.11	18.86	0.0	104.22	105.32	101.18
Ddit3	0.0	134.62	208.64	0.0	0.0	4.67	160.51	0.57	0.0	2.84	0.51	0.0	0.0	0.0	0.0	0.0	64.83	155.91	0.0	0.0	0.0	0.0	1.0	166.32	0.0	46.63	45.98	41.32
Ddx59	0.0	0.0	105.81	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.67	0.0	7.81	8.65	7.96
Dnm1	0.0	286.55	135.21	0.0	0.0	11.22	65.89	75.92	46.15	11.85	37.8	33.46	69.02	133.85	64.19	0.0	0.19	0.2	0.0	0.0	0.0	33.52	0.11	127.72	0.0	785.48	840.55	821.55
Eif4h	0.17	65.84	359.77	0.13	0.0	2.7	44.97	21.55	27.25	48.67	38.76	7.09	40.03	119.47	45.21	0.13	0.0	0.0	0.0	0.0	0.0	44.79	0.17	226.82	0.0	333.37	353.14	351.38
Elk4	0.0	0.08	117.43	0.0	0.0	3.16	50.05	21.93	1.6	0.11	0.11	4.61	3.96	38.91	2.75	0.0	0.0	0.0	287.27	0.0	0.0	0.0	0.0	0.58	33.11	14.27	15.16	16.04
Fam134a	0.0	120.33	298.95	0.0	0.0	0.51	27.37	44.05	83.67	37.31	1.16	0.67	4.09	150.35	24.12	0.0	0.0	0.3	0.0	0.0	0.0	62.89	0.16	195.44	0.41	190.64	202.99	193.58
Fam98c	0.0	0.0	29.69	0.0	0.0	0.0	0.27	10.33	0.0	0.0	0.0	0.0	0.0	4.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.06	0.0	28.36	0.0	39.96	47.33	38.61
Fance	0.0	0.0	11.53	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	35.63	4.71	23.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.59	0.0	14.41	18.94	16.58
Fbxl19	0.0	0.0	1.37	0.0	0.0	0.0	0.39	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	56.65	56.33	54.78
Fbxo9	0.0	5.3	367.05	0.0	0.0	0.71	21.5	45.22	42.07	23.78	46.25	0.0	15.3	0.0	3.72	0.0	0.0	15.7	0.0	0.0	0.0	13.03	0.0	199.23	0.0	115.71	125.15	111.58
Foxj3	0.0	30.43	123.45	27.11	0.0	0.0	12.09	7.35	7.86	16.58	0.24	0.93	33.99	49.74	0.18	0.06	0.0	0.0	0.0	0.0	0.0	8.03	0.09	176.06	0.21	46.48	44.34	44.16
Gm13306	0.0	113.94	175.95	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	289.98	0.0	30.63	28.29	22.96
Gm2506	0.0	113.94	175.95	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	289.98	0.0	30.63	28.29	22.96
Gpr62	0.0	0.0	4.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.95	0.0	13.97	16.49	18.78
Grb2	0.0	148.71	131.06	0.0	0.0	6.46	71.61	82.83	48.26	5.43	16.23	1.56	3.21	0.0	1.43	0.25	0.0	0.3	0.0	0.0	0.0	53.61	0.0	155.88	0.0	133.21	134.34	136.09
Grin1	0.0	126.11	49.6	0.0	0.0	34.14	31.99	19.61	46.16	11.02	25.58	31.68	23.22	44.21	7.82	0.0	0.0	0.0	0.0	0.0	0.0	28.76	0.26	109.7	0.0	389.58	403.6	404.44
Grm4	0.0	10.13	65.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.13	0.0	0.0	0.0	17.66	17.01	18.6
Hapln4	0.0	123.06	44.92	0.0	0.0	0.72	0.28	0.0	0.0	0.0	0.0	2.03	0.39	0.0	4.25	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	30.2	0.0	79.51	87.78	92.43
Hexim1	0.0	0.0	24.76	0.0	0.0	0.0	25.03	0.0	0.0	0.0	0.0	0.0	0.82	2.6	17.46	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	34.28	0.0	41.82	43.16	41.2
Hspa12a	0.0	1.04	121.46	0.0	0.0	0.22	40.16	50.39	59.8	46.8	1.92	86.14	0.25	4.79	10.22	0.0	0.0	0.0	0.0	0.0	0.0	29.09	0.0	18.55	0.0	120.9	114.32	124.73
Ifngr2	6.27	47.63	185.24	0.77	3.79	3.15	28.56	107.72	55.82	38.28	38.4	47.44	42.21	66.99	32.27	436.78	10.48	25.0	10.15	6.83	10.44	1.84	74.51	2.91	4.98	53.45	56.7	50.92
Ino80	6.09	1.42	8.89	0.0	0.0	0.0	0.53	6.8	0.33	0.53	0.0	0.13	1.2	2.53	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	12.19	0.0	16.41	15.65	16.79
Klc1	0.0	284.66	528.92	0.0	0.0	1.09	78.45	80.46	31.64	7.96	19.68	34.11	42.48	75.57	41.2	0.14	0.0	4.64	0.0	0.27	0.0	37.81	0.0	533.99	0.0	706.38	755.05	722.85
Lingo3	0.0	7.34	252.97	0.0	0.0	0.0	0.0	3.27	0.0	0.11	38.72	0.0	0.0	4.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.38	0.0	33.56	40.24	33.17
Lrrfip2	0.0	0.0	52.43	0.0	0.0	0.0	47.75	0.0	0.32	19.16	30.71	0.0	0.0	8.61	0.0	0.0	0.0	0.0	0.0	0.2	0.0	23.48	0.0	0.33	0.0	24.5	24.87	24.53
Mast3	0.0	88.25	122.52	0.03	0.0	9.75	23.0	11.54	21.62	86.53	13.24	37.84	30.54	50.36	13.01	0.33	0.14	0.0	0.0	0.13	0.09	19.5	0.09	280.53	0.0	128.92	128.23	132.72
Mgrn1	0.0	142.97	427.14	0.0	0.0	20.4	95.63	48.46	82.73	17.41	0.0	1.97	0.63	25.23	13.01	1.1	0.66	0.0	0.0	0.78	1.29	38.88	0.13	26.75	0.0	150.24	149.55	151.89
Mical2	0.0	125.34	136.29	0.0	0.0	30.06	37.02	69.58	41.91	66.0	35.6	25.7	50.22	110.56	36.8	0.09	0.0	0.0	0.39	0.17	0.0	42.9	0.0	633.54	0.0	226.64	202.81	243.34
Mir690	26828.41	25738.25	9871.86	19376.41	22720.97	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	32522.04	27509.93	44948.68	42282.55	27759.51	24726.6	35532.88	48007.3	26597.61	8608.46	26521.64	1.35	1.29	0.95
Mknk2	0.0	0.0	75.12	0.0	0.0	0.0	0.0	3.83	0.68	15.24	3.17	11.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.98	33.65	27.25
Mmgt1	1.36	11.48	65.0	0.77	0.0	10.08	2.6	48.23	21.07	16.47	9.82	35.79	34.91	43.92	21.59	9.93	6.37	1.32	0.7	1.33	1.79	46.0	5.54	27.08	5.8	31.03	30.22	29.35
Nadk	0.0	1.19	125.02	68.79	0.0	1.32	25.96	1.39	0.0	6.69	0.86	0.55	10.19	0.0	57.74	0.11	0.0	0.0	0.0	0.0	0.0	3.33	0.0	164.99	0.0	50.13	50.36	49.79
Ngrn	0.0	1.87	166.21	0.0	0.0	67.24	0.0	9.84	112.52	15.24	57.71	0.0	80.93	32.68	42.97	0.0	0.0	0.0	0.0	0.0	0.0	83.22	0.0	352.79	0.0	46.94	50.89	51.12
Npcd	0.0	164.85	317.36	0.0	0.0	7.58	1.3	17.82	2.85	2.6	17.88	13.67	13.03	70.97	27.85	0.0	0.42	0.0	0.0	0.28	0.0	71.25	0.11	211.08	0.05	247.5	166.76	178.33
Nrd1	0.0	0.37	171.34	1.46	0.0	0.31	50.95	21.59	44.84	0.75	45.88	69.96	0.17	10.21	20.06	0.08	0.7	0.0	577.46	0.0	0.0	7.1	0.0	180.93	67.64	95.97	89.11	99.9
Nsg2	0.0	676.72	641.86	0.0	0.0	187.99	148.89	286.53	93.69	93.8	119.24	105.72	16.85	310.11	157.84	0.0	0.33	0.0	0.0	0.0	0.0	255.77	0.19	536.2	0.0	642.61	673.47	621.36
Ntn3	0.0	0.0	55.81	0.0	0.0	0.0	0.0	0.0	10.31	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19	6.99	7.01
Nufip1	0.0	0.99	182.9	0.08	0.76	0.41	69.82	25.91	19.15	0.38	0.23	4.63	17.35	0.9	0.42	0.33	1.56	0.41	0.36	0.0	0.0	1.26	0.33	152.64	2.0	8.8	9.06	8.07
Nup205	0.0	0.05	58.06	0.0	0.0	26.72	0.05	0.0	0.0	0.0	25.18	0.0	8.29	2.12	15.36	0.0	0.0	0.0	0.0	210.72	0.0	0.0	0.0	0.0	0.0	15.31	13.61	14.92
Nup62	0.0	0.0	32.76	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	158.03	0.0	29.98	28.77	28.12
Osbpl6	0.0	0.0	31.92	0.0	0.0	22.08	8.76	56.68	27.08	4.39	0.8	0.3	5.21	27.24	7.76	0.0	0.0	0.0	107.39	0.08	0.0	17.15	0.05	41.63	0.0	31.02	26.51	27.24
Pabpc1	0.0	193.92	168.4	2.39	0.0	108.35	11.48	11.57	17.06	4.32	18.0	49.72	42.05	102.33	15.71	236.55	0.26	0.0	0.0	4.57	3.18	8.84	0.0	241.69	0.0	117.21	122.41	111.85
Pde8b	0.0	7.91	191.95	0.0	316.76	23.92	13.09	0.43	2.69	54.84	30.39	52.34	0.64	222.97	24.68	51.39	0.33	0.0	0.0	0.0	0.0	25.12	0.09	56.03	0.0	56.6	55.22	53.0
Pdpk1	0.18	144.28	130.41	0.0	90.0	11.61	11.38	36.99	1.62	0.06	7.57	9.76	19.59	8.5	0.39	6.65	0.12	0.0	98.63	0.0	46.14	5.52	0.06	18.62	0.3	63.52	57.57	60.93
Peg13	0.0	157.95	224.23	0.0	0.0	7.34	57.44	35.04	8.58	7.43	36.04	21.1	34.06	61.16	24.35	0.14	0.0	0.0	0.0	0.14	0.0	35.24	0.09	115.39	0.0	183.32	183.44	176.4
Plekhj1	0.0	6.17	69.9	0.0	0.0	0.0	46.25	35.77	43.45	14.09	30.99	0.0	0.0	79.95	35.53	0.0	0.0	0.0	0.0	0.0	33.6	102.2	275.7	195.19	0.0	34.62	38.98	35.57
Polr2f	0.0	29.33	420.66	0.0	0.0	106.84	110.2	353.58	234.59	309.32	128.94	411.08	150.06	526.38	142.16	0.68	0.0	0.0	0.0	0.0	0.0	373.92	0.0	349.64	0.0	86.05	105.55	101.1
Porcn	0.0	71.5	250.92	0.0	0.0	2.11	39.9	70.98	0.0	81.1	16.52	51.44	0.0	170.76	24.94	0.0	42.65	0.0	0.0	0.0	0.0	1.71	0.0	4.04	0.0	66.34	72.89	77.9
Ppard	0.0	17.67	4.66	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.62	0.0	2.31	0.0	16.82	16.03	16.36
Ppm1a	0.0	271.29	202.49	0.0	0.0	0.0	79.76	24.29	42.12	75.06	5.01	2.33	34.7	91.2	36.74	0.23	0.0	0.0	0.0	0.0	34.77	121.76	0.15	158.25	0.0	150.18	150.39	144.09
Prickle2	0.0	2.86	74.35	0.0	0.01	0.33	16.32	24.05	45.08	12.67	8.04	62.79	15.1	6.19	25.19	0.04	0.35	0.0	0.0	0.08	0.0	50.74	0.1	69.02	90.92	85.57	84.5	85.69
Prrt1	0.0	21.88	22.75	0.0	0.0	0.0	0.0	2.66	2.75	7.13	5.21	3.67	0.0	0.63	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	99.55	104.6	118.51
Rab21	0.0	179.13	72.78	24.71	0.0	0.0	1.13	13.37	0.0	1.53	1.41	0.0	0.39	0.62	0.37	0.0	0.0	9.42	0.0	0.0	0.0	2.21	297.11	4.13	0.0	72.72	70.65	64.04
Radil	0.0	0.0	59.57	0.0	0.0	0.0	0.0	0.0	0.09	13.52	5.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.0	0.0	0.0	12.09	12.82	13.94
Rnf19b	0.0	0.6	114.63	0.0	0.0	0.0	5.75	0.0	0.0	0.0	7.87	1.6	0.0	13.4	0.0	0.0	0.0	0.0	0.0	83.73	76.93	0.0	3.46	56.4	0.0	42.41	40.83	39.55
Rnpep	0.0	0.0	164.19	0.0	0.0	0.0	1.86	0.0	13.88	40.59	0.19	1.87	21.49	1.28	0.47	0.0	0.0	0.0	29.53	0.0	0.0	0.0	0.0	1.47	0.0	39.34	40.58	40.25
Rph3a	0.21	176.33	320.76	0.0	0.51	105.94	0.23	0.06	33.2	10.66	78.3	51.53	55.25	27.64	8.24	0.92	1.2	1.1	1.49	0.0	0.14	55.16	0.64	569.16	1.37	260.55	249.44	277.37
Rrp1b	0.25	18.71	10.01	0.09	0.51	0.58	23.42	0.13	0.47	8.91	30.84	2.56	1.25	56.21	0.71	1.01	0.76	0.34	0.57	9.87	1.04	0.59	0.14	49.88	1.06	9.12	9.24	9.31
Skiv2l	0.0	35.72	52.86	0.0	0.0	0.0	26.42	0.0	0.17	0.0	5.1	61.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.02	0.0	44.73	49.03	48.76
Slc12a5	0.0	147.75	159.98	0.0	0.0	0.43	15.25	30.44	14.17	36.5	39.39	22.49	1.84	125.61	41.19	0.16	0.0	0.0	0.0	0.0	0.0	12.31	0.07	247.3	0.0	303.65	314.89	318.33
Slc38a10	0.0	0.0	32.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.07	0.0	0.4	0.0	0.0	11.97	0.0	0.0	49.08	0.51	39.15	40.26	39.95
Stk11	0.0	156.85	211.74	0.0	0.0	93.27	58.03	42.71	0.0	0.0	0.0	0.0	0.0	1.39	2.96	0.0	0.0	0.0	0.0	0.0	0.0	78.54	0.26	3.33	0.0	71.22	81.33	72.57
Syap1	0.0	0.0	189.76	0.73	0.0	0.56	27.07	0.0	9.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.06	0.0	34.59	32.47	30.63
Taf10	0.0	36.79	129.51	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	49.66	57.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.87	0.0	90.63	0.0	59.35	69.95	69.08
Tbr1	0.0	1.28	128.32	0.0	0.0	113.61	0.0	0.0	0.0	6.39	0.95	65.25	19.67	4.16	15.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.82	0.0	79.44	81.98	78.39
Tecpr1	0.0	0.0	60.39	0.0	0.0	44.17	26.82	9.02	0.33	0.0	6.36	0.0	14.62	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	6.3	0.0	60.02	0.0	59.71	59.83	62.65
Tmem115	0.0	7.11	155.43	0.0	0.0	0.0	0.0	58.03	0.0	0.0	1.17	0.0	11.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.5	0.0	26.7	31.71	33.66
Trim37	0.0	101.94	236.89	0.0	0.0	5.45	103.08	26.54	25.33	29.95	6.61	40.9	35.63	41.47	13.26	0.17	0.23	0.4	0.0	0.0	0.0	79.03	201.7	232.92	0.0	216.02	201.17	202.32
Zbtb34	0.0	14.78	14.61	0.0	0.71	0.0	0.07	0.0	0.23	0.78	0.21	0.0	0.02	0.51	0.11	0.0	0.46	0.44	0.0	0.12	0.19	2.17	0.84	0.32	0.0	10.73	10.32	10.94
Zbtb41	0.05	0.0	54.24	0.0	0.0	0.0	0.2	14.1	0.0	44.57	0.65	0.96	0.0	0.07	17.24	0.0	0.0	0.0	0.0	109.53	0.0	0.0	0.0	26.85	0.0	9.66	8.26	9.05
Zfp609	0.0	6.27	10.05	0.0	0.0	0.0	0.23	0.59	1.07	0.0	2.79	0.19	0.0	0.13	0.0	0.0	0.0	0.0	0.33	0.0	5.89	2.34	0.0	11.97	0.0	19.14	19.16	19.7
