	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_4	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_21	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTnegative_cell_57	Rbp4_tdTpositive_cell_15	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_4	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_22	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm20125	0.27	0.0	0.0	0.0	0.14	0.11	0.15	0.0	0.0	0.0	0.0	0.59	0.0	6.85	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.14	0.07	0.0	0.0	0.0	0.11	0.15	0.9	0.67	0.11	0.2	0.18	0.0	0.0	0.0	0.17	0.2	0.1	0.75	0.33	0.66
Gm2506	6.84	5.92	22.81	10.98	5.41	0.0	16.36	0.0	119.25	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	2.47	0.0	0.0	10.06	0.0	5.02	0.0	0.0	172.96	0.0	83.97	40.26	0.0	7.77	7.33	0.0	0.0	13.03	0.0	0.0	0.0	21.43	0.0	0.0	0.18	0.52	0.0	0.0	0.11	114.56	125.27	74.98	103.08	54.7	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gpr75	0.0	0.0	0.0	0.14	0.0	0.0	1.44	0.0	0.38	0.0	0.0	0.0	0.84	0.0	0.16	0.0	0.95	0.0	0.17	0.0	0.0	0.0	0.0	7.14	0.12	0.0	0.0	0.0	251.16	0.0	0.0	0.12	0.0	1.89	16.35	0.0	0.27	1.01	0.0	1.0	196.06	4.28	0.0	0.0	0.24	2.87	0.0	0.0	0.0	0.2	0.0	0.13	14.07	6.81	16.09	4.41	13.58	11.34	14.68	9.76	7.48	9.55	9.19	9.72
Gusb	0.0	0.0	56.39	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.98	0.0	0.0	61.57	65.46	0.0	0.0	28.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	3.88	0.0	0.0	334.39	0.0	0.0	0.0	0.0	0.0	0.0	128.46	0.0	0.0	275.29	42.29	5.99	7.45	8.82	0.0	2.32	10.89	4.26	6.04	4.25	12.51	12.94	12.05
Hpcal4	22.12	19.28	0.0	7.39	78.13	15.66	26.86	0.0	52.86	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	117.68	0.0	0.0	30.15	75.16	74.51	0.0	0.0	50.51	102.38	4.14	154.49	0.0	0.0	149.77	0.0	31.01	46.3	0.0	0.0	0.0	0.11	0.1	28.89	0.1	74.12	5.84	9.55	0.0	0.0	6.69	1.57	129.09	150.47	0.0	100.67	153.66	135.43	115.99	96.92	63.22	152.55	113.48	132.8	617.1	589.7	600.85
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.19	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.15	0.19	0.0	0.0	0.0	0.0	0.21	5.81	2.35	3.62	0.0	0.96	1.27	4.28	1.89	1.73	1.86	1.4
Jtb	0.0	65.57	0.0	0.0	0.0	0.0	256.61	0.0	73.37	0.0	0.0	0.0	0.0	210.46	165.45	0.0	0.0	171.17	0.0	154.3	0.0	163.34	78.41	0.0	0.0	229.45	161.56	0.0	0.0	0.0	0.0	80.16	0.0	40.14	35.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.2	0.0	0.0	0.0	16.33	0.0	0.0	368.86	0.0	28.18	54.46	59.04	45.17	31.67	38.71	12.86	24.81	16.88	46.02	53.05	49.48
Klf9	125.62	0.0	0.0	0.0	0.0	0.0	39.17	0.0	76.22	0.0	0.18	0.08	0.0	40.64	0.0	0.0	0.0	0.0	0.0	10.75	81.32	5.26	0.0	0.0	0.0	90.96	0.0	0.0	0.0	0.0	0.0	79.03	0.0	40.96	25.83	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.3	9.84	0.16	59.7	0.0	100.46	101.4	109.69	107.11	94.99	83.04	108.54	101.68	105.62	127.72	133.21	122.44
Klhl23	0.0	0.0	0.09	2.29	0.0	0.0	114.04	0.0	0.13	0.0	0.0	0.05	0.88	0.0	0.0	0.0	103.78	0.0	0.0	0.0	0.04	0.0	214.89	0.19	0.0	0.1	0.0	0.0	0.11	0.0	0.0	2.12	0.0	81.04	13.25	0.0	0.0	0.0	0.0	0.0	243.85	2.16	0.0	0.06	0.0	0.0	132.28	0.0	60.28	285.37	210.38	0.18	34.04	25.67	46.8	21.8	11.13	12.19	19.72	16.33	19.31	48.34	48.8	47.82
Mbd4	146.42	8.61	4.06	3.18	7.56	8.99	8.35	15.58	6.46	7.3	9.88	4.91	9.08	6.08	11.29	7.87	8.91	7.15	10.88	8.97	11.19	9.65	5.02	8.99	14.51	10.42	7.38	6.37	9.62	7.38	9.7	11.62	48.81	7.06	11.33	8.81	11.06	9.75	7.3	12.94	90.7	11.74	8.25	190.49	8.91	6.53	11.55	19.33	7.44	7.71	161.25	8.2	25.05	17.68	15.47	15.33	12.89	14.27	16.3	15.27	14.6	9.76	9.29	8.23
Pak6	0.9	0.0	0.0	0.85	0.57	0.0	0.0	0.0	2.3	0.0	0.0	0.48	0.0	0.1	0.32	0.0	0.55	0.17	0.06	79.18	0.0	0.0	0.51	1.15	0.15	0.27	0.59	0.37	21.6	0.29	0.0	32.89	0.21	8.15	7.14	0.0	0.12	0.0	0.0	0.0	14.08	0.26	0.0	0.42	0.29	0.0	0.17	0.0	0.15	0.65	4.23	0.0	9.65	9.16	14.77	1.5	4.42	10.56	3.18	3.1	2.92	53.89	55.79	57.27
Pcdhgc5	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	27.02	0.0	0.0	0.0	10.51	0.0	0.0	0.0	0.0	0.0	0.0	16.36	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.66	0.0	52.65	10.56	0.0	0.25	0.0	0.0	0.0	104.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	1.02	0.0	51.05	35.07	26.39	63.02	11.56	48.76	32.54	52.73	47.68	114.38	115.99	121.96
Pdk1	0.72	0.66	0.0	0.55	0.72	0.0	0.32	0.0	4.24	0.0	0.13	0.05	0.0	0.47	2.22	0.0	0.62	0.06	0.0	0.25	0.35	0.07	0.0	174.93	8.34	0.6	0.26	0.0	1.33	0.0	0.0	3.85	3.59	23.3	10.91	0.0	0.0	0.0	0.0	1.11	0.66	0.72	0.0	0.24	2.48	0.09	0.11	1.18	0.0	0.61	3.08	0.08	19.47	11.52	8.5	28.86	9.35	5.02	13.91	8.6	13.05	34.62	33.84	34.55
Penk	11138.18	1185.59	2940.92	7669.37	10714.69	21119.42	7052.5	0.0	0.0	1085.68	14614.46	0.73	30305.82	14273.96	24078.42	18579.64	29110.93	10693.84	7583.12	15168.53	23047.57	13973.88	19453.81	11802.85	8394.0	893.86	5916.14	22944.38	23364.23	0.0	0.0	0.0	0.0	0.0	5.24	0.0	16623.49	7740.57	24984.25	3893.36	8575.12	5904.45	5789.22	1990.13	1.9	9357.5	1851.29	11865.47	225.27	464.43	1.67	2.2	0.0	0.0	0.22	0.0	0.0	0.0	1.73	1.49	3.51	368.19	372.55	337.73
Por	0.0	0.0	0.0	0.0	0.0	0.0	41.82	0.0	0.0	0.0	14.95	100.76	0.0	91.46	0.0	6.99	176.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.81	157.4	0.0	55.52	0.0	0.0	0.0	0.0	0.0	6.44	0.0	226.42	22.3	0.0	7.82	73.47	219.43	0.0	0.0	0.13	296.89	0.69	0.0	0.19	129.77	475.33	0.16	23.52	37.49	18.48	10.77	38.0	27.74	9.37	17.27	16.43	60.37	67.56	55.6
Ptpn1	0.03	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	3.07	5.02	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.12	0.0	0.0	1.17	0.0	2.41	10.22	0.35	0.0	0.0	0.0	0.0	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	3.79	0.4	2.68	10.34	8.45	0.05	2.46	4.3	3.68	32.35	32.97	30.2
Ptpn12	133.98	0.0	140.76	0.13	0.0	142.44	2.59	0.25	0.07	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.24	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.14	0.0	150.99	0.0	0.0	0.0	0.0	0.36	9.7	0.0	0.0	0.0	76.19	0.0	0.0	0.0	0.0	0.0	0.41	34.67	3.12	0.0	0.0	102.29	352.57	146.98	10.26	8.3	30.9	21.14	16.33	5.6	16.07	13.01	6.01	30.72	26.75	27.94
Rnf214	76.21	106.7	16.28	0.43	169.17	0.1	103.78	0.0	26.86	30.75	3.16	3.69	44.62	0.0	0.0	30.39	0.0	118.4	5.93	0.0	1.79	6.8	101.87	0.24	0.0	20.42	0.0	0.0	0.0	0.0	0.0	45.16	0.0	23.41	23.21	0.0	3.67	0.0	0.0	0.0	151.54	0.0	0.0	0.0	0.0	0.0	69.93	0.0	0.36	232.42	259.94	0.1	7.06	31.87	25.86	6.71	29.02	27.01	24.15	11.67	14.88	46.43	43.52	43.58
Rsph9	318.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.74	0.0	0.0	260.78	531.65	536.86	236.12	0.0	0.0	0.37	195.87	0.96	0.0	0.4	0.0	10.08	0.0	0.0	299.35	0.0	295.86	0.0	0.0	95.91	0.0	36.95	52.12	0.0	0.0	0.0	0.0	0.0	331.73	221.42	0.0	248.63	0.0	0.0	28.81	352.87	0.0	0.0	751.41	0.84	106.26	110.81	124.97	72.8	73.46	83.87	52.24	117.7	84.19	17.32	19.15	18.1
Sf1	16.13	4.42	3.35	0.0	2.53	6.96	49.06	0.0	0.06	7.37	18.29	0.0	98.39	0.65	0.0	0.0	29.59	0.0	14.19	36.87	21.56	0.0	11.39	0.0	9.13	0.0	70.37	0.0	0.0	0.0	0.0	2.37	0.36	16.9	12.92	0.2	0.0	24.13	49.19	0.0	81.23	0.0	0.0	45.36	0.22	0.0	0.0	0.91	0.12	0.14	45.4	0.26	21.2	9.56	9.93	13.02	22.72	13.24	7.4	10.57	8.78	79.57	85.84	79.68
Slc8a2	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.03	0.0	0.0	0.0	0.0	0.0	9.47	0.0	0.0	9.78	0.0	0.0	4.24	0.0	0.0	4.19	0.0	0.0	0.0	0.0	0.0	9.99	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.91	0.0	3.27	4.91	4.99	4.71	2.9	7.88	1.05	1.45	2.52	196.02	207.87	203.44
Snapc2	0.47	0.0	0.0	0.0	0.0	0.0	5.97	0.0	0.0	30.76	6.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.98	0.0	0.0	0.0	0.0	0.0	0.0	43.84	0.0	0.59	0.8	0.0	237.76	0.0	0.0	0.0	0.0	111.75	1.36	0.0	0.0	0.0	0.0	392.82	0.0	1.93	10.45	32.07	5.98	4.51	2.92	10.63	15.96	16.57	31.9	37.25	37.08
Sort1	0.04	0.0	0.06	0.0	0.0	0.0	46.07	0.0	204.04	0.19	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	29.23	42.37	0.04	0.0	0.99	0.0	14.35	0.0	0.0	0.0	19.03	0.0	0.0	0.0	0.2	83.14	23.79	0.0	2.49	0.0	0.0	0.07	69.87	88.44	0.0	111.82	56.65	0.44	42.62	0.07	0.2	0.46	166.9	0.28	14.59	8.19	24.28	18.86	15.96	16.44	26.68	19.47	23.14	251.59	239.48	249.17
Sra1	303.39	227.4	2.62	0.0	199.81	2.79	143.04	0.0	178.64	0.0	0.0	0.0	8.85	0.0	256.14	246.92	0.0	216.3	208.38	0.0	429.18	665.89	0.0	454.64	0.66	0.0	112.56	281.3	561.15	0.0	0.0	262.02	0.0	74.98	288.03	0.0	618.73	0.0	0.0	0.0	287.99	0.52	0.0	319.11	15.46	0.0	0.69	0.0	226.02	0.56	856.62	2.77	256.86	381.72	172.21	286.69	462.19	415.37	244.52	241.4	290.6	59.6	59.32	55.07
Wdhd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.11	97.73	58.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	164.45	0.09	0.77	3.53	2.64	0.2	2.09	0.0	2.84	3.93	7.93	4.82	4.17	4.59
Wdr45l	0.12	0.24	0.0	0.0	24.11	0.16	19.47	0.0	0.0	0.0	147.33	0.0	0.0	309.17	7.63	0.0	0.0	67.18	0.0	69.23	0.0	202.19	0.0	0.0	0.0	0.0	0.2	250.05	0.0	0.0	0.0	69.7	0.0	0.81	35.19	0.0	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	432.34	0.16	50.28	77.39	68.33	57.37	79.21	68.55	44.97	53.19	56.94	62.91	64.93	67.27
Wnk2	0.0	4.73	16.88	0.61	0.0	0.0	17.36	0.0	8.14	0.0	0.0	0.0	16.61	0.0	0.0	0.0	0.0	12.68	0.52	0.06	0.0	24.13	25.84	0.0	0.0	13.26	0.0	0.94	13.64	0.0	0.0	0.74	0.0	4.36	6.27	0.0	0.0	0.0	0.0	13.11	7.24	0.72	0.0	2.7	0.0	7.69	0.0	0.0	0.0	0.39	26.77	0.0	4.97	4.69	4.79	4.8	3.81	4.81	4.85	3.95	6.22	49.56	48.86	56.38
