	Ndnf_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_63	Scnn1a.Tg3_tdTnegative_cell_15	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Sema4b	0.11	3.48	0.0	14.52	9.1	9.77	8.95
Slc9a2	0.0	0.0	0.0	0.18	6.14	6.64	5.49
Snrnp200	0.0	8.46	0.0	91.25	56.11	58.53	58.1
Socs7	0.0	3.76	0.0	38.91	56.67	54.53	51.79
Stx5a	0.0	0.0	780.18	148.0	53.07	57.36	56.31
Synpo	0.0	0.0	0.0	0.27	115.12	119.16	107.25
Tcf23	0.0	0.0	0.0	0.12	0.48	0.33	0.35
Tfip11	0.0	0.0	0.0	72.32	35.65	37.75	36.35
Tm4sf20	0.0	0.0	0.0	14.28	0.0	0.0	0.0
Trim43a	0.0	0.48	0.0	4.92	1.43	1.01	1.06
Zbtb2	0.0	0.0	0.0	20.49	8.48	9.2	7.12
Zbtb25	0.0	0.0	0.0	42.41	14.89	12.79	15.23
Zcchc6	0.0	28.51	0.0	51.38	30.73	27.71	31.01
Zfp747	0.0	0.0	0.0	60.54	4.96	5.62	4.39
mt_AK131586	4908.34	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
