	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_65	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hpgd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.27	8.22	7.47	7.17
Ikbip	0.43	0.22	0.46	28.04	32.26	0.22	0.15	11.12	2.81	27.97	74.67	12.87	13.9	12.63
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.73	1.86	1.4
Inca1	32.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.12	2.89	3.9	3.42
Inha	0.0	0.17	0.69	0.0	0.0	15.73	0.0	0.0	0.0	0.0	150.75	38.56	39.48	40.02
Kcnj1	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.03	0.09	0.11
Klhl26	37.19	1.36	6.71	8.15	0.0	0.0	0.0	0.0	0.0	0.0	106.16	47.35	50.31	46.63
Kptn	0.0	0.0	24.01	46.06	105.47	0.0	0.0	0.0	0.0	81.36	133.4	24.57	26.36	25.3
LOC100039753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0
Lmf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.07	0.0	0.0	68.95	11.09	12.21	11.59
Ltk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.58	29.14	26.59	29.49
Map3k14	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.17	3.41	3.77	2.72
Mc3r	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.18	0.49	0.64	0.36
Mir1954	21.51	8.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	29.23	11.45	26.43
Myom1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65	1.01	0.97	1.64
N4bp2l1	0.72	0.0	0.0	27.35	71.46	6.35	0.0	0.0	7.25	49.08	246.04	31.4	30.17	27.2
Naip6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.38	0.22	0.38
Notch3	0.0	0.43	1.17	0.0	0.0	0.0	1.17	0.09	0.0	0.0	4.58	7.02	6.41	7.28
Npy	173305.25	134232.96	173863.58	166048.87	191162.16	154857.31	153405.37	151963.58	145032.54	180453.32	70964.58	214.21	196.57	200.76
Opa3	7.56	1.46	8.42	0.74	16.54	11.86	1.93	5.18	0.14	25.69	163.17	39.03	38.32	41.46
Pcdhb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.16	0.15	0.12
Pde8a	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	0.0	0.0	37.4	14.86	13.92	16.65
Pdlim1	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	54.88	9.95	12.68	11.43
Pgcp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.18	19.51	13.0	13.71	12.29
Pgp	10.26	0.0	4.0	1.62	0.0	0.0	0.0	4.46	23.03	0.0	46.36	97.56	109.61	115.46
Phlda1	14.49	1.97	0.0	19.67	8.16	4.92	6.6	0.25	0.0	0.0	47.94	29.3	32.64	27.96
Pitpnm1	0.0	0.03	0.0	0.0	21.36	4.69	3.51	0.0	2.15	9.12	37.41	108.79	116.33	110.85
Plat	0.0	0.05	0.0	24.27	0.08	7.96	0.0	0.0	0.0	34.22	103.36	30.47	29.55	29.04
Plekho2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	12.66	11.55	12.57
Poln	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.64	0.51	0.22	0.39
Ppp2r5c	98.65	4.4	86.97	63.71	119.82	301.52	113.89	116.75	133.81	148.67	196.82	167.49	163.49	158.91
Ptp4a2	194.47	66.98	0.0	22.19	111.63	41.78	21.44	124.97	22.52	122.22	133.2	93.2	90.4	92.48
Pxn	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	16.14	18.43	19.63	20.36
Pydc3	0.46	0.2	0.19	0.73	0.0	0.0	0.25	0.34	0.68	0.0	13.06	2.16	1.79	1.75
Rcan1	0.0	0.0	0.91	0.0	10.87	0.0	13.51	4.53	59.66	35.03	514.54	52.65	55.31	52.84
Reep5	335.27	161.18	181.55	201.28	85.07	79.96	241.99	208.26	161.19	203.89	377.68	346.59	359.18	339.17
Rgs5	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.69	0.0	0.0	35.42	48.99	47.14	53.36
Rnf20	16.01	22.48	0.0	35.73	3.92	0.0	24.87	6.36	1.64	34.46	89.21	48.41	45.8	44.56
Rps19-ps3	0.0	4.96	0.0	2.45	0.0	0.0	0.84	2.25	0.0	0.0	60.17	2.87	2.71	4.43
Sacs	0.0	16.08	0.0	0.0	0.0	0.0	30.31	0.0	0.0	0.0	37.54	9.66	5.02	9.63
Scn7a	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	16.83	2.25	1.87	2.05
Serinc5	0.0	0.0	27.79	6.3	2.46	0.74	0.0	0.09	0.0	0.0	42.22	47.51	47.26	50.14
Sfmbt2	0.0	0.0	2.68	16.74	0.0	0.0	0.0	0.0	0.0	0.0	117.41	1.98	2.09	1.82
Slc13a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.21	8.52	7.79	8.18
Slc25a12	208.2	41.33	113.3	115.92	153.29	0.24	96.52	129.71	71.92	86.31	512.1	132.82	135.87	135.53
Slc25a22	1.89	56.02	56.23	3.3	0.08	0.0	0.44	19.0	20.87	30.15	134.31	216.4	224.4	229.63
Slc25a27	64.46	0.0	1.48	3.6	67.79	0.0	10.28	17.82	0.75	14.32	86.69	42.06	40.49	43.65
Slc38a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.3	0.65	0.66	0.72
Snai2	1.53	0.16	1.05	0.3	0.94	0.44	0.28	0.8	0.25	0.75	81.62	1.33	1.01	1.82
Snord91a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.26	42.32	31.89	30.58
Sp2	3.83	0.0	1.39	0.0	0.0	5.34	0.55	0.0	0.0	0.0	30.1	12.6	12.46	12.68
Spef1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	4.97	8.16	8.52	7.13
Ssty1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.36	0.0	0.07	0.0
Tal2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.97	0.18	0.33	0.18
Tbc1d10a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.92	28.59	34.21	29.19
Tbpl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.07	0.0
Tmco7	0.0	0.0	0.0	0.44	1.3	0.0	0.0	0.0	0.0	0.0	58.26	3.87	3.82	4.09
Tmem8b	20.03	9.34	1.27	8.21	25.21	0.65	14.74	9.0	1.12	23.42	59.4	49.17	49.89	49.93
Tmod1	4.24	3.09	14.03	5.31	2.86	0.04	2.32	0.26	27.31	0.32	67.01	53.26	56.35	59.14
Tsr1	23.87	0.47	43.42	15.27	5.9	5.47	38.02	26.07	30.85	24.07	159.6	34.46	31.44	33.88
Ube3c	9.83	0.07	0.49	14.98	3.11	0.0	1.04	1.55	1.01	9.81	66.2	55.48	54.31	55.77
Ubtd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	83.88	11.82	12.31	14.9
Vmn2r-ps54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.55	0.22	0.03	0.24
Vmn2r85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.91	1.22	0.35	0.72
Vmn2r86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	0.13	0.13	0.14
Vwa1	14.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.38	22.58	23.05	24.71
Wdr95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.81	0.4	0.45	0.45
Xkr5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.21	0.13	0.14
Xylb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	51.05	4.87	5.03	4.83
Ypel2	0.0	0.02	0.0	4.04	0.0	0.05	4.6	0.0	0.0	25.28	48.32	35.95	34.8	35.81
Zbtb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.28	6.42	7.15	5.94
Zfp282	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.05	0.0	7.03	33.35	9.84	9.67	9.87
Zfp326	0.94	0.0	1.93	0.0	0.08	0.0	0.0	0.0	0.0	27.64	36.9	26.86	26.61	26.66
Zfp341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.79	7.82	7.91	8.99
Zfp661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.74	0.0	0.0	73.75	7.98	8.61	8.4
Zfp706	46.33	57.89	47.15	39.2	72.9	50.01	67.73	80.81	126.83	92.93	383.65	125.47	121.79	119.36
