	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_30	Rbp4_tdTpositive_cell_182	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Chrm4	1.25	0.69	1.78	2.26	0.0	0.0	0.17	6.25	7.41	4.1	3.32	1.78	0.0	19.98	11.49	5.02	0.77	0.06	4.13	1.15	0.14	3.25	2.75	4.4	0.7	2.78	1.86	3.37	45.22	46.97	34.33
Cpeb2	38.49	1.82	0.0	0.0	9.96	0.0	21.74	69.14	0.3	0.06	20.7	0.0	0.0	1.63	69.96	0.05	36.22	0.0	1.15	0.0	16.15	54.54	0.0	0.0	3.09	0.0	3.89	0.0	42.5	41.51	39.76
Creb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.13	0.0	0.0	0.0	0.0	0.45	0.0	0.05	0.06	0.14	0.11	0.12	0.0	0.0	0.0	0.0	0.33	0.0	0.0	2.5	1.75	3.12
Fam189b	16.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	6.34	0.0	0.0	0.0	6.44	97.54	0.0	0.0	0.0	0.0	14.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65	35.65	38.7	42.02
Fam198a	0.0	0.13	0.51	0.0	0.0	0.0	0.0	0.23	0.31	0.11	0.12	0.0	0.0	0.79	0.38	0.05	0.0	0.0	0.3	0.08	0.0	0.1	0.15	0.0	0.16	0.0	0.0	0.38	6.38	5.48	5.09
Fbxo42	0.0	0.24	0.0	0.0	0.0	0.0	0.0	2.86	0.03	1.03	0.0	0.0	0.0	0.88	21.0	0.02	0.02	29.43	4.23	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	22.68	23.81	22.17
Fert2	0.0	1.22	0.0	0.0	0.23	0.0	0.0	0.0	191.9	0.0	0.0	88.91	0.0	0.19	291.73	82.82	0.07	25.47	0.0	0.0	0.0	26.74	45.17	0.0	0.0	0.0	0.0	5.53	14.02	12.99	12.94
Fhl1	0.27	0.0	0.14	0.18	17.07	0.0	0.0	114.12	0.07	0.17	0.0	1.06	0.15	108.32	96.49	73.44	0.0	0.45	0.15	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.67	0.0	89.26	89.86	89.95
Fscn1	15.15	11.96	0.0	0.0	0.26	13.43	16.47	0.0	24.45	18.92	15.75	0.55	0.0	37.8	56.57	0.08	39.3	11.99	58.84	9.08	54.46	19.28	1.12	0.0	5.1	0.0	5.79	11.25	187.25	206.18	214.83
Gng7	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	1.18	0.42	0.18	0.03	0.13	0.06	0.1	0.0	0.0	0.2	0.7	0.15	0.0	0.47	0.0	185.54	188.98	181.54
Hist1h2bq	0.0	0.0	0.19	0.1	0.16	0.12	0.34	0.0	0.22	0.06	0.1	0.0	0.0	0.43	0.17	0.06	0.05	0.04	0.1	0.15	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.19	0.1	0.16	0.12	0.34	0.0	0.22	0.06	0.1	0.0	0.0	0.43	0.17	0.06	0.05	0.04	0.1	0.15	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Kdm6b	1.37	0.0	0.0	0.0	0.0	1.75	12.97	0.25	0.0	1.74	1.49	8.84	0.15	1.02	34.58	3.09	0.0	3.43	7.45	2.14	17.57	10.65	0.05	3.87	10.21	16.04	1.02	6.54	17.07	15.97	13.26
Lman1	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.11	14.45	0.0	15.82	0.0	0.0	60.21	98.9	0.0	0.0	22.72	112.98	0.0	0.0	0.0	0.0	0.0	0.0	10.08	0.0	19.75	30.49	29.44	31.49
Lpcat4	0.0	0.0	0.0	0.0	0.36	0.27	0.25	26.14	0.7	22.27	0.7	0.26	0.0	62.86	158.31	8.08	111.46	66.95	114.81	0.0	81.13	47.58	101.08	0.18	0.34	0.0	2.73	46.67	125.99	137.81	128.9
Mast3	9.33	27.35	19.54	6.69	0.49	0.28	0.1	43.52	41.99	0.43	63.0	48.56	47.94	49.44	145.33	49.45	1.59	39.74	37.85	29.67	3.76	95.57	76.03	0.09	20.16	0.0	27.42	7.06	128.92	128.23	132.72
Mcl1	0.0	0.0	0.0	0.0	1.17	0.0	0.0	75.63	75.92	0.05	10.61	0.0	0.0	35.3	170.95	10.89	0.0	0.9	63.63	0.18	0.0	0.0	0.85	0.0	0.0	0.55	0.0	0.0	55.64	57.34	46.71
Myo10	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	25.83	0.0	38.58	0.0	0.0	0.0	0.05	0.0	0.0	0.0	12.15	0.0	0.0	0.0	12.04	13.83	12.89
Pdcd7	0.0	0.0	0.31	0.34	0.0	0.0	0.0	0.0	1.46	0.0	0.0	0.0	0.0	5.56	151.84	0.0	0.0	3.46	14.86	0.0	0.16	0.77	0.54	0.0	86.24	0.0	0.0	0.0	22.38	23.06	22.47
Plch2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	13.33	0.28	0.02	0.17	0.0	0.65	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.26	49.35	50.0	54.36
Rb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	159.75	0.02	0.0	0.0	0.0	0.0	0.0	0.0	40.35	0.0	0.0	0.0	0.0	0.0	22.66	20.56	23.35
Rgs4	4969.56	4337.51	3513.48	4271.16	2864.03	2591.51	5464.61	5873.8	4839.36	5539.67	4595.67	5390.4	2622.49	533.59	3751.61	5399.11	5219.32	5187.94	4921.82	4470.78	4495.9	4065.31	6274.8	5381.62	5420.33	5101.58	5598.27	6781.39	495.03	470.64	483.11
Sec14l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	47.34	0.04	0.0	0.07	40.64	17.24	0.0	45.33	0.0	0.0	0.0	0.0	0.0	1.06	37.69	41.27	39.73
Skap1	0.0	0.0	0.0	0.0	0.29	0.0	0.0	114.01	0.0	0.19	0.0	0.0	0.0	0.06	183.59	0.0	15.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	1.92	1.67
Slc3a2	9.71	20.51	13.16	16.72	4.73	49.89	15.49	104.5	53.31	23.74	82.5	6.57	4.83	10.81	192.84	123.21	7.92	78.67	9.57	5.44	72.6	7.42	8.17	1.72	41.39	7.44	7.03	9.98	96.91	98.42	93.73
Ssh3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	31.61	78.46	19.56	0.04	61.08	2.44	0.0	58.46	0.0	0.12	57.32	0.0	2.47	0.0	157.89	29.63	30.64	31.84
Ston2	0.42	0.47	0.34	0.22	0.31	0.13	0.24	1.69	0.9	0.83	0.95	0.72	0.12	1.26	1.4	0.41	0.5	0.71	0.76	0.61	0.51	0.54	0.22	0.04	0.08	0.44	0.41	0.93	6.44	5.92	7.43
Tnfrsf22	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.24	0.0	0.17	0.0	0.0	0.54	1.57	0.0	0.5	0.3	0.0	0.14	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.26	1.85	0.71	1.41
Trim67	0.05	0.0	0.09	0.0	0.0	0.0	0.06	0.05	0.06	0.02	0.15	0.13	0.0	0.25	0.31	0.11	0.01	0.04	0.02	0.07	0.0	0.09	0.05	0.0	0.0	0.11	0.14	0.15	1.76	2.19	2.19
Ttc21b	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.21	0.04	15.71	2.23	0.0	0.0	0.16	70.16	4.7	0.02	33.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91	0.0	0.0	9.01	9.04	8.48
Ttc38	1.59	2.07	1.83	1.77	2.48	4.0	1.99	3.84	3.23	2.58	1.95	0.96	0.91	7.55	6.85	2.49	3.0	1.89	3.01	2.45	2.17	1.26	2.38	0.17	2.56	0.06	1.74	3.32	7.84	7.69	7.21
Tubgcp3	0.0	0.0	0.72	0.0	0.0	0.0	0.0	76.27	55.7	0.0	0.0	0.0	0.0	0.28	185.59	0.03	0.09	0.0	0.0	0.0	0.0	0.51	0.0	2.58	0.0	88.78	0.0	0.0	30.37	29.06	26.76
Ugcg	16.27	4.0	40.4	6.9	2.55	16.66	4.93	8.59	88.34	0.14	83.13	2.12	23.53	106.68	118.34	98.22	85.05	0.35	63.25	0.0	141.28	74.79	103.48	7.96	0.0	81.6	0.0	9.8	61.2	57.48	58.66
Zbtb46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.15	8.78	7.45
Zfp715	0.0	0.11	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.75	0.53	0.07	0.0	14.64	0.0	0.0	0.0	148.22	0.0	0.0	0.15	135.14	0.0	92.66	18.19	16.38	18.05
