	Gad2_tdTpositive_cell_3	Gad2_tdTpositive_cell_5	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_27	Gad2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_11	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_26	Htr3a_tdTpositive_cell_28	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_118	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_41	Nos1_tdTpositive_cell_48	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_31	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fras1	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.01	1.08	0.0	0.0	0.0	0.0	2.92	9.06	8.51	9.72
Fzd6	0.09	0.12	0.05	0.11	0.15	0.0	0.1	0.0	0.0	0.32	0.0	0.16	0.14	0.15	0.05	0.0	0.0	0.0	0.0	0.0	0.37	8.48	8.13	8.54
Gabbr1	21.02	88.23	0.0	82.68	133.6	82.35	2.95	62.85	71.07	145.67	105.58	107.54	6.96	8.65	45.25	87.17	0.1	1.48	98.64	2.69	30.45	381.73	382.23	380.88
Gapvd1	0.06	0.0	0.0	13.6	2.52	0.07	2.24	0.0	0.0	0.0	4.67	0.05	5.3	0.02	6.81	0.0	42.34	39.04	13.73	2.36	130.59	43.6	41.96	41.4
Gm10532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.88	0.0	0.11	0.07
Gm11517	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.64	110.43	1.64	2.12	0.86
Gm11744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.4	5.73	4.68	4.08
Gm1337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	27.73	28.82	26.18
Gm7334	0.0	0.0	0.0	0.0	201.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.57	29.25	29.71	21.97
H2-T22	0.0	113.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	133.82	7.11	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.03	8.34	7.18	8.17
Hax1	188.05	111.7	251.16	253.13	0.0	229.33	0.0	463.66	158.13	437.46	183.56	231.61	61.38	0.0	158.14	215.32	12.51	145.49	0.0	594.72	1036.18	62.53	72.08	69.87
Hist1h2bb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.62	0.0	0.0	0.39
Id3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	99.77	48.88	58.06	59.45
Immt	272.82	177.92	106.04	229.92	329.88	0.0	63.75	31.13	0.0	380.19	253.6	214.77	213.62	0.06	110.85	41.81	97.14	45.6	0.18	41.63	585.75	106.37	109.7	100.87
Ino80c	0.0	7.2	25.91	0.0	110.22	0.0	133.14	0.0	94.25	0.0	0.0	0.14	0.0	38.89	0.0	0.25	0.0	0.0	0.0	0.0	347.06	23.21	23.96	22.41
Kctd9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	81.93	11.47	10.83	11.3
Kif15	0.85	0.16	0.22	0.1	0.0	0.0	0.24	0.0	0.0	0.1	0.04	0.46	0.12	0.07	0.07	0.0	0.09	0.0	0.16	0.09	11.9	0.79	0.71	0.71
Lphn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54	0.05	0.0	0.0	94.81	51.0	46.86	49.63
Mageb16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.32	0.0	0.0	0.12
Mir5121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.22	0.0	2.48	5.43
Mtr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58	8.43	6.69	8.7
Nelf	0.0	0.0	0.0	0.31	177.53	6.71	7.13	0.0	0.0	111.4	76.6	0.0	11.29	0.1	0.0	0.0	25.49	0.0	8.84	0.0	0.0	364.64	385.29	388.0
Neurod6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	88.63	89.8	90.04
Npas2	2.57	6.03	0.0	1.35	83.01	1.38	0.0	2.88	0.0	4.45	2.77	1.3	3.81	0.0	0.0	0.07	0.39	2.79	1.84	1.73	43.28	24.96	26.62	28.47
Nudt15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.11	0.0	0.0	0.0	0.0	101.57	5.83	5.81	5.31
Nudt4	0.0	224.79	0.0	137.43	1.79	50.48	0.0	0.0	0.0	0.0	0.0	19.65	0.18	0.09	0.0	0.07	3.63	37.97	51.4	0.0	95.19	143.72	140.46	131.02
Obfc2a	0.0	11.52	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	28.6	105.64	0.0	0.0	0.0	10.6	8.67	8.47
Pbld2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.11	1.09	1.44	1.18
Pdlim3	0.0	437.98	709.42	93.0	0.29	0.0	0.0	0.0	0.0	0.0	134.39	361.28	384.92	0.0	69.44	57.93	0.0	433.31	0.0	866.47	1031.61	2.21	2.86	1.63
Plcxd3	0.0	0.0	1204.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	893.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.69	1469.91	10.9	9.64	13.34
Pramel1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.04	0.0
Pthlh	0.0	168.94	1316.94	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1523.49	0.0	0.29	211.0	0.0	0.0	0.0	0.0	965.14	3409.77	4.62	3.67	4.02
Pvrl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.55	11.91	0.0	48.85	0.0	0.0	0.0	0.0	0.29	0.0	51.03	0.0	120.68	22.83	18.26	21.19
Rap2c	4.57	0.0	0.0	0.06	1.0	0.0	0.0	0.0	0.0	0.0	97.17	0.0	0.0	0.0	0.0	0.0	0.0	89.95	66.29	0.0	168.69	28.98	27.75	28.6
Rbks	0.0	0.0	0.0	0.0	0.0	0.0	3.83	0.0	2.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.77	2.66	3.25	3.36
Rims4	0.0	28.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.41	57.06	56.54	59.93
Rorc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.34	1.45	1.26
Rragb	171.82	30.68	0.31	114.58	11.18	0.0	0.0	0.13	0.21	10.76	38.48	0.0	0.0	0.04	0.0	0.0	0.07	16.3	0.0	0.0	114.63	79.77	77.21	71.85
Sall3	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	36.08	2.49	3.16	2.21
Scarf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.18	2.46	3.12	2.79
Scrt1	0.0	0.76	1.47	0.27	0.0	0.0	0.73	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.29	0.0	0.32	0.0	0.0	2.71	78.92	87.07	87.71
Serinc3	52.89	14.44	25.51	5.04	58.64	35.57	37.62	7.81	16.06	27.99	78.29	54.54	2.93	83.07	21.72	28.17	32.1	14.48	35.57	19.3	452.98	199.4	197.55	189.33
Siva1	0.0	0.0	0.0	0.0	14.02	0.0	0.0	0.0	0.64	0.0	0.0	0.0	78.16	1.76	0.45	0.4	0.0	0.0	0.0	165.79	251.29	13.42	17.97	13.08
Slc11a2	1.99	12.98	107.37	26.75	0.29	0.27	106.88	127.69	96.32	0.46	2.73	0.31	35.16	6.72	0.0	0.0	0.0	0.1	39.02	25.83	301.24	36.02	36.01	37.34
Slc25a44	1.88	131.19	197.66	2.39	5.01	153.65	7.16	2.9	98.16	21.46	20.89	76.17	95.45	193.16	81.45	5.03	74.13	105.97	34.76	0.0	349.79	77.24	77.71	71.35
Slc27a1	3.54	0.66	1.09	0.24	0.7	0.45	0.74	0.96	1.37	0.63	0.0	1.02	2.14	0.73	0.69	0.51	0.18	1.4	1.0	1.32	91.41	59.69	63.37	60.96
Slc6a1	2030.67	4198.17	3342.07	2835.44	3905.72	2122.83	2514.81	3131.25	3259.98	3135.47	3173.05	3151.44	3585.88	4926.53	4483.73	4296.52	6302.16	4810.11	2918.34	3182.47	2862.02	251.1	268.35	278.03
Snora34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.54	15.62	10.19	11.16
Snord32a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.1	0.0	4.17	6.85
Sp140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	47.04	0.88	0.58	0.85
Spata1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	28.56	2.09	2.02	1.48
Sptlc2	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41	0.0	0.0	79.95	16.83	15.71	16.18
Stk38	0.0	10.73	0.42	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.1	2.78	0.04	0.05	0.0	0.0	0.0	12.87	0.0	50.48	27.2	26.95	27.88
Sult1b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.04	0.03	0.0
Syt14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	1.18	66.89	7.99	7.69	9.84
Tab2	0.0	11.96	96.9	0.05	0.0	0.0	62.78	5.94	0.0	0.0	0.0	0.0	0.0	0.0	1.89	1.37	0.0	3.01	58.55	13.72	142.33	43.76	42.07	41.79
Taok2	0.29	1.07	0.21	0.0	1.85	0.0	2.84	0.18	0.85	1.57	0.68	12.14	0.68	0.68	1.46	0.65	19.6	0.76	0.27	0.4	51.13	75.09	76.41	76.63
Tcap	0.0	107.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.17	6.84	7.25	7.06
Tcte3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.81	0.55	1.26
Tead1	0.04	0.14	0.44	0.07	0.18	0.35	0.04	0.0	0.0	0.11	0.04	0.11	0.06	0.17	0.04	0.0	0.02	0.0	0.02	0.34	0.5	5.49	5.49	6.28
Tmem175	0.12	43.95	118.46	119.6	0.0	0.0	24.93	0.0	0.0	2.2	0.0	186.58	221.79	106.35	126.56	0.1	94.5	0.11	71.45	0.0	0.0	31.09	31.85	31.39
Trim37	173.24	94.76	0.0	21.56	14.79	19.21	4.14	0.0	0.08	0.0	9.49	86.19	17.0	31.25	14.18	0.05	0.52	13.49	137.43	36.09	34.2	216.02	201.17	202.32
Ttc9c	4.25	73.5	79.47	1.78	9.09	3.33	154.68	120.79	14.13	38.0	56.52	40.05	2.6	5.56	10.27	38.32	38.18	17.34	27.38	2.62	123.46	26.53	23.37	23.48
Vkorc1l1	54.27	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.14	55.54	56.94	53.04
Wdr81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.86	11.67	12.24	12.65
Wnt7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	23.94	26.39	24.84
Zfp287	0.54	1.28	2.08	1.39	2.04	67.15	1.27	0.0	1.41	2.24	0.03	0.83	2.13	1.01	0.39	0.36	0.64	5.63	3.42	0.49	90.94	10.47	9.82	10.1
Zfp384	8.85	0.0	0.0	8.1	0.0	0.0	0.0	0.0	0.0	4.72	0.0	0.0	0.0	0.0	0.0	0.47	1.8	2.28	0.0	0.0	4.28	31.83	29.65	31.6
Zfp429	0.0	0.95	0.0	0.1	0.73	0.0	0.5	0.0	0.0	0.0	0.1	0.0	0.0	0.09	0.08	0.0	0.0	0.0	0.0	0.92	161.24	2.83	2.49	2.03
Zfp954	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	166.72	0.0	0.0	0.14	0.0	0.0	0.0	63.07	0.0	0.0	162.01	12.61	13.66	11.57
Zglp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.98	2.3	2.17	1.76
Znrf1	10.31	0.0	17.46	0.66	0.0	0.0	0.0	0.0	0.0	6.24	0.0	47.43	19.66	0.0	18.44	0.11	0.0	5.89	0.0	0.0	40.26	71.69	73.05	70.91
c11_LSU-rRNA_Hsa	162.06	43.71	11.45	11.61	15.52	14.74	7.86	20.71	4.74	11.21	31.46	58.54	76.15	35.86	26.33	7.74	14.6	28.87	14.53	114.57	131.23	250.71	241.69	283.2
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	5.8	2.69	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9	0.0	0.0	10.96	0.0	2.11	6.87	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	14.95	0.0	0.0	0.0	0.0	0.0	29.12	0.0	0.0	0.0	0.0	26.09	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
