	Calb2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Nr5a1_tdTpositive_cell_49	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Il11ra2	0.11	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.13	0.0	0.58	0.05	0.0	0.0	1.73	1.86	1.4
Jph3	155.8	1.95	0.0	0.0	1.83	1.44	2.16	0.0	0.0	0.0	2.08	0.16	31.28	5.24	0.0	0.0	145.11	164.46	159.09
Kcnj2	114.52	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.13	0.06	0.35	0.0	0.0	0.0	12.05	10.54	13.52
Khsrp	104.54	43.52	34.87	13.3	21.64	18.08	14.13	13.66	12.39	9.08	11.21	12.36	35.21	23.4	3.51	24.64	57.01	58.93	59.96
Lpar2	0.2	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.62	0.44
Mafb	2.18	0.16	0.14	0.12	0.0	0.0	0.12	0.18	0.12	0.14	0.26	0.97	4.32	0.24	0.16	0.12	14.72	16.99	15.98
Mcam	0.6	0.0	0.0	0.0	0.0	0.0	0.19	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.18	18.95	22.56
Mtss1l	47.3	4.77	0.0	0.0	11.75	24.47	3.51	0.0	0.99	0.0	20.42	30.88	0.0	2.83	0.0	0.0	101.71	102.34	109.18
Nckipsd	91.32	0.0	0.0	0.26	2.49	0.09	0.0	0.0	0.0	0.31	0.25	1.13	19.41	0.0	0.34	0.0	60.26	64.42	62.51
Numbl	11.89	3.49	0.0	0.95	1.66	4.69	0.9	0.54	1.35	3.71	4.16	0.69	3.8	2.22	1.07	0.72	88.92	93.6	88.07
Pdap1	72.81	25.21	0.0	14.83	18.41	14.69	21.74	9.5	14.2	0.0	7.95	11.35	38.92	0.24	2.89	16.67	68.93	75.22	74.29
Pde4a	81.69	21.41	0.0	0.0	10.48	9.07	5.77	5.82	0.24	3.69	20.85	6.35	21.5	0.0	1.15	64.28	70.0	69.52	69.31
Pmel	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.17	0.0	0.45	0.0	0.0	0.0	0.24	0.68	0.3
Pomgnt1	175.12	0.07	0.0	0.0	0.0	0.0	36.62	0.0	0.97	0.0	0.0	0.37	10.83	0.0	0.0	0.3	59.79	61.25	58.35
Ppp6r1	87.18	0.0	0.0	0.0	0.0	2.42	0.0	0.22	59.16	0.24	0.0	1.63	63.61	0.0	0.12	0.21	112.81	110.82	118.04
Rab12	202.25	9.44	0.0	4.26	35.36	19.47	139.83	6.21	33.73	14.36	18.8	57.87	108.5	11.78	11.95	11.49	112.99	122.88	106.48
Rapgef4	386.17	33.6	13.04	3.01	8.6	29.66	22.86	94.15	80.82	3.29	36.24	1.58	251.41	115.75	59.62	61.97	364.49	331.56	376.1
Rbfox3	44.86	31.69	0.0	1.35	20.73	8.77	30.64	13.82	1.11	67.79	9.08	32.71	241.44	25.59	20.19	48.4	216.71	228.38	226.62
Rnf130	30.21	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.45	77.33	86.19
Rplp1	991.01	245.75	0.0	43.21	406.12	454.76	409.05	182.65	484.29	387.25	593.01	549.02	1136.01	133.16	719.23	414.37	946.25	1073.12	1039.79
Satb1	54.46	0.03	0.0	0.0	0.5	0.0	0.88	9.21	0.0	0.0	5.52	0.0	203.66	0.0	0.0	7.55	56.14	52.71	54.15
Srgap3	186.66	0.41	0.07	0.12	3.27	0.58	16.72	0.28	92.01	1.29	0.11	4.02	72.51	0.46	10.94	0.07	121.23	113.19	124.22
Ston2	1.56	0.7	0.15	0.31	0.59	0.23	0.39	0.63	0.76	0.16	0.48	0.63	4.14	0.63	0.63	0.58	6.44	5.92	7.43
Trank1	177.64	18.66	0.0	0.07	18.18	0.78	17.84	0.83	14.37	0.22	0.03	12.17	121.14	0.22	0.09	0.06	140.49	127.25	159.33
Trp53rk	3.67	0.59	0.18	0.99	1.15	0.59	0.79	0.96	0.94	0.81	0.73	0.55	32.55	0.87	1.67	1.34	3.58	3.22	2.95
Wsb2	283.61	118.9	0.0	0.0	28.12	0.0	0.0	51.61	0.0	2.75	88.89	42.54	183.41	8.35	24.11	0.99	294.59	283.93	280.67
