	Calb2_tdTpositive_cell_18	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_2	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg3_tdTnegative_cell_2	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cdc73	0.0	3.7	0.0	0.21	0.0	0.0	0.0	3.22	0.37	0.0	0.19	0.0	0.0	5.12	9.17	101.4	0.0	13.77	0.0	0.0	7.49	0.0	2.83	0.0	2.86	39.45	0.0	44.29	0.0	6.02	11.96	8.58	21.56	17.71	20.43
Cep250	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.76	0.0	0.0	0.0	0.89	0.0	19.41	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	2.12	1.37	0.26	16.61	14.77	16.8
Cnr1	518.51	10009.06	788.29	14271.7	0.0	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	6746.03	9585.61	19681.78	7913.61	17646.7	12520.63	22064.64	33041.05	4931.9	0.0	12766.46	14288.55	25768.68	16287.97	23267.78	1764.01	123.32	54.8	65.45	80.79	75.85	84.42
Dcun1d3	0.0	29.56	0.0	0.0	0.0	0.0	16.36	0.46	0.52	0.0	0.0	20.24	0.0	0.0	0.0	42.28	0.0	37.04	0.0	0.38	0.0	0.0	0.0	57.9	2.79	0.0	0.0	12.81	0.0	4.99	6.22	3.42	9.99	9.93	9.15
Ddx42	0.0	22.11	4.48	138.33	0.0	2.47	0.56	28.21	28.11	24.38	0.0	1.47	0.17	0.0	0.0	38.83	0.2	2.75	11.9	15.57	10.88	0.0	0.0	0.0	0.0	0.0	0.0	15.4	0.0	49.77	20.96	33.35	64.64	63.71	61.1
Derl2	0.0	0.0	0.0	0.0	39.93	0.0	0.0	30.81	62.36	18.36	0.0	0.0	0.0	0.0	60.56	142.09	0.11	0.0	10.71	0.0	30.35	0.0	0.0	1.53	0.0	0.0	3.43	103.75	0.0	32.02	17.76	25.26	18.5	17.22	18.75
Dnm3os	0.0	0.0	0.0	0.0	0.0	40.83	0.0	0.0	1.45	14.64	13.86	27.74	0.0	0.0	0.0	39.09	0.0	0.0	8.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.8	0.0	1.52	1.37	1.43	0.04	0.0	0.01
Dpys	0.0	9.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4	0.0	0.0	0.0	0.0	0.0	0.64	1.54	0.99	0.26	0.23	0.3
Efna4	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.34	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.63	0.19	0.44	0.44	0.42	0.35	0.73
Ephb2	1.39	0.28	1.04	0.68	0.0	1.88	0.39	0.43	0.29	0.6	0.72	0.83	0.89	0.56	1.62	4.09	0.93	0.93	2.0	0.24	1.13	0.95	0.1	0.54	1.28	0.46	0.46	0.26	0.78	1.67	2.4	2.04	10.98	10.79	12.45
Glo1	0.0	374.63	94.16	195.67	0.0	214.29	234.77	71.31	301.85	347.09	0.61	330.12	163.23	459.51	83.83	673.63	235.39	0.0	231.94	144.67	252.82	236.93	0.0	366.2	87.87	155.52	0.0	151.76	0.0	230.1	214.82	208.3	98.66	101.11	101.54
Gm14430	0.0	1.01	0.26	38.86	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	0.21	56.93	0.0	0.19	9.16	11.59	0.17	0.45	0.0	7.83	0.0	22.08	0.11	3.76	2.33	4.14	5.97	4.22	7.67	5.07	7.49
Gm14431	1.85	3.34	0.71	3.07	0.0	0.5	2.38	0.2	2.9	5.77	0.0	4.25	17.18	0.0	0.0	79.09	0.0	0.0	1.03	3.64	6.3	0.0	0.0	0.0	0.15	0.83	1.03	2.1	0.0	0.99	0.9	1.65	8.87	7.17	8.34
Gm14434	0.0	1.01	0.26	38.86	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	0.21	56.93	0.0	0.19	9.16	11.59	0.17	0.45	0.0	7.83	0.0	22.08	0.11	3.76	2.33	4.14	5.97	4.22	7.67	5.07	7.49
Gm410	0.0	0.7	1.21	0.82	0.04	0.64	0.47	0.0	0.14	0.66	1.2	1.14	0.19	0.68	0.0	4.31	0.0	0.06	0.0	1.13	0.0	0.4	0.0	0.38	1.21	0.0	1.21	0.91	0.0	0.28	0.2	0.0	2.31	2.27	1.99
Gm4724	0.0	1.01	0.26	38.86	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	0.21	56.93	0.0	0.19	9.16	11.59	0.17	0.45	0.0	7.83	0.0	22.08	0.11	3.76	2.33	4.14	5.97	4.22	7.67	5.07	7.49
Gm8898	1.85	3.34	0.71	3.07	0.0	0.5	2.38	0.2	2.9	5.77	0.0	4.25	17.18	0.0	0.0	79.09	0.0	0.0	1.03	3.64	6.3	0.0	0.0	0.0	0.15	0.83	1.03	2.1	0.0	0.99	0.9	1.65	8.87	7.17	8.34
Gon4l	0.0	0.0	0.0	0.14	0.0	0.12	2.46	28.22	4.51	3.4	0.25	1.13	2.78	0.0	0.0	56.55	0.16	1.35	12.05	13.22	0.0	0.0	0.0	28.61	0.0	0.0	0.0	5.68	0.0	5.3	10.45	3.47	32.89	32.01	35.12
Hbp1	0.0	0.0	0.0	51.29	0.0	297.64	11.52	54.64	44.26	62.14	0.0	31.13	0.0	0.0	21.75	316.36	31.41	162.11	53.49	24.18	0.22	0.2	0.0	0.0	0.09	51.87	0.18	138.45	0.0	68.54	72.17	57.47	30.06	30.44	29.36
Ipo11	0.0	2.4	0.0	12.1	0.0	0.0	14.42	0.1	21.62	0.0	0.0	0.69	23.65	63.6	0.0	101.81	20.0	98.43	31.46	84.09	1.02	0.0	0.0	181.47	0.0	0.11	130.15	33.71	0.36	44.31	33.89	28.49	42.05	37.04	39.86
Isg20l2	0.0	0.16	0.85	0.14	0.0	0.27	0.13	68.99	6.12	0.0	1.11	0.06	0.0	0.11	0.1	137.17	0.48	0.61	0.0	0.05	0.0	1.01	0.45	0.0	0.57	0.13	0.0	116.33	0.69	8.04	2.48	2.65	12.09	10.79	10.78
Itga3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.68	0.0	0.04	0.0	0.0	7.04	0.06	0.0	56.76	0.0	0.0	0.0	1.31	0.07	0.0	0.0	57.26	0.0	0.0	0.0	0.0	0.0	1.34	1.48	0.43	11.08	10.87	10.83
Kifc2	0.0	0.14	0.0	17.0	0.0	1.41	9.69	0.25	0.08	37.41	0.17	0.0	2.65	0.2	0.0	142.18	7.86	0.0	0.48	13.68	5.34	0.0	0.0	89.37	5.69	0.0	0.0	8.38	0.0	19.02	21.51	20.16	427.54	441.98	465.18
Klhl17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	9.78	31.51	0.0	0.0	0.0	0.0	0.11	0.0	0.0	13.76	0.0	0.0	0.0	3.14	0.0	4.15	9.8	10.69	35.96	37.53	40.54
Lefty2	0.0	0.0	0.0	3.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.93	0.13	0.0	6.44	0.0	2.86	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	1.34	0.28	0.38	1.64	1.76	1.1
Lrwd1	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.81	0.0	0.0	0.0	0.0	1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.78	1.91	5.93	10.91	10.44	11.16
Mrpl9	1.92	89.81	3.12	5.79	1.91	8.11	96.75	3.07	73.36	37.66	53.19	3.87	72.5	10.31	10.89	244.96	10.58	4.2	2.72	29.26	119.87	4.5	7.68	4.9	7.98	116.58	10.38	239.82	9.71	26.38	45.46	46.67	50.88	52.25	50.86
Mtdh	0.15	1.95	0.26	0.0	0.0	0.1	7.02	18.23	0.07	0.0	73.31	0.0	29.04	0.0	0.0	76.81	0.0	0.0	0.08	0.38	3.58	26.86	0.0	97.23	0.0	0.0	72.37	17.2	3.15	17.01	17.65	19.42	55.09	53.26	56.2
Mtmr9	0.0	0.0	0.0	0.0	0.0	4.61	11.31	56.8	0.0	29.49	0.0	0.0	0.0	12.7	0.0	200.06	4.99	0.0	45.59	2.07	11.44	0.0	0.0	117.04	0.0	0.2	0.0	36.54	0.65	6.21	12.76	4.77	73.44	71.47	77.25
Napb	76.97	241.65	239.97	104.76	0.0	62.64	186.46	118.67	321.52	193.37	479.2	320.69	253.34	1.3	260.47	717.34	329.07	236.65	295.01	334.22	291.09	343.15	0.0	1029.01	402.39	269.75	191.48	224.13	86.85	395.13	350.18	315.32	335.54	308.69	328.06
Nmt2	0.0	0.24	0.53	2.22	0.0	2.79	1.42	1.39	37.83	3.85	0.0	63.22	1.98	0.0	0.0	3.79	0.0	0.87	1.44	0.96	0.69	3.96	0.0	98.11	1.85	2.62	0.0	3.4	0.0	28.74	11.11	15.69	63.98	59.74	62.22
Nudt4	0.0	0.0	0.0	0.12	32.08	0.0	1.98	0.0	36.85	0.23	0.0	0.0	0.0	37.13	0.0	109.01	0.0	0.0	0.09	0.0	48.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.99	34.08	34.06	143.72	140.46	131.02
Pcdha2	0.0	5.3	0.0	1.91	0.0	0.35	0.0	12.37	0.61	1.52	0.38	0.47	0.17	0.0	0.0	91.84	0.0	0.89	0.26	0.0	0.0	0.0	0.0	16.64	0.0	2.93	0.0	0.0	0.0	3.78	1.86	0.65	3.14	3.64	2.8
Pdcd6ip	0.0	0.0	0.0	14.02	0.0	9.64	12.09	0.22	8.86	13.99	0.0	0.0	0.61	0.78	0.0	29.35	0.0	0.0	21.7	0.06	15.09	0.0	0.0	32.78	0.0	0.0	1.94	52.34	0.0	8.72	4.28	4.95	42.01	39.34	42.87
Phf12	0.0	0.0	0.0	28.16	0.0	0.0	13.97	0.0	5.83	1.31	0.12	0.0	2.12	0.0	0.0	100.32	51.47	0.0	2.54	35.8	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	5.62	4.18	5.13	6.51	34.51	36.87	35.45
Pip5k1c	0.82	23.19	0.0	112.56	0.0	42.84	0.09	0.0	11.27	10.77	0.0	0.0	85.03	0.0	0.0	76.52	0.0	0.19	12.22	29.47	0.0	0.0	0.0	163.97	6.12	0.0	1.72	70.32	10.28	43.34	42.28	37.25	278.69	283.61	289.0
Prrt2	0.0	1.63	0.2	72.4	0.0	0.74	2.12	2.96	0.89	59.19	0.0	0.6	9.03	0.0	0.15	50.56	0.0	25.55	18.75	10.87	6.9	0.0	0.0	1.75	0.0	37.82	0.0	42.5	1.88	74.21	97.5	91.96	264.19	282.46	274.77
Rbfox2	0.0	19.22	0.0	25.02	0.0	1.6	16.63	0.52	12.03	8.39	85.18	5.14	0.0	0.33	0.29	8.72	0.0	2.67	10.49	15.35	5.29	0.0	0.0	63.23	0.0	14.78	0.0	0.77	0.0	19.98	15.65	19.67	114.48	109.59	110.57
Runx1	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.42	0.0	0.0	0.36	0.31	0.38
Saal1	4.98	0.0	0.0	0.0	0.0	16.04	16.23	29.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.94	0.0	0.0	0.0	0.0	0.0	5.91	10.31	11.13	4.56	5.37	5.19
Sin3a	0.0	0.0	2.49	0.04	0.0	8.01	0.0	56.49	5.33	13.0	0.0	3.45	0.0	0.0	5.88	142.53	0.0	0.0	1.26	0.0	0.0	0.0	2.16	0.12	0.0	0.0	0.0	0.0	0.0	9.08	9.38	10.4	19.98	19.5	19.36
Slc16a14	0.0	0.0	0.0	0.08	0.0	0.0	53.01	62.32	28.14	0.0	0.0	0.0	0.0	0.0	0.0	181.28	0.16	0.0	0.0	0.22	16.57	0.0	0.0	0.0	0.0	0.0	0.0	115.64	0.0	4.08	3.97	2.97	5.52	6.43	6.95
Specc1l	0.0	0.0	0.0	0.0	0.0	0.0	3.14	21.25	1.08	27.36	0.0	0.0	33.39	0.0	0.0	75.17	0.0	45.05	0.0	7.36	0.0	0.0	0.0	0.0	0.0	0.0	94.95	0.0	0.0	2.14	5.27	5.83	28.51	27.24	28.03
Syt17	0.0	3.39	0.0	56.64	0.0	126.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.96	1.56	0.0	50.31	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	56.63	51.77	56.47
Tet3	0.0	0.04	0.0	0.03	0.0	28.01	0.0	0.0	8.98	13.36	0.0	0.0	0.0	0.0	0.0	56.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.02	0.0	0.0	0.0	0.18	0.0	4.87	8.85	6.97	21.31	19.17	20.01
Usp13	0.0	14.2	5.89	0.08	0.0	19.06	0.0	7.94	0.0	0.0	95.48	0.1	10.07	37.81	0.41	98.14	0.0	58.73	11.32	0.0	13.61	0.0	0.0	65.75	0.0	2.99	0.0	0.0	0.0	2.78	7.42	3.82	16.56	14.56	16.81
Vps13c	0.0	2.46	0.0	27.8	0.0	0.0	0.58	2.73	1.18	13.57	0.0	0.34	6.03	0.11	0.0	23.58	1.16	40.08	4.7	2.0	3.26	0.0	0.0	10.49	0.0	2.54	12.24	0.0	0.0	2.16	2.03	1.3	25.02	19.73	26.55
Zfp106	0.0	14.54	0.0	11.59	0.0	14.23	21.57	1.5	19.35	1.25	0.06	12.29	0.0	0.0	0.0	44.0	0.0	0.03	15.98	39.02	36.25	0.0	0.0	1.09	1.31	0.0	42.94	0.91	0.0	17.95	9.54	10.71	81.46	75.11	80.47
Zfp945	0.0	3.49	0.0	12.22	0.0	0.0	6.96	0.0	6.65	23.33	42.77	0.0	23.15	0.0	0.0	168.13	0.0	4.67	39.17	0.0	4.41	0.0	0.0	97.4	70.54	0.0	0.0	34.17	0.0	11.07	9.38	11.7	6.06	4.83	5.5
