	Gad2_tdTpositive_cell_77	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lrrc69	0.0	0.0	0.0	0.08	0.0	0.26
Ltf	0.0	0.0	0.0	0.04	0.0	0.04
Mab21l1	0.0	0.0	0.0	1.17	1.71	1.69
Mab21l3	0.0	0.0	0.0	0.08	0.03	0.14
Maff	0.0	0.0	0.0	0.77	1.41	0.97
Magel2	0.0	0.0	0.0	1.85	2.3	2.15
Mettl21d	0.0	0.0	0.0	23.79	25.65	20.61
Mfrp	0.0	0.0	0.0	0.28	0.35	0.15
Mir138-2	0.0	0.0	0.0	5.72	2.7	2.96
Mir1905	0.0	0.0	0.0	0.01	3.63	0.1
Mir3062	0.0	0.0	0.0	1.43	1.35	0.0
Mmp21	0.0	0.0	0.0	0.32	0.2	0.22
Mogat1	0.0	0.0	0.0	0.08	0.16	0.09
Mpl	0.0	0.0	0.0	0.64	0.51	0.66
Mrvi1	0.0	0.0	0.0	1.28	1.23	1.4
Ms4a4b	0.0	0.0	0.0	0.08	0.08	0.0
Mtap7d3	0.0	0.0	0.0	0.04	0.03	0.07
Muc4	0.0	0.0	0.0	0.02	0.0	0.02
Muc5b	0.0	0.0	0.0	0.01	0.01	0.0
Mybphl	0.0	0.0	0.0	0.08	0.07	0.09
Myh2	0.0	0.0	0.0	0.64	0.39	0.57
Myo18b	0.0	0.0	0.0	0.85	0.93	1.19
Myog	0.0	0.0	0.0	0.07	0.0	0.07
Myom2	0.0	0.0	0.0	0.08	0.07	0.08
Napsa	0.0	0.0	0.0	1.12	0.83	1.4
Ncr1	0.0	0.0	0.0	0.07	0.0	0.07
Neurog2	0.0	0.0	0.0	1.43	1.22	1.2
Nobox	0.0	0.0	0.0	0.16	0.15	0.0
Nr1i2	0.0	0.0	0.0	0.04	0.04	0.0
Nxf2	0.0	0.0	0.0	0.04	0.08	0.22
Nxph3	0.0	0.0	0.0	29.11	33.94	31.51
Oas1c	0.0	0.0	0.0	1.55	1.71	1.52
Onecut1	0.0	0.0	0.0	0.16	0.36	0.11
Otc	0.0	0.0	0.0	0.04	0.0	0.09
Otop3	0.0	0.0	0.0	0.04	0.12	0.04
P2rx6	0.0	0.0	0.0	6.16	5.54	5.79
P2ry14	0.0	0.0	0.0	3.1	3.25	3.01
Pabpc6	0.0	0.0	0.0	0.04	0.03	0.0
Pax6os1	0.0	0.0	0.0	0.14	0.26	0.35
Pbp2	0.0	0.0	0.0	0.16	0.23	0.08
Pcdh12	0.0	0.0	0.0	0.32	0.31	0.31
Pcdh18	0.0	0.0	0.0	3.4	3.34	3.72
Pcdhb1	0.0	0.0	0.0	0.16	0.15	0.12
Pde1b	0.0	0.0	0.0	245.53	258.71	247.87
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Pgc	0.0	0.0	0.0	0.07	0.07	0.0
Pik3cg	0.0	0.0	0.0	1.43	1.61	2.01
Pmfbp1	0.0	0.0	0.0	0.32	0.35	0.21
Pou2af1	0.0	0.0	0.0	0.08	0.11	0.12
Pou2f3	0.0	0.0	0.0	0.08	0.33	0.2
Ppp1r13l	0.0	0.0	0.0	2.86	3.32	2.47
Prom2	0.0	0.0	0.0	0.16	0.31	0.17
Prph	0.0	0.0	0.0	1.85	2.26	2.49
Prrt1	0.0	0.0	0.0	99.55	104.6	118.51
Prss16	0.0	0.0	0.0	0.64	0.91	0.38
Prss38	0.0	0.0	0.0	0.16	0.08	0.17
Ptx4	0.0	0.0	0.0	0.07	0.18	0.07
Raet1d	0.0	0.0	0.0	0.16	0.0	0.16
Rasef	0.0	0.0	0.0	0.08	0.07	0.12
Rbm38	0.0	0.0	0.0	2.86	2.16	1.68
Rbp3	0.0	0.0	0.0	0.04	0.0	0.06
Rgn	0.0	0.0	0.0	0.32	0.24	0.2
Rhd	0.0	0.0	0.0	0.07	0.19	0.0
Ripk3	0.0	0.0	0.0	0.32	0.2	0.57
Rnf133	0.0	0.0	0.0	0.08	0.14	0.08
Rnf183	0.0	0.0	0.0	0.07	0.07	0.0
Rnu73b	0.0	0.0	0.0	2.86	0.0	5.91
Rspo4	0.0	0.0	0.0	0.08	0.04	0.22
Rtp1	0.0	0.0	0.0	0.16	0.33	0.16
S100a7a	0.0	0.0	0.0	0.28	0.65	0.43
Sall4	0.0	0.0	0.0	0.08	0.07	0.11
Scnn1b	0.0	0.0	0.0	0.04	0.08	0.0
Selp	0.0	0.0	0.0	0.04	0.03	0.03
Serpina12	0.0	0.0	0.0	0.08	0.1	0.17
Sh3bp2	0.0	0.0	0.0	2.56	3.59	2.89
She	0.0	0.0	0.0	2.39	2.31	2.02
Siglecg	0.0	0.0	0.0	0.08	0.11	0.12
Sis	0.0	0.0	0.0	0.07	0.03	0.1
Six1	0.0	0.0	0.0	0.14	0.26	0.11
Skor1	0.0	0.0	0.0	0.16	0.28	0.23
Slc10a5	0.0	0.0	0.0	0.08	0.07	0.08
Slc12a1	0.0	0.0	0.0	0.04	0.08	0.15
Slc13a1	0.0	0.0	0.0	0.04	0.15	0.12
Slc25a33	0.0	0.0	0.0	37.88	43.15	37.19
Slc25a41	0.0	0.0	0.0	0.08	0.15	0.25
Slc26a1	0.0	0.0	0.0	1.28	1.52	2.05
Slc28a2	0.0	0.0	0.0	0.08	0.12	0.0
Slc4a1	0.0	0.0	0.0	0.02	0.0	0.02
Slco1a5	0.0	0.0	0.0	0.08	0.0	0.13
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smyd1	0.0	0.0	0.0	1.55	1.54	2.05
Snora33	0.0	0.0	0.0	2.86	1.35	2.96
Snora41	0.0	0.0	0.0	2.56	2.41	1.32
Sohlh1	0.0	0.0	0.0	0.16	0.22	0.0
Spag16	0.0	0.0	0.0	0.14	0.26	0.48
Spata18	0.0	0.0	0.0	0.56	0.67	0.68
Spata20	0.0	0.0	0.0	0.08	0.14	0.2
Spdef	0.0	0.0	0.0	0.16	0.31	0.22
Spink10	0.0	0.0	0.0	3.1	2.76	2.84
Sqrdl	0.0	0.0	0.0	6.22	6.14	5.72
Sult6b1	0.0	0.0	0.0	0.14	0.18	0.15
Sun3	0.0	0.0	0.0	0.08	0.09	0.09
Syt3	0.0	0.0	0.0	45.78	49.95	46.37
Tac4	0.0	0.0	0.0	0.08	0.0	0.08
Tacstd2	0.0	0.0	0.0	0.56	0.27	0.41
Tap1	0.0	0.0	0.0	2.56	1.75	2.67
Tectb	0.0	0.0	0.0	1.12	0.55	0.75
Tex22	0.0	0.0	0.0	0.08	0.15	0.0
Tg	0.0	0.0	0.0	0.08	0.04	0.08
Tktl1	0.0	0.0	0.0	0.08	0.11	0.08
Tlr7	0.0	0.0	0.0	2.39	2.35	2.25
Tmem184a	0.0	0.0	0.0	0.16	0.25	0.0
Tmem90b	0.0	0.0	0.0	49.05	45.71	48.85
Tmprss11a	0.0	0.0	0.0	0.07	0.03	0.12
Tnfrsf11b	0.0	0.0	0.0	1.85	1.25	1.23
Tnfrsf12a	0.0	0.0	0.0	7.4	7.37	5.43
Tpte	0.0	0.0	0.0	0.04	0.04	0.16
Treml1	0.0	0.0	0.0	0.16	0.31	0.08
Trh	0.0	0.0	0.0	5.72	5.87	6.5
Trim10	0.0	0.0	0.0	0.04	0.17	0.0
Trpa1	0.0	0.0	0.0	0.16	0.13	0.1
Trpm5	0.0	0.0	0.0	0.02	0.04	0.05
Ttc24	0.0	0.0	0.0	0.04	0.08	0.0
Tubb1	0.0	0.0	0.0	0.07	0.2	0.07
Tyrp1	0.0	0.0	0.0	0.04	0.1	0.15
Ucn	0.0	0.0	0.0	0.32	0.45	0.66
Ush2a	0.0	0.0	0.0	0.02	0.05	0.03
Usp26	0.0	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r11	0.0	0.0	0.0	0.04	0.0	0.04
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r18	0.0	0.0	0.0	0.04	0.04	0.0
Vmn2r27	0.0	0.0	0.0	0.08	0.11	0.0
Vmn2r28	0.0	0.0	0.0	0.04	0.05	0.07
Vmn2r78	0.0	0.0	0.0	0.04	0.11	0.0
Vmn2r84	0.0	0.0	0.0	2.24	2.0	1.71
Wdr72	0.0	0.0	0.0	0.02	0.04	0.0
Wisp3	0.0	0.0	0.0	0.56	0.75	0.67
Wnt11	0.0	0.0	0.0	0.14	0.43	0.18
Wnt9b	0.0	0.0	0.0	0.02	0.04	0.07
Xlr3a	0.0	0.0	0.0	0.64	1.98	1.49
Xrra1	0.0	0.0	0.0	1.43	1.34	1.24
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zbtb22	0.0	0.0	0.0	31.62	34.2	31.51
Zfa	0.0	0.0	0.0	0.04	0.08	0.05
Zfp319	0.0	0.0	0.0	12.77	14.21	14.02
Zfp36l3	0.0	0.0	0.0	0.04	0.04	0.12
Zpld1	0.0	0.0	0.0	0.04	0.07	0.24
Zscan10	0.0	0.0	0.0	0.04	0.03	0.04
c4_tRNA-Glu-GAG_	0.0	0.0	0.0	2.86	0.0	2.96
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
