	Ctgf_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_39	Scnn1a.Tg3_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tmem168	0.0	0.0	0.0	428.68	11.09	11.17	10.09
Tns1	0.12	0.0	0.0	69.71	12.3	13.19	13.04
Tprgl	0.0	0.0	0.0	28.84	166.3	184.18	170.58
Usp25	0.0	0.0	0.0	186.88	21.94	20.91	20.23
Vwf	0.09	0.0	0.0	69.56	5.8	5.36	4.94
Wdsub1	0.0	0.0	0.0	77.52	11.8	12.36	12.9
Yrdc	0.0	0.0	0.0	2.5	28.42	31.75	27.82
Yy1	0.0	0.0	0.0	1.24	46.68	50.96	49.38
Zfp120	0.0	4.4	0.0	57.47	8.79	6.57	7.86
Zfp398	0.0	0.0	0.0	6.37	11.13	9.89	11.02
Zfp429	0.0	0.0	1.0	365.76	2.83	2.49	2.03
Zfp574	0.0	0.0	0.12	1.6	20.24	21.56	19.83
Zfp646	0.0	0.0	0.0	60.09	11.22	11.77	10.28
Zfp747	0.0	0.0	0.0	180.8	4.96	5.62	4.39
Zfyve28	0.0	0.0	0.0	41.21	38.01	39.44	39.55
Znrf1	0.0	0.0	0.0	96.24	71.69	73.05	70.91
mt_AK131586	6370.03	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
