	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ring1	0.0	0.0	0.0	0.0	48.08	0.0	0.0	20.59	0.0	28.61	32.63	31.27
Rpap1	0.0	0.0	0.0	0.0	15.71	2.12	0.09	0.77	0.0	13.86	13.97	14.75
Rps6ka3	0.0	0.0	0.0	0.0	135.69	61.79	0.0	0.0	0.0	35.0	26.79	33.58
Sec14l2	0.0	0.0	1.09	1.62	32.35	10.66	0.17	0.0	0.0	37.69	41.27	39.73
Sf3b2	0.0	0.0	113.78	78.38	251.1	60.86	237.61	70.48	129.39	167.14	177.62	163.63
Sh2d4a	0.0	0.0	0.0	0.98	4.53	1.05	4.23	1.88	0.32	2.15	1.7	2.72
Sh2d5	0.74	0.0	20.0	9.87	67.83	15.9	22.19	0.0	0.0	82.4	82.0	81.33
Shmt2	0.0	0.0	0.0	0.0	62.81	0.0	0.0	0.0	59.69	18.86	20.01	17.49
Slc8a1	0.02	0.0	14.87	4.77	49.96	24.88	7.62	7.11	4.66	45.22	37.06	47.99
Sorl1	0.0	0.0	54.81	29.49	77.92	21.02	71.03	54.65	0.0	108.6	99.88	115.58
Syt3	0.0	0.0	4.14	12.32	79.01	2.55	90.92	0.0	0.0	45.78	49.95	46.37
Tfe3	0.0	0.0	1.25	0.0	94.02	20.76	0.0	0.0	0.0	25.74	25.67	26.64
Traf2	0.0	0.0	0.08	16.93	57.89	0.0	0.0	0.0	0.0	7.92	7.52	6.59
Ubap1	0.0	0.0	0.0	46.84	276.54	9.63	54.05	0.0	234.1	39.17	41.05	37.89
Ube2r2	0.0	2.19	11.38	10.88	109.23	21.17	6.39	3.83	0.98	43.49	43.72	41.05
Zfp131	0.0	0.0	17.41	23.12	74.74	1.19	31.11	41.2	0.0	33.51	30.45	32.98
Zfp804a	0.0	0.0	11.93	13.6	242.95	131.72	103.77	10.67	0.0	13.92	12.38	13.4
Zfp846	0.0	0.0	0.0	1.24	129.22	63.99	1.26	0.0	0.89	11.24	9.78	11.02
Znhit2-ps	0.0	0.0	0.0	0.0	10.74	0.0	5.64	0.0	0.0	35.2	42.26	42.98
mt_AK131586	3744.02	4908.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	4.38	0.0	0.0	0.0	18796.57	17507.83	18655.33
