	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11
Lrrc3	1.58	1.28	0.0	4.28	2.04	1.28	2.01	1.78	3.9	3.2	2.07	66.84	4.72	3.01	10.71	3.74	12.87	3.34	30.67	6.39
Mir690	26828.41	14983.6	9673.58	8538.99	19376.41	30464.78	30528.33	39867.27	42000.18	28695.45	37370.15	37614.4	24336.09	32522.04	44948.68	18757.58	42282.55	27759.51	48007.3	26521.64
Mobp	0.0	0.0	0.0	0.0	0.0	2.49	0.0	0.0	0.38	0.26	0.31	10.93	0.52	0.0	4.64	0.45	2.15	0.0	0.07	0.0
Nap1l3	0.0	0.0	0.0	0.0	0.0	0.0	40.37	0.17	5.4	29.79	4.13	95.88	21.8	41.64	0.0	0.0	0.56	0.0	99.79	0.0
Oraov1	0.0	0.0	0.0	0.0	0.0	0.0	0.52	5.81	10.71	0.0	40.5	179.7	0.29	0.17	156.05	147.97	0.39	0.0	0.26	0.0
Ovol2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78	0.0	0.0	28.84	71.97	0.0	0.0	0.0	0.0	0.0	0.0	68.42	0.0
Paqr9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.89	0.0	0.0	52.81	0.0	0.0	0.0	58.9	0.0	0.0	66.28	0.0
Pdk1	0.0	0.0	0.0	0.0	0.0	0.0	22.02	0.73	0.3	10.62	39.7	62.34	0.92	7.35	3.03	61.63	0.77	0.55	40.62	0.28
Piga	0.0	0.0	0.0	0.08	0.0	0.72	0.28	0.32	0.0	0.64	1.89	1.75	0.35	0.46	1.6	0.39	0.0	0.0	0.15	0.59
Rgs17	0.0	0.0	0.0	0.0	0.0	2.2	22.52	20.02	43.83	24.12	43.72	104.72	75.44	64.33	0.09	72.63	0.11	0.0	58.16	0.0
Rmnd5b	0.0	0.0	0.0	0.0	0.0	0.67	0.0	17.8	22.64	0.0	48.78	72.95	0.0	0.0	0.38	86.53	0.4	0.0	153.23	0.0
Serpinb9	0.1	0.0	0.0	0.0	0.28	0.76	0.1	0.09	0.11	0.03	0.79	0.9	0.16	0.0	0.3	0.31	0.78	0.0	0.19	0.0
Stk16	0.0	0.0	0.0	0.0	0.0	3.35	0.0	0.19	62.96	0.0	1.19	91.02	10.39	0.0	0.0	45.5	0.0	0.0	61.68	0.0
Stxbp2	89.07	11.92	2.95	50.33	39.76	34.69	34.29	85.93	88.31	137.38	144.07	175.83	110.51	40.63	88.4	29.44	76.89	33.84	97.57	153.28
Tfcp2l1	0.09	0.0	0.0	0.03	0.03	0.67	0.46	0.3	0.72	0.45	1.34	1.76	1.33	0.79	4.78	1.03	1.01	0.3	0.8	0.44
Wdr85	16.93	5.79	0.0	28.78	36.65	23.9	42.33	8.16	12.44	31.97	40.39	85.66	29.45	69.9	44.42	59.21	27.33	10.88	172.37	30.09
Zfp945	0.0	0.08	0.0	0.0	0.0	0.2	6.68	0.25	1.28	8.5	0.1	46.62	0.0	23.58	41.45	4.64	68.67	0.0	0.03	0.0
