	Ctgf_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nphs2	0.0	0.0	0.0	0.25	0.48	0.36
Npm3	0.0	0.0	0.0	8.76	11.59	8.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
P2rx6	0.0	0.0	0.0	6.16	5.54	5.79
Pcdha4-g	0.0	0.0	0.0	0.84	1.36	2.18
Phc1	0.0	0.0	0.0	34.46	37.13	36.5
Pla2g12a	0.0	0.0	0.0	22.11	23.41	19.44
Ppard	0.0	6.82	6.38	16.82	16.03	16.36
Ppp4r2	0.0	22.6	0.0	54.51	50.93	49.4
Rccd1	0.0	0.0	0.0	9.13	9.4	10.3
Rd3	0.0	0.0	0.0	0.03	0.15	0.17
Rftn2	0.0	0.0	0.0	18.31	18.21	20.94
Sall3	0.0	0.0	0.0	2.49	3.16	2.21
Snx20	0.0	0.0	0.0	1.05	1.18	1.29
Spata2l	0.0	0.0	0.0	48.98	51.18	41.3
Spata5l1	0.0	0.0	0.0	7.13	5.64	6.34
Sstr3	0.0	0.0	0.0	16.31	16.21	16.32
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbcc	0.0	0.0	0.85	18.97	22.03	21.09
Tesc	0.0	0.0	0.0	90.56	94.33	96.13
Tha1	0.0	0.0	0.0	4.91	5.14	3.96
Tmcc3	0.0	0.0	0.0	21.12	20.5	21.32
Trip6	0.0	0.0	0.0	6.55	7.46	6.12
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttr	0.0	0.0	0.0	16.36	5.96	1.78
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vps18	0.0	0.0	1.14	36.09	37.32	35.69
Zbtb7c	0.0	0.0	0.0	2.64	2.89	3.3
Zfp217	0.0	0.0	0.0	2.02	2.12	2.21
Zfp236	0.0	1.97	0.0	16.94	16.03	18.45
Zfp384	0.0	0.0	2.96	31.83	29.65	31.6
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c7_tRNA-Ala-GCA	0.0	0.0	0.0	7.05	17.34	21.05
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	6.26	0.0	18796.57	17507.83	18655.33
