	Calb2_tdTpositive_cell_53	Gad2_tdTpositive_cell_65	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_87	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gtpbp2	0.0	139.51	0.0	22.82	6.92	0.0	37.61	17.32	7.8	3.38	0.23	0.0	1.11	45.7	7.49	0.0	12.07	0.24	0.0	9.74	38.28	35.65	17.8	31.95	0.0	4.77	55.1	56.79	57.19
Herc1	0.0	59.01	12.48	20.2	32.58	10.71	14.75	43.35	15.17	14.98	22.14	2.96	28.74	20.95	19.06	27.03	27.03	24.9	12.31	15.66	8.14	9.4	29.53	9.46	5.36	18.85	61.27	54.82	62.99
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	1.73	1.86	1.4
Ip6k2	0.0	49.98	2.07	4.55	15.76	20.21	34.08	0.0	21.27	6.12	0.0	5.46	4.63	17.78	20.86	24.42	43.06	23.93	4.88	0.9	0.21	8.28	0.0	17.04	0.0	16.46	78.19	87.2	71.33
Kcna6	0.0	51.12	7.74	1.71	6.65	31.45	2.1	1.7	1.61	12.44	15.28	29.83	0.66	30.56	43.3	0.0	35.92	0.36	6.63	29.35	9.0	11.87	1.38	0.0	7.19	2.57	50.12	47.07	51.34
Kdm2a	0.0	66.34	15.61	1.93	15.8	7.34	1.62	0.84	9.32	13.77	1.65	3.09	0.0	22.84	0.0	0.0	11.49	10.49	0.0	6.52	17.3	1.69	4.83	7.94	7.98	12.61	34.15	34.03	33.11
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lamp1	4.43	243.39	65.58	40.4	0.31	51.46	83.7	6.86	56.07	62.55	73.59	18.21	59.29	0.0	159.88	8.34	0.0	24.21	81.58	81.34	62.74	127.58	114.42	64.74	76.91	52.07	296.47	313.19	310.97
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ldhb	7486.96	3800.36	8752.31	8798.32	8750.45	10118.08	10894.4	8892.3	8517.89	8808.99	8620.64	8223.21	10165.1	9166.61	11261.44	10004.69	6682.6	9074.03	13571.31	12546.17	9106.97	11010.48	8275.76	8671.45	10182.84	11746.38	737.58	774.98	752.92
Lrrc8d	0.0	53.95	0.0	0.0	0.36	0.0	17.62	0.2	9.7	14.95	0.0	0.0	45.08	0.0	1.23	0.0	48.44	1.45	17.17	14.55	0.0	0.04	20.17	0.0	0.0	0.0	29.66	30.55	32.25
Madd	0.0	135.34	20.39	10.72	21.71	26.0	22.28	54.68	15.75	47.77	4.14	24.88	50.44	2.59	94.3	27.37	47.88	46.96	24.73	5.81	36.25	39.47	42.76	42.04	41.29	67.4	113.32	109.49	109.17
Map2k4	0.0	101.77	45.39	98.93	46.41	53.28	45.96	67.4	68.43	69.45	60.67	37.04	68.35	20.77	49.67	63.25	136.9	47.54	23.86	26.61	79.96	64.47	79.21	9.53	2.18	19.99	143.73	139.1	140.05
Mycbp2	0.0	79.44	21.64	24.63	12.48	9.35	2.99	16.15	35.62	27.83	19.25	24.21	21.25	33.39	32.69	25.8	22.21	12.18	23.73	12.24	44.55	18.17	18.14	50.77	20.66	50.09	86.57	73.79	88.98
N4bp2l2	0.22	23.4	3.42	19.05	8.48	10.89	3.09	2.16	9.35	0.23	0.57	6.99	1.93	7.37	2.43	0.48	4.09	0.57	0.71	13.19	0.23	4.05	1.25	2.96	1.75	0.34	12.08	10.83	12.25
Negr1	1.59	122.42	12.25	10.6	0.0	0.54	0.19	3.06	45.83	27.69	38.02	34.81	28.9	55.23	25.85	38.04	41.7	18.32	1.16	21.57	1.34	1.55	24.95	86.07	6.51	0.97	132.03	133.65	130.93
Odz4	0.0	29.85	0.0	0.0	17.13	0.28	0.0	8.63	5.71	5.58	10.3	0.31	14.01	0.0	0.03	6.59	0.0	4.9	0.1	1.89	2.5	0.35	12.33	12.59	0.04	2.77	30.76	27.31	33.46
Ogdhl	0.0	46.11	1.45	9.41	0.0	0.0	0.0	0.0	1.65	0.73	0.18	0.16	5.44	0.0	0.0	8.15	1.76	9.7	0.16	0.0	45.62	1.09	0.14	0.0	1.7	5.33	73.51	75.56	72.3
Pde1b	0.0	78.15	1.28	0.0	18.95	0.0	11.14	22.13	2.15	0.0	0.43	0.0	0.0	0.0	0.25	0.0	39.4	1.45	23.29	20.29	5.95	23.52	0.0	0.0	1.07	0.0	245.53	258.71	247.87
Pkd1	0.0	12.35	0.1	0.41	0.0	0.0	0.41	0.0	0.0	0.04	0.0	0.19	5.58	0.0	6.84	10.9	3.75	2.89	0.09	0.32	3.98	5.83	0.0	15.9	2.36	3.73	33.03	31.69	34.04
Ppip5k1	0.0	38.64	9.7	9.44	1.75	0.18	11.81	21.83	25.91	6.99	35.39	1.09	13.36	0.85	27.7	2.14	24.91	12.04	0.3	25.54	11.38	24.02	6.14	21.33	12.3	16.52	66.18	64.87	65.93
Rasgrf2	0.0	106.3	37.82	18.84	14.82	59.44	0.0	38.25	33.12	22.47	27.84	2.43	0.0	41.24	26.62	11.68	19.66	13.55	22.89	34.22	27.47	8.49	0.24	23.54	0.46	15.64	69.67	65.09	66.74
Sept8	0.0	47.02	0.0	12.56	15.96	5.46	5.98	11.24	3.83	2.72	0.0	10.96	0.0	0.0	8.66	0.0	50.57	8.29	0.0	0.0	11.12	2.65	17.16	56.73	14.09	0.0	127.62	129.62	131.18
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smap2	0.0	227.76	4.76	36.68	11.57	76.51	16.59	38.14	41.08	52.8	110.28	7.41	28.57	1.86	38.83	38.9	57.76	40.81	63.23	28.79	74.56	42.09	62.81	155.02	94.13	56.1	140.44	138.22	141.36
Socs5	0.0	66.41	10.22	50.28	0.0	26.85	36.01	33.89	21.79	6.98	0.0	43.26	24.75	13.05	40.62	34.89	51.29	41.61	3.57	1.47	56.36	29.45	24.29	28.44	3.16	21.59	78.77	76.93	70.24
Srrm1	0.0	89.33	64.41	23.31	64.11	15.04	49.86	18.75	12.36	18.58	25.69	3.4	27.96	21.58	86.5	22.56	67.4	30.48	33.11	42.84	37.22	34.78	42.96	14.45	35.29	24.67	83.42	84.85	91.56
Stx16	0.13	97.68	8.18	26.64	45.55	0.07	9.04	1.05	28.76	2.2	1.05	15.14	24.61	0.42	47.99	25.46	0.64	5.61	2.48	19.02	4.87	0.15	0.39	0.17	11.01	2.11	62.49	61.21	64.02
Tanc2	37.51	56.84	13.83	6.88	8.83	0.03	9.67	16.36	14.12	0.57	10.25	0.17	0.0	22.71	4.77	1.0	34.22	10.73	14.9	5.35	15.26	0.18	7.5	0.0	9.51	2.63	57.39	54.13	60.94
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tgm3	0.0	4.03	0.41	0.86	0.74	0.0	1.26	1.86	1.4	0.94	0.29	1.49	1.1	3.2	0.98	1.21	1.98	0.65	0.46	0.54	0.91	0.52	0.72	0.92	0.11	1.52	3.24	2.81	3.68
Tomm20	0.0	69.95	37.07	40.27	27.56	47.29	45.18	43.31	79.39	46.21	18.31	36.55	13.03	9.5	55.89	11.7	28.37	39.2	17.5	23.29	25.16	21.11	38.17	53.79	30.24	7.61	188.56	189.45	185.85
Trim8	0.0	49.76	8.77	0.0	7.97	3.22	0.44	11.37	21.5	3.12	0.0	17.23	0.4	8.07	7.91	0.0	6.21	7.48	0.6	23.87	9.67	8.62	6.95	6.48	5.56	3.35	48.16	53.92	51.73
Trrap	0.0	22.83	5.98	8.13	3.48	0.0	2.23	8.44	0.2	1.37	5.3	0.0	7.12	13.19	6.35	5.35	10.77	2.99	8.21	8.76	11.37	2.81	13.45	36.58	3.81	8.57	48.39	44.3	50.87
Tspyl2	0.0	198.01	41.81	67.47	11.94	0.0	0.0	18.99	36.63	0.0	0.0	0.2	0.0	0.0	78.51	48.06	0.97	0.0	32.61	27.84	0.0	2.74	0.0	0.0	1.97	0.0	94.19	96.0	86.1
Uba1	0.0	219.55	66.63	123.17	51.65	13.65	88.02	152.53	110.65	77.7	136.11	13.69	52.95	85.5	91.83	105.29	147.19	117.01	33.16	13.32	165.99	40.8	56.47	217.74	49.42	72.51	244.19	260.71	247.34
Usp11	0.0	245.48	0.0	1.02	0.2	63.41	0.0	22.14	40.55	0.0	45.26	0.16	0.0	0.0	60.63	115.27	52.77	6.16	0.08	0.0	36.38	90.99	24.04	0.0	14.28	18.95	98.87	108.24	96.64
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vcp	83.52	295.6	94.78	95.48	82.96	39.36	8.9	54.64	52.91	58.34	59.07	3.65	86.44	1.16	62.96	116.97	128.45	97.3	47.43	54.34	85.21	100.66	43.23	0.56	3.8	89.31	246.34	254.24	243.23
Zfp319	0.0	26.74	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	19.11	0.0	0.0	0.0	0.0	0.0	12.77	14.21	14.02
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zyg11b	3.14	80.06	27.79	25.88	32.72	25.75	40.05	30.84	36.3	10.03	19.97	27.13	13.68	3.55	34.65	37.55	51.83	25.88	19.85	8.65	30.26	17.24	39.63	19.53	15.54	24.13	75.5	71.7	74.11
