	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_121	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Btbd1	0.0	40.16	0.0	9.82	36.96	0.0	0.0	0.08	0.0	0.17	0.0	0.0	0.0	115.62	119.93	115.36
Btbd11	0.0	0.0	0.0	0.0	5.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.58	15.2	15.92
C8b	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Ccl11	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.35	0.1
Ccnd3	0.0	67.5	0.0	35.74	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.42	20.14	18.2
Cd244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cenpk	0.0	76.09	0.0	0.0	10.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.91	0.77
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cnn2	0.0	17.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.76	9.25	6.05
Cpsf3	0.0	216.11	0.0	0.0	33.64	0.19	254.9	0.1	0.0	23.59	0.2	0.23	0.0	42.58	44.26	38.15
D930016D06Rik	0.0	0.0	0.0	0.0	41.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.09	11.55	14.06
Ddhd2	0.0	219.03	0.12	143.27	139.33	0.65	297.79	0.17	6.28	0.0	0.0	1.07	0.71	49.01	45.01	45.92
Dhdds	0.0	1.16	0.0	0.0	16.86	0.08	116.12	0.0	0.0	0.0	0.0	0.0	0.0	52.04	53.67	49.03
Drosha	0.0	5.76	0.0	0.0	19.41	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.33	72.26	69.27	68.76
Egfl7	0.0	78.96	0.0	0.0	7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.47	44.71	41.89
Esr2	2.91	7.23	0.59	0.34	2.33	0.93	1.41	0.86	0.48	1.55	0.0	1.13	0.44	1.31	0.99	1.52
Fads2	0.0	170.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.3	134.06	142.84
Fam33a	0.0	0.0	0.0	0.0	23.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	16.26	17.96	14.7
Fam65b	0.0	49.0	0.84	2.08	6.98	0.51	0.52	0.0	0.71	0.25	0.1	0.0	0.46	37.06	39.46	37.17
Fibp	0.0	80.16	0.0	0.0	32.05	0.0	296.27	0.0	0.0	18.98	0.0	0.0	0.0	48.48	53.01	47.89
Fnbp4	0.0	3.48	0.0	0.0	36.72	0.05	0.0	0.0	0.0	0.0	0.0	0.13	0.0	30.59	31.23	31.74
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
G3bp1	0.0	8.1	0.0	39.28	12.16	0.0	202.31	2.4	0.0	21.64	0.0	0.0	0.0	55.46	57.58	54.15
Gabarapl1	0.23	454.29	0.56	557.98	99.72	5.82	1.76	0.0	0.0	0.3	0.0	2.04	0.0	698.4	732.98	696.03
Gas8	0.0	0.0	0.0	0.0	15.46	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.85	22.32	20.0
Git1	0.0	22.95	0.0	0.49	17.78	15.59	82.92	0.13	0.0	0.14	0.0	16.28	0.0	228.58	244.29	233.42
Gm12253	0.38	3.32	0.73	0.0	7.26	1.3	0.66	0.35	0.0	0.0	1.85	0.35	0.39	1.2	0.17	1.08
Gm12709	0.0	51.43	0.0	0.0	13.29	0.0	17.02	0.0	0.0	0.0	0.0	0.0	0.0	2.28	3.01	3.53
Gm17751	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.7	0.46
Gm5622	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.06	0.48
Gmfb	0.0	216.41	0.35	0.0	92.94	0.06	132.27	0.0	0.45	0.0	0.0	1.42	0.0	136.0	129.34	127.46
Gramd3	0.0	31.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.19	16.7	19.02
Grin3b	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.48	0.75
Gtsf1l	0.0	8.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hist1h4m	0.73	44.78	0.0	0.0	2.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Igsf3	0.0	0.0	0.0	0.0	2.79	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	6.55	7.59	7.67
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif26a	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.27	4.13	3.71
Kifc3	0.0	52.8	0.0	0.0	1.59	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	38.63	41.59	38.76
Klhl7	9.49	67.68	3.65	2.34	93.51	1.06	26.63	0.8	1.96	98.75	1.33	0.7	1.73	76.93	72.88	74.02
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lonrf2	0.0	35.9	0.19	0.2	15.0	0.1	16.61	0.06	0.0	0.3	0.0	0.08	0.0	88.16	86.96	85.86
Maz	0.0	0.0	0.83	0.0	1.53	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	134.05	157.29	149.83
Mcf2l	0.0	60.31	0.1	0.0	34.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.14	88.63	85.38
Mex3b	0.0	27.15	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.96	19.48	21.42
Mgll	0.0	19.08	0.14	0.0	4.58	0.07	0.26	0.0	0.0	0.0	0.0	0.0	0.0	146.13	149.53	151.13
Mir423	0.0	16.01	0.0	0.0	0.0	4.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	1.27	0.0
Msn	0.0	0.33	0.0	0.0	0.0	0.06	0.12	0.19	0.0	0.14	0.0	0.15	0.0	16.38	17.79	17.49
Mtch1	0.0	184.89	0.0	0.0	96.41	76.38	3.49	0.0	0.0	0.0	0.0	5.97	0.0	373.48	404.17	395.71
Myadml2	0.0	71.6	0.0	0.0	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95	7.63	7.26
Nav2	0.04	5.56	0.04	0.0	4.97	0.02	0.17	0.0	0.0	0.0	0.0	0.05	0.0	19.69	18.55	23.2
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Nlrp5	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.07
Pabpc4	0.0	35.42	0.0	0.0	6.93	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.6	31.94	31.63
Pcbp1	0.0	101.99	0.0	0.0	50.48	0.14	0.0	0.15	0.0	0.0	0.0	4.71	0.0	185.19	202.11	179.35
Pcdhga8	0.0	91.91	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.54	11.05	11.71
Pde3b	0.0	1.62	0.09	0.0	1.16	0.09	0.22	0.0	0.0	0.0	0.0	0.0	0.0	7.08	5.78	6.78
Pfn2	0.0	1039.69	0.49	78.55	466.61	385.15	330.96	0.86	0.31	0.26	0.0	90.83	552.69	526.52	535.76	514.22
Pknox2	0.0	152.35	0.0	0.0	8.4	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	42.64	48.59	44.8
Pnrc1	603.26	0.0	0.0	0.0	5.7	0.0	0.12	0.0	0.0	0.0	0.0	0.0	93.85	40.06	47.4	38.48
Prickle2	0.0	44.78	0.0	0.0	26.76	16.49	16.93	0.03	8.34	0.0	72.7	0.0	0.0	85.57	84.5	85.69
Ptgds	37658.11	0.0	48907.82	54843.26	0.0	56522.07	60719.49	31434.39	40932.13	47873.29	36019.29	40457.23	55284.07	1497.69	1644.65	1231.28
Ptgr1	0.0	48.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.75	0.97
Ralgps1	0.0	92.17	0.0	0.0	5.67	13.87	0.0	31.01	3.2	0.0	0.0	0.0	0.0	35.61	32.52	39.52
Sdf2l1	0.0	59.51	0.0	0.0	10.13	0.25	1.45	0.0	0.58	0.0	0.0	0.0	1.87	14.91	13.02	13.36
Serp1	0.0	94.06	0.0	0.0	5.19	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.41	47.54	42.93
Serpinb3d	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Sfpq	146.9	33.92	177.72	88.95	124.55	147.24	73.96	16.48	0.0	7.8	13.82	85.9	41.18	144.14	132.92	152.84
Sgcd	0.0	9.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	2.42	2.12
Shh	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	3.8	3.47
Slc10a6	0.0	44.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.05
Smyd2	0.0	224.59	0.0	0.0	35.04	0.15	0.15	0.0	0.0	0.0	0.0	0.0	0.0	72.73	77.71	73.05
Snx18	0.0	0.0	0.0	0.13	8.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.31	15.64	15.91
Sqle	0.0	352.09	0.18	0.0	16.39	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	60.06	63.86	59.38
Srms	0.0	57.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.26	0.44
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tnfrsf1b	0.08	0.06	0.02	0.12	0.17	0.1	0.2	0.07	0.0	0.0	0.0	0.12	0.0	2.41	2.38	2.69
Tro	0.0	94.36	0.0	0.0	34.66	0.04	0.14	0.04	0.0	0.0	0.0	0.0	0.0	91.35	86.53	91.89
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ube2m	0.0	54.75	0.0	0.0	24.73	129.16	2.68	0.25	0.0	0.0	0.0	0.0	0.0	188.22	200.48	193.34
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r28	0.0	4.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.07
Vps26b	0.06	38.74	31.6	0.17	9.84	0.39	0.38	0.03	0.56	0.12	0.33	0.07	0.17	52.15	55.73	51.31
Vps4a	0.0	189.34	270.92	0.0	23.12	0.12	0.23	0.0	0.0	0.0	0.0	0.0	0.0	119.14	120.71	116.26
Ywhag	0.0	114.81	0.14	0.0	96.19	43.37	12.31	0.14	0.0	0.0	0.0	0.0	0.0	763.25	785.32	749.06
Zcchc14	0.0	35.13	0.08	0.0	10.63	0.36	0.29	0.0	0.1	0.0	0.0	0.0	0.0	39.7	41.35	38.57
Zfp692	0.0	53.27	0.0	0.0	10.99	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	35.85	35.72	38.95
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c11_tRNA-Lys-AAG	0.0	10.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	2.64
mt_AK166684	0.0	0.38	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
