	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_50	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_41	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
Cyp2d22	711.19	424.8	0.0	0.0	0.0	0.17	719.64	0.0	536.43	1134.39	0.0	0.0	0.0	0.0	309.29	0.22	95.03	0.3	0.0	151.68	0.0	642.83	0.0	44.96	1.3	1158.78	14.05	0.0	0.47	0.0	0.44	0.47	0.0	0.47	0.0	0.15	0.76	158.77	78.69	523.45	72.83	376.68	0.0	0.0	0.0	0.0	0.44	0.0	0.0
Cyp51	0.17	0.0	0.0	0.0	0.0	0.0	0.3	0.0	399.64	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.29	269.4	0.14	0.0	0.27	138.68	0.31	161.64	0.14	394.58	1.2	0.0	0.08	0.16	0.0	0.0	0.08	0.0	0.0	0.14	0.12	0.0	1.22	0.0	0.0	51.72	0.28	0.18	0.0	0.13	0.0	0.0	0.0
Dbx2	0.0	185.61	0.0	0.0	0.0	0.0	0.0	0.0	392.34	227.05	0.0	0.0	0.0	0.0	805.25	0.0	241.74	45.24	0.0	0.0	0.0	24.96	0.6	242.83	153.4	1101.9	0.93	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	304.22	252.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dclk1	2258.55	1683.23	0.0	0.09	0.18	0.0	1909.68	0.0	2165.28	2790.19	0.0	0.0	0.0	336.27	629.0	112.01	1460.07	1074.75	0.0	2073.06	1735.91	504.63	0.36	801.9	1744.82	1574.06	3347.99	0.0	0.14	0.0	0.0	0.49	0.22	0.0	0.0	0.0	0.13	525.5	59.84	446.29	1951.61	1012.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dtna	305.05	23.31	0.03	0.0	0.0	0.0	2.09	0.0	1625.5	96.74	0.0	0.0	0.0	624.26	20.15	701.87	63.56	74.54	0.0	243.66	679.68	6.45	0.41	249.38	464.48	1242.96	307.15	0.0	0.13	0.0	0.0	0.1	0.21	0.0	0.0	0.0	0.0	56.5	557.07	259.09	271.4	322.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ednrb	220.14	514.19	0.0	0.14	0.0	0.0	498.72	8.81	1824.38	327.73	0.0	0.0	0.0	13.17	296.27	948.83	878.66	831.25	0.31	123.39	640.47	566.25	0.57	692.46	335.13	1224.58	0.57	0.52	0.68	0.0	0.31	0.51	0.1	0.0	0.1	0.0	0.23	319.88	659.9	99.39	916.93	0.36	0.0	0.0	0.0	0.31	0.0	0.0	0.0
Fbxo44	739.01	0.0	0.0	0.0	0.0	0.0	501.76	0.0	1183.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.54	0.0	1.63	131.9	0.0	0.44	4.02	1.08	1066.14	0.68	0.44	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	858.81	0.57	941.84	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gjb6	3537.85	2907.34	0.0	0.45	0.0	0.0	3475.98	0.0	9807.27	3528.71	0.0	0.0	0.0	1811.9	1513.78	1886.0	2692.33	520.25	0.65	1942.22	28.49	2831.35	3.21	2932.36	1827.48	10460.98	4306.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2981.14	3408.29	1727.62	2639.65	570.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gldc	0.58	143.5	0.0	0.0	0.0	0.0	0.0	0.0	524.9	0.0	0.0	0.0	0.0	80.63	175.64	0.0	276.38	625.36	0.0	135.79	0.63	124.13	0.18	462.45	127.45	434.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	37.27	271.99	0.29	254.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm19782	17.41	20.89	3.19	5.49	1.62	0.0	47.46	3.74	25.83	22.45	2.63	0.46	7.77	30.59	6.56	36.65	11.27	17.74	10.19	29.71	15.14	13.47	8.08	13.87	9.95	47.71	16.31	4.65	6.95	7.35	9.26	0.16	1.18	2.42	1.74	2.35	6.31	27.95	20.24	12.87	6.73	13.63	0.1	3.09	0.0	2.44	3.6	0.0	1.31
Gm4841	23.96	24.14	0.19	8.94	9.46	7.32	26.92	9.48	40.82	25.84	7.33	4.68	0.0	8.11	21.64	13.09	10.37	34.07	8.1	24.96	23.68	11.38	9.92	42.25	8.93	81.11	53.28	7.21	10.5	13.07	8.15	16.09	1.78	3.41	3.68	30.58	8.11	11.37	7.01	8.58	27.78	10.69	8.79	5.63	3.74	14.59	2.16	5.41	8.54
Gm973	70.76	43.16	0.0	0.0	0.0	0.0	0.0	0.0	464.18	44.38	0.0	0.0	0.0	0.0	0.0	46.81	23.02	0.0	0.0	50.27	131.43	8.7	0.0	0.0	110.21	282.54	190.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452.64	0.12	191.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpm6b	660.01	1297.84	0.0	0.0	0.0	0.16	199.98	0.13	1874.16	343.29	0.0	0.0	0.0	802.69	136.8	647.24	743.08	426.3	0.72	733.65	1007.45	529.58	0.69	1163.52	606.83	931.99	364.34	1.35	1.28	0.23	0.41	1.3	1.25	0.0	0.04	0.0	0.28	626.6	82.5	1374.84	1337.99	475.21	0.0	0.35	0.35	0.45	0.11	0.0	1.25
Kcnj16	524.18	285.51	0.19	0.19	0.0	0.0	588.97	0.51	955.16	209.72	0.28	0.81	0.0	0.0	347.22	0.36	1.46	0.23	0.64	286.66	0.75	0.72	0.0	4.17	1.49	648.4	8.19	1.12	1.2	0.0	0.72	0.52	0.0	0.0	0.0	0.2	0.2	129.7	0.12	528.6	1.64	338.94	0.24	0.64	0.0	0.0	0.33	0.9	4.01
Luzp2	764.8	940.79	0.07	0.0	0.0	0.0	1526.27	0.18	1275.83	88.36	0.1	0.0	0.0	307.69	258.82	172.6	1041.8	384.98	0.58	554.74	900.26	226.95	0.25	505.52	542.36	2567.22	559.64	0.0	0.39	0.0	0.0	0.0	0.27	0.0	0.0	0.11	0.24	359.56	255.71	203.18	77.42	753.88	0.21	0.0	0.0	0.13	0.0	0.0	0.0
Mtap2	134.58	37.23	0.0	0.0	0.0	0.0	419.26	38.1	79.21	47.84	0.0	0.0	0.0	24.23	180.56	32.79	50.61	62.91	0.0	61.76	128.72	17.91	0.12	78.39	33.58	960.29	113.25	0.25	0.35	0.0	0.22	0.35	0.13	0.0	0.0	0.0	0.0	48.18	34.55	122.82	25.63	35.24	30.14	0.0	0.0	0.0	0.0	0.0	0.0
Ngfr	2.42	2.53	0.0	0.0	1.13	0.14	0.93	0.56	4.96	1.68	0.1	0.11	0.0	0.43	1.3	0.94	0.09	0.61	0.19	2.82	2.18	0.24	0.42	1.81	0.29	6.7	1.03	0.0	0.64	0.47	0.74	0.0	0.11	0.23	0.82	0.48	1.03	0.0	0.34	0.43	0.17	0.39	0.55	0.0	0.0	0.2	0.18	0.14	0.28
Ptprz1	260.31	354.91	0.0	0.0	0.06	0.06	16.93	0.0	171.41	294.41	0.0	0.0	0.0	108.49	300.37	373.79	821.7	173.45	0.0	93.04	410.59	128.8	0.33	883.01	320.14	468.44	331.05	0.0	0.09	0.0	0.15	0.16	0.13	0.2	0.0	0.0	0.29	499.38	200.25	10.02	470.29	231.79	0.06	0.09	0.0	0.0	0.0	0.0	0.16
Riok3	4.91	21.9	2.56	4.48	38.4	230.92	7.64	2.27	902.42	8.18	1.92	2.56	0.0	5.52	8.47	6.16	8.44	4.02	2.8	13.62	5.97	2.5	6.15	5.76	98.52	420.93	6.04	8.46	6.38	9.34	6.42	7.65	4.07	0.91	3.78	16.5	7.18	107.86	7.53	3.25	413.31	2.1	4.41	0.85	2.85	0.91	207.36	4.15	3.92
Sc4mol	4577.45	5060.51	0.0	0.51	0.26	0.52	4296.35	0.0	10019.27	5294.88	0.0	0.0	0.0	788.33	7072.18	852.95	7241.34	875.41	2.04	387.16	2590.4	1394.88	1.5	1819.62	1927.27	6054.72	1015.27	1.13	0.53	0.0	62.82	0.71	0.39	0.0	0.0	0.0	0.0	1966.09	5333.88	2854.0	1.84	2253.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc1a2	3209.21	3404.21	0.16	0.35	0.16	0.04	1894.97	245.54	5426.26	3623.83	0.03	0.0	0.0	2634.01	1947.18	1885.82	2226.03	2114.11	0.42	815.12	2750.24	1486.05	1.77	1588.03	1776.47	2398.29	2451.43	0.37	0.3	3.36	0.11	0.88	0.24	0.19	0.16	1.48	0.2	1898.57	1028.55	1587.89	2942.29	1758.7	0.06	0.12	0.0	0.0	0.09	0.06	0.16
Sox7	0.67	1.23	0.59	0.28	0.0	0.42	2.48	0.0	5.18	2.44	1.07	0.46	0.0	1.45	0.59	0.19	0.0	4.55	0.0	1.91	3.25	0.79	2.05	0.0	0.37	7.05	3.25	0.41	2.91	0.0	0.47	0.22	0.11	0.86	1.08	0.93	0.33	2.33	1.6	0.98	0.98	0.49	1.33	1.41	0.64	1.62	0.3	0.0	2.78
Syne1	105.81	327.79	5.9	0.53	3.55	8.17	271.83	3.13	717.06	39.85	0.23	3.62	0.0	22.68	21.02	109.78	225.37	296.9	0.84	195.43	629.37	175.23	13.05	520.03	153.86	359.5	403.21	8.54	14.28	8.93	5.52	9.51	4.68	16.63	4.45	23.29	33.25	89.08	33.99	96.03	13.94	6.68	0.1	7.14	2.82	9.38	6.45	6.38	11.99
Tigit	52.85	15.76	0.91	7.4	2.43	2.87	14.91	18.61	38.51	50.55	0.0	5.86	0.0	15.96	16.97	23.02	1.72	12.42	22.31	16.07	41.24	6.27	27.62	49.49	23.96	68.71	42.07	26.73	24.45	3.4	7.33	3.47	0.0	15.42	0.0	9.38	13.45	25.21	54.16	9.09	44.68	7.06	4.58	20.68	2.36	50.2	0.0	1.41	4.89
