	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Scnn1a.Tg2_tdTpositive_cell_21	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cnr1	5009.66	10009.06	14271.7	0.06	0.0	0.0	0.1	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	6746.03	17862.67	19681.78	7913.61	12520.63	22064.64	33041.05	4931.9	12766.46	4501.41	14288.55	25768.68	23267.78	1764.01	80.79	75.85	84.42
Cpsf3	80.4	106.82	161.55	0.0	0.0	0.0	0.0	28.33	123.34	297.14	35.86	0.0	461.0	0.0	105.27	0.0	100.63	211.66	40.07	0.0	66.74	147.57	297.06	0.0	0.0	0.0	0.0	209.94	0.3	42.58	44.26	38.15
D10Bwg1379e	22.47	47.63	12.62	0.0	0.0	0.0	0.0	12.8	5.52	29.12	5.96	14.7	124.68	35.74	34.73	0.07	30.94	18.4	4.5	9.25	30.95	6.71	0.22	0.0	0.46	0.79	35.62	24.1	0.56	35.07	27.29	36.81
Dusp18	0.06	0.0	0.17	0.0	0.0	0.1	0.0	0.03	0.0	0.16	0.16	0.06	0.53	0.21	0.14	0.16	0.14	0.11	0.1	0.0	0.08	0.07	0.18	0.13	0.0	0.91	0.0	0.08	0.05	21.49	19.46	19.77
Edc3	0.0	10.74	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.14	236.68	61.16	0.0	0.0	2.44	0.0	0.0	29.92	0.0	19.27	0.18	0.0	0.0	197.27	0.15	114.62	0.0	19.32	20.84	17.42
Ensa	512.7	42.55	158.46	0.0	0.46	0.0	207.33	22.97	275.49	215.59	180.61	304.69	1637.01	195.12	169.13	354.13	0.0	0.0	405.58	248.42	356.69	64.48	378.95	288.28	0.48	384.81	129.02	451.27	146.38	413.97	406.75	394.32
Gdap2	0.2	44.21	0.07	0.0	0.0	0.0	0.0	143.3	135.82	0.0	54.05	94.17	579.26	85.89	22.83	0.0	0.0	127.3	0.0	0.11	0.25	0.0	0.0	274.37	0.0	404.48	0.0	0.0	20.82	29.26	27.86	27.02
Gnb2l1	0.31	126.08	67.85	0.0	0.0	0.0	693.84	14.81	408.31	356.65	374.35	452.26	660.2	18.66	482.1	0.0	371.36	486.94	279.02	258.88	182.08	318.53	391.18	575.58	0.0	679.16	224.42	884.72	6.35	230.21	250.9	243.38
Iqcb1	0.17	146.53	266.05	0.0	0.0	0.0	0.0	53.11	165.1	153.93	150.4	113.39	340.94	0.0	60.95	0.0	215.45	0.0	15.37	134.93	129.76	23.78	146.62	0.0	2.36	0.0	116.62	401.64	0.34	24.67	22.7	23.16
Klhdc9	0.14	37.67	1.32	0.0	0.0	0.83	0.0	34.79	48.3	0.38	42.4	39.37	131.74	67.62	0.44	0.0	44.68	0.37	0.54	17.8	6.54	20.5	0.0	0.0	0.49	134.74	42.2	1.22	1.29	23.34	22.71	21.67
Lpgat1	0.0	0.25	43.54	0.0	0.0	0.0	0.0	2.53	0.42	0.0	60.09	32.85	216.65	3.61	9.52	0.0	37.41	53.28	0.0	0.47	39.68	44.01	0.09	0.09	10.69	91.88	20.93	17.76	0.0	138.31	127.47	133.8
Mkl2	0.98	0.9	1.02	0.45	2.42	1.66	0.61	65.84	16.69	50.19	14.31	26.29	146.18	1.28	13.44	7.57	17.39	0.58	1.55	9.28	17.34	9.84	2.03	36.01	2.22	0.75	0.68	21.91	92.95	89.28	82.44	89.75
Mmaa	0.0	33.91	0.07	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.0	0.0	154.46	0.0	0.0	0.0	5.63	0.0	0.0	0.0	0.0	20.79	0.0	4.14	0.0	151.08	0.0	0.0	0.0	13.47	14.51	15.08
Mrpl28	129.98	383.08	293.65	0.32	0.0	0.0	0.0	308.32	232.39	109.88	193.52	432.24	617.04	211.09	69.95	0.0	590.08	189.59	404.04	227.51	270.14	283.74	360.91	246.19	0.0	199.45	103.94	109.34	0.0	60.03	58.96	58.62
Nav2	30.06	7.39	2.28	0.0	0.0	0.0	37.64	16.75	3.51	4.23	10.62	17.41	52.3	10.72	31.93	23.51	30.77	0.04	3.76	5.03	15.65	8.66	0.0	0.0	1.38	16.06	3.64	20.95	0.0	19.69	18.55	23.2
Nfe2l1	4.25	18.56	15.88	32.49	0.0	3.61	4.76	0.0	15.97	17.28	34.49	11.52	163.18	5.38	39.53	8.75	4.84	22.58	8.66	23.32	11.84	28.52	20.24	2.14	0.0	9.33	54.02	22.5	0.0	227.17	223.7	221.14
Nol6	0.0	3.99	7.21	0.0	0.0	0.0	0.0	27.2	7.09	0.67	22.56	23.79	131.3	0.33	7.18	0.0	0.0	6.73	9.78	0.27	8.73	14.23	0.0	0.0	0.17	0.0	44.76	0.26	0.0	71.62	76.65	71.89
Plekha6	0.03	0.0	1.43	0.0	0.0	0.0	0.0	0.0	17.81	0.46	0.0	0.0	20.45	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	47.56	44.89	49.5
Prmt1	140.59	102.92	30.9	0.0	0.0	0.0	0.0	61.83	86.45	36.13	45.58	49.22	169.5	39.86	34.3	0.0	87.98	40.31	0.0	76.19	20.3	41.48	20.71	0.48	0.0	42.93	0.0	62.41	1.59	84.39	92.37	87.72
Rab3gap1	11.71	88.67	12.09	0.08	0.0	0.0	0.0	0.0	96.76	1.5	80.27	46.21	300.85	30.77	52.27	0.0	0.0	70.05	0.0	42.57	103.96	26.79	0.0	0.0	0.0	54.09	4.09	5.08	0.0	67.33	63.4	62.99
Ranbp6	0.0	2.93	11.89	0.0	0.0	0.0	0.0	5.86	113.9	10.1	129.47	48.46	297.6	13.9	237.74	92.94	24.28	39.65	2.75	175.04	119.4	20.59	0.0	14.77	0.0	247.64	94.41	74.18	0.32	26.4	25.12	24.63
Rpl23	381.58	253.99	610.37	1.31	0.68	294.62	298.0	214.91	429.96	542.01	598.99	328.05	710.94	376.18	485.61	89.62	480.91	345.75	247.05	308.6	373.83	508.35	153.52	229.01	192.74	236.87	288.73	384.43	215.93	227.24	223.8	214.9
Sirt2	0.11	0.0	91.71	0.0	1.17	0.0	0.0	145.93	110.01	34.18	76.02	1.27	179.38	0.0	0.21	0.0	189.56	3.19	0.0	52.36	62.81	248.95	0.0	0.0	0.0	1.62	119.16	104.97	0.0	172.59	180.56	184.9
Slc25a22	0.22	81.18	75.74	0.0	0.0	0.0	0.0	0.0	33.38	136.67	82.87	152.1	430.2	22.03	110.08	0.24	86.93	39.17	1.14	151.92	11.19	66.25	0.0	0.0	157.11	17.44	9.19	9.64	0.0	216.4	224.4	229.63
Slc2a4rg-ps	0.06	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	12.55	20.13	0.0	176.98	48.05	29.43	0.21	0.0	0.0	0.0	7.58	28.51	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.52	7.64	8.67	7.7
Srebf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.12	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.46	27.8	28.11
Srprb	207.62	4.06	16.43	0.0	0.0	0.0	0.0	0.0	131.65	0.14	44.7	52.98	533.32	8.77	142.97	0.0	243.29	128.56	194.47	38.85	0.0	69.69	0.0	0.21	0.0	0.35	0.81	79.66	0.52	28.44	28.31	29.97
Supt4h1	361.25	245.76	357.53	0.0	0.0	0.0	0.0	0.0	309.79	115.46	346.78	152.26	621.93	95.34	366.07	0.0	0.0	191.26	248.9	443.5	468.4	341.05	312.69	283.93	1.17	342.86	312.6	242.89	7.14	85.89	88.17	86.53
Tiam1	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	1.03	130.44	0.0	3.01	8.4	0.0	0.0	0.1	0.0	0.0	2.55	83.12	15.88	69.38	58.54	0.0	15.06	8.56	49.18	48.48	49.58
Tmem132b	2.31	135.27	25.29	0.0	0.0	0.0	0.0	16.82	28.16	23.78	18.75	8.03	123.39	49.76	36.3	0.04	92.99	17.96	0.0	13.59	0.0	11.24	0.0	0.0	4.53	188.48	4.4	42.78	0.0	63.03	59.03	67.55
Trim37	0.0	37.6	191.43	0.0	0.0	0.0	0.0	34.18	18.08	48.44	38.94	54.52	88.07	53.62	13.23	9.95	49.14	51.66	0.07	14.92	35.71	16.24	0.0	0.0	0.0	43.46	67.11	113.27	11.2	216.02	201.17	202.32
Upf1	5.65	3.51	5.14	30.66	0.0	13.34	0.0	0.16	4.08	2.24	2.19	6.68	28.05	0.86	1.52	8.81	2.87	9.63	7.5	6.35	4.07	2.03	9.29	1.34	5.77	0.0	7.74	6.58	0.0	41.5	43.06	42.2
Uty	0.04	4.01	65.89	0.0	9.66	0.0	0.0	0.0	20.51	0.0	8.1	27.55	204.36	27.12	3.61	0.0	0.11	0.09	0.74	0.0	46.09	5.76	0.0	4.01	0.04	114.38	6.87	3.23	8.28	0.02	7.35	8.31
Vps16	60.26	158.03	56.58	870.42	0.0	0.15	0.0	0.0	88.18	99.43	37.91	63.78	329.47	53.47	0.0	0.0	0.0	0.0	0.0	138.31	86.42	30.35	0.0	0.0	0.71	361.28	0.0	163.57	2.17	38.36	44.07	42.87
Ywhag	26.98	166.62	99.37	0.0	0.0	0.0	0.0	103.68	209.53	145.09	90.9	72.4	224.18	207.56	105.21	17.69	121.57	209.19	137.42	124.04	237.43	176.41	0.51	72.36	90.52	68.97	148.15	121.87	29.71	763.25	785.32	749.06
Zc3h7a	0.0	0.0	6.68	0.0	0.14	0.0	0.0	20.98	39.81	0.0	0.0	42.34	128.19	39.56	47.95	13.9	0.0	3.87	0.0	1.04	0.0	55.02	0.0	15.91	0.0	0.0	0.0	0.0	0.0	27.5	27.43	28.22
Zfp397	1.25	0.08	50.76	0.12	0.15	0.68	0.0	0.31	10.51	2.11	0.02	0.14	184.41	0.28	0.26	0.17	0.26	0.8	0.05	0.0	0.0	0.19	0.71	0.0	0.63	79.05	15.62	38.0	0.14	18.58	16.83	18.15
Zfp579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.53	17.28	15.67
c15_LSU-rRNA_Hsa	131.16	2.58	146.71	9.95	16.39	0.0	96.22	16.31	0.0	121.54	78.9	25.98	175.72	23.03	66.59	5.69	27.95	149.44	34.98	68.21	142.72	192.63	48.52	139.64	0.0	4.83	280.55	19.22	30.78	232.96	207.52	191.22
c18_LSU-rRNA_Hsa	92.18	24.25	128.42	31.94	1.6	6.26	1.43	5.58	0.0	145.43	42.86	56.72	188.43	0.0	36.16	0.0	96.35	44.44	27.41	87.71	34.61	78.79	3.02	134.47	2.8	30.39	243.94	26.44	0.0	372.01	304.0	345.49
