	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_23	Sst_tdTpositive_cell_83	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
Ccl27b	43.63	0.0	6.45	0.0	62.23	22.78	19.36	4.38	9.53	670.98	0.69	34.8	0.0	4.12	24.48	22.24	0.25	136.5	352.63	94.54	0.0	0.0	190.26	0.0	0.0	1.96	0.0	0.25	11.9	20.62	0.0	30.1	0.0	10.03	43.39	279.74	161.5	8.96	70.46	2.6	364.23	11.0	8.55	26.53	0.0	0.0	0.0	0.0	4.13	105.31	147.96	5.22	38.35	95.97	27.98	0.0	0.0	0.0	0.0	30.14	0.06	319.12	235.31	83.58	97.07
Cdan1	28.97	0.0	0.0	2.56	10.47	0.78	1.37	20.94	0.08	0.0	23.78	0.0	19.18	19.26	0.0	12.01	0.0	60.92	20.39	14.75	0.0	0.0	1.69	0.17	17.45	7.82	8.83	0.15	12.86	15.86	19.65	0.07	0.0	2.63	16.39	0.06	14.06	0.09	0.0	0.91	0.13	11.59	20.85	31.94	0.09	0.19	0.07	0.0	0.09	23.59	2.71	0.16	7.73	41.71	0.31	0.21	0.02	0.01	0.27	58.36	0.7	0.27	3.13	0.0	0.05
Cdk7	31.01	49.86	2.99	16.06	2.29	2.63	24.76	55.98	3.62	75.05	2.03	20.88	6.37	4.76	12.85	31.62	5.12	57.16	38.74	39.46	1.02	0.34	16.13	0.68	6.6	49.06	42.58	14.02	4.06	2.25	45.26	42.49	1.22	67.24	2.29	4.19	17.51	32.27	66.68	22.54	19.42	25.71	8.39	16.47	2.81	1.14	0.11	26.22	3.63	77.41	3.1	13.73	2.44	57.72	5.37	0.47	0.39	0.88	1.25	71.12	0.71	1.45	16.17	11.69	0.66
Celsr2	5.06	2.11	0.65	0.0	3.92	6.04	14.78	26.15	11.17	10.35	0.54	45.22	19.1	24.03	15.93	11.09	30.39	33.24	1.43	9.96	0.0	0.0	0.21	0.0	25.08	52.41	28.38	10.47	10.8	9.11	9.85	31.65	3.01	40.65	58.48	64.29	6.72	21.75	11.89	23.34	0.0	23.73	18.26	38.03	0.02	0.0	0.0	0.0	1.04	33.78	24.78	3.94	0.0	17.49	22.8	0.0	0.0	0.0	0.0	17.94	2.15	6.28	12.38	21.71	1.47
Chsy3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28	0.0	0.0	0.0	80.51	0.0	2.51	0.0	0.0	0.14	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	0.0	0.0	1.2	0.0	3.25	0.0	0.0	0.0	40.06	0.0	0.0	0.0	0.0	0.0	0.0	2.52	0.0	0.06	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	13.7
Ctbp1	6.79	95.36	0.0	0.0	0.0	1.73	82.06	54.91	75.26	0.0	53.81	0.0	0.0	2.2	0.0	19.38	14.84	111.56	52.2	0.0	0.0	0.0	0.0	0.0	0.59	0.0	1.04	0.0	86.76	0.13	0.0	0.0	11.35	11.1	1.18	0.0	4.65	0.47	0.88	0.0	0.0	0.26	0.0	1.23	0.0	0.0	0.0	0.27	0.0	3.25	3.12	0.21	0.0	59.51	1.33	0.61	0.0	0.0	0.35	26.41	0.0	15.03	63.99	0.0	0.0
Dapk1	0.0	70.13	73.77	24.48	7.93	0.0	2.48	0.1	0.2	0.0	0.13	36.29	7.41	37.7	0.07	0.07	15.59	1.76	0.0	0.1	0.0	0.0	0.1	0.0	1.62	0.0	0.0	0.0	0.0	2.66	9.31	0.0	0.0	0.28	0.56	0.07	0.29	0.0	15.12	32.3	13.47	49.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.27	0.0	0.0	112.52	0.4	7.91	0.0	0.0	0.0	0.0	0.0	61.46	2.6	0.0	0.06	0.0
Dda1	0.0	0.0	0.0	0.0	0.74	22.1	1.49	1.65	0.0	0.0	0.0	0.0	0.0	1.38	2.23	0.0	0.0	84.24	1.39	9.56	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.58	5.31	0.0	0.0	0.0	62.91	3.55	0.0	16.97	1.42	0.0	0.0	0.0	0.13	0.0	23.27	81.9	0.0	0.0	0.28	0.0	7.61	0.0	0.54	0.0	70.82	0.0	0.0	0.0	0.0	0.0	0.0	24.12	2.13	0.64	0.26	1.75
Dhx36	1.54	118.71	109.01	84.36	41.92	0.07	13.61	8.59	177.46	0.0	0.14	0.53	34.71	10.21	0.0	0.0	6.9	165.94	61.61	89.5	0.0	0.1	45.81	0.0	86.95	2.2	0.0	5.2	0.75	0.09	76.99	142.36	0.37	11.67	0.0	0.97	83.72	61.12	0.2	46.27	0.3	10.78	34.42	33.51	2.69	6.11	0.0	2.87	0.0	16.48	10.87	5.23	2.02	64.31	141.02	247.51	0.0	0.0	0.0	21.24	11.9	0.29	9.81	0.47	40.97
Doc2a	0.0	0.0	0.0	0.0	36.32	4.72	3.58	18.02	233.94	0.0	0.0	54.96	25.07	3.81	14.42	57.15	34.58	23.04	0.0	77.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	5.21	0.0	21.41	0.0	0.0	17.49	4.96	0.0	0.0	0.0	12.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.6	0.0	0.11	7.3	0.16	0.0	0.0	0.0	0.0	0.0	0.0	2.12	0.0	0.09	0.0	43.94
Ecsit	0.0	4.81	231.97	0.0	98.83	0.25	0.0	0.0	0.0	0.0	8.51	28.55	99.71	265.93	298.47	88.2	0.0	164.83	171.26	101.38	0.0	0.0	242.15	0.0	0.15	338.94	0.0	94.78	188.62	115.89	59.15	13.97	1.29	0.0	0.0	126.09	24.44	104.59	183.76	196.21	1.31	141.76	1.45	54.93	0.0	0.0	0.29	465.53	0.0	155.12	0.19	125.62	6.63	19.66	0.0	0.0	0.0	472.14	65.28	174.02	0.0	147.86	0.17	0.2	111.87
Elavl4	137.61	283.21	108.73	120.36	326.61	290.92	220.33	344.35	85.45	81.06	235.05	467.92	211.9	294.97	311.34	123.53	200.44	301.51	94.65	232.66	0.0	0.39	293.14	0.0	363.37	291.22	251.89	469.82	207.89	702.95	485.18	504.92	72.96	565.34	276.32	286.54	254.55	268.06	590.05	227.62	173.81	487.72	144.15	86.54	0.19	0.07	0.11	0.17	160.91	127.5	175.66	144.23	108.19	392.08	188.69	0.0	0.0	0.0	0.0	224.91	13.84	30.65	291.53	185.75	124.68
Erc2	71.71	105.66	0.09	14.77	54.24	67.27	31.26	3.29	14.54	2.05	0.0	107.15	26.47	31.4	40.16	20.87	76.89	101.42	109.55	41.19	0.0	0.08	121.71	0.12	96.91	66.68	102.5	26.18	103.2	57.23	122.77	37.63	2.8	18.68	50.0	6.88	88.27	16.48	21.74	47.16	14.01	17.74	23.43	7.16	0.04	0.0	0.0	0.0	201.62	75.9	87.97	20.99	55.53	37.9	16.72	0.0	0.0	0.0	0.0	0.0	0.05	29.18	15.8	0.0	30.16
Ercc4	45.95	1.56	2.92	0.49	1.62	0.93	1.75	1.09	2.08	1.56	1.15	1.45	2.22	1.61	1.02	0.97	2.36	116.86	1.3	2.47	0.19	0.53	1.01	0.82	1.03	0.45	17.55	25.06	24.21	1.03	1.66	38.46	0.53	57.31	0.89	2.2	1.22	6.46	1.02	2.42	1.71	0.63	1.86	20.5	0.68	0.17	0.53	0.25	2.46	0.5	0.84	1.55	2.01	62.18	3.04	0.0	0.65	0.24	0.0	2.26	0.82	1.43	4.13	0.9	1.12
Extl3	115.58	0.11	0.1	0.0	5.65	0.0	26.56	3.08	9.09	0.0	0.12	0.51	24.05	3.0	0.07	4.35	0.0	93.31	0.0	9.63	0.0	0.0	0.0	0.0	8.98	18.96	1.17	0.27	1.04	5.52	9.66	0.0	8.6	86.53	9.12	0.06	14.0	0.68	21.36	0.13	0.06	2.75	12.31	0.31	6.21	0.0	0.0	0.11	0.09	49.13	42.96	0.28	3.13	127.55	40.88	0.28	0.0	0.21	0.0	0.12	0.11	42.56	0.0	6.89	0.0
Fam110b	0.0	0.0	163.11	0.0	0.17	0.0	49.33	0.0	0.0	0.0	35.34	0.0	0.17	0.0	0.0	0.0	0.0	138.6	114.26	0.52	0.0	0.0	0.0	0.0	0.0	87.78	0.0	102.54	0.0	0.08	0.0	8.93	0.0	0.0	0.0	0.0	0.0	0.0	51.58	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.89	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0
Fzr1	4.32	0.0	0.0	0.05	25.06	0.0	77.27	0.0	0.0	2.22	11.71	63.84	13.93	71.64	0.17	6.95	0.0	200.83	0.0	18.6	0.0	0.0	0.0	0.0	5.25	0.0	6.54	0.0	102.18	0.0	8.33	0.0	0.0	83.43	0.4	0.0	1.92	1.67	77.32	42.02	0.34	68.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.76	0.06	0.22	0.0	34.18	0.0	0.0	0.0	0.0	0.0	0.0	24.55	0.38	0.0	68.39	0.0
G530011O06Rik	134.05	3.9	281.26	7.86	15.51	12.73	7.59	18.12	59.41	37.48	24.25	13.95	115.49	28.96	13.15	48.87	18.84	91.33	207.36	57.32	11.69	7.42	13.87	17.56	31.32	16.81	19.73	20.31	12.59	19.68	16.12	26.38	0.86	7.28	19.47	56.54	79.88	24.21	71.4	23.55	14.81	69.38	22.39	24.36	8.19	10.6	8.31	12.02	25.83	21.26	23.64	27.86	39.16	30.83	43.2	25.02	9.49	1.02	3.61	45.23	6.57	9.05	9.04	18.75	83.12
Gabrb3	93.45	0.0	20.23	0.0	38.24	97.77	72.05	63.91	52.01	0.0	18.27	99.67	194.02	165.91	81.32	25.31	0.0	93.88	93.84	145.16	0.0	0.09	0.3	0.0	132.15	49.26	117.04	27.18	156.74	29.73	62.1	83.18	0.0	71.68	12.02	22.18	21.18	65.42	26.67	57.7	0.07	88.84	81.05	60.57	0.04	0.04	0.09	0.0	128.92	119.42	161.04	3.91	25.35	21.41	165.63	0.0	0.0	0.0	0.0	79.11	10.61	71.23	17.9	100.44	24.67
Gak	16.68	0.0	5.91	0.0	8.5	0.0	1.17	0.47	29.76	16.27	19.45	30.42	27.62	8.78	40.18	54.73	0.0	124.48	18.19	12.65	0.0	0.0	0.48	0.0	10.89	0.0	24.15	0.29	98.51	0.13	66.02	124.6	0.0	0.46	0.8	0.0	17.91	11.07	95.57	7.3	4.93	34.46	7.63	0.07	0.05	0.0	0.1	0.0	0.86	0.44	1.34	0.16	1.18	26.42	11.24	0.0	0.0	6.39	0.0	0.0	0.43	0.13	6.8	0.73	0.75
Gba2	1.62	0.0	0.0	0.0	5.66	0.0	25.03	31.9	0.0	0.0	0.0	0.5	0.28	42.7	113.49	66.68	0.0	108.28	125.75	61.91	0.0	0.0	0.0	0.21	0.06	0.0	61.61	60.02	66.12	0.04	4.21	84.68	32.33	0.0	0.08	0.11	33.82	0.46	0.0	70.47	0.0	10.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.7	0.54	0.07	0.25	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.18	83.0	0.95	0.0	7.13
Gm13306	43.63	0.0	6.45	0.0	62.23	22.78	19.36	4.38	9.53	670.98	0.69	34.8	0.0	4.12	24.48	22.24	0.25	136.5	352.63	94.54	0.0	0.0	190.26	0.0	0.0	1.96	0.0	0.25	11.9	20.62	0.0	30.1	0.0	10.03	43.39	279.74	161.5	8.96	70.46	2.6	364.23	11.0	8.55	26.53	0.0	0.0	0.0	0.0	4.13	105.31	147.96	5.22	38.35	95.97	27.98	0.0	0.0	0.0	0.0	30.14	0.06	319.12	235.31	83.58	97.07
Gm14430	0.0	0.45	17.46	0.0	2.89	1.73	8.59	1.66	49.31	0.94	0.0	8.13	1.11	8.96	0.0	0.0	7.57	5.31	11.42	10.09	0.0	0.04	0.0	0.04	9.82	0.11	1.26	1.8	14.82	0.0	12.58	33.63	0.17	19.41	0.0	0.01	0.0	37.59	24.7	0.0	0.0	0.0	8.62	3.19	0.0	0.03	0.0	0.0	0.09	9.46	13.09	6.21	0.07	1.41	0.0	0.0	0.0	0.0	0.0	0.0	2.45	2.35	13.98	0.21	0.0
Gm14434	0.0	0.45	17.46	0.0	2.89	1.73	8.59	1.66	49.31	0.94	0.0	8.13	1.11	8.96	0.0	0.0	7.57	5.31	11.42	10.09	0.0	0.04	0.0	0.04	9.82	0.11	1.26	1.8	14.82	0.0	12.58	33.63	0.17	19.41	0.0	0.01	0.0	37.59	24.7	0.0	0.0	0.0	8.62	3.19	0.0	0.03	0.0	0.0	0.09	9.46	13.09	6.21	0.07	1.41	0.0	0.0	0.0	0.0	0.0	0.0	2.45	2.35	13.98	0.21	0.0
Gm2506	43.63	0.0	6.45	0.0	62.23	22.78	19.36	4.38	9.53	670.98	0.69	34.8	0.0	4.12	24.48	22.24	0.25	136.5	352.63	94.54	0.0	0.0	190.26	0.0	0.0	1.96	0.0	0.25	11.9	20.62	0.0	30.1	0.0	10.03	43.39	279.74	161.5	8.96	70.46	2.6	364.23	11.0	8.55	26.53	0.0	0.0	0.0	0.0	4.13	105.31	147.96	5.22	38.35	95.97	27.98	0.0	0.0	0.0	0.0	30.14	0.06	319.12	235.31	83.58	97.07
Gm4724	0.0	0.45	17.46	0.0	2.89	1.73	8.59	1.66	49.31	0.94	0.0	8.13	1.11	8.96	0.0	0.0	7.57	5.31	11.42	10.09	0.0	0.04	0.0	0.04	9.82	0.11	1.26	1.8	14.82	0.0	12.58	33.63	0.17	19.41	0.0	0.01	0.0	37.59	24.7	0.0	0.0	0.0	8.62	3.19	0.0	0.03	0.0	0.0	0.09	9.46	13.09	6.21	0.07	1.41	0.0	0.0	0.0	0.0	0.0	0.0	2.45	2.35	13.98	0.21	0.0
Grin1	0.0	0.0	0.45	0.63	0.21	4.43	1.92	20.13	0.13	88.25	0.0	35.63	6.91	45.08	11.33	7.15	3.46	11.28	13.37	13.26	0.0	0.0	9.79	0.0	9.67	20.8	14.97	0.09	10.83	16.92	29.55	27.4	2.23	30.82	1.55	52.23	5.86	1.51	13.03	3.7	9.94	10.21	27.2	11.83	0.0	0.0	0.0	0.0	11.94	95.83	90.64	8.6	0.57	18.18	66.94	0.0	0.0	0.0	0.0	11.0	0.0	0.71	1.05	82.28	0.15
Gucy1a3	0.0	0.0	0.0	0.0	0.14	0.0	26.99	11.68	233.13	25.22	100.82	19.77	117.21	37.69	90.72	0.0	0.0	73.57	165.54	0.0	0.0	0.0	146.44	0.0	0.05	0.29	0.0	0.0	28.32	0.0	0.05	0.0	0.0	13.52	0.0	0.08	0.0	39.1	0.0	43.95	0.0	0.0	8.83	75.38	0.0	0.16	0.09	0.0	6.94	209.08	31.16	0.0	44.52	0.29	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Kcnc3	0.38	0.0	20.32	0.14	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.26	0.0	8.33	0.0	0.0	0.0	26.77	0.0	0.71	0.0	0.0	0.0	0.0	0.04	0.0	0.09	0.0	0.0	0.03	0.0	0.71	0.12	18.18	0.0	0.0	0.0	0.0	0.26	2.11	0.0	2.41	0.0	14.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.24
Kif5c	41.57	0.0	85.27	53.65	54.46	25.56	37.42	45.12	0.0	295.23	9.78	19.01	71.7	25.36	65.8	22.34	13.3	117.34	57.2	100.32	0.0	0.0	111.19	0.05	76.37	34.47	43.26	12.22	167.18	55.87	103.24	258.23	23.06	46.23	3.19	0.43	87.91	53.54	97.43	179.61	73.58	38.53	143.67	52.08	0.14	0.0	0.0	0.0	39.18	173.2	232.47	91.2	155.5	60.0	279.3	0.0	0.0	0.0	0.0	108.38	0.0	35.98	23.56	24.1	30.1
Lyrm1	0.0	0.0	103.76	0.0	0.0	0.0	70.43	0.0	0.0	0.0	0.0	0.0	78.63	74.89	75.59	54.61	0.0	143.96	0.0	56.73	0.0	0.0	0.0	0.0	3.06	0.0	0.0	5.04	0.51	0.0	0.0	36.41	0.0	0.0	0.0	216.47	0.0	0.0	0.0	46.72	154.78	65.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.44	288.52	0.0	0.0	0.14	0.81	0.0	0.0	0.0	0.0	0.0	117.5	0.0	0.0	143.81	129.04
Mrpl47	0.0	0.0	0.0	0.0	172.79	216.47	159.5	51.21	0.0	290.63	0.0	2.66	69.97	99.26	97.62	54.49	103.51	279.21	0.0	1.86	0.0	0.0	34.68	0.0	127.39	93.18	0.0	147.14	34.77	108.14	0.0	51.75	0.0	0.42	0.0	120.27	24.03	45.78	0.0	14.35	159.07	15.49	50.75	0.0	0.0	0.0	0.0	0.0	132.06	110.72	248.38	0.0	0.0	50.63	248.3	0.0	0.0	0.0	0.0	188.94	42.11	160.46	125.03	59.87	14.27
Pcnxl2	65.82	0.0	0.0	0.0	16.81	20.92	2.71	18.73	7.17	0.0	0.0	20.38	0.46	0.86	2.18	7.72	0.0	53.64	16.35	0.35	0.0	0.0	1.71	0.0	0.58	7.48	0.0	10.55	12.42	0.02	11.29	30.87	19.08	0.0	33.97	0.21	6.92	3.6	5.43	1.26	0.05	14.92	1.04	27.21	0.07	0.0	0.0	0.0	0.15	6.34	2.58	3.9	0.0	37.85	0.0	0.0	0.0	0.0	0.0	17.99	4.35	0.0	6.35	34.09	0.0
