	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_41	Ndnf_tdTpositive_cell_9	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_46	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80
Gm2506	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	46.94	1.61	0.0	7.83
Katnal1	30.33	14.89	0.22	0.0	0.0	0.0	0.0	0.0	3.41	28.63	0.05	0.1	0.06	0.27	10.41	0.0	5.93	0.75	0.18	32.37	17.19	2.63	0.36	1.2	24.78	0.87	0.25	1.06	0.07	11.83	6.54	0.98	17.68	23.98	0.66	15.78	0.0	0.2	0.0	0.0	0.12	0.0	0.12	0.13	0.0	0.05	0.88	9.17	0.87	23.7	16.42
Kcnc2	184.3	35.39	0.0	0.0	0.0	0.0	0.0	0.0	184.37	226.86	103.98	110.6	45.45	102.13	123.09	109.1	71.6	100.15	68.22	66.5	99.69	85.21	25.17	66.42	131.9	106.58	33.8	78.23	18.2	19.71	53.38	55.49	15.38	132.76	70.55	111.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.05	27.4	119.01	61.8	107.55	104.77
Lats2	6.92	11.3	0.0	0.0	0.0	0.0	0.0	0.0	6.64	3.29	49.66	8.36	2.27	1.97	13.17	27.09	4.85	21.44	4.07	6.33	0.0	44.47	10.25	2.46	23.64	0.0	1.51	0.0	0.0	7.73	21.67	2.89	2.04	23.17	16.68	53.19	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	23.26	0.09	45.97	1.68	15.51	24.49
Mpp1	96.57	69.05	0.0	0.0	0.0	0.0	0.0	0.0	64.58	5.69	111.61	3.07	135.88	11.73	42.17	33.44	6.32	60.05	1.42	34.52	37.29	89.56	82.04	0.0	208.23	0.0	60.34	80.35	0.0	1.25	35.64	73.33	13.23	43.85	32.57	83.63	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.12	0.0	9.17
Nfu1	153.41	99.22	0.0	0.57	0.0	0.0	0.0	0.0	171.57	118.4	143.38	141.83	241.77	136.72	271.12	346.84	261.33	304.38	215.87	185.95	192.7	46.67	380.82	177.61	135.15	240.06	80.92	379.65	261.64	35.15	196.13	292.8	111.15	100.31	103.07	269.61	0.0	0.0	0.38	0.0	23.46	0.0	0.0	0.0	0.0	143.05	493.34	621.17	219.34	254.99	309.07
Npy	173305.25	115124.65	0.0	0.0	0.0	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	137580.94
Pde2a	225.26	28.78	0.0	0.26	0.0	0.0	0.0	0.12	89.22	44.24	98.31	0.03	32.47	114.43	59.56	95.41	172.94	80.59	51.8	108.36	56.63	115.49	46.59	125.8	84.31	115.2	172.47	103.9	103.43	7.74	49.11	20.83	156.14	180.58	165.03	50.45	0.15	0.0	0.09	0.0	0.94	0.0	0.0	0.0	0.0	36.3	112.73	47.57	2.73	78.05	113.12
Psmd12	215.57	177.33	0.0	0.0	0.0	28.32	70.4	0.0	100.7	288.99	145.31	133.67	172.51	104.16	287.5	211.77	385.31	213.47	100.76	293.26	218.04	102.39	76.08	52.9	157.31	124.65	69.94	33.75	33.45	120.29	196.66	235.47	158.37	219.52	251.71	247.22	0.0	0.0	0.0	0.0	0.0	69.69	0.0	0.0	0.0	134.23	164.9	301.8	163.09	236.85	143.44
Rab3b	1000.9	992.27	0.0	0.0	0.0	0.0	0.0	0.0	1198.43	971.84	934.59	1037.56	1206.28	1465.33	1246.9	1722.37	707.98	1423.77	929.45	1203.48	1202.87	649.01	793.16	964.61	677.65	1075.94	1196.76	751.22	824.17	811.02	832.67	952.42	620.57	1481.64	837.21	1027.99	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	1480.86	1039.21	1762.71	898.01	1576.88	1235.12
Rasgrp2	0.0	4.14	0.0	0.0	0.0	0.0	0.0	0.0	2.37	12.45	0.0	11.54	18.83	6.81	16.18	9.95	0.71	0.0	0.18	19.12	7.06	9.77	0.0	0.0	8.04	8.28	7.48	0.0	0.0	0.0	0.0	0.0	9.38	10.03	0.0	5.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.74	0.0	12.85	10.22	5.67	0.97
Rian	163.67	34.79	0.0	0.0	0.0	0.0	0.0	0.0	104.41	77.62	158.52	92.71	63.58	9.96	72.02	32.31	54.76	96.42	55.84	101.29	119.53	16.1	47.52	19.14	111.9	99.19	108.21	62.49	17.78	35.95	57.6	33.76	86.91	112.71	171.37	77.54	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	80.6	1.52	190.9	97.66	75.52	71.77
Snord116	6.02	14.63	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	12.13	14.21
Snord116l1	6.02	14.63	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	12.13	14.21
Snord116l2	6.02	14.63	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	12.13	14.21
Spata7	1.7	34.8	0.0	0.0	0.0	0.0	0.0	0.0	0.33	69.23	3.74	8.52	0.0	0.05	82.98	85.11	0.0	41.84	7.34	0.0	0.0	0.75	0.0	67.32	0.0	46.59	47.28	69.83	0.0	1.4	57.42	62.53	0.29	0.82	6.89	29.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.31	99.88	48.92	132.35	0.45
Spats2l	8.55	8.72	0.0	0.0	0.0	0.0	0.0	0.0	1.11	29.07	0.9	0.03	0.04	0.0	30.11	0.0	0.99	2.64	44.72	0.0	0.0	24.36	2.2	10.63	0.22	0.0	14.6	44.2	16.41	0.0	0.17	12.29	0.0	2.63	0.0	14.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.66	0.55	0.0	20.34
Sprr2a1	0.19	0.68	0.0	0.0	0.0	0.0	0.0	0.09	0.57	0.26	0.71	0.77	0.54	0.0	6.91	11.74	0.27	4.25	0.05	0.23	1.74	0.28	0.06	0.03	0.49	6.02	0.0	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.32	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.17	0.04	0.06	0.65	0.25	0.12	0.16
Sprr2a2	0.19	0.68	0.0	0.0	0.0	0.0	0.0	0.09	0.57	0.26	0.71	0.77	0.54	0.0	6.91	11.74	0.27	4.25	0.05	0.23	1.74	0.28	0.06	0.03	0.49	6.02	0.0	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.32	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.17	0.04	0.06	0.65	0.25	0.12	0.16
Timm17a	539.62	594.74	0.0	0.6	0.52	0.0	0.0	0.0	301.7	742.18	505.51	377.32	405.32	651.49	696.78	585.75	435.26	754.03	742.43	603.27	504.3	504.61	444.92	290.48	805.31	430.49	521.23	234.91	649.39	529.23	593.72	479.58	484.39	664.99	415.44	657.83	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	468.48	633.49	481.24	334.36	731.16	593.12
Tiparp	0.0	10.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.02	0.0	0.56	27.82	0.0	0.0	0.0	21.93	0.0	0.0	21.99	3.19	0.0	0.0	0.0	0.0	27.79	0.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	5.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.47	47.12	0.07	2.69	0.0
Vgf	19.33	7.09	0.0	0.0	0.0	0.0	0.0	0.0	15.22	27.06	22.72	20.91	5.55	32.82	23.55	11.35	24.79	39.99	29.21	45.81	5.21	7.83	3.86	41.0	12.61	10.38	20.41	8.62	1.66	4.0	8.84	22.89	6.08	46.78	6.75	10.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.85	10.59	23.21	19.91	16.22	8.72
