	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51
Nefh	0.0	14.03	0.0	0.0	0.0	0.0	23.98	5.14	8.52	0.0	0.0	0.0	33.18	78.02	8.49	90.01	65.07	48.3	68.27	89.63	70.19	75.69	22.14	90.31	32.52	16.51	44.52	38.72	145.17	233.76	107.74	99.21	28.61	61.11	70.43	133.09	0.1	46.87	57.51	114.82	44.79	68.53	51.63	84.01	0.78	59.18	94.02	62.19	122.53	100.1	103.28	116.26
Neto1	0.0	0.0	0.0	0.0	0.0	0.0	1.79	43.53	0.0	0.0	0.0	0.0	18.68	30.24	9.19	0.0	25.02	1.09	0.0	24.94	1.99	5.43	0.72	2.01	26.88	25.11	21.54	40.08	38.49	2.9	0.0	2.74	19.75	1.06	0.0	0.0	0.0	0.0	15.24	0.0	0.0	45.65	0.0	0.0	0.66	44.77	38.11	2.44	4.76	35.34	8.55	0.22
Ppip5k2	0.0	0.0	0.0	0.0	0.0	0.0	25.47	58.98	2.23	19.21	0.0	0.0	9.69	52.15	12.04	29.39	70.34	58.34	109.8	58.69	36.63	35.14	13.09	72.94	40.52	15.37	32.62	57.36	60.62	82.09	24.18	66.92	52.64	59.83	37.81	19.43	0.0	29.72	54.56	0.0	48.44	153.67	19.16	12.6	6.18	149.65	65.79	13.43	11.94	73.61	33.83	54.33
Pvalb	0.0	0.0	0.0	0.0	0.0	211.09	2506.7	1946.93	2914.72	0.0	0.0	0.0	3332.67	1987.37	1319.97	2144.98	1365.09	1711.38	1292.73	1590.34	1199.86	1414.35	862.9	1316.24	1724.33	1740.57	1769.21	1277.26	1815.89	1408.27	1731.8	1698.2	1974.07	1295.74	1472.89	1914.29	1166.7	2248.99	1223.54	1909.51	1763.04	1332.22	1681.17	1693.91	2567.22	1522.72	1689.22	1830.01	1571.08	1823.48	1749.01	3516.69
Rwdd1	0.0	0.0	0.0	0.0	0.0	16.59	42.4	8.79	0.0	11.01	0.0	0.0	80.16	101.93	68.28	67.58	32.93	19.86	38.89	29.46	55.51	67.81	44.66	43.42	28.92	8.9	28.75	0.0	17.77	40.09	52.68	74.97	6.24	48.94	31.27	14.68	0.37	66.04	35.46	0.36	0.32	114.58	56.84	73.14	43.31	68.86	79.1	3.24	78.4	93.32	59.71	37.69
Sept3	0.0	0.3	0.0	0.0	0.23	0.05	0.93	59.9	16.47	0.0	0.12	0.55	50.6	146.41	60.46	53.8	125.37	67.59	90.52	79.37	76.93	52.15	55.58	97.37	1.35	90.27	23.91	11.97	66.56	71.84	25.11	61.09	42.74	21.41	114.98	125.19	39.72	163.37	36.16	43.99	0.09	65.48	76.43	122.22	15.21	132.81	6.94	81.67	128.18	188.95	153.74	68.52
Snap91	0.0	38.61	0.0	0.0	0.0	51.72	69.44	42.41	2.05	0.0	0.0	0.0	59.82	81.9	38.92	29.29	53.6	97.31	120.3	22.27	109.6	55.03	32.22	187.3	84.01	89.56	41.69	46.43	86.96	106.17	40.36	83.01	43.82	31.63	120.09	73.47	0.0	49.53	151.47	48.2	24.99	70.69	122.56	89.76	69.03	126.45	127.84	33.91	234.5	240.09	177.5	84.31
Sorbs1	52.67	0.05	12.72	0.0	52.57	0.0	26.97	64.5	115.93	46.66	0.0	47.39	131.96	116.65	49.57	68.97	55.01	125.63	163.15	75.69	70.48	94.38	6.48	88.11	106.28	79.08	117.94	49.25	76.5	113.62	67.76	170.7	73.61	70.89	61.5	57.62	33.74	55.81	84.91	71.04	110.78	236.5	168.2	34.17	59.57	99.26	72.89	172.1	256.26	208.54	151.26	129.07
Spock1	0.0	37.24	0.0	0.0	0.15	66.74	49.31	64.53	17.82	0.0	0.0	0.0	32.34	81.11	5.34	54.11	59.43	49.93	82.32	53.54	83.45	80.99	68.79	83.2	98.9	85.87	48.31	20.9	121.12	38.02	9.9	89.21	52.37	13.98	41.38	34.36	50.12	49.84	75.35	75.48	59.04	131.8	60.07	78.37	54.23	91.56	42.02	57.83	132.37	140.36	100.93	77.14
Tex2	0.0	7.22	0.0	0.0	0.0	11.93	27.2	53.85	0.0	0.0	0.0	0.0	25.8	14.49	13.37	45.02	14.09	19.3	52.66	32.93	29.35	72.13	1.38	81.07	15.17	9.79	46.07	0.0	28.66	62.08	16.78	27.1	9.95	59.14	19.24	19.65	0.0	31.22	0.32	13.1	0.0	39.51	27.36	24.41	25.22	85.55	32.4	26.29	65.24	37.7	28.55	0.58
Tmem57	0.0	0.06	0.0	0.0	0.0	0.0	19.61	9.44	0.08	0.0	0.0	0.0	16.02	5.24	14.75	27.2	6.83	1.34	16.42	1.23	20.53	0.0	0.0	9.04	3.93	25.57	2.55	0.0	16.53	0.0	24.74	0.0	6.45	17.66	27.33	0.0	1.73	0.0	9.92	0.77	2.87	46.77	0.0	0.0	9.34	29.43	0.0	6.37	26.59	15.44	23.73	42.66
Trp53bp1	0.0	0.0	0.0	0.0	0.0	8.93	39.74	41.1	0.96	0.0	0.0	0.0	19.42	23.72	9.22	15.9	9.56	3.06	48.49	7.68	3.12	20.33	7.53	16.2	10.32	0.05	13.31	5.82	10.3	13.11	11.26	18.62	2.12	0.14	28.33	2.6	0.0	27.49	10.37	21.28	30.71	38.27	24.05	18.02	5.35	30.51	36.68	14.03	20.43	33.15	41.14	21.15
Tusc2	0.0	16.89	0.0	0.0	0.0	0.0	12.77	3.86	8.24	0.0	0.0	0.0	22.93	64.41	46.51	148.5	5.6	8.93	68.01	14.47	6.96	44.86	12.98	5.55	13.16	6.83	12.74	20.24	59.81	19.64	49.12	47.67	52.9	18.11	48.61	6.34	0.0	37.08	11.33	26.86	2.25	95.36	9.77	53.23	52.73	88.91	51.01	24.63	55.65	30.52	47.15	69.16
Vamp1	38.87	0.0	0.0	0.0	0.0	111.34	82.08	71.43	29.77	3.21	0.0	0.0	89.17	108.03	61.88	88.18	77.92	75.53	309.65	54.17	105.26	204.8	94.09	223.98	62.72	121.86	126.35	51.39	152.03	189.43	130.96	241.04	99.48	80.25	10.14	107.42	20.26	84.08	122.95	59.54	132.88	125.39	54.88	88.31	142.28	140.24	135.33	184.84	187.73	199.29	157.74	136.71
Zfp148	0.0	0.0	0.0	0.0	0.0	4.41	12.58	38.54	5.5	0.0	0.03	2.01	15.42	15.09	15.13	9.93	2.32	15.85	13.02	7.92	25.32	4.82	19.86	10.38	23.47	20.67	13.11	20.34	3.36	6.12	14.12	18.07	8.6	0.17	11.22	17.27	3.84	5.15	32.55	34.81	0.0	55.46	10.41	5.64	5.67	22.81	10.23	5.91	33.99	2.16	4.13	31.95
Zfp944	0.0	0.0	0.0	4.54	0.42	0.0	5.92	0.62	0.0	0.0	0.0	0.0	0.64	0.21	0.11	1.18	0.76	0.73	0.0	39.06	47.49	0.19	0.48	53.82	1.03	0.0	0.34	0.12	20.74	30.73	38.74	15.47	0.0	1.01	0.0	0.0	0.14	2.47	0.0	0.0	0.0	44.19	1.14	0.14	0.62	51.07	1.43	0.0	0.01	0.83	11.82	28.29
