	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21
Hapln4	0.0	0.0	2.06	41.38	0.0	104.79	0.0	0.0	0.17	65.14	24.87	43.61	103.96	0.0	69.88	26.6	52.52	11.88	71.64	27.6	55.46	59.67	24.38	66.91	66.3	30.7	37.89	44.5	76.99	34.79	10.92	37.32	32.28	45.07	44.07	43.76	59.55	83.37	10.78	43.62	60.25	0.0	0.0	0.0
Hdac2	0.0	0.0	10.73	61.52	0.0	9.49	0.0	0.0	0.3	0.0	0.0	14.42	37.96	24.4	5.21	57.7	0.96	73.92	46.06	5.71	1.96	120.67	0.69	134.4	3.15	0.0	36.76	0.0	26.61	50.86	3.9	0.0	0.0	2.85	0.0	0.0	5.15	159.2	0.27	0.0	37.94	0.0	0.0	0.0
Igbp1	4.44	0.0	74.48	0.0	0.0	53.98	0.0	0.0	0.0	126.72	1.5	155.03	67.11	55.85	97.14	124.27	0.0	71.52	99.54	66.09	168.84	85.33	77.46	289.14	5.42	96.69	132.2	216.66	58.48	219.01	40.52	45.19	214.51	98.94	0.0	42.32	209.63	159.84	18.64	8.78	4.82	0.99	0.0	0.0
Ina	0.0	0.0	91.4	92.47	0.0	30.4	0.0	0.0	0.0	68.79	72.73	16.54	160.3	32.49	7.72	80.23	42.68	152.84	95.12	87.96	87.48	140.31	46.51	193.83	94.31	98.9	1.87	65.21	60.73	100.19	56.31	70.61	73.24	116.18	82.05	47.98	84.18	178.3	45.36	65.9	144.97	0.33	0.0	0.0
Kcmf1	0.78	0.0	1.69	1.94	0.0	6.69	0.0	132.16	0.0	29.98	0.0	6.34	18.42	11.55	24.68	3.57	25.71	9.2	5.28	25.49	3.17	7.33	22.77	72.42	19.92	2.05	4.84	52.0	13.32	29.81	53.34	13.09	12.11	3.23	2.15	11.11	4.13	47.75	0.66	28.58	29.54	0.11	0.0	0.0
Kcnab2	0.0	0.0	34.78	25.04	0.0	39.01	0.0	0.0	0.0	61.03	47.5	45.26	87.19	21.11	102.87	58.06	23.79	116.01	61.28	56.58	89.61	36.84	4.56	48.07	22.53	34.78	77.57	88.78	53.29	113.61	33.32	77.34	118.17	49.89	26.18	85.61	64.08	73.2	43.88	35.72	98.54	0.41	0.0	0.0
Kcnc1	0.16	0.0	61.63	42.45	0.37	49.74	0.07	0.0	0.0	80.85	77.82	74.02	107.15	73.05	64.73	73.76	65.88	89.51	84.17	77.61	96.22	81.63	78.93	162.14	114.84	46.31	68.03	69.72	81.58	80.3	61.05	90.6	36.48	121.18	142.51	81.33	52.3	106.68	59.41	41.77	73.73	0.3	0.0	0.39
Ldhb	7486.96	5274.92	6819.53	7692.96	5600.23	8752.31	3732.24	4948.76	6399.01	8798.32	10118.08	10894.4	8892.3	7735.26	8217.62	8583.06	8517.89	9220.91	8808.99	8574.79	10165.1	9166.61	9602.81	7343.35	7785.08	11261.44	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	8275.76	7724.63	10182.84	11746.38	5873.38	5577.5	2538.41
Ncoa7	5.45	0.0	0.0	3.33	0.0	35.45	0.32	0.0	0.12	18.71	22.58	23.9	3.73	0.0	15.42	25.34	27.44	53.6	33.21	22.94	56.88	75.28	2.4	6.78	39.58	3.47	8.87	63.8	17.64	53.93	28.45	1.82	37.37	0.68	0.45	28.75	32.09	33.66	33.13	59.91	3.62	0.21	0.0	0.0
Ndufa11	0.0	0.0	282.58	271.67	0.0	386.69	130.2	185.3	0.67	374.62	428.32	421.63	335.54	357.68	338.92	349.85	463.92	230.16	403.33	441.52	261.42	500.99	274.53	436.01	455.31	258.58	402.19	344.58	453.46	493.23	402.72	377.07	369.32	369.86	515.6	418.93	403.18	430.02	276.98	282.37	337.35	2.36	0.0	112.74
Nefh	0.0	0.0	84.0	5.14	0.0	33.18	0.0	0.0	0.0	78.02	8.49	90.01	48.3	68.88	82.42	68.27	96.45	89.63	75.69	92.34	90.31	0.39	32.52	194.77	80.6	16.51	34.28	44.52	145.17	233.76	107.74	99.21	88.26	28.61	21.77	9.81	61.11	104.22	70.43	133.09	116.26	0.0	0.0	0.0
Nudt21	0.0	0.0	0.0	72.13	0.0	0.0	0.0	0.0	0.0	40.2	0.0	0.44	0.0	0.0	43.03	14.68	26.01	0.0	0.0	57.19	36.19	101.82	0.0	0.0	43.42	0.0	25.42	31.38	53.17	0.26	0.0	21.93	92.47	4.45	52.02	26.64	69.63	50.93	4.05	63.82	0.36	0.0	0.0	0.0
Ociad2	12.52	26.96	89.06	126.41	61.47	133.57	29.3	24.91	26.85	336.83	194.48	165.03	182.72	259.53	146.5	99.87	371.51	233.44	102.98	131.78	204.89	499.35	130.75	298.92	166.97	95.02	96.15	76.36	259.39	237.1	325.42	116.85	301.58	160.62	158.02	105.91	419.29	235.42	141.25	340.86	199.58	21.15	347.19	4.42
Pdrg1	0.0	0.0	65.26	59.09	0.0	102.7	0.69	0.0	0.0	131.23	229.28	126.99	343.61	213.15	171.06	36.13	51.55	183.65	49.56	231.76	142.12	219.23	197.16	248.24	123.69	14.33	115.6	36.43	172.72	202.23	138.21	0.94	234.84	68.04	144.5	76.52	57.67	172.35	65.17	60.03	96.76	0.62	0.0	0.0
Pin1	2.64	0.23	16.63	27.34	141.64	21.04	2.36	0.22	3.27	40.94	105.4	49.17	36.92	46.24	14.57	10.99	98.25	57.17	44.93	13.73	29.03	47.3	21.16	62.79	44.62	4.01	3.53	67.16	53.19	60.96	49.22	37.72	55.27	48.64	37.87	57.58	31.8	72.14	37.37	36.24	35.42	2.49	0.72	0.0
Plec	0.0	0.03	6.24	16.37	0.0	18.2	0.22	0.0	0.04	31.39	31.81	32.5	16.28	17.71	21.12	12.62	4.29	31.84	26.85	11.64	31.37	39.51	10.3	33.55	11.79	30.21	10.66	38.06	38.13	19.18	22.24	39.83	17.68	7.79	6.46	7.42	22.23	30.78	19.88	7.63	23.43	0.15	0.0	0.0
Prkcz	0.0	0.0	3.67	58.79	0.0	37.75	0.0	0.0	0.29	32.94	16.92	44.65	83.37	0.0	29.74	24.41	5.55	50.8	38.98	18.56	50.26	68.88	40.51	61.57	55.35	0.09	23.6	28.3	32.44	41.05	0.4	89.52	24.51	0.11	17.71	26.28	24.21	22.28	9.13	8.11	40.74	0.45	0.0	0.0
Psme3	0.0	0.0	0.24	0.0	0.0	35.25	0.0	0.0	207.98	1.59	22.65	10.05	37.39	0.0	32.07	1.91	0.0	34.12	20.73	0.91	21.77	77.84	31.37	117.97	37.5	0.0	9.04	17.13	36.62	16.24	13.74	11.59	37.65	0.0	0.0	16.43	0.0	100.14	0.0	19.86	2.38	0.28	0.0	0.0
Raf1	0.15	0.0	7.23	6.18	0.0	43.67	0.0	0.0	0.19	49.18	0.0	1.09	31.65	0.0	17.37	38.42	2.3	45.5	21.77	0.0	28.33	39.16	0.15	49.11	24.8	0.12	33.66	6.79	38.76	18.44	19.03	12.21	40.35	0.14	2.97	15.42	0.0	6.15	14.28	0.29	1.71	0.12	0.0	0.0
Rgs7bp	0.74	3.47	10.93	5.62	5.81	52.49	2.32	2.17	2.17	89.87	23.82	30.7	80.03	58.5	95.93	136.16	66.56	41.33	64.61	46.53	75.33	91.72	8.08	61.98	110.95	28.57	66.18	51.6	56.56	36.19	27.38	36.07	38.49	52.8	60.96	73.45	61.33	57.6	22.9	10.56	9.01	2.14	1.02	3.29
Scrt1	0.0	0.0	0.54	0.0	0.0	0.21	0.0	0.0	0.0	2.62	0.12	1.18	0.0	0.57	1.62	0.82	0.16	0.2	1.26	0.0	0.8	0.76	2.27	3.41	0.9	0.09	0.0	0.68	0.35	0.76	0.0	0.19	0.74	0.22	0.63	0.1	0.71	1.91	0.0	0.45	0.47	0.0	0.0	0.0
Sept3	0.0	0.1	18.06	59.9	0.55	50.6	0.0	0.0	0.26	146.41	60.46	53.8	67.59	45.0	88.32	90.52	23.89	79.37	52.15	28.42	97.37	91.3	1.35	127.05	45.45	90.27	115.5	23.91	66.56	71.84	25.11	61.09	69.16	42.74	48.8	95.18	21.41	144.36	114.98	125.19	68.52	1.08	0.0	0.0
Slc12a5	0.0	0.0	16.36	19.12	0.0	50.45	0.0	0.0	0.29	23.83	27.63	49.51	52.74	2.63	23.25	76.02	31.16	33.18	15.23	4.81	33.88	42.91	31.13	52.01	19.41	7.6	21.05	38.34	22.53	41.02	14.95	9.16	13.46	12.58	16.67	31.76	16.82	45.05	9.69	31.69	23.71	0.29	0.0	0.0
Syn1	0.0	0.0	18.6	0.9	0.0	54.88	0.26	0.0	0.19	63.84	30.76	19.81	47.08	0.36	0.68	5.48	17.36	8.19	16.23	18.73	8.36	23.98	32.12	58.73	35.32	3.59	7.27	41.23	21.11	59.67	20.15	10.82	32.73	17.35	9.77	17.76	2.2	43.7	60.41	21.99	3.73	0.23	0.0	0.0
Syt7	0.0	0.0	7.34	25.57	0.0	3.72	0.0	0.0	0.34	6.69	0.43	20.55	4.42	0.09	26.76	6.64	1.66	4.68	49.81	21.13	25.19	29.14	3.65	41.12	19.06	11.04	11.89	15.55	19.06	26.82	6.19	21.93	25.39	22.65	21.07	20.0	10.92	16.63	2.62	9.63	11.07	0.3	0.73	0.0
Tagap1	0.0	0.0	359.96	199.94	0.2	101.63	0.0	0.0	1.01	208.0	148.47	146.6	244.24	53.59	465.59	185.03	516.88	122.42	285.55	147.76	204.8	323.85	205.69	589.28	380.41	408.68	65.32	114.97	212.56	270.5	308.67	94.99	152.12	310.66	184.64	269.66	145.96	268.46	200.03	276.81	159.93	0.94	95.44	0.0
Tet3	0.0	0.0	0.0	0.0	0.0	7.49	0.0	0.0	0.0	0.91	6.2	0.0	0.0	0.15	2.56	0.98	0.06	2.0	1.69	0.05	0.18	17.26	0.0	19.29	3.53	2.12	6.59	1.41	0.97	0.28	0.04	0.2	4.87	1.49	0.0	0.0	0.29	15.83	0.0	0.16	1.49	0.1	0.0	0.0
Tnfrsf12a	0.0	0.0	169.45	0.7	0.0	190.81	0.0	0.0	0.0	222.23	0.3	253.53	641.17	141.52	153.56	538.86	186.28	244.37	163.14	414.14	946.55	844.51	310.37	241.07	144.62	77.61	66.4	0.0	407.6	297.97	287.06	54.94	347.44	146.88	496.27	118.84	281.76	461.64	163.36	215.76	67.72	0.0	0.0	0.0
Ube2d1	0.0	0.33	55.46	35.07	0.0	47.54	0.0	0.0	0.0	63.0	10.46	50.41	57.63	6.1	69.12	88.88	61.18	92.39	83.45	13.2	48.12	122.08	52.73	4.15	96.68	8.24	0.37	2.39	6.62	83.72	44.74	3.43	44.55	1.24	2.96	63.0	1.15	60.72	10.5	40.9	2.08	8.6	0.0	0.0
Vamp1	38.87	0.0	13.28	71.43	0.0	89.17	0.0	0.0	0.0	108.03	61.88	88.18	75.53	23.31	95.96	309.65	193.37	54.17	204.8	120.26	223.98	153.6	62.72	203.76	142.28	121.86	62.52	126.35	152.03	189.43	130.96	241.04	181.36	99.48	29.18	74.49	80.25	147.97	10.14	107.42	136.71	0.13	0.0	0.0
