	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_57	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C530044C16Rik	0.0	0.0	33.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.38	0.75
Cdc42se1	0.0	0.0	128.08	0.0	0.0	48.58	0.0	0.0	0.0	29.33	0.0	0.0	32.27	9.99	3.47	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.4	26.22	0.0	0.0	0.0	0.0	0.0	0.0	18.19	5.5	42.32	58.74	55.44	53.16
Cdh18	0.0	0.0	112.63	4.69	0.0	1.94	1.53	1.36	59.73	2.53	40.29	11.8	0.4	28.26	11.98	0.47	31.2	13.48	0.17	5.03	0.0	27.88	28.85	31.85	21.85	35.35	7.14	0.0	0.58	0.0	0.0	0.91	128.69	15.32	14.9	15.14
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chst1	2.4	0.08	66.25	0.0	0.0	0.0	0.0	0.84	0.0	0.86	0.0	0.0	0.0	4.35	0.0	2.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.14	0.0	0.0	0.0	0.46	0.2	0.0	0.0	0.0	206.13	226.17	215.2
Cntrob	0.0	0.0	25.43	0.0	0.0	0.0	1.94	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.91	0.0	0.0	3.08	0.0	13.33	12.79	13.33
Csnk1e	0.0	0.09	51.92	0.11	0.0	26.99	11.95	0.0	1.04	0.65	31.02	34.34	2.16	0.37	37.45	0.24	0.0	0.0	4.15	7.3	6.02	15.02	2.42	18.94	14.38	17.93	15.06	35.3	30.72	7.26	33.55	3.53	6.84	87.5	91.6	82.59
Ctnna3	0.0	0.0	73.87	0.0	0.0	0.63	0.0	0.0	0.0	0.0	11.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	0.95	1.54
Cyp39a1	0.0	0.0	101.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	1.92	1.9
D030056L22Rik	0.0	0.0	126.66	0.0	0.0	13.27	0.0	0.0	0.0	16.76	16.03	46.71	0.34	24.6	0.0	25.85	5.28	0.0	0.0	0.0	0.0	3.56	10.37	0.0	0.0	3.42	0.0	0.0	2.85	13.76	0.0	10.26	0.0	35.91	35.93	33.53
Ddr2	0.0	0.0	48.74	0.11	0.0	0.21	0.17	0.0	0.13	15.15	0.22	0.11	0.4	0.06	0.14	0.08	0.19	5.08	0.07	0.0	6.82	0.0	0.06	0.28	0.15	0.12	0.23	0.12	0.21	0.23	0.25	0.09	0.04	4.64	3.87	4.57
Dhx33	0.0	0.0	75.3	6.18	0.0	0.11	0.0	2.57	25.67	0.15	0.0	14.19	10.16	0.1	2.86	7.57	0.59	4.52	14.67	0.0	0.0	0.62	0.0	0.0	0.14	16.82	0.0	0.0	32.94	0.1	0.0	24.18	0.04	23.89	25.22	23.18
Dlg3	0.0	0.0	60.71	0.0	0.0	47.67	2.72	1.49	26.86	6.68	14.17	11.58	11.35	8.03	9.29	18.83	0.23	3.63	19.2	8.14	1.01	3.43	1.41	0.0	2.69	13.16	13.28	0.74	9.17	6.29	0.0	10.17	0.0	115.59	116.54	115.46
Dlx6as1	0.0	0.0	279.87	6.99	0.0	70.64	16.87	81.73	28.48	34.88	83.73	0.0	56.85	40.98	30.72	35.64	0.18	1.42	7.4	9.76	18.19	51.98	7.98	16.9	114.57	19.14	0.0	88.46	7.92	0.0	25.34	109.24	11.82	12.65	11.96	16.06
Dopey1	0.0	0.0	63.1	28.08	0.0	4.51	32.64	0.0	0.45	9.59	2.42	13.69	14.71	16.19	17.29	14.44	0.5	3.76	0.0	2.27	10.7	9.97	0.0	10.93	0.28	3.46	11.94	5.77	0.17	1.39	5.71	0.03	25.19	20.62	18.0	19.29
Dusp4	0.0	0.0	26.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.27	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.36	11.55	9.25
E230008N13Rik	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.22	0.24
E430018J23Rik	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.63	0.0	0.0	0.0	4.31	5.87	6.61
Eid1	11.6	0.1	78.51	0.0	0.0	34.08	0.83	38.45	0.0	48.74	0.0	20.85	8.74	17.17	0.24	0.0	0.0	39.65	46.18	4.26	20.31	13.24	8.86	33.95	0.3	13.0	0.0	0.0	10.51	0.0	0.0	31.7	14.55	219.68	227.68	212.38
Enpp1	0.0	0.0	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	20.48	0.0	3.39	3.57	3.09
Epc1	0.0	0.0	55.08	0.0	0.0	2.64	0.0	6.58	3.5	11.3	5.01	1.24	17.97	0.0	5.63	0.0	6.67	0.0	8.39	4.0	1.04	0.0	0.0	2.57	4.41	9.69	4.54	18.72	16.89	8.76	0.0	0.0	2.04	30.79	31.26	29.54
F8	0.0	0.0	25.08	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.04	0.1	0.0	0.0	1.47	0.0	0.0	0.0	0.16	0.0	0.06	0.0	0.03	0.87	0.82	1.03
Fam177a	57.42	1.48	23.58	6.19	0.0	6.82	24.53	3.54	29.66	6.7	6.99	10.97	13.82	12.74	13.08	7.94	0.58	9.27	13.56	1.24	24.24	10.75	15.55	5.43	1.71	1.54	16.29	0.63	44.52	9.58	6.62	10.55	3.78	17.56	16.4	17.92
Fgf17	0.0	0.0	15.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.44	0.3
Fscn1	0.0	0.0	34.6	0.12	0.0	3.34	0.0	2.33	0.0	3.18	0.62	0.0	5.09	0.0	0.0	0.0	0.0	0.0	9.12	0.0	0.0	0.0	0.0	2.3	0.7	0.0	0.0	0.0	0.3	0.0	0.0	3.77	0.0	187.25	206.18	214.83
Fyn	0.0	0.0	69.87	0.0	0.0	5.85	17.8	19.59	0.0	5.45	28.55	0.0	16.12	21.87	48.87	2.25	0.0	0.0	29.67	12.09	26.66	27.22	0.0	0.0	20.97	0.0	7.92	0.0	0.57	5.76	12.61	0.07	0.0	86.91	88.84	93.92
Gclm	0.0	0.0	18.52	0.0	0.0	7.39	0.0	0.0	9.27	3.74	6.34	12.05	5.27	0.0	27.75	0.0	0.0	0.0	0.0	0.0	0.0	2.48	7.51	0.0	6.49	0.0	0.0	0.0	2.76	0.0	0.0	8.72	10.1	39.26	42.49	40.25
Gm10451	0.0	0.0	154.72	0.0	0.0	0.0	0.0	44.93	0.0	0.0	12.66	30.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	2.04	0.94
Gm10509	0.0	0.0	167.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	42.23	58.75	63.13	0.0	67.56	5.51	4.8	5.67
Gm11648	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.11	0.09	0.0	0.0	0.0	0.0	0.0	0.09	0.29	0.0	0.0	0.0	0.28	0.47	0.16	0.61
Gm410	0.0	0.63	1.63	0.9	0.0	0.39	0.55	0.14	0.0	0.45	0.0	0.0	0.71	0.29	0.08	0.38	0.38	0.0	0.26	0.23	0.0	0.51	0.79	0.7	0.22	0.0	1.18	0.24	0.23	0.31	0.0	0.21	0.56	2.31	2.27	1.99
Gorab	0.0	0.0	101.62	52.29	0.0	0.0	0.0	0.0	19.85	0.0	5.98	35.97	10.62	38.05	0.0	0.26	6.47	9.2	5.31	71.0	21.2	38.26	27.74	0.0	4.79	21.96	36.87	0.0	0.0	0.86	24.9	0.0	0.0	10.47	9.24	9.27
Gpr107	0.0	0.0	89.67	0.0	0.0	31.05	50.01	0.0	0.24	0.0	2.74	0.6	23.47	0.38	0.0	0.0	0.0	0.0	32.61	49.42	2.33	10.31	1.48	23.88	0.47	19.23	0.11	0.0	4.45	0.0	0.0	16.32	0.0	30.55	31.1	30.62
Gpr165	0.0	0.0	22.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	3.73	0.0	0.0	0.0	0.0	0.0	5.87	0.0	0.0	0.0	0.0	0.0	9.12	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.06	8.54	7.55	8.69
Grb10	0.0	0.0	39.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.0	7.87	0.0	0.0	2.17	0.0	0.0	0.0	0.0	0.05	0.04	28.2	25.18	23.92
Gripap1	0.0	63.99	114.73	0.11	0.0	29.37	12.93	17.17	35.77	57.13	20.17	28.62	43.57	35.16	28.19	5.77	23.2	40.42	26.96	15.03	17.73	49.12	17.85	71.62	59.01	20.16	33.93	12.19	75.8	10.51	88.47	55.19	4.32	84.58	88.63	88.46
Grwd1	0.0	82.14	118.56	0.0	0.0	0.94	0.0	40.3	0.0	38.83	55.6	39.84	0.0	19.1	0.0	9.99	79.85	0.0	0.0	0.0	0.0	0.0	0.0	98.42	31.41	20.7	0.0	0.0	80.22	62.4	0.0	102.55	56.47	17.54	17.82	16.54
Hcrt	0.0	0.0	4.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.5	0.0
Hddc2	0.0	0.0	159.17	0.0	0.0	58.84	49.87	94.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.44	0.0	0.0	0.0	0.0	0.0	0.0	49.43	0.0	0.0	23.72	0.0	84.92	0.0	0.0	62.29	14.07	42.56	21.68	22.75	23.31
Heatr5a	0.76	0.05	17.69	0.36	0.0	0.24	0.14	0.0	0.23	0.29	0.33	0.19	0.0	0.07	7.59	0.68	0.7	0.45	0.11	0.38	0.1	0.09	0.16	0.15	0.04	0.5	0.34	0.61	1.19	0.39	0.38	0.11	0.27	5.65	5.04	5.79
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hist2h2bb	0.0	0.0	38.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0	2.35	2.01	2.86
Hist2h2be	0.54	0.0	140.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.05	0.0	26.98	2.21	0.0	0.0	0.27	0.0	0.0	0.28	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.36	7.8	6.84	7.85
Hmgcr	159.62	31.23	126.33	24.25	0.0	26.14	26.02	34.72	17.87	13.63	41.15	29.36	39.34	32.23	53.71	29.37	41.97	93.28	21.36	10.68	33.05	46.58	12.85	114.41	0.0	15.92	10.24	25.72	32.0	77.32	23.87	67.22	22.52	82.1	81.36	73.16
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Ier2	0.0	0.0	5.14	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.94	26.06	17.59
Ilkap	0.35	0.0	114.3	0.0	0.0	0.89	4.71	0.0	0.0	8.05	67.69	12.4	0.0	0.0	36.16	25.22	0.0	0.0	1.37	22.28	0.0	4.81	0.0	53.05	7.84	0.0	0.0	0.0	0.0	63.64	0.0	0.0	0.0	47.68	51.14	49.31
Itgav	0.33	0.0	41.88	0.0	0.0	8.54	3.04	17.03	2.0	4.42	4.07	1.66	1.9	5.9	10.95	0.27	0.0	0.0	0.51	3.91	1.25	21.21	11.51	0.0	1.62	36.1	0.18	4.35	4.35	0.0	11.76	15.32	0.54	36.08	35.52	36.84
Kcnma1	0.0	17.94	84.44	140.19	0.0	56.35	66.86	17.09	26.89	24.56	22.39	35.95	26.09	28.27	33.63	58.24	54.7	0.25	14.14	104.51	28.73	39.18	24.55	34.15	56.33	59.77	108.52	19.2	35.95	37.68	19.61	9.87	57.88	74.17	60.49	78.81
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Khdrbs1	0.13	0.0	67.47	23.65	0.0	9.12	5.02	0.0	14.34	14.9	40.65	23.88	27.33	12.37	66.56	81.92	0.0	0.0	0.0	20.61	47.04	20.67	21.14	0.0	1.39	24.8	7.28	32.4	16.08	1.0	36.9	44.88	12.89	86.97	90.31	83.31
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Larp6	0.0	0.0	66.18	0.0	0.0	21.4	0.0	0.0	2.08	4.36	2.53	0.0	0.47	0.0	0.0	6.21	0.0	0.0	24.94	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	39.53	42.88	38.58
Ldhb	7486.96	8970.97	5768.08	8550.52	0.0	8798.32	8750.45	10118.08	10894.4	8892.3	8583.06	9220.91	9343.6	8808.99	8574.79	10165.1	9166.61	7814.88	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	10182.84	9082.37	11746.38	737.58	774.98	752.92
Lmnb1	0.0	0.0	20.16	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	4.74	0.0	0.0	0.19	0.0	0.0	0.27	7.04	8.86	8.66
Lmtk2	0.0	0.0	48.05	0.31	0.0	9.22	3.75	0.3	0.23	13.48	22.73	19.96	6.13	11.05	34.84	9.31	15.66	9.69	1.06	13.1	0.15	9.9	12.74	17.18	17.36	17.75	0.06	1.11	16.2	0.47	2.8	29.61	9.4	84.7	79.74	86.39
Lrrc14	0.0	0.11	109.16	0.0	0.0	0.0	24.11	0.0	23.4	0.0	0.0	0.0	16.99	0.0	16.87	0.0	0.0	0.0	26.6	0.0	0.0	12.93	0.0	0.0	29.07	0.0	0.19	0.0	17.72	0.0	0.0	0.0	0.43	24.19	24.07	23.05
Man1a2	0.0	18.66	95.21	9.32	14.97	41.14	9.31	19.84	10.32	32.05	32.83	23.05	2.63	12.34	58.02	20.24	7.85	7.0	7.29	96.83	55.06	18.55	35.35	28.78	10.18	25.89	11.25	30.07	14.14	8.57	10.04	29.16	18.58	59.13	50.4	56.69
Map3k7	0.0	40.77	50.57	0.0	0.0	5.26	0.0	21.24	0.0	0.26	25.18	0.0	3.78	0.0	11.13	0.0	0.0	0.0	0.0	0.26	0.91	6.97	0.24	0.0	0.0	0.09	2.96	0.36	0.3	0.28	11.34	5.75	0.0	35.88	33.8	33.16
Mapk9	0.0	21.77	138.95	29.71	0.0	40.82	25.51	111.94	58.54	43.27	32.38	61.05	99.9	54.66	60.53	113.93	5.23	0.13	48.3	3.48	72.38	64.85	65.94	41.4	132.64	108.47	77.89	23.38	38.62	24.35	47.87	111.14	110.38	154.54	146.91	148.44
Mgat3	0.0	0.0	72.7	19.15	0.0	32.62	45.71	28.23	6.17	28.48	54.76	26.18	12.68	56.3	19.17	16.69	4.43	68.96	5.16	6.65	97.61	17.93	42.44	18.4	16.31	27.52	33.06	0.0	1.1	0.0	28.7	63.61	88.5	99.56	101.36	101.11
Mudeng	0.0	0.0	94.18	29.12	0.0	93.53	24.97	16.34	0.0	0.0	2.1	100.79	41.64	21.69	44.75	76.58	64.64	0.0	0.43	81.03	0.0	68.33	81.04	5.39	108.26	33.54	29.54	0.0	48.04	87.68	11.91	129.16	50.78	17.26	14.37	16.76
Myo5a	0.0	4.61	87.26	25.16	0.0	45.27	92.3	11.11	69.14	61.52	71.73	46.76	73.9	75.09	33.66	65.61	24.09	5.31	68.38	41.79	55.97	69.17	55.96	9.71	57.57	42.95	28.13	69.49	47.53	36.2	73.22	48.43	42.52	147.23	132.38	154.8
Nacad	0.0	0.05	12.61	0.0	0.0	7.68	0.71	0.0	0.0	0.0	5.22	0.0	3.29	0.21	8.95	8.02	0.0	0.98	0.74	6.49	0.37	2.89	6.69	0.83	10.24	17.11	3.44	0.76	10.24	0.98	0.18	0.15	3.27	23.93	26.13	24.89
