	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_77	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
Cyp2d22	0.0	0.0	0.0	0.0	0.0	4.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.96	0.0	0.0	0.0	127.75	0.0	0.0	0.0	0.0	21.07	0.0	0.0
Dnd1	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	4.4	0.0	0.0	136.77	0.0	0.0	0.0	103.49	0.0	0.0	0.0	1.12	0.0	0.0	0.0
Edem3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	12.2	3.26	22.92	3.09	0.0	0.0	2.2	31.12	35.48	11.15	6.73	58.59	8.92	26.43	6.9	0.0	0.0	0.0	0.0
Eif2ak2	7.01	13.47	0.05	18.23	0.0	19.54	0.0	12.52	17.8	17.2	17.59	17.7	34.9	23.84	24.96	42.85	40.78	10.36	14.09	37.88	22.27	30.0	33.13	26.45	27.3	17.91	2.01
Foxk2	3.14	0.0	0.0	0.0	0.0	10.48	17.4	3.95	1.34	0.88	11.12	0.0	0.0	48.84	20.11	48.25	0.0	0.0	24.93	20.11	0.48	47.33	0.0	0.0	5.33	0.0	0.07
Ftsj1	0.17	1.18	196.53	3.81	2.18	24.39	0.71	89.26	40.73	1.78	23.75	0.83	4.34	183.9	108.38	120.02	2.35	26.38	33.07	76.34	36.87	35.14	57.26	40.47	19.41	45.02	28.74
Gm10635	0.0	0.28	0.0	0.17	0.0	0.19	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.19	0.27	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.16	0.0
Hdx	0.0	0.0	0.0	0.0	0.0	24.97	0.0	23.82	0.0	0.0	0.0	0.11	38.69	15.37	14.58	91.95	11.7	0.0	0.0	0.0	45.38	0.0	0.0	0.25	0.0	0.0	0.0
Hif3a	0.0	0.04	0.0	0.1	0.0	0.2	0.0	0.07	0.17	0.1	0.0	0.06	0.34	0.05	0.13	0.22	0.38	0.0	0.0	0.1	0.06	0.0	0.25	0.25	0.0	0.08	0.0
Hook3	2.18	0.0	12.21	36.1	0.0	20.73	10.08	21.1	4.58	21.78	12.34	27.14	29.07	2.5	1.34	39.27	41.32	5.08	5.87	73.37	6.23	7.95	13.77	7.21	2.18	1.03	5.09
Il5ra	3.38	1.67	0.17	3.52	0.0	6.59	0.22	4.85	4.98	5.48	4.07	4.77	19.97	13.39	5.6	25.69	10.85	7.36	5.56	9.95	8.45	3.2	12.76	4.06	4.9	9.93	0.07
Ldhb	6607.22	8970.97	5855.34	9309.63	0.0	8750.45	10118.08	10894.4	8525.9	8620.64	10165.1	9602.81	8469.38	11261.44	10004.69	4080.32	7266.47	8757.21	13571.31	5873.12	12546.17	7758.33	9755.78	11010.48	10182.84	11746.38	4283.85
Lrig2	0.0	0.03	0.0	9.77	0.0	14.59	3.97	0.0	2.13	0.18	8.74	10.44	25.03	1.03	0.09	51.17	61.82	13.0	18.62	23.31	15.19	6.84	8.58	6.81	4.76	0.43	0.0
Ltn1	29.38	18.44	0.0	21.75	0.0	16.08	0.0	2.13	10.57	1.55	7.97	6.37	0.59	0.0	0.23	48.16	0.04	28.37	7.77	83.61	7.23	34.82	6.72	30.19	0.86	4.07	0.0
Man2a2	1.55	2.22	27.74	25.88	0.0	14.83	15.01	33.66	15.95	12.3	11.17	24.9	52.65	1.77	23.15	80.64	31.28	11.8	14.33	42.98	30.34	25.64	3.7	6.5	33.44	29.95	0.0
Mib1	0.0	0.0	0.0	18.28	0.0	1.65	0.0	0.0	4.29	4.03	0.0	0.0	0.0	35.95	0.32	36.79	48.28	0.0	3.93	0.68	0.43	7.16	0.11	0.14	12.91	31.61	0.0
Micalcl	0.0	0.0	0.0	0.0	0.0	1.76	0.0	32.2	4.14	0.0	0.0	0.0	0.0	0.0	5.01	15.03	0.0	0.0	0.0	14.09	0.0	0.0	5.65	0.0	0.0	0.08	0.0
Mpped1	0.11	0.08	0.0	12.42	0.0	34.33	51.37	34.24	32.5	0.0	1.99	59.98	3.77	6.39	33.36	163.79	184.22	0.94	22.03	42.4	5.0	5.25	91.73	17.17	58.51	1.67	0.0
N4bp1	0.0	19.58	0.04	0.0	0.0	11.56	12.13	14.0	0.26	16.33	9.91	0.0	0.0	19.07	17.95	46.1	0.45	20.62	12.55	37.86	0.0	56.15	0.0	1.15	8.56	0.0	0.0
Npy1r	1.19	1.57	0.0	2.34	0.0	3.43	0.0	2.11	3.16	3.0	4.13	1.9	2.96	2.23	4.27	4.84	4.42	1.66	1.7	4.16	2.67	3.78	4.02	2.4	1.91	2.68	0.77
Pcdhb5	68.61	0.0	0.0	0.54	0.0	1.02	22.16	0.29	0.6	0.27	0.55	0.26	0.1	0.65	0.7	1.03	0.74	0.29	0.31	0.88	0.23	0.19	0.93	0.61	0.37	0.29	0.0
Pklr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pnp2	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	4.01	0.28	0.0	1.98	10.47	0.0	0.0	2.93	0.91	0.0	1.31	0.0
Pou3f2	0.34	0.08	0.0	0.35	0.0	1.62	5.47	0.3	0.22	0.0	1.09	0.0	0.06	0.0	0.36	1.59	3.29	0.0	0.86	0.42	0.65	0.33	0.04	0.13	0.25	0.51	3.71
Psmg4	455.56	0.0	0.0	0.0	0.0	65.7	53.95	0.0	0.0	51.85	31.53	0.0	57.54	0.0	0.74	108.74	26.04	0.0	21.95	135.54	57.85	0.0	37.02	56.92	35.83	0.0	0.87
Rab4a	0.0	0.0	211.03	74.22	0.0	62.82	0.18	0.0	63.16	0.0	66.62	107.46	0.0	0.0	74.1	221.82	0.0	40.76	18.99	272.33	75.86	79.77	118.01	65.47	20.23	144.67	0.0
Rnf44	0.0	0.0	0.0	0.0	0.0	1.09	0.0	6.13	2.2	0.0	14.95	0.0	0.0	0.0	0.0	56.75	0.0	1.25	15.85	61.83	0.43	12.61	5.47	37.96	12.41	0.0	2.18
Sco1	0.49	0.8	0.05	2.04	0.0	13.53	0.2	3.27	4.15	4.13	2.18	2.32	4.03	3.85	36.51	13.74	5.54	2.64	2.67	58.03	2.41	3.98	16.32	16.24	3.19	6.41	0.0
Sf3a2	0.0	0.0	0.0	0.0	0.0	0.0	5.28	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	13.12	4.51	0.0	1.01	11.83	0.0	39.58	0.0	0.0	2.46	0.0	0.0
Sirt6	0.0	0.15	1.4	44.88	0.0	47.12	4.89	9.95	57.66	63.23	46.35	68.21	46.08	6.43	94.35	109.16	50.09	4.27	31.9	54.32	24.29	12.43	14.25	64.48	29.3	23.43	0.22
Slc28a3	0.97	1.4	0.0	1.48	0.0	1.49	0.05	0.47	1.14	0.88	0.93	0.53	2.44	1.15	1.45	2.63	0.64	0.47	1.04	2.19	0.69	1.45	1.34	0.76	0.63	0.42	0.07
Slc6a18	0.35	0.75	0.12	4.45	0.0	5.13	0.0	2.19	2.2	2.64	2.98	3.62	7.72	5.58	1.23	7.45	1.94	2.73	1.63	10.02	2.95	2.59	5.13	4.38	4.4	5.22	0.0
Sltm	0.0	0.0	33.26	4.44	0.0	22.28	0.0	5.54	43.41	49.01	6.88	0.0	63.07	59.66	20.26	153.24	48.18	22.97	20.44	125.26	55.69	26.26	57.96	17.59	31.59	55.0	0.0
Snord116	3.16	0.0	0.0	0.0	0.0	0.0	0.0	8.69	9.26	11.66	0.0	8.33	6.29	3.39	5.67	7.6	0.0	3.11	7.64	25.99	3.68	0.0	3.94	9.68	0.0	1.69	0.0
Snord116l1	3.16	0.0	0.0	0.0	0.0	0.0	0.0	8.69	9.26	11.66	0.0	8.33	6.29	3.39	5.67	7.6	0.0	3.11	7.64	25.99	3.68	0.0	3.94	9.68	0.0	1.69	0.0
Snord116l2	3.16	0.0	0.0	0.0	0.0	0.0	0.0	8.69	9.26	11.66	0.0	8.33	6.29	3.39	5.67	7.6	0.0	3.11	7.64	25.99	3.68	0.0	3.94	9.68	0.0	1.69	0.0
Srp54b	53.82	5.55	55.61	40.77	0.0	175.06	71.18	51.61	102.58	78.8	102.58	110.88	119.55	19.43	75.74	291.98	348.35	58.74	75.29	105.72	46.38	105.7	66.68	164.26	35.12	155.06	146.01
Tbc1d24	76.95	2.91	4.0	9.0	0.0	12.41	7.21	18.4	26.25	24.05	3.5	25.29	12.66	38.32	21.92	22.53	105.96	25.26	31.13	15.79	9.83	5.84	83.86	76.02	9.5	24.18	27.85
Thpo	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.44	93.38	0.0	19.0	81.76	0.0	0.71	11.6	0.0	0.0	34.97	0.0
Tmem33	0.08	88.13	23.5	0.2	0.0	57.7	30.63	15.87	21.85	32.25	46.98	53.49	24.6	29.76	24.17	69.71	73.72	16.95	35.07	47.56	53.87	56.88	21.52	21.03	29.5	50.66	0.0
Trank1	1.05	0.0	0.0	0.71	0.0	3.4	0.02	19.45	15.59	0.06	3.89	0.47	0.07	12.56	3.93	47.92	69.85	0.19	1.2	0.79	11.31	5.81	13.4	0.2	17.08	2.55	0.0
Ube1y1	1.99	4.99	0.06	6.07	0.0	9.5	0.0	4.57	4.44	8.03	9.47	8.06	12.65	10.18	9.41	20.47	10.43	4.87	5.82	10.72	6.17	9.33	13.71	5.19	7.06	8.33	0.0
Ube2i	0.0	0.1	207.25	19.94	0.0	128.66	10.01	76.88	16.85	35.07	32.57	0.0	165.92	55.38	6.72	112.03	47.12	14.02	28.98	243.66	81.49	38.82	142.81	7.94	66.02	41.74	0.29
Yaf2	0.0	0.0	17.81	62.09	0.0	0.31	0.88	42.29	106.86	44.24	109.34	88.95	0.12	1.83	55.88	168.64	108.18	76.39	58.62	97.04	12.04	64.67	57.6	27.48	45.0	103.15	84.9
Zfp71-rs1	22.11	16.32	2.43	44.69	24.49	117.04	1.21	33.35	26.5	29.8	41.6	28.58	69.91	70.2	68.72	127.61	79.91	27.19	35.29	57.14	42.97	46.29	92.83	53.23	56.18	59.2	0.36
Zzz3	0.0	20.85	0.0	2.9	0.0	0.0	0.0	0.0	9.69	0.0	27.1	0.0	0.0	0.0	31.56	72.83	0.0	0.04	0.58	79.22	0.0	0.91	35.25	0.07	1.54	18.52	0.0
