	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Ndnf_tdTpositive_cell_15	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cyp4f13	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.73	0.0	0.0	54.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.46	0.15	6.2	0.35	2.04	2.88	8.9	9.75	12.47
Dctd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.46	0.0	5.63	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.22	0.0	32.91	7.01	4.49	0.8	9.65	7.56	10.1
Dnahc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.24	0.19	0.0	0.0	0.8	0.86	0.83
Ephx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.23	0.0	19.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.12	4.73	7.75	7.61	32.52	34.75	30.67
Fam166b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	1.2	0.69
Fbxo45	0.0	0.0	0.0	0.0	0.15	62.7	0.0	0.0	0.21	0.0	108.49	0.0	0.0	0.0	0.0	0.0	0.07	0.0	9.66	0.0	0.0	1.01	0.0	0.0	6.49	0.09	70.93	0.0	0.1	0.0	27.6	10.32	2.47	16.99	8.78	5.88	44.55	43.82	43.94
Fgfr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	2.44	20.36	21.07	22.66
Fmn1	0.0	0.03	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.07	0.03	0.07	0.0	0.0	0.04	0.0	0.16	0.0	0.36	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.03	0.0	3.59	1.94	2.24	1.86	1.29	3.04	5.95	5.89	6.37
Gclc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.66	2.18	0.25	0.0	0.12	0.0	0.0	117.4	70.93	28.98	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	9.36	7.02	8.6	11.41	48.12	46.3	44.89
Gm13306	0.0	5.41	0.0	16.36	0.0	0.0	6.68	0.0	0.0	0.0	0.0	5.27	0.0	9.38	0.0	5.02	22.21	0.0	40.26	7.77	7.33	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	0.18	74.98	54.7	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.19	2.35	0.0	0.96	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	0.0	5.41	0.0	16.36	0.0	0.0	6.68	0.0	0.0	0.0	0.0	5.27	0.0	9.38	0.0	5.02	22.21	0.0	40.26	7.77	7.33	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	0.18	74.98	54.7	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gm7244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	1.62	1.03
Gng12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.97	0.0	8.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.95	34.0	42.99	47.62	43.91	42.28	44.32	42.29	46.2
Hexdc	0.0	0.0	2.32	0.0	55.47	160.97	0.0	0.0	2.64	0.0	0.0	0.0	0.0	1.64	0.0	2.77	0.0	0.0	2.55	0.45	3.35	232.01	0.0	2.73	0.0	0.0	0.0	0.0	0.0	0.0	12.47	5.96	12.56	2.3	9.52	13.04	33.12	36.68	37.09
Hist1h2bg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.0	0.85	1.29	3.05	3.38
Hk1	99.36	0.0	0.0	0.0	27.68	0.0	17.78	256.66	205.31	0.0	0.49	0.0	0.0	0.1	87.04	13.89	167.61	3.23	23.62	0.11	0.14	0.37	28.21	0.0	0.02	0.0	0.33	0.0	0.19	9.57	57.94	53.23	39.3	41.38	41.34	38.65	221.73	224.48	218.26
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.19	2.35	0.0	0.96	1.27	4.28	1.89	1.73	1.86	1.4
Lrp2bp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.14	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	1.84	0.0	0.1	0.0	0.52	0.41	0.36
Man2a1	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.29	0.0	5.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49	0.17	0.42	2.42	1.79	3.56	15.39	13.21	13.12
Map3k3	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	3.02	0.14	12.11	0.0	3.23	0.16	20.79	0.0	1.89	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37	4.25	6.32	5.01	5.12	5.83	22.58	21.74	22.44
Mbd5	0.0	0.0	29.54	0.08	0.0	6.23	0.0	0.0	0.0	4.52	0.0	1.39	0.0	21.7	0.34	0.0	0.0	0.0	7.03	0.0	0.0	0.0	12.91	0.0	0.0	0.0	0.0	0.0	0.0	0.82	12.29	5.41	14.59	7.05	8.91	4.42	25.74	23.59	24.39
Mesdc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	6.57	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	1.53	2.04	1.54	2.04	1.08	23.57	26.69	23.74
Myo9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	52.42	0.0	6.51	0.0	0.0	0.0	2.44	11.67	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.29	2.75	1.62	1.34	1.41	28.35	26.19	30.28
Nav3	0.0	70.9	0.0	0.0	0.0	20.99	0.0	3.25	14.21	0.0	8.57	0.0	0.0	0.0	35.54	0.62	44.38	15.22	7.96	0.06	7.01	0.0	0.35	0.0	11.18	0.0	113.19	0.0	0.0	20.51	20.0	10.72	5.31	10.62	7.46	11.27	31.8	29.42	33.78
Neurod2	0.0	0.0	0.13	0.18	0.19	0.26	0.0	0.22	0.27	0.0	0.0	0.0	0.0	0.23	0.15	0.16	0.26	0.0	7.74	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.15	7.72	7.22	10.49	10.98	8.64	13.14	61.43	70.53	58.22
Nudt14	0.0	0.0	144.53	0.0	0.0	319.11	229.87	0.0	0.0	113.52	0.0	0.0	0.0	0.0	53.68	0.0	0.0	0.0	7.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.67	14.23	10.74	13.28	14.33	11.07	12.73	13.56
Penk	5037.4	10714.69	21119.42	7052.5	14614.46	30305.82	14273.96	24078.42	18579.64	29110.93	7583.12	15168.53	23047.57	19453.81	22944.38	23364.23	0.0	5463.18	5.24	16623.49	7740.57	24984.25	8575.12	4970.72	8940.47	3699.3	5789.22	9357.5	9658.52	11865.47	0.22	0.0	0.0	1.73	1.49	3.51	368.19	372.55	337.73
Pfn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	164.77	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.18	6.48	1.09	4.68	5.4	8.71	11.07	9.61	10.85
Plxna4	43.31	0.0	5.82	9.2	0.0	0.0	0.03	0.04	0.0	4.35	36.99	0.0	0.0	0.03	0.0	0.0	64.48	0.0	2.49	0.0	2.23	21.61	0.0	21.16	0.0	0.12	0.21	0.56	0.22	0.0	7.65	3.81	3.21	3.66	2.31	2.74	28.71	25.59	30.42
Pnma3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	4.55	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	8.83	1.91	2.01	2.92	0.51	20.07	21.28	18.21
Prss53	0.0	0.0	0.0	0.0	0.0	27.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	1.8	0.23	1.39	0.63	3.07	3.26	3.04
Ptk2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.12	0.0	87.52	0.0	114.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.89	45.58	103.09	69.56	86.95	69.33	310.21	322.91	308.74
Pura	10.19	2.09	30.79	48.33	11.29	0.52	0.22	4.43	4.9	2.3	0.61	0.83	35.08	0.0	8.94	0.0	10.65	0.0	6.24	0.0	0.0	0.0	1.76	1.13	0.0	0.0	1.74	0.0	0.0	0.0	7.99	8.84	19.58	10.09	13.97	16.97	34.85	28.85	36.75
Qsox1	0.0	15.11	40.51	0.0	0.0	28.57	0.0	0.0	0.0	2.72	0.0	0.0	2.11	0.0	92.52	0.0	98.55	0.0	0.31	0.0	0.0	0.0	57.76	0.0	0.0	6.97	0.0	62.7	0.0	0.0	16.25	8.18	1.41	7.07	7.39	7.2	19.22	20.71	19.77
Rcan1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.44	0.0	0.0	0.0	0.0	0.0	141.76	0.0	5.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4	8.64	26.38	19.71	12.15	10.51	52.65	55.31	52.84
Slc39a3	12.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.01	0.0	4.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1	4.23	1.7	1.03	3.27	2.79	60.42	61.8	64.04
Snora52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.31	3.9	0.0	0.0	8.03	6.62	8.29
Stk32c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.86	0.0	0.0	1.82	0.0	73.14	0.0	0.56	1.43	0.0	21.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.33	0.0	7.74	1.91	3.14	0.37	169.36	171.66	158.34
Sympk	0.0	0.4	0.09	0.13	0.0	0.2	0.0	0.0	0.0	9.98	0.97	0.0	0.0	0.0	0.0	0.0	72.75	0.24	0.81	66.82	0.0	0.0	0.0	0.0	5.62	0.0	0.0	0.0	0.0	0.0	0.51	0.0	2.33	1.29	1.24	1.42	78.87	79.01	85.02
Tarsl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	4.28	0.0	15.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.08	9.42	22.76	8.38	16.0	12.03	38.79	39.36	35.69
Tigd5	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	9.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.93	3.39	3.21	3.18
Tmtc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.85	41.88	0.0	1.08	0.0	0.0	11.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	1.27	0.42	0.0	0.12	6.96	6.51	7.24
Traf4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.92	5.69	7.17	7.83
Trpc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.71	0.0	0.0	0.0	0.0	0.0	0.0	76.4	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.48	1.69	1.85	0.09	13.26	12.51	12.86
Vangl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.96	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	2.17	2.53
Yap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.08	0.0	1.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89	4.16	5.0	1.01	5.06	4.43	17.01	15.32	14.85
Zfp341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.97	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	1.1	0.55	0.74	0.21	7.82	7.91	8.99
Zfp599	0.32	0.12	0.0	0.0	0.16	0.19	0.17	0.12	0.0	0.0	0.28	0.34	0.15	0.11	0.27	0.19	14.05	0.0	6.95	0.25	0.82	0.9	0.93	0.03	0.0	0.0	0.0	0.0	0.33	0.68	10.44	0.14	2.04	14.1	12.55	10.15	3.08	2.95	2.52
Zfp787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.04	0.0	0.41	0.0	0.0	0.0	0.63	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.27	0.0	0.48	0.73	2.22	15.53	17.48	16.47
