	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_19	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_24	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_49
Ccdc157	0.31	0.35	1.64	5.78	1.68	0.68	0.68	1.02	0.81	0.48	0.63	0.36	0.42	0.76	1.86	0.36	0.0	225.39	7.1	0.34	9.35	12.36	142.39	0.22	0.42	1.89	1.9	0.06	0.88	0.71	0.09	1.57	0.75
Ceacam20	1.36	0.92	0.23	0.04	1.47	0.38	1.56	1.75	2.16	0.0	0.83	0.39	1.69	2.47	1.61	1.31	0.0	3.36	8.52	0.0	2.79	7.76	3.32	0.12	1.23	1.2	0.19	0.0	1.18	0.45	0.36	1.14	1.5
Chst3	0.44	1.32	2.52	3.6	2.38	2.63	2.5	2.71	1.12	1.1	1.92	0.97	2.26	5.91	3.45	2.46	1.21	13.62	22.08	2.3	11.32	23.77	13.58	0.39	0.79	1.75	3.4	0.0	2.16	0.4	0.76	2.71	2.08
Colec12	12.39	16.63	30.63	95.4	35.32	16.12	43.44	71.45	19.26	19.66	20.88	13.32	27.75	49.03	25.76	26.85	9.39	65.0	193.06	14.39	145.28	236.02	85.59	7.23	5.91	38.27	24.25	0.61	18.16	17.77	4.69	22.66	20.24
Csrnp2	0.0	64.6	53.18	102.1	53.89	59.5	17.41	40.59	0.0	0.2	0.0	0.09	26.1	6.32	16.38	0.0	0.0	0.46	169.62	0.0	0.57	34.11	0.37	0.0	0.07	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eif2ak2	12.83	21.05	60.46	98.69	29.84	14.57	54.41	53.58	50.56	17.69	24.96	9.52	43.79	149.64	59.54	31.57	0.0	127.44	295.39	16.71	273.75	373.62	172.84	0.0	32.96	37.41	32.69	0.08	45.29	28.6	11.15	68.09	60.19
F830016B08Rik	16.42	4.21	33.1	80.29	26.28	10.98	50.36	25.15	12.71	14.35	12.4	25.31	10.69	45.97	41.72	17.09	0.0	152.11	249.92	4.71	195.14	253.58	149.75	0.42	18.24	6.74	51.85	0.36	45.96	45.94	1.47	36.56	18.77
Gm10635	0.0	0.0	0.0	0.26	0.19	0.19	0.31	0.0	0.11	0.94	0.2	0.43	0.0	0.34	0.37	0.05	0.0	1.49	1.45	1.0	1.53	3.94	1.05	0.0	0.01	0.64	0.49	0.0	0.65	0.11	0.0	0.0	0.0
Gm19757	14.24	23.72	37.18	80.69	28.06	23.08	78.45	43.51	49.43	53.96	41.45	4.62	43.94	49.97	47.56	52.29	2.54	141.05	203.91	5.79	59.18	175.16	117.98	7.52	7.92	50.29	66.56	7.48	67.23	43.14	38.36	54.2	36.73
Gm6300	31.83	45.37	103.87	234.28	67.61	57.96	161.74	184.9	130.93	78.15	70.35	30.78	67.6	296.21	218.22	183.29	56.78	319.57	589.92	30.1	651.67	1032.68	310.83	1.33	41.4	73.92	119.28	0.08	93.36	61.8	41.82	131.99	69.21
Gm6313	8.97	2.2	37.21	57.86	38.08	13.33	22.77	20.14	14.12	20.15	8.3	12.82	19.1	30.06	36.22	21.12	22.66	55.14	132.65	16.18	88.92	192.53	37.2	2.86	3.68	37.51	57.81	0.0	9.23	6.65	1.46	11.37	21.9
Gm8234	18.23	26.2	50.08	91.02	25.34	19.0	20.16	49.76	235.35	41.68	23.08	21.65	9.91	57.26	53.73	15.35	3.86	50.49	136.39	17.57	105.21	253.22	38.83	6.88	13.47	33.63	43.93	0.21	12.16	21.79	17.9	23.83	37.26
Gngt1	0.0	3.02	0.7	1.3	0.0	1.08	2.74	0.0	2.49	1.72	0.58	0.0	1.91	4.42	1.48	0.0	0.0	3.86	19.76	0.0	27.62	18.07	6.83	0.0	1.34	0.0	2.57	1.21	0.94	0.72	0.83	5.14	2.16
Gpr174	0.25	1.5	1.09	2.13	1.83	0.64	0.99	0.91	1.18	1.02	0.78	0.76	0.99	1.82	0.64	1.09	0.0	4.43	6.3	0.33	4.74	4.18	2.38	0.0	0.13	0.72	0.35	0.0	1.63	0.4	0.35	0.69	1.71
Kcnq1ot1	25.0	43.9	106.73	127.5	56.93	63.82	90.43	120.95	91.77	53.21	55.22	32.65	39.05	196.79	119.76	105.98	16.2	247.32	430.78	17.82	465.29	644.25	389.16	4.8	42.03	56.2	95.95	6.01	69.79	59.45	24.3	85.15	66.74
Mir669h	0.0	27.91	90.37	0.0	0.0	0.0	37.55	0.0	0.0	29.97	101.17	24.15	32.42	214.02	0.0	108.38	0.0	813.88	601.02	0.0	278.52	1540.85	537.08	0.0	69.78	35.56	60.12	0.0	157.1	31.69	0.0	38.41	0.0
Mrgprb1	0.79	0.69	0.45	2.23	0.92	0.44	0.58	0.41	0.57	0.1	0.49	0.0	0.03	1.75	0.82	0.13	1.78	0.51	5.76	1.19	4.28	8.55	1.64	0.0	0.07	0.64	1.2	0.0	0.0	0.0	0.26	0.32	1.36
Nphs1	1.52	2.73	4.9	11.53	4.29	2.81	4.33	4.64	5.42	6.85	2.33	1.9	3.05	9.92	6.26	7.08	2.5	17.18	37.65	4.48	35.31	38.68	11.17	0.13	2.18	3.04	6.07	0.77	4.33	5.5	3.44	4.65	5.45
Onecut3	0.09	0.24	2.07	0.94	0.45	0.52	0.7	0.21	0.44	1.01	0.3	0.55	0.57	2.67	1.04	1.55	0.0	2.55	8.26	0.34	2.92	8.88	4.96	0.0	0.22	2.03	1.53	0.08	1.77	0.87	0.4	1.17	0.7
Penk	7669.37	21119.42	14614.46	4834.5	30305.82	14273.96	24078.42	18579.64	29110.93	15168.53	23047.57	13973.88	19453.81	8394.0	22944.38	23364.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16623.49	24984.25	0.0	3223.82	8940.47	3699.3	1990.13	11865.47
Pi15	12.21	5.59	29.06	53.16	20.88	14.16	40.15	43.05	35.14	14.69	16.07	3.77	20.51	70.67	47.63	39.62	0.0	86.51	223.44	14.58	147.8	216.91	94.14	0.16	12.06	21.25	26.2	3.61	27.3	13.98	3.85	31.16	35.06
Pot1b	4.0	18.44	81.66	27.5	44.51	43.24	74.51	39.92	55.06	35.95	9.39	14.5	36.3	84.99	76.96	54.47	0.0	95.89	264.28	27.68	157.69	353.87	187.99	0.1	18.96	57.58	66.8	0.0	36.95	19.46	6.09	80.9	25.08
Rdh1	6.66	31.88	37.59	82.44	48.65	16.86	67.39	50.69	61.41	20.94	22.71	9.76	19.49	101.54	75.04	60.94	0.0	156.88	346.4	10.64	213.95	392.21	187.12	0.0	36.57	30.08	56.76	3.65	47.39	34.12	27.02	51.79	64.74
Ss18l1	0.19	1.17	0.15	300.09	0.0	0.15	0.0	0.0	0.0	0.35	122.65	0.1	0.36	1.36	0.24	0.0	0.0	31.92	1.25	0.0	3.66	5.57	1.42	0.0	2.55	0.83	0.79	0.0	0.87	0.7	0.13	1.1	0.12
Ston2	0.16	0.2	2.14	1.98	1.37	0.93	1.06	1.44	0.61	0.41	0.43	0.18	0.13	1.65	1.43	1.03	0.0	4.14	0.78	0.32	4.97	4.13	2.95	22.25	0.21	1.08	0.92	0.12	1.12	0.34	0.08	0.54	0.98
Tmem82	2.55	2.84	4.49	9.36	8.43	2.64	5.9	3.93	6.45	4.79	2.8	1.53	4.67	7.03	7.17	7.22	3.67	34.83	46.54	3.8	50.05	60.39	27.34	0.19	1.4	5.83	3.57	0.36	4.31	2.02	2.21	6.84	8.72
Ube2c	2.78	1.15	6.76	8.82	5.88	0.95	1.71	4.23	5.57	0.28	0.71	1.56	3.4	6.25	4.45	0.23	0.0	8.41	27.17	4.3	17.18	11.1	9.13	0.0	1.69	3.31	4.08	0.41	1.72	0.88	1.25	2.57	1.92
Ube3a	0.0	43.89	40.97	364.61	11.28	59.69	26.39	23.23	138.68	5.44	18.48	152.07	254.4	157.7	9.4	39.24	0.0	131.83	152.58	11.35	464.72	492.55	345.43	0.36	67.14	65.65	44.49	0.08	0.0	42.69	0.0	40.02	18.66
Veph1	1.58	4.4	17.96	18.78	9.44	4.73	7.4	8.4	4.41	9.86	6.6	4.22	6.16	13.99	9.29	6.32	0.0	12.77	39.16	0.47	28.39	72.3	21.03	0.14	3.35	10.1	9.73	0.12	8.9	4.99	5.39	19.66	2.06
Zfp71-rs1	14.79	27.12	100.53	150.34	90.04	60.01	127.24	118.69	94.68	73.88	65.44	27.53	49.11	220.41	138.21	151.12	24.49	216.28	605.58	22.73	415.18	913.56	338.68	17.15	62.39	73.93	140.13	0.48	389.89	85.22	29.22	104.71	89.82
