	Chrna2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smarcd1	16.15	0.0	28.92	56.29	19.4	53.29	31.2	31.47	0.36	0.0	0.12	124.2	126.99	130.84
Snora34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.62	10.19	11.16
Srgap3	44.14	42.01	1.47	60.53	41.05	34.0	40.78	72.8	43.3	33.08	19.3	121.23	113.19	124.22
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tjap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.98	0.0	0.0	0.0	16.87	18.89	20.33
Trim11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	0.0	0.0	0.0	24.3	26.66	25.27
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Unk	0.0	1.01	0.0	0.0	0.0	0.0	0.0	16.78	0.0	0.0	0.0	15.06	16.53	17.51
Usp39	0.17	0.0	0.0	0.29	0.0	0.0	0.0	0.52	0.0	0.0	0.0	31.68	35.05	34.12
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Wipf2	4.71	4.29	3.27	24.84	14.32	2.53	3.13	41.49	6.43	15.35	2.55	28.65	28.68	27.32
Zdhhc22	0.0	0.0	0.0	26.45	0.0	0.0	0.0	37.96	0.0	0.0	0.0	44.51	41.05	46.58
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.53	0.0	5.86	18796.57	17507.83	18655.33
