	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_18	Pvalb_tdTpositive_cell_4	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24
Cmah	25.5	1.22	28.98	246.56	1.55	0.03	1.51	56.91	77.01	22.16	150.36	0.23	0.74	47.44	95.67	0.0	0.0	101.36	3.45	0.0	30.66
Colec12	32.71	1.15	65.0	193.06	34.74	6.16	0.9	145.28	236.02	32.29	73.64	53.22	72.33	18.79	70.08	23.2	3.81	53.89	42.9	7.23	16.56
D5Ertd605e	5.21	0.0	8.33	68.17	0.63	2.33	0.0	35.13	61.46	1.34	17.35	24.01	6.71	1.45	6.8	3.72	3.13	0.0	3.13	0.0	0.0
E130112N10Rik	5.65	0.0	61.08	78.73	14.56	0.19	0.0	67.72	98.93	14.81	60.55	33.39	8.66	3.69	11.74	1.49	16.25	9.39	2.4	0.0	1.1
E230016K23Rik	31.24	0.0	24.7	31.79	3.38	0.24	0.0	44.89	117.53	5.63	24.6	0.0	67.86	10.49	15.87	0.45	0.6	2.51	5.18	9.3	10.07
E330023G01	28.27	0.0	5.22	7.46	1.29	0.0	0.0	19.97	51.53	0.0	1.05	11.74	50.66	0.0	106.36	0.0	0.0	4.55	0.0	0.0	0.0
Elk1	9.24	0.43	50.13	36.51	2.4	0.0	0.0	29.43	52.86	8.2	21.89	11.28	11.33	5.43	16.18	4.94	5.64	4.98	3.79	0.73	4.1
F10	0.22	0.0	2.87	7.21	0.0	0.0	0.0	11.93	14.25	4.19	4.07	1.2	5.14	0.53	1.32	0.24	0.32	2.35	2.28	0.0	0.0
G730013B05Rik	0.45	0.0	63.14	148.18	16.64	0.88	1.61	84.55	80.72	11.68	89.48	35.08	29.39	18.73	43.89	9.67	0.0	19.53	17.66	0.0	11.42
Gdf3	1.19	0.0	1.98	4.23	0.29	0.0	0.0	7.31	9.16	0.61	0.42	0.0	3.47	1.88	1.05	2.64	0.0	1.02	0.0	0.0	0.82
Gm5460	1.91	0.0	3.52	5.72	0.06	0.0	0.0	27.65	10.96	0.0	20.31	0.0	8.81	0.0	4.45	0.19	0.0	0.0	0.0	0.3	1.39
Gm5607	7.78	0.81	26.25	59.54	6.35	0.08	1.02	44.51	83.02	4.71	34.59	19.26	5.78	5.06	22.77	8.13	5.56	5.57	13.28	0.0	3.73
Hsd17b13	1.28	0.0	4.94	15.92	0.0	0.0	0.0	9.78	27.36	20.3	4.06	0.0	11.23	3.59	20.65	0.34	0.0	1.95	0.0	1.27	0.0
LOC627800	0.0	0.0	0.0	9.01	0.75	0.0	0.0	0.88	6.27	0.0	1.59	3.06	3.58	0.09	0.0	0.0	0.0	0.0	0.0	0.14	0.0
Mll2	59.47	2.0	40.01	44.42	5.72	15.21	12.19	51.94	71.27	34.0	35.01	45.63	64.05	7.46	26.86	16.43	83.4	35.29	40.86	2.05	15.37
Nkain3	11.34	0.0	31.36	47.14	1.82	0.0	0.0	42.38	85.99	1.29	34.58	2.56	18.37	9.61	21.9	2.83	1.11	2.62	1.73	0.5	2.95
Nlrp1a	0.0	5.65	13.22	21.62	6.7	0.0	0.02	12.27	7.01	4.57	10.47	2.83	12.85	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.79
Nphs1	7.58	0.49	17.18	37.65	7.24	2.23	0.14	35.31	38.68	7.61	9.59	10.63	14.43	8.42	7.88	6.88	4.59	7.87	8.79	0.13	2.29
Olfr536	0.0	0.0	3.01	2.86	0.79	0.0	0.0	16.09	11.89	1.55	2.74	2.32	0.17	0.18	5.25	0.0	3.3	0.0	0.0	0.0	0.0
Padi4	2.3	0.73	2.82	7.32	2.16	0.0	0.0	7.52	21.65	8.46	6.5	4.94	2.57	2.49	7.86	0.38	0.0	7.83	3.37	0.98	7.61
Prss43	0.58	0.25	7.94	15.46	0.31	0.0	0.0	23.0	22.68	3.57	10.48	5.15	10.49	3.4	2.76	1.25	7.37	2.9	0.94	0.0	1.51
Rbm26	2.94	0.0	303.54	368.64	132.21	32.4	0.0	790.84	589.07	155.07	404.67	135.15	0.31	99.92	0.19	169.56	287.96	204.88	134.44	0.0	0.31
Ripply3	21.47	0.0	50.08	191.62	27.99	1.31	0.0	169.47	218.82	11.33	37.33	35.8	40.45	16.01	82.32	2.62	11.68	21.36	29.83	2.39	17.92
Sgsm1	9.74	0.56	90.08	58.95	6.48	0.0	0.0	48.98	75.69	2.92	18.97	7.55	13.3	6.55	57.41	5.36	0.3	5.93	3.92	0.0	2.93
Skint3	0.0	0.0	0.51	5.41	0.0	0.0	0.0	0.33	3.96	0.0	2.15	0.67	0.0	0.0	1.69	0.4	1.71	0.0	0.0	0.0	0.0
Slc1a7	18.88	0.0	7.63	9.19	1.24	0.65	0.0	13.97	28.67	0.82	12.6	1.2	22.12	2.31	1.76	1.49	2.87	2.43	1.26	0.24	2.46
Slc28a3	1.41	0.0	6.15	23.18	0.88	0.05	0.07	19.92	20.89	1.26	4.53	2.54	3.6	0.49	4.85	0.26	2.07	1.93	2.2	0.0	1.79
Utp23	19.01	5.05	97.88	174.17	10.95	4.48	4.07	157.27	227.84	36.34	76.13	49.36	43.88	22.03	37.73	11.6	6.99	19.55	3.86	2.17	9.08
Zfp459	4.29	0.6	18.44	61.9	5.04	1.75	0.92	48.35	80.35	4.28	15.04	7.74	13.0	7.64	12.29	3.26	5.2	8.51	5.75	0.74	3.54
c8_tRNA-Gly-GGG	0.0	0.0	105.87	0.0	23.44	0.0	0.0	57.72	256.97	40.09	57.08	107.46	156.62	0.0	74.9	59.71	0.0	60.0	203.36	0.0	0.0
