	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_26	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccdc164	0.61	0.0	125.56	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.43	0.0	0.0	1.97	0.0	4.87	0.0	0.0	0.0	32.17	0.12	0.0	0.21	0.0	0.13	1.01	101.03	0.0	18.17	16.04	16.72
Ccl27b	0.0	0.0	0.83	0.0	0.0	11.32	0.0	0.0	0.03	0.0	1.74	0.0	7.16	0.58	0.0	5.37	0.0	0.77	0.0	0.29	0.0	2.79	1.65	1.9	8.48	4.31	0.0	4.89	4.36	1.88	30.63	28.29	22.96
Clstn3	167.31	0.0	440.94	0.0	0.0	442.88	0.09	0.0	30.92	102.44	161.95	159.76	127.47	170.97	161.06	248.96	141.0	169.52	8.57	0.04	188.92	137.72	33.34	98.78	242.26	96.81	162.25	54.39	394.12	193.47	267.26	260.8	270.08
Cox11	0.94	0.0	9.4	7.27	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.56	0.0	1.96	15.38	14.49	0.0	6.72	3.49	16.37	19.79	20.71	20.94
D5Ertd579e	0.0	0.0	160.8	0.0	0.0	25.5	0.0	0.0	0.02	0.11	29.84	0.0	15.62	0.0	11.65	0.72	0.0	6.65	2.36	15.25	75.43	18.77	9.25	0.0	19.38	0.0	0.0	2.93	24.41	23.43	58.2	57.46	58.89
Eaf2	0.79	0.0	22.25	0.0	0.0	6.37	0.0	0.0	3.95	0.0	4.27	2.65	2.08	0.0	0.44	1.62	7.76	4.11	0.21	0.31	3.97	4.93	2.95	0.85	5.92	1.28	1.45	0.67	15.71	7.53	3.34	3.48	3.74
Egln1	0.0	0.0	60.96	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	15.42	0.0	0.0	0.0	0.0	0.0	15.49	0.0	0.0	8.13	3.53	0.47	0.0	0.0	0.0	0.0	0.0	60.48	0.0	59.34	62.16	58.89
Etohd2	0.0	0.0	52.17	0.0	0.0	0.07	0.0	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7	0.0	0.0	1.4	0.0	0.0	0.0	0.55	0.0	0.0	78.83	2.21	2.13	2.44	2.25
Gcn1l1	0.08	0.0	41.76	0.0	0.0	0.72	0.0	0.0	0.02	20.67	6.43	0.19	0.36	0.0	0.0	9.67	0.03	0.0	17.4	0.0	20.13	2.74	3.49	9.1	0.13	1.65	0.5	0.9	38.87	1.46	28.17	29.42	31.62
Gm13306	0.0	0.0	0.83	0.0	0.0	11.32	0.0	0.0	0.03	0.0	1.74	0.0	7.16	0.58	0.0	5.37	0.0	0.77	0.0	0.29	0.0	2.79	1.65	1.9	8.48	4.31	0.0	4.89	4.36	1.88	30.63	28.29	22.96
Gm13544	0.0	0.0	0.49	0.0	0.0	0.13	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.08	0.2	0.01	0.1	0.0	0.17	0.0	0.0	0.08	0.46	0.03	0.25	0.28	0.18
Gm2506	0.0	0.0	0.83	0.0	0.0	11.32	0.0	0.0	0.03	0.0	1.74	0.0	7.16	0.58	0.0	5.37	0.0	0.77	0.0	0.29	0.0	2.79	1.65	1.9	8.48	4.31	0.0	4.89	4.36	1.88	30.63	28.29	22.96
Hdac11	6.87	0.0	181.73	0.0	0.0	139.6	0.0	0.0	5.34	41.0	29.67	78.11	9.3	0.37	9.19	62.16	30.65	36.56	56.61	6.33	19.25	102.05	56.05	7.75	39.92	4.36	78.62	115.3	112.35	11.75	163.09	171.47	168.04
Hsph1	81.55	0.0	197.61	0.0	0.0	131.07	0.0	0.0	48.8	76.29	41.2	8.35	114.17	2.48	61.36	127.85	84.93	46.07	118.19	3.84	110.71	87.15	55.6	31.53	35.93	100.05	54.03	53.82	334.45	23.92	238.03	226.06	225.17
Kalrn	1.65	0.06	23.78	0.08	0.0	12.68	0.04	0.0	2.77	0.82	0.19	3.35	3.34	4.22	0.54	1.09	0.05	0.29	4.69	0.05	10.91	9.47	1.06	0.81	2.63	9.15	6.79	11.2	28.18	7.99	250.25	239.88	249.16
Lnx1	0.0	0.0	164.52	0.0	0.0	13.29	0.0	0.0	0.45	0.05	0.07	2.63	0.0	48.31	31.56	19.71	2.72	1.13	0.0	2.77	0.0	2.46	0.0	78.51	3.44	5.6	4.63	4.19	118.2	6.62	31.05	30.18	36.88
Lonp1	0.23	0.0	146.47	0.0	0.0	6.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	1.95	4.36	0.0	22.44	0.0	0.0	31.82	9.13	0.0	0.0	45.71	41.61	0.0	0.0	0.0	0.44	62.8	68.36	65.25
Mboat2	0.0	0.0	114.29	0.0	0.91	4.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.2	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.08	0.0	27.87	24.97	28.18
Mrpl43	37.04	5.07	206.75	0.0	1.27	53.98	1.38	6.74	34.48	1.21	0.58	83.43	56.14	1.46	54.38	122.19	33.58	88.03	77.45	4.65	8.67	71.02	51.13	0.5	28.61	58.68	29.22	68.1	53.71	40.59	52.68	56.62	52.58
Mtag2	50.68	0.0	109.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.64	60.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.77	0.0	4.32	3.0	3.87
Naa35	0.0	0.0	280.58	0.0	10.39	65.42	0.0	0.0	59.64	61.64	0.06	19.8	12.28	12.34	27.65	33.03	67.86	101.69	93.51	83.61	119.74	15.97	39.8	128.56	96.64	42.33	50.36	70.36	129.18	112.76	43.29	41.1	38.68
Npy	173305.25	0.0	12448.57	0.0	0.0	96206.73	0.0	0.0	149629.49	134232.96	130357.56	116117.28	122165.94	132052.33	122154.33	126501.28	173863.58	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	101137.64	151963.58	145032.54	180453.32	32250.58	120620.2	214.21	196.57	200.76
Pik3r1	0.0	0.0	106.59	0.0	0.05	36.64	0.0	0.0	23.46	0.0	0.06	10.27	0.45	4.07	15.03	37.08	0.08	8.9	20.6	0.05	0.26	10.68	2.16	4.03	11.82	9.98	18.22	0.1	39.63	14.12	61.64	57.5	64.01
Rp2h	17.32	0.3	99.76	0.0	0.0	0.26	404.05	0.0	0.2	0.21	0.0	0.05	0.09	0.25	0.39	67.48	0.0	3.95	22.24	0.13	0.16	28.99	0.12	0.24	0.19	0.23	0.31	0.03	72.8	0.16	8.53	7.72	8.15
Rragd	40.9	0.62	87.35	0.0	0.0	0.0	0.0	0.0	27.06	29.86	0.09	18.41	3.32	28.07	1.19	49.83	46.35	30.44	0.0	0.39	1.56	0.04	20.2	17.69	0.05	0.0	17.45	0.18	0.1	35.12	80.38	75.0	78.27
Rufy2	10.65	0.04	21.14	0.14	0.2	12.44	0.13	0.0	12.36	11.97	5.52	0.71	9.73	10.48	9.1	15.4	6.01	7.47	16.29	1.09	13.11	7.41	6.06	7.85	17.8	14.67	15.32	6.29	40.74	24.08	26.51	23.33	25.25
Scrn1	63.89	0.0	340.11	0.0	0.0	166.75	0.0	0.0	48.32	48.83	31.68	61.4	72.34	44.11	113.02	162.54	40.34	29.23	140.53	24.21	0.0	88.39	120.09	18.3	42.43	0.0	41.27	103.18	347.85	6.98	181.86	175.57	170.49
Sept3	105.25	0.0	206.33	0.0	0.0	144.74	0.11	0.0	51.22	0.23	53.06	9.16	84.79	18.23	78.84	59.86	162.21	71.39	40.17	44.52	128.04	71.71	28.06	111.97	74.34	35.64	10.76	42.17	93.83	28.15	270.67	257.5	265.53
Slc8a1	0.0	0.0	51.78	0.0	0.0	8.18	0.0	0.0	0.03	0.11	0.01	0.55	1.25	3.05	7.83	6.21	4.25	0.0	2.99	0.88	0.01	5.71	0.51	0.03	0.21	2.62	0.0	4.8	50.06	0.04	45.22	37.06	47.99
Snap91	28.07	0.0	114.97	0.0	0.0	166.59	0.0	0.0	55.39	53.88	59.0	4.04	64.19	71.94	66.46	86.82	84.7	33.6	89.85	48.38	72.5	92.62	78.8	20.49	54.21	34.81	51.8	114.46	108.41	8.46	254.03	253.8	241.24
Spg11	0.0	0.0	61.07	0.0	0.0	3.79	0.0	0.0	0.0	9.36	0.04	0.01	0.0	4.13	11.67	0.0	1.73	0.0	2.42	3.54	0.03	0.0	0.0	0.0	1.52	3.37	0.26	13.13	0.18	0.28	14.25	11.67	14.26
Stam2	0.0	0.0	124.56	0.0	0.0	32.06	0.0	0.0	36.1	2.93	0.16	13.24	0.0	2.01	29.63	2.53	5.58	39.3	22.81	0.0	0.0	0.0	5.49	39.95	24.37	0.0	15.1	3.19	50.78	44.17	19.34	20.01	18.88
Stox2	0.0	0.0	57.42	0.0	0.0	1.33	0.0	0.0	17.55	0.01	1.56	2.68	13.89	20.21	10.55	0.0	0.0	1.88	0.9	0.02	14.07	3.03	5.67	0.65	6.06	8.06	0.0	11.44	1.95	2.33	37.81	34.32	35.05
Syt11	386.77	5.22	773.05	338.62	386.85	471.46	0.72	1.32	449.95	182.09	587.14	357.55	338.38	395.14	454.78	532.87	366.98	392.93	350.0	232.62	396.69	465.1	442.49	333.53	487.82	488.4	313.45	277.01	1293.2	438.81	482.28	501.63	484.45
Tecpr2	17.45	0.14	49.96	0.0	0.0	4.35	0.09	0.0	0.08	0.71	0.07	0.18	6.54	0.4	4.35	2.71	0.12	0.16	0.1	0.09	26.72	0.12	0.11	0.81	0.72	4.61	0.04	0.94	1.67	0.08	37.36	37.41	39.21
Tex2	24.84	0.0	81.15	0.0	0.0	0.72	0.0	0.0	45.57	31.94	41.11	39.96	30.39	75.3	27.07	25.5	59.62	4.2	47.64	82.89	25.08	36.87	8.47	33.09	24.64	38.07	23.25	11.33	121.93	28.24	51.42	53.98	51.29
Tppp	150.05	0.0	467.95	0.0	0.0	131.98	0.0	0.0	50.11	120.82	1.52	43.77	16.89	105.15	93.71	78.71	56.16	43.55	69.79	2.01	76.78	80.53	15.08	166.33	49.5	30.5	41.29	61.51	420.76	20.64	324.41	303.85	324.15
Trim2	40.32	0.0	104.0	0.21	0.0	62.76	0.0	1.3	65.5	65.62	51.58	31.36	20.54	68.71	44.72	76.32	63.43	36.09	51.99	19.74	100.42	76.85	39.57	32.13	61.54	30.53	5.12	60.55	72.01	1.89	107.53	98.64	106.4
Ttc3	361.34	0.0	387.58	0.0	0.0	253.73	0.0	0.0	161.41	112.39	120.18	102.28	207.73	172.31	157.83	148.39	208.72	149.63	142.13	211.2	325.46	273.28	191.36	122.39	249.86	228.16	165.78	317.41	465.78	201.56	376.8	340.71	374.47
