	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_3	Pvalb_tdTpositive_cell_10	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Jph3	0.0	0.0	0.0	145.11	164.46	159.09
Jtb	0.0	0.0	0.0	46.02	53.05	49.48
Kcnb2	0.0	0.0	0.0	7.42	6.12	7.86
Kdm4a	0.0	0.38	0.0	33.21	34.05	34.15
Kdm4d	0.0	0.0	0.0	1.45	1.75	1.49
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khnyn	0.0	0.0	0.0	11.18	11.32	12.56
Kirrel	0.0	0.0	0.0	2.95	2.92	3.06
Klhdc8a	0.0	0.0	0.0	10.79	11.57	10.51
Klhl21	0.0	0.0	0.0	15.22	15.42	12.53
Kpna4	15.26	0.0	25.45	58.6	57.09	56.33
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lmtk3	0.0	0.0	0.0	112.57	125.74	129.11
Lrfn1	0.0	0.0	0.0	42.71	49.13	45.11
Lxn	0.0	0.0	0.0	52.5	50.32	48.0
Lynx1	6.76	17.89	47.56	249.12	247.11	249.79
March11	0.0	0.0	0.0	4.13	4.92	4.79
March3	0.0	0.0	0.0	1.79	1.92	1.85
Med13l	3.4	12.17	4.41	34.62	32.78	36.67
Mocs1	0.0	0.0	0.0	7.35	7.24	7.88
Mvd	0.51	0.0	0.0	22.49	27.95	25.99
Myrip	0.0	0.0	0.0	42.5	41.89	43.13
Mzf1	0.0	0.0	0.0	7.24	6.89	7.69
Nudt8	68.66	0.0	0.0	13.39	15.67	13.82
Ofd1	0.0	0.0	0.0	5.91	6.25	5.69
Orai1	0.0	0.0	0.0	5.47	6.31	7.51
P2ry1	0.0	0.0	0.0	2.48	2.36	2.11
Pabpc1	0.94	0.0	10.19	117.21	122.41	111.85
Pcdha3	0.0	0.0	0.0	4.97	4.98	5.73
Pcdhb15	0.0	0.0	0.0	3.88	3.31	3.09
Pik3ip1	0.0	0.0	0.0	29.87	39.69	32.65
Pms2	0.0	0.0	0.0	11.87	11.86	12.48
Pqlc2	0.0	0.0	0.0	11.31	10.58	9.84
Prrc1	0.0	0.0	0.0	13.02	13.51	12.87
Rab3il1	0.0	0.0	0.0	9.21	10.96	10.39
Rapgef3	0.0	0.0	0.0	22.36	23.68	23.06
Rbl1	0.0	0.0	0.0	1.39	1.33	1.71
Rbm4	0.0	0.0	0.0	16.42	17.09	15.93
Rhov	0.0	0.0	0.0	9.85	11.55	10.85
Rpap1	0.0	0.0	0.0	13.86	13.97	14.75
Rps6ka4	0.0	0.0	0.0	41.49	40.5	37.81
Rras2	0.0	0.0	0.0	17.96	17.37	17.06
Rsph4a	0.0	0.0	0.0	2.16	2.12	2.16
Shq1	0.0	0.0	0.0	4.19	4.98	3.91
Slc11a1	1.54	1.87	0.65	3.67	2.9	3.54
Smo	0.0	0.0	0.0	8.27	8.75	8.9
Spef1	0.0	0.0	0.0	8.16	8.52	7.13
Srpk2	87.69	75.61	117.29	99.84	92.78	95.14
Ssfa2	0.0	0.0	0.0	25.24	24.84	25.08
Stam2	0.0	0.0	0.0	19.34	20.01	18.88
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d10a	0.0	0.0	0.0	28.59	34.21	29.19
Tbx22	0.0	0.0	0.0	0.15	0.13	0.14
Topbp1	1.53	0.0	0.0	12.18	11.59	11.46
Trpm4	0.0	0.0	0.0	9.98	9.61	9.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tyro3	0.0	0.0	0.0	147.78	147.82	151.14
Usp4	0.0	0.71	0.0	69.01	67.97	66.36
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r120	0.0	0.0	0.0	0.04	0.13	0.12
Xpr1	0.4	39.2	0.2	53.69	46.36	51.42
Xylt1	0.0	0.0	0.0	22.37	20.05	25.94
Zfp282	0.0	0.0	0.0	9.84	9.67	9.87
Zfp710	0.0	0.0	0.0	10.96	10.61	11.25
Zfp953	0.0	0.0	0.0	1.22	0.7	1.3
Zim3	0.0	0.0	0.0	0.0	0.0	0.0
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
