	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_20	Cux2_tdTnegative_cell_5	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_108	Htr3a_tdTpositive_cell_121	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_3	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_107	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_148	Rbp4_tdTpositive_cell_181	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_34	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dlg4	0.38	4.38	1.56	4.42	0.0	0.65	10.9	1.49	1.22	0.39	2.37	5.7	1.16	4.53	0.37	0.0	0.0	8.9	4.38	0.0	1.05	0.18	0.2	0.97	4.24	1.05	0.67	0.57	6.73	0.42	1.38	2.53	0.78	0.0	14.92	6.38	35.8	1.12	0.0	36.8	1.13	5.26	6.0	1.31	0.35	1.7	7.34	3.71	0.27	5.1	3.11	5.32	0.69	3.65	4.76	1.38	8.81	1.85	7.75	3.76	3.92	3.13	0.29	4.71	3.53	0.85	0.11	0.36	1.21	0.37	1.36	0.3	535.98	535.3	542.17
Gm14430	8.29	2.12	0.0	1.96	0.07	0.0	3.23	6.85	26.74	3.58	0.0	7.08	0.0	6.16	0.03	0.0	0.11	27.15	0.0	19.02	6.78	0.16	0.0	1.59	1.66	0.0	0.0	0.22	2.16	0.04	0.0	0.08	30.04	0.0	5.79	20.16	23.72	4.46	0.17	14.2	0.26	3.57	0.2	0.0	0.0	2.05	10.22	4.29	2.15	11.7	6.07	7.0	1.76	4.79	6.89	5.17	1.83	4.81	3.28	4.14	5.97	4.22	0.48	0.36	0.0	0.0	13.98	0.21	0.0	0.0	0.0	0.04	7.67	5.07	7.49
Gm14434	8.29	2.12	0.0	1.96	0.07	0.0	3.23	6.85	26.74	3.58	0.0	7.08	0.0	6.16	0.03	0.0	0.11	27.15	0.0	19.02	6.78	0.16	0.0	1.59	1.66	0.0	0.0	0.22	2.16	0.04	0.0	0.08	30.04	0.0	5.79	20.16	23.72	4.46	0.17	14.2	0.26	3.57	0.2	0.0	0.0	2.05	10.22	4.29	2.15	11.7	6.07	7.0	1.76	4.79	6.89	5.17	1.83	4.81	3.28	4.14	5.97	4.22	0.48	0.36	0.0	0.0	13.98	0.21	0.0	0.0	0.0	0.04	7.67	5.07	7.49
Gm4724	8.29	2.12	0.0	1.96	0.07	0.0	3.23	6.85	26.74	3.58	0.0	7.08	0.0	6.16	0.03	0.0	0.11	27.15	0.0	19.02	6.78	0.16	0.0	1.59	1.66	0.0	0.0	0.22	2.16	0.04	0.0	0.08	30.04	0.0	5.79	20.16	23.72	4.46	0.17	14.2	0.26	3.57	0.2	0.0	0.0	2.05	10.22	4.29	2.15	11.7	6.07	7.0	1.76	4.79	6.89	5.17	1.83	4.81	3.28	4.14	5.97	4.22	0.48	0.36	0.0	0.0	13.98	0.21	0.0	0.0	0.0	0.04	7.67	5.07	7.49
Gng7	0.0	44.71	0.0	0.16	0.0	0.11	61.36	0.0	5.03	2.71	0.09	43.47	0.0	0.0	36.95	0.0	0.09	0.05	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	103.07	0.0	117.75	188.19	0.0	195.01	203.5	62.12	0.14	0.18	0.0	46.35	0.0	0.0	0.26	0.95	9.79	0.89	0.0	9.66	3.76	0.08	6.71	5.6	0.28	4.95	1.43	4.94	21.03	0.11	0.0	0.0	0.0	0.09	0.0	3.06	0.0	8.05	185.54	188.98	181.54
Hcn1	3.27	0.0	0.08	0.0	0.0	13.43	14.91	1.45	15.82	0.04	4.2	10.01	4.67	7.49	8.76	0.09	0.0	20.23	1.89	0.09	14.63	19.1	0.0	7.48	0.0	0.0	5.36	3.86	2.9	1.71	1.88	0.05	0.39	0.0	94.42	0.72	31.12	0.62	0.04	86.38	13.22	31.76	12.01	17.46	51.26	22.4	8.29	4.1	2.78	13.0	19.54	11.98	12.54	8.84	13.55	23.67	5.39	5.97	9.48	10.74	11.07	10.0	21.8	0.46	0.13	0.04	0.0	8.9	0.0	4.66	31.54	7.15	28.29	25.28	29.23
Hist1h2bq	0.0	0.13	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.33	0.11	0.22	0.15	0.07	0.09	0.0	0.2	0.0	0.0	0.0	0.15	0.36	0.0	0.31	0.0	0.09	0.09	0.29	0.0	0.07	0.07	0.07	0.06	0.0	0.07	0.11	0.53	0.0	0.0	0.05	0.07	0.0	0.28	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.13	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.33	0.11	0.22	0.15	0.07	0.09	0.0	0.2	0.0	0.0	0.0	0.15	0.36	0.0	0.31	0.0	0.09	0.09	0.29	0.0	0.07	0.07	0.07	0.06	0.0	0.07	0.11	0.53	0.0	0.0	0.05	0.07	0.0	0.28	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Kctd20	20.07	1.02	0.0	7.06	0.0	0.0	0.0	16.28	3.08	1.64	3.74	4.49	0.0	19.38	0.0	0.0	0.0	18.57	0.0	0.3	0.0	0.0	0.14	0.13	0.16	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.36	0.0	17.3	0.74	0.19	110.52	0.0	11.9	0.0	40.43	0.0	0.13	132.54	0.0	2.61	33.44	0.0	19.29	9.73	24.48	15.38	13.84	20.44	22.3	15.53	21.36	20.48	17.46	11.22	13.64	0.0	0.0	5.2	0.0	0.0	0.37	0.18	0.0	0.0	0.0	46.88	45.47	42.85
Klc2	4.24	0.0	0.0	11.0	0.0	0.0	11.39	0.0	4.39	0.11	1.05	20.64	1.29	0.11	14.38	0.11	1.25	10.93	1.97	0.0	0.0	0.0	1.33	32.93	2.33	0.0	17.25	14.6	0.0	6.75	0.11	0.0	0.98	0.0	18.87	0.44	38.75	40.36	0.0	1.0	0.0	6.33	0.09	3.61	5.34	0.0	2.25	5.26	0.0	5.05	9.28	12.18	6.18	7.49	15.18	4.74	10.97	1.88	10.07	4.74	4.55	6.43	0.85	10.91	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	196.16	207.95	205.42
Larp6	0.0	0.0	0.0	0.0	0.0	0.0	33.81	0.0	0.0	0.0	0.0	22.29	0.24	6.08	23.07	0.0	4.09	31.79	1.68	0.0	12.04	2.86	0.0	25.2	0.0	0.0	0.0	0.0	0.0	35.03	0.0	0.0	0.0	0.0	39.12	0.0	13.24	6.74	0.0	74.28	0.0	4.11	0.18	77.81	0.0	0.0	0.0	9.9	0.0	0.93	0.31	4.66	6.88	5.58	7.7	4.74	8.19	8.91	8.68	2.34	6.44	5.14	0.0	76.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.53	42.88	38.58
Mapk9	43.96	24.21	0.0	22.42	0.0	2.13	19.77	1.41	0.08	0.42	53.73	12.06	0.0	0.04	0.67	14.85	1.59	76.04	0.95	115.7	17.52	6.93	0.0	47.82	26.35	0.06	3.29	4.27	0.16	0.37	21.64	47.54	120.27	0.0	74.67	0.09	51.39	39.63	11.42	104.85	0.0	51.24	9.63	17.9	8.66	8.39	6.06	19.44	0.09	11.66	22.73	26.16	23.94	23.76	11.5	28.93	23.35	20.17	37.48	28.44	17.35	24.63	45.14	1.26	23.87	0.0	13.01	24.54	0.0	68.67	20.13	40.76	154.54	146.91	148.44
Mib1	3.02	0.0	1.7	0.14	0.0	0.0	0.1	0.22	0.19	1.55	0.28	3.98	3.51	0.0	0.05	2.0	0.0	2.22	0.08	0.0	0.0	0.0	0.0	2.37	2.67	0.91	0.39	0.92	0.0	0.09	0.0	68.74	2.96	0.0	4.74	0.0	17.49	46.76	0.0	3.66	0.0	16.79	0.0	1.31	24.8	0.33	0.0	0.12	0.0	0.37	3.85	5.26	4.52	2.74	4.32	4.66	0.88	1.49	2.69	2.58	2.44	3.64	1.01	0.0	1.63	0.0	0.0	8.15	0.0	0.08	0.0	0.0	49.4	40.57	49.68
Neurod2	0.0	2.13	0.21	20.14	0.0	0.0	0.09	8.83	10.22	0.19	2.85	0.2	4.55	0.0	0.03	5.05	0.0	28.45	3.96	33.08	13.82	0.0	0.65	10.31	44.35	9.73	0.16	13.21	8.09	3.14	9.74	9.48	0.17	0.16	10.73	0.0	9.15	7.28	6.89	18.6	0.48	10.0	0.35	26.53	15.43	0.8	0.0	0.0	0.26	12.75	9.44	10.31	2.29	5.48	7.72	6.66	7.22	8.95	10.49	10.98	8.64	13.14	1.31	0.0	25.37	0.0	0.3	25.82	7.49	5.35	0.0	16.97	61.43	70.53	58.22
Nov	0.0	2.49	0.0	31.0	0.0	0.17	0.17	0.0	0.09	0.0	21.73	8.86	0.12	4.7	0.15	0.0	0.36	41.72	0.0	55.59	0.37	0.0	0.0	4.73	0.17	3.36	0.0	2.06	0.0	0.0	0.04	0.0	0.09	0.0	71.86	0.36	23.83	91.68	0.0	0.32	5.17	12.11	2.02	0.34	0.0	28.2	0.0	0.0	0.0	16.2	6.54	5.29	0.26	7.88	5.49	8.28	7.44	6.29	2.99	4.66	5.99	4.13	2.18	0.15	0.0	0.0	1.74	50.31	55.71	19.49	0.1	12.06	124.61	128.44	115.44
Osbpl6	0.0	2.98	0.0	3.95	0.0	0.0	3.18	6.0	1.09	1.17	0.0	0.0	0.28	10.2	0.03	0.38	0.0	46.48	0.77	5.38	0.0	4.11	0.0	12.59	3.89	0.0	0.0	0.13	9.7	0.0	0.0	26.13	0.11	0.0	22.01	40.39	3.75	11.84	0.0	54.81	0.0	24.9	1.38	23.23	0.0	1.31	25.76	13.17	0.0	4.39	6.67	8.08	6.76	18.59	11.43	7.95	8.03	4.72	11.92	7.5	7.09	5.58	7.35	0.0	0.04	0.0	57.52	0.98	17.7	0.04	10.19	0.03	31.02	26.51	27.24
Pcp4	5117.81	3820.49	5350.95	4341.13	0.0	3085.52	4787.42	4036.12	4905.76	5130.46	3853.07	4428.08	3821.26	4184.47	4733.38	4425.79	5082.23	3963.84	3754.32	7467.74	3783.89	5853.47	4409.57	5181.2	5178.03	6240.76	5498.56	5326.1	6808.32	7407.1	6583.41	5620.14	5251.38	0.0	669.0	5093.83	4770.47	4293.52	2547.46	1720.87	4149.68	2806.59	3424.16	5307.32	7030.52	4729.09	4796.79	4368.46	5492.66	4246.61	4480.25	3150.04	4373.65	4108.26	3507.01	3446.01	4928.48	3901.08	5219.57	2919.09	3442.63	3306.12	7638.97	4212.47	5242.95	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49	788.83	807.59	741.11
Pde8b	0.0	0.0	0.3	0.0	0.0	3.36	0.0	0.0	0.0	0.07	2.29	0.0	2.54	0.04	11.04	0.0	20.81	16.4	0.14	0.0	0.08	5.33	0.0	0.0	0.0	6.85	5.47	1.72	0.0	1.28	0.07	56.14	0.99	0.0	46.79	0.3	39.45	31.62	0.0	117.93	0.0	28.78	52.89	0.0	0.0	1.0	18.15	21.16	50.82	11.6	21.72	32.19	27.06	26.48	53.11	23.93	2.88	18.9	15.32	32.03	20.58	21.06	23.69	0.0	0.0	0.0	13.32	1.35	0.0	11.85	0.05	21.71	56.6	55.22	53.0
Pdzd2	0.0	0.0	0.0	0.0	0.03	0.0	0.93	0.0	11.19	0.0	0.08	6.11	0.04	0.0	0.0	0.06	0.07	0.18	1.38	0.0	4.49	0.0	0.02	0.02	0.0	10.76	14.66	0.0	1.29	0.0	0.0	0.0	14.87	0.0	6.3	0.0	9.81	1.95	0.05	19.13	0.0	11.74	0.06	24.4	7.03	0.09	0.04	2.17	0.0	3.51	4.51	6.13	6.68	2.14	2.64	2.25	1.4	2.68	0.06	3.28	2.65	3.06	2.84	11.35	1.6	0.0	0.0	0.46	0.0	0.0	19.07	2.33	18.21	16.23	20.08
Ppip5k1	20.96	0.55	0.0	0.1	0.0	0.51	30.75	20.21	2.25	1.59	0.13	12.19	9.38	13.42	37.31	0.0	54.65	17.81	4.35	0.0	0.07	31.16	0.0	0.0	33.88	0.0	28.34	0.0	10.21	0.0	42.51	0.0	8.92	0.0	20.78	3.97	0.0	73.72	0.0	49.73	2.29	11.33	51.54	0.0	0.0	24.5	27.15	15.11	0.08	5.87	6.57	3.42	16.94	6.52	4.16	15.9	11.35	2.53	7.95	6.49	5.59	6.36	33.36	0.07	6.74	0.0	0.04	0.56	0.0	2.73	21.43	6.66	66.18	64.87	65.93
Ptov1	0.0	0.0	2.43	0.0	0.0	33.7	0.0	0.0	0.2	14.26	1.15	15.6	19.14	5.08	26.84	5.21	0.5	0.53	1.91	0.0	1.32	11.11	0.0	0.17	0.21	0.0	0.0	0.26	37.6	0.0	0.0	2.72	0.09	0.0	33.02	0.0	0.0	20.59	0.0	105.91	0.0	29.41	1.35	26.45	0.0	34.03	0.0	0.36	8.42	9.71	1.15	0.9	6.63	2.54	4.67	1.01	6.64	6.89	8.69	3.84	6.09	6.52	0.35	78.04	24.92	0.0	72.38	6.97	0.0	0.0	0.0	6.69	132.19	154.59	143.07
Pygo2	0.22	0.0	0.0	0.0	0.0	0.0	19.56	0.0	0.13	0.0	0.0	10.85	0.0	0.0	0.0	0.0	0.0	9.16	0.0	0.0	0.0	0.0	0.0	0.0	65.65	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	22.32	0.0	6.11	0.42	0.65	65.71	0.0	18.37	0.0	0.0	0.0	0.22	0.0	9.55	0.0	12.06	4.3	4.48	0.1	5.22	0.1	9.25	7.35	3.56	0.88	3.48	5.08	4.17	0.0	0.0	0.0	0.0	0.0	2.34	87.59	0.0	0.0	4.19	39.59	39.08	37.66
Sec14l1	0.0	5.39	0.0	0.0	0.0	0.0	15.65	0.0	0.08	0.0	2.24	0.0	0.0	0.04	0.0	0.0	0.0	56.8	4.19	45.23	35.26	0.0	0.0	18.13	0.0	0.0	0.0	0.0	7.65	37.09	0.11	89.35	103.86	0.0	143.05	10.92	44.72	14.94	0.0	300.07	0.17	85.67	16.41	0.07	0.0	17.72	4.35	0.0	0.0	5.32	25.4	19.84	33.06	16.23	5.61	5.99	21.28	16.05	7.29	7.75	14.35	16.01	34.84	0.0	2.77	0.0	31.32	46.31	0.0	0.0	0.08	177.68	162.02	165.04	152.18
Smchd1	0.63	0.0	0.0	8.78	0.0	0.05	11.46	35.46	0.72	0.05	0.0	0.0	0.0	0.0	13.28	0.0	0.0	13.48	11.92	0.0	1.77	0.0	0.0	0.0	0.0	0.0	0.03	0.0	4.65	0.0	0.0	0.12	0.44	0.0	4.68	29.16	29.1	47.6	0.0	25.93	0.0	9.01	0.29	0.04	0.0	0.0	21.19	9.97	0.0	5.61	5.96	9.98	6.04	4.35	0.88	12.29	7.55	6.53	1.74	11.28	7.7	8.36	4.84	0.47	16.26	0.0	0.0	0.0	0.0	2.64	5.72	3.98	17.6	16.14	16.17
Sox8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.5	0.0	0.12	0.22	0.23	0.0	0.91	0.0	11.02	52.05	1.03	0.0	0.0	3.37	0.12	0.0	1.51	1.03	0.3	0.21	0.0	4.65	0.0	1.42	0.09	16.73	0.0	0.0	0.0	0.0	0.45	1.3	4.53	0.33	2.01	3.15	0.6	3.15	5.15	0.2	8.09	1.79	3.54	2.08	0.0	0.37	2.53	0.19	36.98	0.0	0.0	0.0	0.0	0.0	44.76	43.15	32.46
Tubgcp4	16.51	24.21	0.0	29.31	0.0	6.94	23.24	0.0	40.43	0.0	0.0	0.0	0.0	3.79	0.0	0.0	0.0	0.0	7.67	0.14	0.14	0.79	0.0	40.36	43.75	26.26	0.0	5.07	22.59	0.0	0.13	1.65	17.27	0.0	15.19	64.48	0.0	1.94	0.0	133.54	0.0	27.38	0.11	71.18	0.0	0.49	0.0	0.0	0.0	10.53	15.91	15.18	1.43	16.58	22.44	7.75	1.54	13.17	8.82	22.08	20.18	16.38	11.85	0.0	49.28	0.0	0.0	0.0	0.0	20.17	25.89	1.36	20.82	17.32	19.72
