	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_7	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Setd5	21.02	4.78	3.93	5.75	38.03	18.07	11.15	0.91	0.15	0.85	13.78	18.43	0.09	0.0	0.0	0.0	8.13	1.79	0.0	0.0	0.0	0.0	0.0	12.05	13.54	4.55	20.65	0.09	0.0	3.94	60.87	1.72	0.0	0.05	60.53	54.49	54.81
Spna2	68.88	108.81	6.26	63.02	124.65	103.05	71.7	23.92	48.79	40.33	43.68	76.66	37.2	55.56	38.59	57.46	84.81	81.97	53.34	79.32	32.81	64.81	68.9	11.13	170.48	63.63	116.65	31.98	18.63	82.17	125.84	36.95	41.74	12.43	422.57	425.73	438.26
Tbc1d13	0.2	0.21	0.2	0.29	29.06	0.74	0.14	0.02	0.05	0.27	4.92	0.0	0.18	2.03	1.09	0.58	0.17	0.08	0.09	0.06	0.17	2.22	0.06	0.07	0.36	3.07	18.62	0.2	1.93	0.01	16.94	0.25	0.0	6.72	33.76	33.35	30.89
Tcf23	0.15	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.13	0.0	0.0	0.0	0.48	0.33	0.35
Tgfb1i1	1.9	0.0	0.0	0.0	63.51	0.0	0.0	0.03	0.0	0.0	0.0	14.53	0.0	0.0	0.0	0.0	0.0	21.41	0.0	0.0	0.0	0.0	0.0	0.08	0.0	12.98	36.29	0.0	16.68	0.0	61.03	0.0	0.0	20.41	9.64	8.72	7.29
Trim60	0.0	0.0	0.13	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.07	0.0	0.0	0.05	0.0	0.0	0.03	0.0	0.0	0.08	0.15	0.0	0.0	0.0	0.08	0.04	0.03
Tsen2	123.77	13.29	89.72	1.17	358.03	0.0	0.0	0.05	4.55	0.0	0.0	0.0	0.0	0.37	26.32	32.16	0.0	34.03	0.0	0.0	0.0	0.0	92.38	51.8	110.98	15.95	1.42	0.0	40.46	0.0	197.21	100.46	0.0	0.17	15.47	16.05	17.76
Ube2q1	60.93	27.73	4.4	1.55	131.19	33.68	0.0	0.03	0.0	29.6	0.0	0.52	0.2	0.0	0.0	20.04	0.0	10.6	0.11	0.0	0.0	0.81	21.17	0.0	33.48	12.74	18.67	0.0	0.0	0.0	96.15	3.34	1.93	0.0	71.27	73.7	67.97
Vkorc1l1	23.2	0.0	0.0	32.35	87.63	0.0	0.0	0.0	0.0	0.0	25.68	0.0	0.0	42.37	0.0	0.0	49.28	0.0	0.0	12.17	11.35	2.3	0.0	28.63	0.0	10.56	1.21	0.0	0.0	0.0	140.58	0.0	35.67	0.0	55.54	56.94	53.04
Zbtb2	0.0	0.0	0.0	0.0	73.85	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	1.36	5.28	1.59	0.0	0.0	91.06	0.0	0.0	0.0	8.48	9.2	7.12
mt_AK131577	2332.54	497.75	993.57	729.87	1797.41	1978.27	1489.3	1040.04	1050.47	1051.38	1034.56	1117.53	810.34	793.39	1060.94	1006.07	841.8	1113.29	594.69	1416.58	1038.29	1047.52	1060.54	1216.13	1895.17	2144.09	3727.82	1016.28	1141.51	883.44	2850.15	1039.1	885.59	850.74	4857.0	4144.16	4779.18
mt_AK131587	563.34	108.1	225.57	178.58	303.6	428.54	362.59	301.47	293.04	345.77	401.94	267.14	232.07	192.57	396.7	217.31	284.34	393.73	200.98	333.36	357.67	284.41	314.58	235.49	381.25	494.39	665.33	312.32	337.01	421.7	1001.36	223.01	353.6	135.5	1009.76	878.58	996.56
mt_AK132015	2332.54	497.75	993.57	729.87	1797.41	1978.27	1489.3	1040.04	1050.47	1051.38	1034.56	1117.53	810.34	793.39	1060.94	1006.07	841.8	1113.29	594.69	1416.58	1038.29	1047.52	1060.54	1216.13	1895.17	2144.09	3727.82	1016.28	1141.51	883.44	2850.15	1039.1	885.59	850.74	4857.0	4144.16	4779.18
mt_AK132098	2332.54	497.75	993.57	729.87	1797.41	1978.27	1489.3	1040.04	1050.47	1051.38	1034.56	1117.53	810.34	793.39	1060.94	1006.07	841.8	1113.29	594.69	1416.58	1038.29	1047.52	1060.54	1216.13	1895.17	2144.09	3727.82	1016.28	1141.51	883.44	2850.15	1039.1	885.59	850.74	4857.0	4144.16	4779.18
mt_AK167037	2332.54	497.75	993.57	729.87	1797.41	1978.27	1489.3	1040.04	1050.47	1051.38	1034.56	1117.53	810.34	793.39	1060.94	1006.07	841.8	1113.29	594.69	1416.58	1038.29	1047.52	1060.54	1216.13	1895.17	2144.09	3727.82	1016.28	1141.51	883.44	2850.15	1039.1	885.59	850.74	4857.0	4144.16	4779.18
