	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_65	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_9	Gad2_tdTpositive_cell_71	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_16	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_94	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cnih3	0.61	28.36	18.2	1.08	0.0	0.0	82.73	0.0	0.0	0.0	0.0	0.0	41.09	0.96	0.0	53.15	0.27	0.0	0.0	37.78	0.33	0.0	0.0	19.13	0.11	1.84	0.24	0.0	0.0	51.5	41.31	0.0	0.0	0.0	67.01	69.54	71.9
Colec10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.13	0.06	0.04
Coq10a	0.0	42.69	21.55	1.59	0.0	0.0	9.82	0.0	0.0	0.0	0.0	35.32	49.53	0.0	0.0	0.0	0.0	0.0	3.34	0.38	20.64	0.09	0.0	16.12	2.32	42.35	0.0	0.0	0.0	33.94	0.0	0.0	0.0	0.0	27.62	29.36	27.88
Cpne5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	13.68	0.0	0.0	0.0	0.0	52.16	53.1	55.01
D430019H16Rik	0.66	0.0	0.17	0.36	0.0	0.0	0.08	0.15	0.0	0.0	0.0	0.0	0.0	0.1	0.17	0.63	0.0	0.0	0.0	0.12	0.07	0.15	0.05	0.0	0.0	0.13	0.03	0.0	0.06	0.54	0.15	0.56	0.0	0.45	71.29	69.28	70.17
Dgkq	0.0	25.87	1.13	0.0	0.0	0.0	45.32	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.78	2.95	1.44	0.0	0.0	0.05	26.26	1.51	0.0	0.0	50.18	0.0	0.0	88.57	0.05	0.0	0.0	0.0	25.39	25.0	26.91
Dmxl2	0.0	13.39	5.2	6.14	0.0	0.0	52.28	1.84	0.0	0.0	29.96	6.05	18.68	34.62	1.06	9.52	1.29	22.49	23.29	20.09	0.55	26.48	22.69	32.03	25.47	0.95	25.8	1.02	0.0	22.41	39.15	0.0	0.0	0.08	84.29	75.36	80.67
Ftsj3	0.0	0.0	0.0	0.0	0.0	0.0	140.19	47.86	0.0	0.0	0.0	0.0	0.0	55.25	0.0	0.0	0.0	69.97	0.0	0.08	28.33	0.0	0.0	0.0	0.0	0.0	0.0	28.48	0.5	93.73	0.0	0.0	0.25	0.0	29.53	29.37	27.0
Gm14430	0.0	25.01	4.94	0.0	0.0	0.0	35.53	4.47	0.0	0.0	0.07	0.0	11.16	25.91	0.0	6.42	7.3	0.09	5.26	0.0	10.67	9.63	1.28	24.32	9.95	10.87	23.36	14.36	8.24	5.28	20.75	0.0	0.0	2.15	7.67	5.07	7.49
Gm14434	0.0	25.01	4.94	0.0	0.0	0.0	35.53	4.47	0.0	0.0	0.07	0.0	11.16	25.91	0.0	6.42	7.3	0.09	5.26	0.0	10.67	9.63	1.28	24.32	9.95	10.87	23.36	14.36	8.24	5.28	20.75	0.0	0.0	2.15	7.67	5.07	7.49
Gm14446	0.0	0.0	0.0	0.0	0.0	0.0	105.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.84	0.0	0.0	0.0	0.0	0.0	63.59	0.1	0.0	0.0	0.0	3.58	4.06	3.04
Gm4724	0.0	25.01	4.94	0.0	0.0	0.0	35.53	4.47	0.0	0.0	0.07	0.0	11.16	25.91	0.0	6.42	7.3	0.09	5.26	0.0	10.67	9.63	1.28	24.32	9.95	10.87	23.36	14.36	8.24	5.28	20.75	0.0	0.0	2.15	7.67	5.07	7.49
Gspt1	0.22	0.0	38.73	31.8	0.0	0.0	1.91	7.06	0.0	0.0	28.65	8.61	3.92	9.93	44.14	30.96	1.93	13.02	1.92	0.0	0.0	34.23	15.03	7.0	0.04	8.41	0.09	1.45	17.22	35.75	0.15	0.0	0.0	0.0	53.3	49.68	53.88
Gtdc1	13.81	16.23	5.02	15.31	7.95	0.77	20.0	14.74	8.91	0.0	1.57	2.82	32.15	21.2	44.19	7.41	13.63	60.08	9.43	58.32	14.04	5.98	11.44	18.05	13.07	10.44	51.7	14.4	84.26	58.68	151.94	15.75	8.99	11.8	58.73	53.38	59.5
Hcfc1	1.31	18.65	9.02	0.0	0.0	0.0	16.45	10.45	0.0	0.0	0.0	0.03	6.25	0.74	6.97	13.86	0.22	0.0	5.59	0.18	27.92	20.5	16.42	12.82	0.0	11.87	0.09	19.74	10.53	25.91	16.21	0.22	0.0	0.0	41.86	41.59	44.45
Hdgf	97.76	18.88	34.02	8.52	0.0	0.0	59.44	0.0	0.0	0.0	14.98	45.24	51.56	51.35	19.64	110.1	4.89	2.42	5.29	58.96	0.15	27.34	8.64	43.2	14.37	78.32	12.07	0.0	64.67	107.13	103.23	0.0	0.0	0.0	137.59	142.1	139.08
Hspa1a	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46	0.08	0.0	0.0	0.0	0.0	6.15	0.0	12.68	11.48	0.0	0.0	0.0	0.0	12.41	12.92	10.82
Il2ra	0.46	0.67	0.77	0.46	0.28	0.11	1.15	0.54	0.05	0.0	0.07	0.0	0.69	0.87	0.44	0.94	0.49	0.49	0.42	0.29	0.39	0.17	0.57	0.89	0.23	0.22	0.6	0.53	0.52	0.76	0.67	0.0	0.0	0.32	1.66	1.62	1.43
Iscu	0.0	0.0	104.97	108.14	0.0	0.0	19.88	69.59	0.0	0.0	0.0	50.54	31.99	19.35	66.23	166.24	4.3	40.68	36.94	73.96	0.39	56.01	25.73	39.13	15.03	33.48	16.73	0.0	62.99	71.53	49.99	0.0	0.0	0.0	120.15	141.31	125.66
Mast2	1.33	7.84	37.03	2.82	0.0	0.0	3.78	0.0	0.0	0.0	0.0	17.2	25.34	25.78	20.93	56.91	0.0	16.59	19.9	1.12	11.63	44.15	1.08	25.58	2.11	1.07	15.09	37.44	23.67	27.99	43.94	0.0	0.0	0.93	56.98	53.5	54.18
Mbip	0.0	20.11	0.0	0.0	0.0	0.0	64.18	0.0	6.44	0.0	0.0	0.0	58.16	0.0	0.0	38.38	83.14	126.32	0.0	32.56	6.66	38.27	73.56	51.28	15.69	0.0	0.0	14.47	0.0	65.35	148.11	0.0	0.0	0.0	26.66	22.67	26.3
Mboat7	1.33	0.64	35.02	0.0	0.0	0.0	40.86	2.29	0.0	0.0	0.0	0.0	0.34	36.43	0.0	3.43	0.0	0.7	21.24	0.17	17.11	37.73	23.65	17.06	0.0	0.0	0.51	0.0	23.75	60.11	24.98	0.0	0.0	0.15	91.03	94.32	95.04
Nagpa	0.0	0.0	0.0	0.0	0.0	0.0	4.89	0.0	0.0	0.0	0.0	0.0	16.29	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.03	0.0	0.0	0.0	0.0	10.16	10.63	10.4
Phf20l1	15.46	1.22	0.76	24.15	0.0	0.0	0.07	34.38	5.42	0.0	13.06	0.0	7.02	3.15	7.29	18.49	2.42	4.0	7.42	27.03	24.83	23.6	11.71	20.29	0.0	13.97	9.01	0.0	19.84	34.37	45.57	0.0	0.0	0.0	26.43	24.43	27.35
Rad23b	0.4	0.6	0.91	0.0	0.0	0.0	32.85	17.32	0.0	0.0	0.0	3.38	23.74	58.27	16.57	26.14	5.7	7.22	0.36	17.58	23.67	15.57	1.06	13.91	41.15	0.09	0.81	19.51	1.87	7.79	22.32	0.0	0.0	0.0	119.39	127.11	122.14
Reps1	0.0	10.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.9	16.06	0.0	0.95	0.0	0.0	4.67	0.0	6.49	0.18	0.0	39.71	15.78	16.78	15.93	18.66	28.61	79.24	2.01	0.0	0.0	0.0	32.66	33.14	33.52
Sidt2	0.0	0.32	0.0	0.0	0.0	0.0	111.84	0.0	0.0	0.0	0.0	0.0	0.0	3.71	0.0	20.64	0.0	43.68	0.0	0.17	7.04	0.11	0.15	5.26	33.58	0.0	11.05	0.0	0.0	60.97	34.28	0.0	0.0	0.0	50.61	55.9	57.6
Slc26a10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	5.83	6.27	5.97
Snph	0.0	33.82	32.59	0.08	0.0	0.0	0.1	0.37	0.0	0.0	0.0	11.05	24.15	20.02	0.85	3.92	8.21	32.7	0.15	17.0	53.2	52.14	43.3	28.56	59.2	0.58	0.13	10.42	53.44	87.82	6.45	0.0	0.0	0.09	167.43	174.0	180.8
Tac1	6532.88	7648.19	5471.23	5419.98	0.0	0.0	3524.79	6061.09	0.0	0.0	4096.61	2154.94	6618.42	4203.43	5550.42	4137.98	5725.34	5716.55	8114.55	11032.51	6960.91	5289.34	7084.35	3086.41	5303.3	5991.55	6135.38	4992.1	5369.1	4526.97	4074.67	0.0	0.0	0.0	97.93	105.12	85.26
Tmem184b	0.0	1.9	24.56	0.47	0.0	0.0	3.0	0.0	26.67	0.0	0.0	0.0	3.2	7.16	6.19	30.86	0.0	0.0	0.0	0.0	16.54	1.28	0.0	0.0	1.63	0.0	0.05	0.0	8.09	74.06	5.92	0.0	0.0	0.0	63.39	64.99	62.74
Tmem191c	0.0	0.33	25.69	32.49	0.0	0.0	6.93	56.77	0.0	0.0	0.0	10.65	0.0	45.33	74.29	44.8	0.0	0.0	0.0	0.0	0.0	49.83	3.16	1.65	0.0	17.34	32.65	43.98	0.0	79.04	0.15	0.0	0.0	0.0	103.0	122.93	114.69
Tnfrsf26	0.26	0.49	0.26	0.13	0.3	0.0	0.49	0.76	0.2	0.0	0.0	0.0	0.0	0.21	0.22	1.25	0.2	0.44	0.23	0.0	0.61	0.32	0.21	0.52	0.0	0.17	0.46	0.67	0.54	0.76	0.39	0.0	0.0	0.37	0.9	0.53	1.09
Trrap	0.0	0.76	19.24	0.0	0.0	0.0	7.6	0.0	0.0	0.0	0.0	0.0	18.86	1.66	0.05	11.31	1.48	11.8	5.05	0.0	8.89	9.65	0.27	3.42	13.35	6.63	9.88	4.57	0.37	15.41	0.32	0.0	0.0	0.04	48.39	44.3	50.87
Ube2q2	1.3	40.0	3.31	0.0	0.0	0.0	98.82	81.7	0.0	0.0	1.18	20.62	66.4	25.33	25.46	73.88	2.68	9.4	2.36	1.8	0.34	3.69	0.85	44.74	32.8	0.0	16.01	76.67	25.19	114.5	87.59	0.0	0.0	1.66	56.69	58.05	56.02
Vav1	0.6	0.68	1.63	0.48	1.35	0.12	1.34	0.88	0.31	0.0	0.21	0.12	0.99	1.45	0.46	0.95	0.15	0.59	0.48	0.82	1.28	0.46	0.45	0.78	0.56	0.02	0.74	0.12	0.21	0.95	0.22	0.49	0.08	0.0	3.39	2.83	2.77
Wdr6	0.0	46.46	56.87	21.82	0.0	0.0	43.94	16.86	0.0	0.0	9.9	0.47	40.41	0.0	0.24	1.08	0.2	10.18	0.0	0.0	38.38	35.63	5.3	2.21	0.94	0.0	23.95	2.21	33.23	36.83	5.93	0.0	0.0	0.0	94.7	113.38	94.73
Zkscan3	6.21	0.0	0.0	1.68	0.0	0.0	0.0	1.54	0.0	0.0	1.22	18.21	0.0	0.0	2.61	49.53	0.7	1.56	0.0	62.37	0.51	4.93	2.57	15.64	1.07	0.0	6.15	1.23	59.19	43.75	1.8	0.0	0.0	0.51	25.68	23.25	24.03
