	Chrna2_tdTpositive_cell_75	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Abhd16a	0.0	36.79	0.0	0.0	0.0	0.0	39.93	0.08	0.0	105.5	81.43	69.85	6.82	180.19	34.61	12.59	0.0	65.75	0.0	20.16	0.0	2.03	101.5	4.4	1.38	9.59	88.05	262.6	10.11	11.75	33.14	1.29	30.24	21.31	0.0	81.05	110.57	5.24	0.0	29.83	38.37	35.39	35.25	39.75	70.54	15.28	16.1	33.73	14.77	0.0	40.15	4.93	0.0	83.26	0.0	0.0	38.99	1.03	88.09	98.64	86.21
Adam15	2.36	1.42	0.33	1.67	0.0	1.37	0.46	0.28	0.55	0.0	0.29	0.0	0.0	0.0	31.19	0.0	0.0	0.54	0.0	0.0	33.51	0.28	11.19	0.0	0.0	0.22	0.0	61.82	1.24	0.0	1.15	1.02	0.0	0.09	0.0	1.26	0.0	4.74	0.0	0.0	0.35	6.31	4.23	4.05	9.97	5.28	1.2	3.45	4.18	12.93	0.12	0.0	1.05	1.61	17.8	0.0	0.08	3.33	76.22	84.02	81.5
Akt2	63.83	92.49	0.0	66.7	142.04	333.38	0.11	0.17	9.25	25.78	29.56	0.0	80.09	0.08	0.0	94.65	0.0	4.43	95.33	38.2	75.12	0.47	0.38	0.0	69.51	0.11	0.0	342.43	0.0	2.04	0.0	0.57	115.39	89.2	12.09	0.0	27.76	81.77	0.0	10.8	40.17	22.87	15.18	4.5	26.41	19.32	20.4	33.77	23.62	0.0	44.07	137.05	0.0	0.0	0.0	109.56	21.34	0.0	92.36	87.56	96.59
Ap3m2	57.74	105.25	0.0	98.82	124.45	0.1	169.36	128.58	36.97	107.35	93.37	86.46	67.38	0.07	0.16	181.57	165.37	62.81	237.92	60.83	191.34	169.4	232.25	87.1	0.39	40.57	523.62	908.24	306.88	24.26	438.4	175.85	149.04	151.35	56.24	18.41	0.0	77.1	0.0	98.84	136.26	93.17	125.29	67.48	81.2	111.11	113.24	102.47	95.98	119.1	63.57	21.23	63.75	34.39	0.64	168.3	68.96	114.86	122.74	121.18	117.76
Asph	5.41	29.94	0.0	92.81	1.91	0.11	0.11	1.11	133.98	3.97	33.23	1.45	69.15	0.0	0.09	0.85	0.36	43.44	152.46	121.55	0.27	0.07	168.41	11.92	0.15	41.73	95.87	189.34	0.18	0.0	0.0	7.44	88.51	1.52	0.0	102.94	90.05	70.14	0.43	26.35	26.86	29.98	37.52	25.08	4.11	32.9	34.05	25.55	30.92	0.0	1.22	103.22	0.0	60.08	2.88	54.89	41.96	47.57	110.31	113.31	106.12
Brwd1	0.07	10.06	49.78	40.29	35.52	17.35	176.68	40.54	14.76	19.85	18.76	0.0	202.11	5.83	10.42	21.96	45.74	146.37	18.46	0.0	0.0	79.87	14.17	16.88	16.07	4.36	49.31	154.71	34.3	0.74	206.16	38.0	25.47	87.44	30.19	0.08	2.43	17.51	5.35	78.73	70.02	51.75	64.74	22.04	38.08	45.25	53.31	44.47	44.0	40.7	23.85	158.45	0.31	2.39	110.48	22.15	16.32	96.02	77.01	70.69	76.65
Cabp1	0.81	1.47	0.0	0.3	0.68	4.35	0.0	0.28	0.11	0.35	0.0	0.0	6.64	1.51	0.23	2.35	1.53	0.47	13.49	2.69	24.62	0.69	3.59	0.49	32.1	4.99	64.39	46.61	15.59	15.06	1.5	6.51	69.21	0.63	1.04	1.63	5.61	7.33	5.82	4.02	9.05	7.95	10.46	3.37	13.13	8.1	2.6	6.3	5.14	1.41	11.44	15.0	0.0	0.21	0.0	0.27	0.42	2.83	158.2	157.48	164.46
Car14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	5.14	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6	11.44	9.03
Cbln4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	34.27	0.0	0.0	0.0	141.0	0.0	0.0	8.1	0.0	127.0	7.21	0.0	0.0	0.0	0.0	0.0	0.0	5.62	0.0	3.75	0.0	0.0	0.0	0.85	0.49	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.34	14.47	15.32
Ccnb1ip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.06	0.14
Cdc14b	1.35	1.41	0.66	0.97	0.6	0.0	1.05	0.34	0.59	1.75	0.68	0.53	1.45	0.74	0.22	1.35	0.64	1.65	0.74	1.24	3.31	0.78	2.6	2.26	0.5	1.16	0.15	4.94	1.17	0.7	2.11	1.69	0.53	14.07	1.63	2.23	1.92	0.8	4.81	5.31	8.69	5.4	14.38	4.27	3.16	4.41	3.64	2.66	6.46	1.61	12.9	0.59	1.26	1.63	0.79	0.3	1.27	1.19	7.3	6.68	6.87
Cdc34	0.0	0.27	0.0	40.78	0.63	0.0	0.0	0.0	32.46	0.0	0.0	0.0	0.0	0.0	0.89	96.3	0.0	0.0	33.16	0.0	0.0	0.0	7.63	0.46	0.36	32.24	0.0	69.85	0.0	0.0	0.56	0.0	45.19	3.94	0.0	0.5	23.18	0.0	0.0	2.88	1.9	1.37	12.64	1.25	1.2	5.45	5.08	7.51	5.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.25	49.82	54.76	52.75
Cdkl3	0.0	3.93	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.0	0.17	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.17	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.17	0.0	5.34	0.07	0.07	0.95	2.27	3.7	0.0	52.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.67	7.93	7.93
Cdkn2aip	11.17	4.5	0.0	29.05	23.05	0.0	8.15	42.67	0.79	1.28	0.0	0.0	8.39	0.0	0.0	7.91	8.72	35.89	2.42	2.52	1.8	0.0	95.49	2.9	0.0	54.98	0.42	98.43	0.0	0.0	0.0	1.77	9.52	7.76	7.36	48.07	0.0	15.12	0.0	7.99	8.2	4.43	4.53	5.29	0.91	2.65	8.92	6.67	6.13	0.18	23.82	0.0	0.0	0.14	0.0	0.52	3.28	1.7	16.64	16.4	14.16
Chkb	1.19	3.3	0.0	1.77	0.0	0.0	0.0	0.0	0.4	0.0	0.44	0.0	101.0	0.0	2.02	0.0	0.0	3.74	0.0	11.22	5.35	0.0	0.52	83.2	2.05	26.9	1.36	118.64	0.0	0.0	74.48	45.04	0.0	9.26	0.0	62.02	24.28	0.0	0.0	5.54	3.29	3.12	1.04	12.37	17.03	6.94	8.28	3.18	15.35	0.0	0.6	2.49	0.0	0.0	1.53	0.0	0.0	0.0	28.32	30.98	29.23
Col4a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.16	0.29
Col9a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.64	0.47
Dand5	0.0	106.6	0.0	112.39	0.0	0.0	0.0	0.14	0.0	0.11	0.0	0.0	3.43	0.21	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	199.06	0.0	0.0	52.85	6.26	120.11	136.26	0.67	0.0	0.0	0.0	0.0	63.45	23.87	21.54	16.36	48.71	28.79	53.73	21.53	14.14	27.08	0.0	0.29	0.0	0.0	161.04	0.0	0.0	0.0	35.78	15.15	15.64	15.1
Dpp4	0.0	0.14	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.04	0.0	3.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.06	0.0	2.09	0.1	0.0	83.47	2.87	0.0	0.0	1.17	32.93	21.57	0.0	0.0	0.0	0.2	0.0	3.87	0.09	0.65	0.0	3.3	2.12	5.64	5.32	3.62	3.21	0.09	0.0	0.0	0.0	0.0	0.0	12.34	0.0	0.0	2.9	2.44	3.01
Dpy19l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.4	0.27
Dusp23	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	41.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19	0.0	196.73	0.0	16.31	0.0	0.0	37.43	0.52	0.0	0.0	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	5.69	4.27	0.86	1.73	2.25	0.0	0.0	0.0	0.0	0.0	91.02	0.0	0.0	0.0	5.22	6.79	5.76
Enthd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Fam198b	1.06	0.62	0.36	4.93	2.26	0.17	0.4	0.22	0.54	0.63	0.67	0.18	0.96	0.76	0.17	0.77	0.24	0.88	1.79	1.78	1.3	1.89	1.15	0.19	0.83	0.14	1.16	69.22	0.57	1.06	0.51	0.95	0.81	0.5	0.7	0.56	0.36	35.28	0.32	3.18	5.56	3.4	4.81	3.81	10.42	3.83	9.81	7.16	7.82	0.73	5.15	0.26	0.1	5.22	2.53	0.36	0.78	1.04	4.49	3.5	4.54
Fam40b	0.0	0.0	0.0	4.51	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	2.6	9.85	0.0	68.11	0.0	0.0	0.11	0.0	0.0	0.0	1.61	0.0	51.7	0.0	0.0	0.0	0.0	18.85	0.0	0.29	25.65	0.0	0.0	0.0	3.53	0.19	1.01	7.41	1.01	1.59	0.48	6.76	3.77	5.27	0.0	0.91	0.0	0.0	0.0	0.0	29.42	0.0	0.0	29.59	29.35	28.23
Fam64a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	1.48	1.12
Fcho1	0.0	0.0	0.0	3.86	0.49	0.0	0.0	16.14	0.0	0.0	17.17	0.0	2.17	28.82	0.0	0.1	0.22	14.3	0.47	0.0	0.15	3.6	0.0	0.0	0.0	0.0	0.0	34.39	0.0	0.0	0.33	22.86	75.2	0.13	48.32	0.0	0.0	0.53	0.0	0.5	15.0	1.48	8.71	1.79	4.75	0.0	1.44	1.21	4.07	0.0	18.08	0.0	1.41	0.0	0.0	0.0	0.0	0.0	83.46	84.64	85.05
Frmd6	21.34	0.14	0.0	5.35	31.51	0.0	0.0	0.03	0.0	0.0	3.49	7.59	48.81	19.5	3.95	60.43	0.15	137.57	0.0	5.35	42.98	4.01	0.0	3.36	2.36	3.99	0.0	87.88	0.0	0.0	0.07	0.0	0.0	30.36	0.0	0.0	0.0	0.0	0.0	2.49	6.33	15.53	15.11	0.55	4.04	7.56	4.12	8.17	4.13	31.43	58.12	62.71	0.0	0.1	0.0	0.0	72.28	21.05	25.43	22.96	20.81
Fzd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.84	6.79	4.19
Gabrd	0.0	0.0	0.0	0.0	65.88	0.0	0.0	1.13	0.65	1.49	33.94	0.0	0.23	0.13	6.94	0.0	1.32	2.61	75.09	0.0	0.0	6.4	126.0	13.67	0.95	136.07	0.0	237.24	1.37	135.39	194.79	73.38	180.41	0.0	0.0	0.0	0.0	0.91	0.0	20.8	65.67	24.69	36.77	17.34	31.45	17.53	5.29	38.29	32.29	3.64	5.39	192.46	0.0	0.0	0.0	0.0	0.0	0.0	85.92	86.17	87.44
Galnt7	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52	0.0	0.0	0.0	0.0	0.0	18.73	0.0	21.19	0.0	59.92	0.0	36.69	0.0	0.0	0.0	0.0	0.0	14.09	0.0	0.0	0.0	3.49	4.28	4.09	3.77	0.0	6.94	1.58	2.86	1.02	2.7	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.46	7.03	6.73
Gigyf2	28.42	0.12	0.0	0.18	0.0	0.06	0.06	0.34	0.69	8.89	7.78	0.05	0.52	15.59	0.05	9.7	0.0	15.75	17.84	0.0	21.41	0.0	2.59	0.1	6.55	0.06	2.93	85.9	15.15	0.0	0.0	2.59	1.25	2.3	26.44	77.68	3.55	4.24	65.77	4.38	9.02	12.21	9.11	4.89	5.0	12.48	7.46	7.77	5.98	25.56	17.35	24.12	0.0	3.64	8.56	1.0	0.17	11.0	32.74	29.92	31.35
Glt1d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.26	0.0	5.78	0.0	0.35	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	5.34	0.0	0.0	0.0	0.0	4.96	0.0	0.0	10.15	0.0	0.0	0.0	3.01	2.18	7.93	0.59	1.35	0.16	4.25	6.03	3.14	7.25	20.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.44	23.8	23.35
Gm12830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm12942	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.2	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.28	8.65	0.0	1.93	7.29	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69	5.08	4.45
Gm13944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	17.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14
Gm1553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
