	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41
A230001M10Rik	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.73	0.1	0.0	0.14	0.0	0.0	0.16	0.1	0.0	0.62	0.0	0.0	0.0	0.18	0.0	0.48	0.0	0.16	0.0	3.33	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.39	0.0
Abcc1	0.0	0.06	0.07	3.96	24.35	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.06	67.94	0.0	0.0	0.0	1.22	0.0	5.78	0.0	0.67	0.14	3.61	1.01	9.92	4.26	2.95	5.04	2.01	1.53	5.37	2.75	5.26	0.0	0.0	0.0	0.0	0.0	0.0	6.94	0.0	0.0
Adam19	0.0	0.0	0.13	0.0	35.12	0.0	0.0	0.0	0.0	0.11	0.06	0.0	0.0	0.0	0.0	1.31	0.06	0.0	0.04	6.21	25.99	0.36	43.63	1.66	4.11	7.56	6.54	2.66	0.09	6.43	0.0	2.26	2.08	2.85	0.09	0.0	0.0	0.0	0.0	0.0	0.01	0.27	0.0
Akap13	0.0	0.03	24.52	24.59	29.85	0.05	41.7	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	2.01	0.17	9.63	10.43	0.12	0.0	0.0	0.36	0.0	0.0	0.71	0.87	1.48	0.0	0.47	1.65	0.54	0.0	0.0	0.0	0.0	0.02	21.12	0.02	0.0	0.0
Anxa11	0.0	0.0	19.37	0.0	10.33	44.89	0.0	0.0	0.0	0.0	0.0	37.89	0.0	0.0	0.11	0.0	0.0	0.0	0.0	8.14	12.69	39.11	0.0	0.0	6.75	0.14	6.5	5.09	2.39	3.48	3.81	4.0	5.48	5.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88
Arpp19	44.23	979.57	1110.91	766.57	731.65	506.52	1062.99	883.15	999.9	745.39	562.66	1360.96	339.86	878.31	637.56	1061.18	513.47	676.21	594.5	667.65	681.28	549.01	623.47	635.86	786.03	797.78	839.8	715.65	903.6	754.36	808.09	1016.56	801.81	850.62	794.4	717.99	337.88	809.87	694.54	642.87	433.38	714.05	1052.0
Atg16l2	0.0	0.35	0.0	0.0	103.79	0.0	47.76	24.4	0.0	69.07	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	6.86	20.73	0.56	0.0	15.51	3.66	0.78	7.62	6.59	5.86	6.53	3.95	16.78	11.36	8.88	0.0	16.95	1.51	0.71	0.22	0.9	44.13	0.0	0.0
BC031353	0.0	0.09	0.1	0.58	5.14	0.0	17.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	37.23	0.95	0.0	7.14	0.49	4.44	0.0	0.17	4.42	13.59	4.17	1.6	9.83	10.43	4.84	10.84	8.5	7.01	0.0	0.0	0.0	0.43	0.0	0.0	0.0	1.15	0.0
Calm2	4723.58	20813.5	20740.74	19081.81	11086.25	17934.64	18403.02	19628.74	18662.45	16595.47	10185.42	24749.41	16961.32	21064.56	19971.06	19749.13	18161.55	18291.8	18789.68	18187.15	17343.84	19736.86	19581.9	15475.49	15887.21	14138.62	17363.25	14908.0	16198.04	15858.62	18644.66	18004.95	16099.57	15686.41	22860.58	23322.9	25106.81	19256.69	21777.08	23557.63	19735.95	19191.1	17911.68
Camkk2	0.0	0.91	8.66	16.74	24.24	9.68	0.0	5.1	6.24	1.75	0.0	4.37	0.0	1.04	0.0	11.36	10.18	0.0	0.89	11.06	1.65	26.62	6.37	7.47	6.82	1.09	10.52	2.35	5.89	7.97	14.95	7.07	7.88	7.25	8.08	0.0	0.0	2.11	12.42	0.0	0.12	0.65	0.68
Cdc14b	0.06	1.48	1.98	2.02	1.79	0.12	0.62	0.99	1.82	0.6	0.0	1.05	0.39	2.48	0.53	0.64	1.99	0.99	0.46	11.42	3.51	2.41	0.8	5.31	4.13	8.69	7.57	5.4	14.38	7.08	4.41	3.64	2.66	6.46	2.59	1.26	0.79	0.3	1.27	1.53	4.92	4.44	0.79
Cnnm4	0.0	0.0	0.0	37.02	73.39	0.07	86.67	0.0	0.0	31.47	0.0	45.54	40.05	0.0	12.6	0.0	0.18	38.39	114.65	21.74	37.53	0.32	0.0	56.66	45.97	65.59	43.48	50.64	48.34	36.99	59.33	85.9	68.36	67.85	0.0	25.59	0.0	0.0	25.4	0.08	24.21	46.68	36.8
Cp	0.0	0.08	0.0	0.0	0.18	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	9.75	0.24	29.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dirc2	0.0	0.88	0.36	0.4	24.04	0.05	1.56	2.03	0.63	0.62	0.24	0.0	0.08	16.42	0.01	0.51	1.42	1.06	0.01	5.23	27.12	2.65	1.96	4.33	11.04	8.55	1.04	2.73	5.1	1.75	4.95	5.09	10.13	8.35	0.18	0.14	1.14	2.88	0.0	0.12	2.75	1.37	7.98
Dmwd	0.0	38.73	0.0	21.31	63.37	0.53	0.0	0.0	0.33	0.0	0.0	10.72	27.29	13.4	0.0	30.34	0.0	0.0	0.0	11.43	1.34	0.0	0.0	6.21	16.37	9.05	17.72	9.0	0.0	14.49	9.01	13.64	7.52	16.01	0.0	0.11	0.0	0.12	11.25	131.15	0.0	0.0	0.0
Ece1	0.07	179.58	178.88	95.47	93.09	125.77	209.8	68.72	36.27	69.83	7.09	146.49	7.92	0.0	58.51	50.62	112.13	42.01	0.0	43.85	28.79	24.18	61.35	111.48	91.69	102.32	102.52	89.91	40.51	98.14	61.83	62.18	62.3	58.22	43.66	10.94	33.14	7.44	5.58	67.51	51.03	251.74	56.6
Ednrb	0.0	0.0	0.0	0.15	0.22	0.09	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.11	0.03	0.0	0.13	0.0	0.04	0.0	0.09	0.0	0.0	0.0	0.09	3.6	0.0	4.86	2.45	0.53	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.0
Eif2s1	0.41	13.4	249.95	160.77	208.4	213.63	96.56	173.5	111.77	149.27	0.38	222.01	122.63	151.34	142.17	177.72	70.43	116.65	131.75	146.45	13.86	185.77	66.61	191.93	211.02	157.29	153.08	170.12	138.55	83.76	209.36	166.66	162.88	150.29	183.25	96.65	0.0	64.34	2.66	119.93	172.3	185.32	278.76
Esam	0.0	0.0	0.0	0.0	5.42	0.0	0.43	0.0	1.37	0.0	0.0	0.0	10.39	0.0	0.0	0.0	0.0	0.0	0.0	1.55	1.44	0.0	0.0	0.0	3.71	1.46	19.12	0.18	0.0	18.77	10.45	2.6	4.5	11.54	0.0	26.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Exph5	0.0	0.0	3.99	8.18	15.54	0.03	55.21	52.21	0.04	0.0	0.0	22.47	0.0	0.03	0.0	0.0	0.0	0.0	0.0	5.07	0.69	3.56	0.09	1.82	3.52	0.89	0.24	0.1	2.37	2.59	1.58	1.87	2.75	1.14	14.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fkbp7	0.0	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35	0.0	0.0	0.0	0.0	0.0	0.0	2.44	0.8	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flt1	0.0	0.0	0.0	0.0	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Foxk2	0.0	8.34	67.79	0.0	42.33	0.07	0.0	109.43	0.33	12.78	0.0	0.0	0.0	0.0	0.0	0.07	1.58	1.9	0.07	2.55	0.23	29.39	0.0	5.87	10.49	6.91	2.26	3.72	9.5	0.79	5.17	5.4	4.27	4.92	20.87	27.59	0.0	0.0	0.0	0.0	25.67	2.01	19.11
Frmd3	0.11	75.53	1.05	0.77	98.02	0.77	1.16	3.21	0.18	1.57	0.96	0.9	0.09	0.43	0.77	0.52	56.61	0.69	0.09	12.07	37.8	0.82	34.08	19.19	10.76	6.9	9.19	10.88	7.24	20.62	16.77	31.52	10.83	17.48	0.16	0.13	0.22	1.72	1.98	1.39	2.95	0.49	67.06
Gm2002	0.0	0.0	0.11	0.0	0.0	0.37	0.49	0.0	0.0	0.0	0.0	0.2	0.1	0.22	0.43	0.0	19.08	0.07	0.07	1.5	0.04	1.12	0.24	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.96	1.27	4.28	1.89	0.17	27.58	0.0	0.36	0.28	0.0	0.06	0.0	0.0
Gm9962	0.0	1.6	0.38	0.44	47.26	0.0	0.61	0.0	0.47	0.53	0.26	2.84	0.0	0.42	0.07	0.0	1.32	0.0	0.0	0.72	0.01	0.21	0.98	6.5	5.4	1.29	5.96	0.83	5.93	0.5	5.62	8.43	13.01	3.35	0.5	1.08	0.0	0.24	0.1	0.0	0.06	1.57	0.0
Gpm6b	0.0	783.47	1276.31	677.69	562.02	872.59	873.51	189.69	724.81	366.36	214.45	646.02	590.06	991.64	112.75	401.45	476.31	695.15	289.91	478.33	175.98	250.32	338.13	348.44	338.72	427.29	318.83	283.28	469.53	474.23	323.66	740.28	555.1	555.08	126.03	41.69	139.94	109.19	216.99	614.65	329.25	559.76	364.64
Gtpbp10	0.0	0.0	0.0	0.0	58.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	50.66	0.0	0.0	0.0	13.58	0.0	0.0	0.0	4.11	0.0	1.14	16.25	6.56	6.23	1.37	0.61	7.32	11.13	7.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.82	0.0
Gucy2g	0.0	0.0	0.0	0.0	35.1	0.0	94.62	49.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	46.86	1.92	0.15	0.31	0.0	0.0	0.0	2.65	2.64	0.0	0.38	0.66	0.0	0.76	2.99	2.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexdc	0.0	0.0	0.0	0.0	69.78	0.0	46.2	0.0	0.21	0.0	0.0	0.0	1.96	0.0	0.0	106.97	0.0	0.0	0.0	2.55	0.91	23.57	0.0	3.66	8.64	6.87	18.85	9.21	12.47	13.55	12.56	2.3	9.52	13.04	105.98	0.0	0.0	0.0	0.0	0.0	0.0	4.23	0.0
Igtp	0.0	0.0	0.0	0.0	3.54	0.0	165.84	114.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.61	0.07	0.07	0.0	0.0	0.0	0.0	0.0	8.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il11ra2	0.0	0.0	0.11	0.0	0.0	0.37	0.49	0.0	0.0	0.0	0.0	0.2	0.1	0.22	0.43	0.0	19.08	0.07	0.07	1.5	0.04	1.12	0.24	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.96	1.27	4.28	1.89	0.17	27.58	0.0	0.36	0.28	0.0	0.06	0.0	0.0
Il1f9	1.7	1.62	5.08	1.13	24.28	0.06	0.5	0.46	1.78	3.69	0.32	5.0	0.0	10.54	0.0	1.92	11.45	0.25	0.0	3.62	13.63	0.8	6.32	2.0	0.43	3.58	2.44	1.88	3.2	2.21	0.93	2.48	3.84	3.52	0.0	0.0	0.54	1.73	0.0	0.24	1.71	3.68	7.23
Kcnb2	0.0	0.0	0.0	0.0	25.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.98	0.0	11.54	4.67	0.36	0.0	3.37	0.0	0.0	0.0	0.0	0.0	3.42	0.0	1.11	0.19	0.65	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0
Kcnj8	0.0	0.0	0.0	0.0	2.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcnk4	0.0	132.95	36.07	0.0	55.96	0.0	21.85	0.0	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.0	27.36	0.0	0.0	0.76	45.76	60.42	0.0	8.08	0.0	0.0	2.69	3.55	11.73	4.19	11.88	2.44	4.22	3.24	0.0	0.0	0.0	4.61	0.0	0.0	0.0	0.0	0.0
Magoh	0.0	53.49	0.0	83.07	248.65	104.77	361.83	150.09	99.52	0.0	0.0	1.76	0.0	153.25	34.82	99.98	90.02	221.79	144.62	135.18	155.23	107.79	0.0	135.44	123.66	88.88	56.88	80.09	143.27	82.32	95.8	75.51	87.52	93.28	0.0	0.0	5.49	24.82	93.21	179.68	63.34	118.42	0.0
Mapk11	0.0	13.43	192.61	3.62	70.6	146.36	238.76	0.0	0.0	0.0	0.15	0.54	7.26	0.14	24.01	0.0	2.26	50.37	0.0	12.55	138.52	2.04	0.35	40.81	28.81	47.27	25.63	34.81	28.08	27.91	33.27	24.12	45.21	32.84	0.0	0.12	0.0	0.0	0.0	0.22	0.0	0.0	1.76
Mcm6	0.0	0.0	0.0	0.0	7.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	0.0	0.61	5.05	0.81	0.0	0.0	0.83	0.0	0.34	0.31	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.5	0.34
Mettl7a1	0.0	36.46	0.21	21.06	13.88	0.0	2.97	1.85	0.0	0.0	0.05	0.0	0.0	0.0	0.0	4.15	0.27	0.0	0.0	10.81	0.23	1.03	1.81	5.52	4.8	11.85	9.33	3.56	4.18	3.84	10.92	5.28	6.46	6.87	0.0	0.4	0.0	0.0	0.26	0.0	0.54	0.32	0.35
Mfap1a	5.48	199.6	100.33	226.85	143.85	55.0	161.5	72.88	35.77	56.74	0.5	1.29	8.12	31.7	12.99	18.56	107.44	21.92	0.0	63.87	21.57	30.6	83.52	73.69	62.74	73.93	63.64	81.03	48.68	82.66	49.34	62.31	54.39	59.94	69.05	19.31	172.02	21.3	56.78	59.77	11.24	42.2	77.7
Mir1192	0.0	0.0	0.0	0.0	84.04	0.0	62.58	0.0	0.0	0.0	0.0	0.0	0.0	126.65	0.0	0.0	0.0	50.01	0.0	7.86	0.0	54.67	38.31	28.14	45.16	68.76	27.22	0.0	14.21	36.23	15.59	9.43	5.31	0.0	0.0	26.62	0.0	28.62	0.0	0.0	0.0	67.9	0.0
Mlxip	3.71	1.28	5.37	5.84	33.11	2.38	4.63	7.15	35.89	5.61	1.95	1.71	1.44	5.76	3.46	5.33	3.86	2.16	2.16	7.26	10.17	5.52	8.67	4.05	4.97	6.46	7.48	9.18	7.24	9.12	8.13	4.87	5.5	4.8	4.93	1.17	4.59	25.34	2.83	2.4	13.7	6.41	7.75
Mmp17	0.0	0.0	13.32	7.3	68.08	0.0	0.0	0.0	36.75	0.11	0.1	146.16	39.16	5.35	26.48	0.0	6.2	61.94	134.64	6.52	0.46	10.85	22.34	47.89	42.28	23.48	46.26	65.05	41.33	52.78	47.8	37.2	33.97	30.71	42.99	56.78	142.52	43.89	175.08	113.33	0.0	100.76	45.18
Mpzl3	0.0	0.0	0.0	0.76	67.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.04	0.0	0.0	8.4	0.0	0.0	0.0	12.2	7.93	4.64	6.21	0.0	3.85	3.45	0.0	0.0	0.0	0.0	0.0	0.0	40.44	0.07	0.0
Mrgpre	10.17	5.85	4.22	2.85	70.84	1.2	5.46	3.35	1.67	2.56	2.06	1.38	0.3	0.8	1.66	1.34	4.83	2.06	1.07	3.54	16.5	4.6	3.95	1.61	2.65	3.09	4.62	2.07	4.88	2.56	5.29	1.27	6.03	2.93	2.43	2.19	2.0	5.4	1.51	6.14	4.2	2.11	2.71
Mtif2	7.98	22.07	93.26	5.04	169.73	2.17	11.51	27.44	7.76	5.45	14.17	76.92	1.45	14.12	1.85	28.79	33.28	3.56	0.2	29.33	14.68	50.77	25.49	35.9	23.76	39.97	36.98	32.83	44.65	56.72	20.61	41.8	28.19	32.79	22.87	0.64	1.97	2.44	0.96	1.61	4.01	141.24	41.97
Ngdn	0.0	0.64	0.37	0.0	239.28	0.0	166.63	173.2	0.72	7.01	0.0	113.77	131.3	122.88	2.07	98.97	27.49	79.64	232.15	95.58	137.41	65.88	82.22	105.64	80.42	113.65	58.43	66.34	85.44	115.87	78.12	98.76	96.43	102.67	149.31	0.0	161.55	22.68	132.15	0.0	46.4	0.0	82.38
Ntng1	0.0	0.0	0.08	0.0	92.91	0.0	133.48	5.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	1.33	3.61	0.53	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.66	0.04	0.23	0.34	0.14	0.0	0.0	0.0	0.14	17.06	0.0	4.71	0.0	0.0
Ogfod2	0.0	0.0	0.0	0.0	70.22	0.0	0.0	0.5	0.0	55.47	0.0	0.0	0.73	75.61	0.0	0.0	0.0	76.39	0.0	13.43	2.02	0.98	0.0	37.79	31.99	14.95	15.68	45.51	19.12	20.92	2.73	21.17	20.34	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.22
Olfm2	0.0	934.09	744.7	312.0	470.32	107.85	1.06	9.45	2.79	116.28	0.0	287.96	154.25	4.54	2.52	200.02	88.17	396.97	0.0	114.14	338.13	51.3	0.0	101.4	99.87	131.11	119.55	152.19	124.32	162.75	107.23	173.43	161.39	129.97	220.7	0.0	401.92	77.71	0.16	0.0	67.78	138.22	0.22
Parp10	0.0	0.0	0.0	0.0	17.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parva	5.77	150.03	47.3	23.48	53.95	0.0	8.52	0.0	2.05	0.0	0.0	6.67	0.0	0.0	0.0	0.0	122.25	0.0	25.85	6.12	4.24	0.13	0.0	8.7	11.33	10.29	9.29	5.65	8.15	4.16	12.37	12.56	12.04	14.24	0.0	0.0	0.0	20.19	0.0	0.0	0.0	0.0	0.0
Pcdha11	0.0	0.0	0.0	0.0	63.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	16.31	0.0	0.37	0.99	6.32	0.0	2.91	3.82	3.14	0.0	24.79	53.86	0.0	0.0	0.15	0.0	0.0	0.0
Pde2a	0.0	0.27	88.53	0.67	156.99	33.01	317.66	0.0	80.54	127.13	0.0	64.23	63.95	0.0	62.28	142.85	6.83	32.44	27.8	39.21	38.56	25.39	19.1	52.16	40.87	62.8	90.77	64.03	48.5	41.6	34.29	81.1	74.47	96.67	0.0	70.45	39.25	40.37	65.54	0.09	47.31	176.46	54.29
Pex3	0.0	0.0	0.0	3.61	178.16	220.6	10.61	0.0	0.0	0.17	0.0	1.0	138.13	127.2	35.56	1.82	0.0	0.0	0.0	26.64	130.7	4.43	0.37	11.61	30.78	47.67	25.7	37.71	25.9	12.12	8.61	23.41	35.43	23.94	0.0	0.87	0.0	0.0	0.18	0.0	30.23	0.0	0.0
Pla2g6	0.0	0.0	0.0	0.0	48.18	0.0	0.0	0.0	0.0	40.27	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.72	0.05	0.0	0.0	0.3	16.66	0.75	6.67	9.69	13.77	5.42	5.36	6.51	4.14	4.3	0.0	3.41	0.0	0.0	0.0	8.35	0.0	94.39	0.0
Polr3gl	0.79	82.49	1.29	4.73	118.89	0.25	2.99	245.43	1.34	4.26	2.57	3.6	0.94	56.42	2.41	3.02	7.62	49.73	0.0	16.11	6.37	4.76	8.26	26.43	17.29	26.71	21.71	25.39	31.82	11.73	22.78	25.11	20.68	17.02	2.81	1.91	3.39	1.53	39.47	3.59	7.37	5.73	72.58
