	Ctgf_tdTpositive_cell_3	Nos1_tdTpositive_cell_16	Pvalb_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nek11	0.0	0.0	0.0	1.5	1.13	0.97
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Numbl	0.0	2.16	0.0	88.92	93.6	88.07
Nup62-il4i1	0.0	0.0	0.0	1.46	1.83	1.14
Olfr1417	0.0	0.0	0.0	0.53	0.3	1.32
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Opn3	0.0	0.0	0.0	7.29	7.9	8.12
Palm	0.16	0.0	0.0	185.83	203.34	190.96
Pde8a	0.0	0.0	0.0	14.86	13.92	16.65
Pgm5	0.02	0.01	0.0	2.24	2.12	2.48
Phf16	0.0	0.09	0.0	6.35	7.0	7.08
Pkdcc	0.0	0.0	0.0	8.84	9.75	9.6
Pkdrej	0.0	0.0	0.0	0.78	0.89	0.86
Pnmt	0.0	0.0	0.0	0.57	0.43	0.71
Pramef8	0.28	0.03	2.95	9.6	9.87	10.19
Rftn1	0.0	0.48	0.0	7.78	7.89	8.54
Rrh	0.0	0.0	0.0	0.0	0.0	0.15
Rtkn2	2.13	0.5	0.99	2.53	2.53	2.61
Shc1	0.0	0.0	0.0	8.94	9.62	8.87
Slc25a11	0.0	72.1	0.97	118.15	128.63	114.62
Slc46a1	0.0	0.0	0.0	11.0	11.74	12.71
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smarca4	0.0	2.26	18.92	63.89	65.92	68.05
Srgap1	0.0	4.13	0.0	9.61	8.39	9.29
Srp72	0.0	0.18	0.0	63.66	65.22	63.9
Syna	0.0	0.0	0.0	5.44	4.68	4.79
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Thap6	1.65	0.21	0.82	2.34	2.42	2.02
Thbd	0.0	0.0	0.0	11.85	11.46	10.75
Tmem28	0.0	0.0	0.0	13.13	11.64	12.24
Tmem63c	0.0	4.11	0.0	40.93	37.28	44.54
Tprkb	8.42	36.44	8.18	63.06	59.88	66.59
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ung	0.0	0.0	0.0	2.34	3.2	2.15
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wnk2	0.0	0.27	0.0	49.56	48.86	56.38
Wtip	0.0	0.0	0.0	5.53	7.12	6.08
Zfp36l2	0.0	0.0	0.0	19.99	19.15	20.78
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	0.04	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	2.09	0.0	9032.87	8417.95	8583.15
