	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Gad2_tdTpositive_cell_30	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Atp8b2	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	17.22	1.5	0.0	2.05	3.96	0.0	0.1	0.18	25.26	18.72	2.52	0.0	0.92	0.93	0.36	6.66	22.73	49.43	28.01	31.96	2.9	0.0	45.87	47.57	48.19
BC030500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.66	207.03	3.92	18.94	0.0	30.71	1.3	66.21	0.27	1.79	4.35	4.33	0.22	0.0	0.0	0.96	13.43	12.34
Camk2b	0.0	3.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.08	84.25	64.79	0.0	0.45	1.84	34.36	11.38	32.18	46.42	18.9	36.74	7.01	28.75	4.45	0.42	43.65	144.27	55.89	0.32	245.5	532.26	557.69
Ccdc107	0.0	0.0	0.0	0.0	0.0	19.71	0.0	0.0	177.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.92	0.0	0.0	47.25	0.0	0.18	37.21	0.0	31.61	0.0	0.0	0.0	55.58	36.95	42.6
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	9.17	0.0	17.08	20.98	0.34	0.68	0.81	19.89	11.75	29.61	11.59	0.69	1.74	0.85	1.18	0.0	0.0	0.0	41.42	389.64	0.0	2.83	30.63	28.29
Cxxc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.0	0.0	0.46	0.0	2.53	18.11	2.18	14.72	5.08	1.31	0.13	0.0	0.0	0.08	2.0	34.89	105.39	20.19	78.58	82.01
Cyfip2	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.0	0.0	9.38	0.02	54.77	18.32	0.11	0.65	4.4	55.31	47.93	131.11	91.19	55.74	97.3	34.27	39.83	47.96	13.78	61.92	317.82	22.19	0.1	267.74	420.97	405.91
D3Bwg0562e	0.35	0.07	0.85	0.14	0.15	1.8	0.03	0.42	0.76	0.5	0.02	0.0	0.51	6.73	1.73	132.35	6.32	3.43	2.44	3.05	25.5	15.08	56.78	46.4	32.62	49.35	41.02	7.85	1.17	11.62	5.35	82.04	18.96	4.09	28.03	121.62	116.8
Disp2	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1	0.0	56.57	5.22	0.0	0.0	0.31	3.66	19.54	23.29	12.93	21.54	40.97	23.91	58.6	34.03	27.08	23.29	51.1	0.18	0.1	64.93	142.18	142.99
Dscam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.65	0.06	0.0	0.16	0.28	0.0	0.0	2.03	0.74	0.0	0.22	2.55	0.32	0.0	0.13	1.06	23.72	11.47	0.0	0.88	28.5	27.09
Dync1li2	0.0	135.22	0.0	0.0	0.0	0.59	0.04	0.0	0.0	0.0	0.17	0.0	0.0	38.84	0.1	56.85	60.38	0.0	0.54	0.45	21.13	55.02	47.12	6.87	27.28	54.05	0.49	70.09	27.76	28.09	16.2	81.06	5.36	0.0	64.28	163.9	162.52
Elovl6	0.0	0.0	0.06	0.0	0.2	0.0	0.11	0.29	0.07	0.0	0.0	0.0	0.08	0.16	0.16	0.17	42.14	0.13	0.1	0.19	27.23	7.16	40.91	4.27	49.61	30.16	1.01	2.99	19.17	23.19	23.88	11.95	0.6	0.55	0.05	24.88	20.93
Fkbp1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.77	0.0	0.0	0.0	0.0	6.28	45.47	32.71	60.81	0.0	0.0	35.83	1.51	126.71	0.0	11.42	61.29	0.0	0.0	85.33	40.98	49.71
Flt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9	0.0	6.35	0.0	0.0	12.73	54.06	0.0	30.84	5.78	0.0	15.71	0.0	0.0	30.01	6.21	4.61
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	9.17	0.0	17.08	20.98	0.34	0.68	0.81	19.89	11.75	29.61	11.59	0.69	1.74	0.85	1.18	0.0	0.0	0.0	41.42	389.64	0.0	2.83	30.63	28.29
Gm14391	0.0	1.13	3.35	3.05	4.96	0.0	46.42	0.0	0.0	243.22	10.73	0.0	0.0	13.23	0.0	118.23	29.64	0.0	4.8	601.11	119.98	75.36	98.07	33.1	47.51	32.46	124.86	237.25	56.62	212.05	97.28	16.64	594.67	0.0	24.66	35.34	28.08
Gm14430	0.0	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	7.21	0.0	0.0	0.06	6.5	0.0	3.4	0.0	12.07	23.92	6.94	1.15	0.0	0.1	13.98	5.79	0.0	0.28	6.2	7.67	5.07
Gm14434	0.0	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	7.21	0.0	0.0	0.06	6.5	0.0	3.4	0.0	12.07	23.92	6.94	1.15	0.0	0.1	13.98	5.79	0.0	0.28	6.2	7.67	5.07
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	9.17	0.0	17.08	20.98	0.34	0.68	0.81	19.89	11.75	29.61	11.59	0.69	1.74	0.85	1.18	0.0	0.0	0.0	41.42	389.64	0.0	2.83	30.63	28.29
Gm4724	0.0	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	7.21	0.0	0.0	0.06	6.5	0.0	3.4	0.0	12.07	23.92	6.94	1.15	0.0	0.1	13.98	5.79	0.0	0.28	6.2	7.67	5.07
Gramd1a	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.87	0.0	0.18	16.75	0.0	0.22	40.39	0.0	6.26	5.75	20.14	0.0	0.0	0.51	5.74	70.97	5.59	30.62	16.74	0.0	0.0	42.81	82.45	89.35
Kcnb1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.22	1.26	2.56	0.0	0.53	0.93	7.59	10.35	20.36	2.43	3.35	4.49	2.61	0.18	25.86	0.06	0.62	11.36	54.46	0.17	33.94	80.83	75.26
Klri2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.92	0.0	0.94	0.05	0.0	1.57	1.29	0.97	0.0	0.45	0.0	0.09	0.1	0.16	0.07	0.59	0.0	0.11	0.0	0.19	0.0	0.13	0.18	0.21
Mkln1	938.21	0.0	2.47	25.97	331.23	0.12	0.0	0.0	143.54	0.0	0.0	0.0	0.0	13.56	0.04	107.44	5.81	0.17	17.96	0.53	94.94	47.74	51.27	33.3	38.94	51.38	1.71	3.95	7.02	0.25	30.91	14.37	338.99	0.16	65.63	39.53	32.65
Myo5a	0.07	0.0	0.04	0.0	0.12	0.07	0.0	0.07	0.04	0.04	0.0	0.0	0.0	4.37	0.04	88.57	20.66	0.0	0.44	0.97	32.77	12.08	29.89	74.42	41.02	55.38	45.28	2.93	16.57	33.26	28.9	89.98	10.52	0.0	67.35	147.23	132.38
Napb	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.21	0.0	0.0	0.0	0.0	0.0	1.24	0.17	143.64	3.0	0.0	0.48	2.94	141.85	281.39	203.77	57.19	202.17	129.0	4.12	36.75	23.54	7.68	88.27	175.34	34.31	0.87	314.15	335.54	308.69
Nbeal1	0.0	2.14	0.03	405.41	0.76	52.23	0.0	209.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.86	0.49	0.0	0.15	129.79	11.56	3.53	0.84	3.73	0.0	0.37	4.51	0.22	16.9	0.07	0.01	9.46	68.65	0.16	3.24	6.49	3.92
Ndn	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.71	0.19	0.0	243.17	0.42	1.47	1.29	15.1	22.83	63.03	0.0	199.69	58.98	187.67	1.66	0.0	0.1	0.0	405.02	0.73	0.0	277.08	289.61	161.88
Nmnat2	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.1	0.0	0.0	0.0	0.0	0.0	15.41	0.0	122.31	38.66	0.31	0.13	2.29	9.19	67.76	102.25	9.66	77.31	187.59	6.28	14.0	3.16	8.52	14.3	31.12	7.06	0.43	43.7	85.38	83.8
Nr1h2	0.0	32.6	0.0	0.0	0.0	0.0	0.0	371.88	0.0	0.46	0.0	3.85	0.0	1.48	0.0	0.51	49.28	0.0	0.0	0.0	2.32	0.98	0.0	0.0	0.91	19.61	0.35	0.22	0.0	0.09	0.35	1.25	0.0	183.41	95.54	47.16	54.22
Opcml	0.0	0.0	0.06	0.03	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1	0.08	2.53	0.44	0.22	0.1	1.97	69.65	46.48	33.09	59.6	50.46	68.56	18.51	16.77	53.44	29.69	27.21	54.13	106.58	0.0	64.28	85.31	78.39
Paqr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2	11.05	18.3	27.21	28.89	18.37	0.0	1.54	18.39	0.2	26.37	12.09	2.49	0.0	10.92	56.06	56.39
Pcyt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	150.61	12.72	0.0	45.07	186.4	54.16	79.52	63.06	0.78	92.31	69.16	0.5	274.46	4.25	0.65	0.09	187.78	503.55	0.35	137.54	77.51	92.17
Pgbd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	0.06	51.56	0.8	0.24	1.48	4.09	43.33	27.05	79.01	37.7	91.29	15.1	52.92	203.84	90.08	17.42	53.6	160.77	4.64	0.0	40.98	134.18	138.74
Pitpnm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	2.4	0.1	0.0	0.0	4.28	5.76	3.02	0.0	0.85	24.2	0.3	18.82	0.0	0.0	0.33	7.11	0.0	0.0	8.08	51.44	49.9
Pla2g6	0.0	0.0	0.0	0.0	0.0	210.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.3	2.02	5.73	0.0	6.92	0.0	0.0	0.0	0.0	0.11	0.06	1.13	12.99	0.0	61.97	13.99	15.4
Plekha3	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.42	1.79	0.0	0.0	0.0	45.18	9.81	14.76	0.0	21.17	27.38	32.41	42.01	0.0	40.69	7.43	0.58	0.0	0.21	0.15	28.19	27.11
Rab4a	0.0	0.0	0.0	0.0	0.0	0.0	125.94	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	96.42	0.16	0.0	0.0	0.76	0.0	1.38	20.37	4.59	10.76	76.19	37.99	48.25	0.0	26.56	0.0	32.19	1.72	0.0	66.82	52.1	56.95
Rbfox1	0.0	3.71	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.04	11.07	0.05	45.37	54.3	0.0	1.29	1.28	40.79	64.17	62.84	39.11	138.62	74.47	24.76	38.94	183.17	7.89	45.7	58.43	7.7	0.16	109.38	198.25	185.0
Rnf103	0.0	0.13	0.1	1509.86	0.0	0.0	0.0	0.0	538.57	0.0	0.0	0.0	0.0	53.13	0.0	0.0	0.59	0.0	0.0	0.0	0.56	24.01	3.09	34.04	0.0	18.04	16.96	0.09	310.43	0.1	0.1	15.08	0.36	0.0	0.49	42.32	41.97
Rnf121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	405.06	0.0	0.15	0.0	0.0	0.0	0.0	66.51	12.36	0.0	42.19	0.0	5.3	0.19	54.96	0.0	0.12	59.29	0.82	0.0	57.09	34.55	36.88
Rtkn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.55	448.14	0.0	24.45	25.82	0.0	0.0	1.32	1.15	0.26	2.35	59.82	0.0	39.36	0.0	0.0	85.72	50.12	53.99
Ryr2	0.0	0.16	0.0	0.02	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.03	2.65	0.41	8.92	11.38	0.04	0.07	0.46	30.42	5.05	6.9	0.9	3.19	6.65	0.16	0.25	20.07	3.29	5.02	8.01	21.16	0.04	12.92	51.84	45.32
Scn8a	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.04	9.6	24.76	0.0	0.11	1.11	67.19	26.39	34.19	20.63	68.76	75.14	18.46	35.61	47.2	23.24	64.22	115.4	219.46	0.0	24.63	111.53	100.99
Sgta	0.0	0.0	0.0	0.0	0.0	0.24	0.0	9.71	15.59	2.55	0.0	0.0	0.24	88.05	0.08	2.56	132.47	0.0	330.8	4.36	0.94	109.87	125.72	89.05	210.49	32.95	1.77	13.42	0.27	0.78	0.62	116.62	406.38	0.0	67.03	121.08	127.43
Sprr2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.42	0.0	0.06	0.0	0.0	0.0	0.0	0.02	0.42	0.09	0.0	0.0	0.0	0.0	0.07	0.06	0.0	0.5	0.46	0.06	0.04	0.76	0.1	0.0	0.2	0.71	0.25	0.01	0.08	0.25
Sprr2a2	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.42	0.0	0.06	0.0	0.0	0.0	0.0	0.02	0.42	0.09	0.0	0.0	0.0	0.0	0.07	0.06	0.0	0.5	0.46	0.06	0.04	0.76	0.1	0.0	0.2	0.71	0.25	0.01	0.08	0.25
Srp54c	0.0	0.0	0.13	0.0	0.0	0.0	0.07	0.0	0.0	0.0	2.95	0.0	0.0	376.29	0.0	132.15	0.0	0.23	0.48	3.43	67.32	79.43	179.65	8.69	3.92	85.71	13.16	1.59	212.67	0.0	80.48	95.62	0.0	0.0	118.37	100.94	90.59
St3gal5	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	40.45	0.0	12.94	0.0	1.63	20.03	23.96	0.54	1.92	0.0	16.35	30.67	26.15	22.54	2.21	29.8	1.8	0.35	46.96	157.26	163.54	44.86	0.0	0.23	137.49	142.88
Stac2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	105.8	19.81	61.54	8.78	36.76	85.69	141.38	0.65	4.88	10.49	21.25	55.33	0.0	0.0	46.13	75.0	77.02
Stk3	0.0	520.19	0.0	0.0	0.15	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.01	0.0	0.0	0.0	0.0	0.0	1.31	3.93	0.0	0.0	0.0	0.39	0.34	49.12	0.0	0.0	0.0	0.0	0.0	56.78	11.04	10.08
Tcof1	0.0	0.0	0.0	0.0	0.0	0.0	46.42	0.0	0.0	0.0	0.0	0.0	0.0	3.29	0.0	7.58	5.31	0.0	0.0	0.69	0.0	1.57	4.15	0.0	0.0	10.54	0.1	23.82	0.17	0.0	0.41	5.57	0.0	0.0	0.0	13.47	13.78
Tmem229b	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.07	31.0	0.0	62.58	21.92	20.55	0.0	0.0	0.21	0.09	19.58	0.0	0.0	0.0	0.0	21.07	19.71
Trim2	0.45	0.0	0.0	0.66	0.08	1.01	0.19	0.0	0.07	0.1	0.0	1.3	0.08	23.07	0.34	51.1	32.7	0.33	0.62	2.19	28.45	16.06	40.53	27.72	43.78	34.32	73.46	83.85	11.17	28.38	18.3	80.22	6.78	0.64	112.31	107.53	98.64
Trim46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	10.35	7.89	0.0	0.12	0.0	0.0	3.51	6.64	0.23	0.0	2.41	0.08	0.52	0.0	0.74	2.83	18.92	2.63	0.0	0.15	74.11	77.53
Tro	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3	0.07	8.43	45.15	0.62	0.36	2.57	78.07	60.22	38.56	18.71	23.35	65.87	27.99	2.78	30.3	5.39	54.94	120.65	158.98	0.19	110.78	91.35	86.53
Ttll4	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87	0.0	0.0	0.0	0.0	0.0	0.0	2.98	0.0	0.08	0.0	0.0	4.11	1.02	0.0	3.75	0.0	0.28	0.0	13.16	8.54	7.04
Ube2d1	0.0	0.0	0.0	0.0	0.0	0.0	0.89	14.29	0.0	0.0	0.0	0.0	0.0	1.64	0.22	0.35	0.31	0.0	0.0	0.75	25.62	27.84	9.73	1.01	63.88	11.7	35.09	2.84	3.3	1.43	127.18	75.94	0.0	0.0	46.45	76.46	75.85
Uhrf1bp1l	0.0	0.0	0.0	255.64	0.0	0.07	0.0	0.55	0.0	0.0	0.0	0.0	0.0	1.5	0.02	2.87	1.19	0.0	0.09	0.96	0.13	31.37	21.6	1.87	6.14	11.64	6.38	0.63	1.5	0.39	28.59	95.7	0.55	0.0	6.79	44.11	41.55
Xrcc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.83	0.0	209.38	19.63	238.44	1.71	0.0	5.42	34.5	32.51	0.0	65.99	3.32	0.54	4.61	0.0	0.08	104.46	31.98	0.57	0.0	63.8	17.21	17.23
Zfp655	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1021.82	0.0	0.27	0.7	0.09	77.32	70.64	0.0	0.0	0.6	124.8	11.64	29.89	23.25	39.28	60.68	1.5	246.18	0.21	0.33	51.18	36.22	16.99	0.0	346.35	25.63	25.77
mt_GU332589	15332.83	11899.79	28558.05	21230.38	14764.74	11728.71	10543.38	17715.55	12861.37	11648.74	10490.52	12014.73	4998.65	22738.66	26493.16	13741.48	28909.02	12086.63	7231.4	12431.83	10398.78	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	11566.32	19369.81	14379.47	14964.47	8379.29	19212.31	12718.04	6781.78	3308.99	2963.73
