	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20
Gm14434	0.0	0.0	11.58	0.0	0.0	1.33	4.76	8.15	0.0	6.89	0.0	0.0	12.82	0.2	0.0	0.0	0.0	0.0	0.0	0.12	13.33	13.93
Gm2506	0.0	0.0	113.94	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	49.16
Gm4724	0.0	0.0	11.58	0.0	0.0	1.33	4.76	8.15	0.0	6.89	0.0	0.0	12.82	0.2	0.0	0.0	0.0	0.0	0.0	0.12	13.33	13.93
Hcfc1r1	14.53	0.0	122.99	0.0	0.0	199.15	188.83	148.9	126.5	78.1	331.33	226.5	342.95	248.64	380.23	0.0	62.36	0.64	54.09	0.58	316.06	151.89
Kcnma1	0.0	0.0	7.76	0.0	0.0	21.29	66.8	51.33	3.45	11.61	42.11	84.72	50.72	23.35	19.3	0.0	0.15	0.0	0.0	0.07	44.79	138.73
Mir690	26828.41	15929.17	25738.25	15562.4	22720.97	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	23271.48	32522.04	17241.06	44948.68	42282.55	27759.51	17671.81	48007.3	23496.94
Mterfd1	0.0	0.0	19.48	0.0	0.0	11.56	97.1	87.39	0.0	84.91	81.03	51.78	60.65	184.21	100.37	0.0	54.36	0.0	107.61	0.24	64.26	4.62
Myt1l	0.0	0.0	69.71	0.0	0.0	81.81	78.47	40.58	77.46	45.82	11.49	59.09	15.68	37.72	19.28	0.0	0.3	0.0	11.73	0.05	25.93	159.18
Ncrna00086	0.0	0.0	0.02	0.0	0.0	0.0	9.11	0.22	0.0	8.29	6.35	0.0	7.87	3.73	3.42	0.0	0.71	0.0	0.67	0.0	16.42	76.8
Nif3l1	1.2	0.56	5.27	0.0	1.64	162.46	1.92	48.55	67.79	2.35	15.63	73.88	1.46	4.26	0.77	2.89	11.05	14.34	5.17	1.71	3.1	1.74
Nudt3	0.0	0.0	832.61	0.25	483.67	573.62	263.88	521.11	467.24	371.81	239.42	143.11	368.86	414.32	197.99	1.57	2.03	117.76	334.04	0.98	475.28	948.4
Ptprd	0.0	0.0	167.96	0.0	0.0	55.15	16.23	46.14	11.76	104.4	52.59	116.81	80.17	56.59	104.51	0.17	0.19	0.7	0.73	0.23	68.05	185.48
Rab3c	0.0	0.2	101.76	0.0	0.0	12.19	144.89	252.24	247.35	96.53	87.88	46.42	72.92	64.45	68.06	0.17	0.96	0.42	0.23	0.37	134.86	53.22
Rbm39	42.55	0.0	0.43	3.57	0.0	31.79	137.84	43.69	58.32	244.59	93.94	143.08	86.54	57.72	136.44	24.18	290.7	0.82	44.11	6.11	93.71	70.15
Scoc	0.0	0.0	24.76	0.0	0.0	9.99	378.66	530.85	212.03	688.58	560.07	77.69	393.65	603.63	541.93	23.2	1.61	2.83	0.0	0.77	122.69	8.75
Sf3b4	0.0	0.0	3.96	0.32	0.0	0.0	12.89	0.0	0.0	4.23	78.08	56.16	54.06	10.88	139.13	0.0	0.0	0.46	0.85	0.0	26.95	34.68
Slc24a2	0.0	0.0	4.69	0.0	0.0	27.08	159.64	63.94	28.13	21.37	32.33	80.67	3.11	53.07	62.17	0.06	0.21	0.07	0.0	0.14	32.71	143.62
Slc9a6	0.0	0.0	120.05	0.0	0.0	0.26	0.0	5.5	0.07	8.25	22.26	0.16	0.0	7.43	0.0	0.0	0.0	0.0	0.0	0.07	4.96	147.73
Snord116	0.0	0.0	8.03	0.0	0.0	35.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	5.01	8.52	0.0	0.0	0.0	0.0	0.0	1.44	10.89
Snord116l1	0.0	0.0	8.03	0.0	0.0	35.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	5.01	8.52	0.0	0.0	0.0	0.0	0.0	1.44	10.89
Snord116l2	0.0	0.0	8.03	0.0	0.0	35.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	5.01	8.52	0.0	0.0	0.0	0.0	0.0	1.44	10.89
Tmem25	0.0	0.0	94.18	0.0	0.0	0.0	120.74	72.81	66.65	2.52	68.55	48.01	10.99	2.66	77.3	0.0	0.62	0.0	0.0	0.0	0.0	365.47
Tomm7	274.78	0.37	141.46	0.0	0.0	163.98	183.38	220.43	276.91	225.24	144.54	307.43	256.04	240.72	404.05	0.0	265.52	2.16	59.53	0.0	268.78	333.61
Topbp1	0.0	0.0	3.03	0.0	0.0	0.0	5.3	1.73	0.34	0.0	0.08	6.6	0.0	15.83	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Txn1	0.41	0.0	316.22	0.0	0.0	220.77	83.35	111.18	140.33	177.13	217.23	218.0	415.03	301.68	328.73	0.0	0.0	0.0	278.53	0.0	111.11	0.0
Uba3	0.0	0.0	0.0	0.0	0.0	17.32	210.71	179.97	263.15	269.41	83.02	243.54	355.09	98.84	119.88	0.57	1.53	0.32	0.0	0.15	233.68	6.05
mt_AK138995	608.04	260.16	493.3	291.66	187.93	286.49	530.01	334.65	424.71	635.1	666.09	558.18	768.3	710.42	664.18	104.33	47.67	27.29	198.36	372.92	375.76	692.28
