	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
Brd8	0.08	63.47	40.81	63.71	50.19	207.19	60.63	53.44	148.71	97.17	39.4	26.14	90.77	129.74	89.66	51.6	73.65	0.0
Dnajc9	0.0	57.19	0.0	0.89	0.0	200.99	20.5	0.48	280.69	1.39	148.39	8.13	0.0	13.08	62.97	84.29	95.66	0.0
Foxr1	5.15	3.41	0.0	4.78	5.68	13.51	4.98	0.0	16.03	5.92	4.78	3.68	6.4	8.3	3.57	3.68	5.54	0.0
Ftsj1	0.0	3.81	0.71	89.26	48.21	46.77	45.07	62.62	128.55	183.9	108.38	33.07	36.87	40.47	19.41	44.95	45.02	28.74
Gria1	0.0	170.29	38.32	64.79	68.11	144.75	87.08	91.35	212.86	136.63	196.53	114.7	200.35	78.9	149.16	106.85	179.5	38.54
H2-T23	50.02	120.38	49.58	73.63	92.54	113.4	141.89	55.36	235.42	56.58	92.34	49.11	77.03	73.45	104.36	87.43	47.49	4.45
Hax1	0.0	327.4	190.71	89.19	94.31	412.58	153.61	113.36	1053.83	97.81	350.51	229.01	382.64	419.93	154.49	268.08	154.36	61.67
Hspa12a	0.0	95.57	38.65	22.26	26.1	57.63	54.64	0.13	49.17	45.01	40.33	34.4	21.1	64.2	40.13	23.85	12.33	0.06
Ldhb	2593.67	9309.63	10118.08	10894.4	9343.6	4937.61	8808.99	9166.61	7814.88	11261.44	10004.69	13571.31	12546.17	11010.48	10182.84	9082.37	11746.38	4283.85
Lphn1	0.0	15.35	14.1	9.32	20.31	34.62	11.96	0.0	46.52	38.38	30.23	6.59	36.32	19.21	25.51	38.37	15.31	0.0
Mcfd2	0.0	134.56	135.04	103.89	73.05	258.97	78.97	0.0	407.0	169.41	67.86	5.05	106.16	60.94	62.38	42.37	48.92	0.18
Mcm5	0.0	1.83	0.14	0.19	1.2	2.79	0.91	0.0	2.43	1.64	2.45	0.32	1.31	2.31	0.66	1.7	1.88	0.0
Ncapd3	0.0	4.22	0.0	50.03	0.1	78.8	1.41	0.0	54.51	60.92	14.46	10.14	13.66	38.98	16.0	12.31	9.48	0.0
Parl	0.0	146.25	0.77	0.0	55.47	243.24	23.15	0.6	223.46	8.08	151.39	3.44	0.63	57.19	132.58	190.21	13.54	0.0
Polr2c	0.0	206.12	151.5	251.88	203.41	452.64	210.51	102.33	583.29	95.74	176.23	205.56	444.7	320.85	172.97	258.88	273.56	86.41
Pot1b	5.98	15.64	0.0	9.75	15.46	30.46	11.65	8.35	66.98	16.69	23.66	17.99	20.76	15.28	11.69	15.57	33.76	0.43
Prr11	0.26	4.98	3.28	2.59	5.57	9.77	5.06	4.75	9.74	6.86	4.51	3.81	6.61	13.75	4.75	4.26	11.37	0.33
Rc3h1	0.0	0.23	1.51	3.5	4.51	17.38	6.39	0.0	41.96	6.07	11.27	0.77	15.52	0.0	11.43	2.57	15.18	0.0
Sdccag3	0.0	1.94	0.13	0.49	33.5	84.87	0.26	4.72	127.18	0.58	0.31	1.42	0.0	20.91	27.9	0.26	0.16	0.0
Sh2b1	0.0	0.0	0.0	0.0	0.0	37.21	0.0	0.0	26.93	38.61	24.47	0.0	0.0	25.39	0.0	10.18	0.0	0.0
Tceal6	0.0	85.73	36.8	8.43	14.12	86.06	9.74	35.34	217.39	16.59	49.16	47.06	100.95	97.81	13.39	73.04	72.08	0.0
Trpt1	0.0	48.75	0.0	0.0	19.14	95.25	20.03	0.0	107.08	35.83	58.06	19.78	57.01	2.3	56.59	38.18	3.1	0.0
Vmn1r58	0.0	92.61	0.3	60.82	81.36	112.4	77.55	68.43	138.74	109.04	98.24	44.41	72.97	77.37	90.79	56.44	98.29	0.25
Wars2	0.0	1.72	0.83	2.26	2.48	4.74	1.19	1.99	6.35	4.48	4.98	2.87	1.83	2.0	2.59	13.94	23.63	0.21
Zc3hav1l	0.0	0.0	0.03	0.0	0.0	9.16	4.36	0.0	14.25	0.0	0.0	0.0	0.0	0.15	0.07	5.88	0.0	0.0
Zfml	23.13	10.41	29.46	16.51	19.17	72.42	27.78	23.57	100.51	47.08	38.8	37.95	44.12	41.7	30.28	81.1	38.05	0.0
