	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTnegative_cell_1
Cited1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cnpy2	364.26	28.22	0.0	0.59	0.0	9.58	0.0	1.07	393.23	43.87	31.09	45.83	4.68	35.07	27.62	0.23	0.0
Dlx6as1	0.0	0.0	0.0	106.92	0.0	224.72	0.05	0.24	81.73	22.1	0.11	5.35	0.66	15.48	55.88	0.18	0.0
Drap1	0.0	0.0	0.0	56.44	0.0	22.55	0.73	0.0	143.86	17.51	22.8	29.13	10.86	0.0	10.29	0.26	1.9
Eif4e	0.82	0.0	0.0	21.57	7.49	253.88	67.05	3.64	815.73	506.79	361.13	392.59	222.78	325.58	309.83	285.64	177.08
Fgf12	0.0	0.0	0.0	18.46	0.31	116.25	0.35	2.4	409.02	411.89	206.71	135.64	204.28	156.73	335.23	275.73	0.08
Fkbp3	467.96	0.0	184.42	1601.58	0.0	455.38	16.33	7.8	2693.29	1933.64	934.14	817.25	1687.73	1094.75	1200.56	1271.61	0.0
Gabra1	0.0	0.0	0.0	69.01	0.04	206.44	65.71	4.53	805.71	572.52	165.49	373.26	556.68	491.33	441.39	498.48	0.17
Gm14430	0.0	1.53	0.0	0.06	0.0	5.63	7.21	0.06	0.0	31.75	0.0	3.4	0.0	12.07	23.92	6.94	0.0
Gm14434	0.0	1.53	0.0	0.06	0.0	5.63	7.21	0.06	0.0	31.75	0.0	3.4	0.0	12.07	23.92	6.94	0.0
Gm1821	271.6	200.98	311.09	181.12	220.52	312.95	95.55	33.12	782.03	417.2	190.96	225.18	204.78	149.8	149.41	70.41	194.35
Gm4724	0.0	1.53	0.0	0.06	0.0	5.63	7.21	0.06	0.0	31.75	0.0	3.4	0.0	12.07	23.92	6.94	0.0
Gstz1	162.67	0.0	0.89	0.0	10.5	200.08	0.0	0.0	533.74	139.63	43.54	169.0	0.0	1.94	147.75	140.45	0.0
Gtf2h5	35.38	0.0	0.0	223.23	0.69	212.01	48.68	6.41	439.96	226.82	306.9	218.36	236.88	80.59	116.49	170.25	0.21
Gucy1b3	0.0	0.0	0.0	44.69	0.05	7.91	3.71	1.3	221.32	105.26	105.07	126.09	3.48	98.63	23.91	203.18	0.0
Htr1f	0.0	0.18	0.0	3.6	0.06	1.61	0.6	0.0	57.76	5.45	0.0	16.25	1.55	34.24	2.13	0.19	0.0
Ing1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	81.73	0.0	38.81	28.01	76.46	10.57	5.69	0.4	0.0
Iqcc	0.0	0.0	0.0	0.81	3.41	0.0	0.1	0.0	121.6	17.15	4.25	6.41	0.17	2.0	5.59	0.0	0.11
Lrrc59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.18	0.61	12.17	4.75	0.13	17.58	0.0	15.3	0.0
Lrrtm3	0.0	0.0	0.0	1.19	0.16	2.0	0.49	0.81	65.58	65.13	9.26	78.74	10.38	55.76	35.72	50.99	0.3
Med19	0.0	0.0	0.0	0.0	0.0	41.7	2.31	1.93	67.33	1.54	3.79	18.73	0.0	0.35	7.1	0.11	0.12
Med31	0.0	0.0	0.0	0.0	0.0	185.0	54.83	2.8	246.58	101.12	67.18	90.54	0.0	61.61	79.34	15.14	0.0
Med4	0.0	0.0	0.0	266.82	0.12	0.0	0.0	2.48	342.58	36.99	0.0	128.31	0.0	97.36	156.91	1.07	0.19
Mettl5	0.0	0.0	0.0	0.0	0.0	137.91	0.23	0.0	226.44	110.44	81.46	41.74	105.98	1.2	113.73	109.42	0.0
Mon1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	19.14	2.44	3.42	0.0	10.42	0.0	0.17	0.0	0.0
Mtmr14	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	2.89	0.0	0.0	11.53	0.0	0.0	0.0	0.34	0.0
Napb	0.0	0.0	0.0	1.24	0.17	143.64	3.0	2.94	265.62	263.75	281.39	203.77	57.19	202.17	129.0	4.12	0.12
Ndufs6	0.0	0.0	2.56	150.54	507.97	498.13	507.07	11.49	1253.71	720.51	524.09	571.96	390.93	582.45	760.96	523.46	322.85
Nedd8	451.31	23.22	0.0	258.46	0.0	202.75	90.58	7.57	1025.23	649.52	342.84	460.77	653.2	395.62	582.18	990.13	0.43
Nefl	0.0	0.0	0.0	24.08	8.37	2.98	3.23	0.53	115.87	103.84	52.78	129.99	121.89	41.41	26.25	1.26	0.12
Nsf	0.0	0.12	0.0	41.23	0.04	305.8	10.12	2.77	317.18	568.33	251.77	264.53	82.68	257.96	270.08	170.39	0.19
Paip2	263.98	0.0	0.0	75.5	1180.72	418.03	87.64	4.52	1549.26	986.36	374.39	445.16	747.13	547.56	574.66	334.22	490.85
Parm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.09	2.14	124.72	104.62	0.68	54.24	56.07	0.0	0.0
Pcgf1	0.0	0.0	0.0	0.0	0.0	156.47	0.0	0.0	295.25	81.0	44.52	46.99	0.0	50.13	2.46	1.91	0.0
Pddc1	0.3	0.0	0.0	1.54	0.56	10.91	17.23	13.57	348.79	137.17	22.37	57.95	103.13	196.27	62.49	2.25	0.57
Pik3cb	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	9.25	0.42	0.29	1.08	0.0	5.28	0.0	9.2	0.0
Pin1	2.64	0.12	0.32	0.42	2.57	1.49	1.1	9.72	105.4	34.49	1.09	53.51	4.57	17.12	52.29	2.95	0.55
Pldn	1.25	9.61	1.76	48.26	0.28	98.87	49.73	156.03	97.59	17.35	0.41	33.95	0.52	2.18	12.02	1.25	1.54
Poc1a	0.0	0.0	0.0	1.02	0.0	19.35	0.0	0.0	46.1	28.96	27.45	7.06	0.0	0.0	4.38	0.0	0.14
Ptges3	381.17	590.33	336.44	1107.95	968.87	1244.13	627.95	13.56	1906.71	957.39	848.36	945.04	1316.41	882.65	1026.07	1606.54	588.35
Rhebl1	0.0	0.0	0.0	0.0	0.0	0.0	4.36	0.0	87.96	73.15	0.0	19.03	85.45	0.0	18.42	0.0	0.0
Rnasek	382.74	508.78	0.0	391.45	1.64	697.81	147.98	43.75	1211.74	1231.68	583.09	531.5	783.23	965.4	792.85	1090.8	0.0
Rps13	379.23	562.27	0.0	297.28	0.29	326.82	167.52	5.89	962.52	657.83	467.85	525.99	572.18	408.92	655.6	1030.36	254.72
Rps27a	13.83	641.3	131.37	774.78	0.46	653.15	249.24	1.54	744.31	416.07	574.31	469.43	691.43	454.37	426.46	925.23	417.07
Rps6ka4	0.0	0.0	0.0	2.59	0.0	0.0	0.0	0.0	9.67	7.34	12.25	0.71	0.0	0.0	0.0	0.0	0.08
Snrpd3	26.32	0.0	0.0	121.55	0.28	0.0	67.59	3.77	677.58	260.94	268.33	196.41	3.79	177.76	197.51	0.82	365.29
Ssrp1	0.0	0.0	0.0	3.18	0.0	66.66	18.96	0.77	143.2	12.55	33.29	65.09	5.32	18.13	30.17	0.5	15.59
Syp	0.0	0.0	0.0	13.49	0.13	140.8	111.76	4.67	303.73	289.7	133.45	191.78	91.02	161.25	350.25	109.27	0.19
Syt13	0.11	0.0	0.0	0.0	0.15	25.81	0.11	0.28	84.32	38.97	28.82	43.16	12.06	48.69	84.33	5.66	0.43
Tfg	0.0	0.0	0.0	0.0	128.25	154.26	0.0	0.59	240.44	141.03	19.99	145.27	105.4	44.96	80.87	163.45	0.0
Ubash3b	0.0	345.72	0.0	20.01	0.0	29.6	0.0	0.0	105.45	43.95	3.8	3.52	1.49	12.52	21.32	0.07	0.0
Ykt6	0.0	0.0	0.0	0.0	0.06	73.35	0.09	0.85	49.36	13.26	24.3	18.35	0.0	2.72	7.8	0.37	0.86
Zfp689	0.0	0.86	1.86	0.65	0.05	1.95	1.02	2.41	35.78	3.6	0.28	5.87	0.5	0.57	1.3	0.99	0.41
Zmat1	0.0	0.0	0.0	1.64	0.04	10.1	0.0	0.0	43.92	0.0	9.75	15.64	0.0	0.0	0.0	0.45	0.0
mt_AK131579	24282.08	55662.18	32274.66	73067.83	55281.42	56311.06	94403.3	50469.69	23897.18	19032.56	60705.47	30389.16	56120.42	45312.1	46620.23	59803.41	31279.15
mt_AK136262	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.05	0.1	0.01	0.02	0.0	0.06	0.18	0.0	0.0
mt_AK141702	5438.08	7175.99	3414.62	17697.18	12088.49	10769.96	19571.14	10551.51	7907.51	5462.41	16893.51	7647.64	12065.1	8795.94	10640.49	12145.84	7041.62
mt_AK142003	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.05	0.1	0.01	0.02	0.0	0.06	0.18	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.05	0.1	0.01	0.02	0.0	0.06	0.18	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.05	0.1	0.01	0.02	0.0	0.06	0.18	0.0	0.0
mt_GU332589	6836.46	9115.7	3269.02	22738.66	26493.16	13741.48	28909.02	12431.83	6882.58	6111.39	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	6104.36
