	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Sst_tdTpositive_cell_106	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm4956	0.0	0.0	0.0	0.56	0.0	0.0	0.13
Gm5069	0.0	0.0	0.1	16.68	2.71	2.69	2.62
Gm5796	0.0	0.0	0.0	105.28	0.85	0.98	3.45
Gm6320	0.0	0.18	0.16	67.6	0.59	0.59	0.6
Gm6537	0.0	0.0	0.34	26.91	1.87	2.32	2.13
Gm6592	0.0	0.0	0.0	3.8	0.0	0.3	0.43
Gopc	0.0	3.61	0.0	162.85	36.67	36.73	38.77
Gpr135	0.0	0.0	0.0	36.43	14.34	15.77	18.34
Hiat1	0.0	22.26	0.0	65.58	59.48	58.18	52.07
Hist1h2ae	0.0	0.0	0.0	1.88	0.25	0.45	0.5
Hook1	0.0	0.0	0.0	33.68	47.35	42.78	46.19
Hs3st3b1	0.0	0.0	0.0	0.07	0.61	0.73	0.56
Id4	0.0	0.0	20.22	103.41	78.2	80.22	74.97
Ikbkg	5.96	13.42	0.48	76.17	19.29	19.03	19.07
Il16	0.0	0.0	0.0	7.63	2.85	3.72	2.8
Kcna3	0.0	0.0	0.0	118.83	12.14	9.97	13.68
Kcnc4	0.0	0.0	0.0	10.47	67.9	72.47	68.33
Kcnv1	0.0	0.0	0.0	32.41	63.37	52.87	60.46
L3mbtl1	0.0	0.0	0.0	6.13	14.17	12.31	13.53
Lcorl	0.0	0.0	5.89	58.39	11.2	8.6	10.55
Lrp1b	0.0	0.0	0.0	16.86	11.15	8.89	11.56
Lrrc2	2.29	3.48	0.18	31.12	2.35	1.88	2.18
Lrrc7	0.0	0.0	0.06	13.55	40.2	29.07	45.43
Lrriq1	0.0	0.0	0.0	62.06	1.33	0.69	1.68
Lsm5	0.0	0.0	0.0	271.04	14.47	15.81	14.29
Mdh1b	0.0	0.0	0.0	105.36	1.22	1.59	0.72
Med23	0.0	0.0	0.14	103.45	25.82	24.94	25.98
Metrnl	2.18	0.51	0.16	55.0	6.05	5.43	5.13
Mgat4a	0.0	0.05	0.0	45.2	16.07	15.88	16.11
Mir5129	0.0	0.0	0.0	63.46	0.0	0.0	0.0
Mir705	0.0	0.0	0.0	1.27	0.0	0.0	0.0
Mon2	0.0	0.0	0.0	49.52	29.24	29.5	29.12
Morn1	0.0	0.0	0.0	68.52	4.08	4.76	5.57
Myl2	0.0	0.0	0.0	71.73	0.98	0.31	0.84
Nae1	116.47	0.0	0.19	451.15	53.02	49.24	51.12
Nfatc4	0.5	0.0	0.0	0.15	0.96	1.22	1.24
Nsun3	0.0	0.0	0.0	131.17	7.75	6.79	6.69
Ntn3	0.0	0.0	0.0	9.4	6.19	6.99	7.01
Olfr1372-ps1	0.0	0.0	0.0	0.68	0.23	0.5	0.32
Olfr1417	0.0	0.0	0.0	87.94	0.53	0.3	1.32
Otub2	0.0	0.0	1.79	68.07	30.0	26.94	27.61
Pabpc4	0.0	0.0	1.97	43.54	29.6	31.94	31.63
Pank1	0.0	0.0	0.0	86.93	18.07	16.15	16.9
Pax6	0.15	0.12	0.0	0.2	7.13	8.89	6.95
Pcdh11x	0.0	0.0	0.08	85.65	6.59	6.13	6.58
Pcdh19	0.04	0.0	0.0	50.16	14.46	14.27	13.79
Pcdha9	0.0	0.0	0.0	119.78	7.06	6.55	7.66
Pcsk9	0.0	0.0	0.0	54.3	4.29	5.67	4.86
Pgm3	0.0	0.0	0.0	62.8	8.23	7.73	7.71
Plxna4	0.0	0.0	0.92	42.68	28.71	25.59	30.42
Pnp	0.0	0.0	0.12	56.42	12.23	9.31	10.95
Pou5f2	0.0	0.0	0.0	87.14	0.0	0.0	0.0
Ppm1m	0.0	0.0	0.0	3.48	25.96	25.35	25.84
Prkdc	0.1	0.0	0.0	20.13	10.04	8.21	9.69
Psmd3	0.0	0.0	0.0	80.79	128.29	138.98	132.76
Psmd9	1.06	0.11	0.27	83.62	19.97	23.39	18.12
Pxdn	0.0	0.0	0.0	17.87	38.49	35.82	40.82
Rad54l2	0.0	0.0	0.0	6.29	11.32	10.45	11.72
Rbmx2	0.0	0.0	0.2	105.52	6.73	7.1	5.89
Rchy1	2.91	4.56	1.08	302.7	35.69	36.47	35.08
Rilp	0.0	0.0	0.0	4.64	1.88	1.52	2.43
Rnf113a2	0.0	0.0	0.0	198.44	12.77	13.53	15.27
Scara5	0.0	0.0	0.0	3.94	0.18	0.3	0.25
Scarna3b	0.0	0.0	0.0	18.27	0.0	0.0	0.0
Serhl	0.0	0.0	0.0	25.13	5.45	6.06	6.1
Sik2	0.0	0.0	0.0	17.72	18.17	16.51	18.28
Slamf9	0.0	0.0	0.0	127.83	1.76	0.99	1.36
Slc13a5	0.0	0.0	0.0	1.13	8.52	7.79	8.18
Slc16a2	0.0	0.0	0.0	61.3	29.0	27.91	29.88
Slc25a16	0.0	0.0	13.87	78.15	38.92	36.43	35.64
Slc39a8	0.0	0.08	0.1	46.15	3.14	3.04	3.32
Slc5a5	0.0	0.0	0.71	36.58	14.21	13.26	13.5
Slc9a2	0.0	0.0	0.0	0.18	6.14	6.64	5.49
Smc2	0.0	0.0	0.0	30.33	5.98	4.54	5.13
Syk	0.0	0.34	0.0	0.09	2.33	2.35	2.39
Syt6	0.0	0.0	0.0	18.66	22.25	21.44	21.41
Tctn3	0.0	0.0	34.66	118.56	27.44	27.89	27.4
Tm4sf20	0.0	0.0	0.0	14.28	0.0	0.0	0.0
Tpcn2	0.0	0.0	0.0	21.4	2.44	3.16	3.18
Trim6	0.0	0.0	0.0	0.08	0.21	0.12	0.24
Usp1	0.0	0.0	0.1	68.84	21.59	20.18	20.61
Usp24	0.0	0.0	0.0	18.88	31.44	28.25	32.77
Vegfc	728.08	0.0	0.0	7.99	3.8	3.78	4.14
Veph1	0.33	1.7	1.89	8.33	3.28	2.62	3.64
Vrk2	0.0	0.0	0.0	38.2	2.24	2.2	2.24
Wls	0.15	0.0	48.51	236.3	39.63	37.22	36.66
Xrcc3	0.51	0.51	1.09	192.64	11.57	11.59	11.99
Xrcc4	0.0	0.0	0.0	111.78	10.89	10.14	9.45
Zc3h6	0.0	0.0	0.0	71.21	9.7	10.17	10.3
Zdhhc15	0.0	0.0	0.0	74.28	6.32	5.7	6.17
Zfp456	0.0	0.0	0.0	23.25	1.05	0.98	1.08
Zfp541	0.0	0.0	0.0	0.4	0.39	0.43	0.56
Zfp750	0.0	0.0	0.0	0.76	0.03	0.06	0.03
Zfp81	0.0	0.0	0.0	160.1	13.13	9.84	12.7
Zfp831	0.05	0.03	0.0	1.4	9.57	9.46	9.79
Zfp90	0.0	0.0	0.0	115.53	11.2	12.26	11.73
Znhit6	0.0	0.0	0.0	97.37	11.83	11.4	11.29
Zswim5	0.0	0.0	0.0	42.03	9.06	8.4	9.28
mt_AK131586	6370.03	4908.34	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	26.94	0.0	18796.57	17507.83	18655.33
