	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_20	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_167	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTnegative_cell_13	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_26	Sst_tdTpositive_cell_83	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Aspscr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	5.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	4.22	1.69	0.0	0.0	0.0	0.0	75.35	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.63	39.68	43.11	40.47
Atp1a1	4.34	0.0	0.15	0.0	0.0	0.14	6.87	0.0	0.0	0.0	6.8	1.21	6.5	52.4	110.83	1.88	25.89	8.97	26.76	0.07	0.0	1.99	4.83	0.83	38.75	4.32	0.44	0.12	103.41	0.2	0.7	0.0	1.63	24.69	20.7	0.0	33.74	0.0	0.0	140.18	0.34	13.96	37.27	1.59	4.52	1.35	1.92	43.53	824.42	838.73	822.76
Bsn	0.12	0.04	26.77	2.86	17.99	75.31	1.86	9.24	41.62	0.0	59.7	44.47	54.84	19.05	50.52	1.61	0.07	9.5	47.21	0.0	0.0	33.61	27.99	4.46	57.93	23.02	30.31	1.07	38.62	0.12	0.07	39.89	0.56	18.84	15.33	0.11	16.99	0.09	23.89	96.91	12.42	17.76	0.28	1.81	24.09	29.97	62.38	19.47	89.93	87.69	106.31
Btd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.39	0.0	16.45	0.0	0.0	0.0	0.0	0.0	0.0	9.04	11.02	8.92
Cacna1s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.46	0.41
Camkk2	1.06	1.17	0.0	0.84	8.75	9.8	6.96	27.91	0.1	2.57	24.24	0.51	5.15	0.24	3.44	24.01	5.51	11.36	0.0	0.0	0.0	25.71	14.15	17.77	0.31	0.14	3.65	0.19	0.0	0.0	0.15	0.0	15.32	11.06	7.22	0.0	50.59	0.0	0.15	26.17	25.88	7.88	8.08	0.0	9.82	0.48	2.11	12.42	173.23	165.59	174.65
Cbx6	0.12	0.0	0.0	8.15	2.21	16.23	0.0	0.0	0.0	1.83	0.21	0.09	13.66	0.0	31.19	1.4	0.0	14.05	0.2	0.0	0.0	22.56	0.38	0.0	13.33	3.62	0.96	0.0	0.06	3.27	0.0	0.07	0.99	3.86	29.95	0.0	2.95	0.0	0.14	25.44	0.45	5.38	0.0	0.0	0.0	1.93	2.93	0.0	221.26	219.29	227.16
Ccnjl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	5.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	121.36	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	3.36	3.34	3.62
Cd59a	4.72	0.0	0.0	0.48	0.0	0.61	0.0	0.0	0.0	1.51	2.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	2.33	0.0	0.0	0.0	0.0	138.63	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	11.57	8.0	5.82
Chd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.08	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	4.51	4.46	4.76
Cmas	0.0	0.0	0.0	51.77	0.0	0.0	0.0	0.0	310.15	0.0	26.75	0.0	38.28	0.0	1.58	96.98	145.67	56.81	0.94	0.0	0.0	30.72	19.1	52.58	0.0	70.58	51.12	205.61	9.44	0.0	3.45	190.85	14.18	22.77	30.44	0.0	7.39	0.0	0.0	142.51	92.96	30.87	53.81	51.39	0.0	0.0	88.36	0.0	96.15	105.75	97.8
Cnst	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	5.6	0.0	0.0	0.0	1.83	0.0	0.0	10.09	34.84	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.07	0.08	0.07	3.46	0.0	0.0	0.0	0.0	0.07	6.27	9.3	0.0	45.65	0.0	0.0	71.33	31.83	8.93	0.0	0.06	7.92	0.0	0.0	0.0	33.05	32.81	30.83
Ctf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38	0.64	0.0	0.0	0.0	0.0	25.77	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	1.42	1.86	2.03
Cttnbp2nl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	116.63	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	7.01	2.28	0.0	90.4	0.0	1.34	5.71	0.0	14.03	0.0	0.0	0.0	17.78	17.7	16.84
Cxxc4	0.0	0.0	0.0	0.54	7.5	24.29	129.2	145.68	55.98	180.06	0.0	0.0	183.07	0.0	1.52	156.1	0.0	0.0	15.53	0.0	0.0	0.04	0.0	49.83	7.64	0.25	9.73	0.0	0.0	21.19	14.71	0.13	37.89	14.96	96.6	0.0	11.0	0.0	82.42	42.67	0.62	5.27	49.82	5.47	0.0	0.42	28.74	48.17	14.22	12.62	14.57
Dact2	0.0	0.0	0.0	0.0	0.0	0.57	3.03	0.0	0.0	0.0	1.14	23.13	0.0	1.39	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	7.65	0.0	0.0	76.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.6	53.22	56.6
Dlg4	1.16	0.0	0.0	0.1	1.58	0.8	1.05	33.98	0.0	0.0	3.84	1.05	0.81	0.94	0.37	9.16	0.67	0.42	70.62	0.0	0.0	1.48	0.62	2.38	1.65	1.99	0.4	7.08	0.0	1.13	7.51	0.11	0.16	3.79	59.84	0.0	0.41	0.0	0.0	32.36	0.77	3.92	1.45	0.85	0.11	0.36	0.37	1.36	535.98	535.3	542.17
E030013I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	107.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	1.21	1.14
E430018J23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	0.0	0.0	0.0	0.0	0.0	92.58	0.0	3.04	0.0	0.0	0.0	0.0	0.0	0.0	4.31	5.87	6.61
Ednrb	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.13	0.0	0.22	0.0	0.0	0.0	0.09	0.08	0.09	0.0	1.26	0.13	0.0	0.0	0.0	0.23	0.08	0.08	0.0	0.0	0.0	0.0	0.09	0.0	0.08	0.13	0.0	0.0	0.07	0.0	0.19	0.36	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	34.48	32.38	38.96
Eomes	0.0	0.0	0.0	0.0	0.06	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.83	0.5
Errfi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.27	0.0	48.01	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	3.43	0.0	0.0	36.17	62.0	57.68	0.1	0.0	0.12	0.13	0.0	0.43	4.7	0.0	0.05	141.36	0.0	111.85	0.0	10.24	0.85	0.0	40.0	0.0	0.3	0.0	27.66	27.93	21.94
F420014N23Rik	0.0	0.0	0.95	0.81	0.24	0.22	2.09	0.16	1.37	1.05	0.3	0.01	1.37	0.47	1.69	1.01	1.12	1.54	0.69	0.79	0.0	0.99	1.35	2.25	0.6	0.53	0.16	1.87	0.0	0.32	0.67	0.35	0.74	3.01	1.01	0.53	31.77	0.0	0.83	40.78	0.0	1.5	0.0	0.26	0.0	0.5	0.5	0.5	6.44	6.02	6.05
Fam129c	0.0	0.0	0.0	0.0	0.0	9.89	0.06	0.0	0.0	0.0	3.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	44.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	2.03	2.1
Fam160b2	21.42	1.87	25.1	3.24	0.62	107.15	88.71	5.9	11.31	12.22	3.59	18.74	25.37	8.15	17.69	4.58	5.76	2.12	4.37	1.84	1.25	44.25	10.81	9.68	4.3	9.74	22.55	10.36	1.47	8.79	22.12	11.81	5.99	14.64	7.65	3.16	9.71	0.89	6.92	68.91	5.6	6.16	7.14	49.68	5.67	4.57	3.93	0.29	29.17	28.51	32.69
Fam190a	0.12	0.0	25.14	0.12	0.04	37.8	0.09	0.14	0.0	141.44	0.0	0.0	0.12	0.0	0.0	1.18	0.0	9.19	29.29	0.0	0.0	0.1	0.0	0.0	0.0	10.46	0.0	0.0	0.06	0.13	0.0	0.0	0.0	4.95	0.0	0.0	0.0	0.0	0.13	52.14	3.51	6.08	0.0	9.93	0.0	21.08	0.0	0.0	5.45	5.1	6.09
Fam73a	82.84	0.0	0.0	59.09	25.69	65.95	76.54	0.0	50.31	220.3	0.0	12.12	40.53	0.0	0.06	60.02	0.0	0.0	0.1	0.0	0.0	82.05	0.0	53.94	0.0	1.22	29.88	0.0	0.0	26.12	16.02	0.22	12.47	23.39	0.0	0.0	20.86	5.23	0.0	125.55	26.2	11.09	17.72	62.4	0.0	0.0	32.7	5.53	62.14	63.06	57.9
Fam89b	0.0	0.0	0.0	0.0	0.92	0.0	0.0	294.65	0.0	0.0	43.08	0.0	2.07	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.19	0.0	0.0	0.0	0.0	1.32	95.19	0.0	28.99	0.0	0.0	0.0	0.0	0.0	0.0	32.44	40.56	39.9
Fmo2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.07	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.72	0.61
Foxg1	2.46	0.0	0.59	5.11	0.0	0.47	25.51	1.78	0.83	4.27	20.57	0.16	48.74	71.94	15.02	3.56	0.57	36.46	0.3	0.15	0.39	21.72	0.47	2.96	8.49	0.99	0.23	0.23	0.0	1.53	2.41	9.44	0.63	27.63	5.11	0.16	2.14	0.0	0.0	85.41	0.78	8.63	0.15	0.21	0.41	53.08	54.49	0.1	83.41	89.76	85.33
Foxred1	2.52	2.08	0.93	1.46	51.05	2.06	75.2	3.67	2.18	2.34	1.15	1.2	32.55	1.58	1.97	3.13	0.97	1.84	246.18	0.17	0.14	3.06	0.97	1.94	38.13	114.16	73.53	1.6	0.0	5.69	1.34	229.6	133.92	10.42	0.72	1.45	0.94	2.26	1.75	325.27	114.6	35.56	0.26	1.09	0.76	1.37	24.19	0.12	32.7	34.9	34.87
Frmd3	0.79	0.37	66.91	0.48	0.1	2.83	1.03	17.87	0.73	1.6	98.02	1.14	33.04	2.01	0.75	0.82	0.07	0.52	1.88	0.22	0.26	0.44	0.18	0.39	0.35	31.04	40.72	126.9	0.68	2.15	2.15	0.57	0.35	12.07	22.1	0.52	140.09	0.56	2.89	127.16	2.78	10.83	0.16	0.13	0.73	0.29	1.72	1.98	5.51	4.81	5.18
Gfer	0.0	3.8	51.58	0.0	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.98	0.0	0.18	5.97	0.14	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	7.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.85	0.0	4.72	0.0	0.0	0.0	0.0	77.5	91.71	13.27	14.13	14.73
Gm11545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.07	0.11
Gm13547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	21.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	1.58	1.37
Gm14430	0.0	0.45	17.46	34.96	8.59	1.66	0.0	0.15	49.31	0.94	0.0	0.0	1.11	5.31	0.0	11.42	0.0	0.04	0.0	0.01	0.04	9.82	0.11	0.17	3.96	4.08	1.8	33.63	0.17	0.26	0.01	0.0	0.21	6.69	0.0	0.0	13.09	0.0	0.0	0.8	2.45	5.97	2.35	0.0	13.98	0.21	0.0	0.0	7.67	5.07	7.49
Gm14434	0.0	0.45	17.46	34.96	8.59	1.66	0.0	0.15	49.31	0.94	0.0	0.0	1.11	5.31	0.0	11.42	0.0	0.04	0.0	0.01	0.04	9.82	0.11	0.17	3.96	4.08	1.8	33.63	0.17	0.26	0.01	0.0	0.21	6.69	0.0	0.0	13.09	0.0	0.0	0.8	2.45	5.97	2.35	0.0	13.98	0.21	0.0	0.0	7.67	5.07	7.49
Gm15471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.5	0.0
Gm3985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.72	0.0	0.0	0.0	0.0	0.0	5.37	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	2.04	2.18	2.6
Gm4724	0.0	0.45	17.46	34.96	8.59	1.66	0.0	0.15	49.31	0.94	0.0	0.0	1.11	5.31	0.0	11.42	0.0	0.04	0.0	0.01	0.04	9.82	0.11	0.17	3.96	4.08	1.8	33.63	0.17	0.26	0.01	0.0	0.21	6.69	0.0	0.0	13.09	0.0	0.0	0.8	2.45	5.97	2.35	0.0	13.98	0.21	0.0	0.0	7.67	5.07	7.49
Gpr180	1.19	0.0	0.21	0.0	0.01	0.71	0.38	1.69	0.95	152.66	0.49	1.18	0.3	0.0	0.19	0.5	0.18	0.01	0.42	0.0	0.0	119.36	0.61	0.5	0.43	0.86	0.0	0.64	0.11	0.26	0.34	0.0	1.82	5.66	0.5	0.0	73.26	0.0	0.27	1.16	0.15	1.33	0.0	0.0	0.18	30.17	0.0	0.08	20.98	19.71	20.62
Hes1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	19.13	0.28	0.0	0.0	1.04	3.51	0.0	0.0	0.0	9.76	0.0	0.0	17.39	41.47	10.68	0.0	0.0	0.0	0.0	0.27	0.0	6.0	34.16	0.0	0.0	0.0	5.81	47.62	0.0	0.73	0.0	0.0	7.61	0.0	0.0	0.0	13.56	16.16	12.86
Hist1h2bq	0.0	0.0	0.0	0.0	0.13	0.63	0.17	0.19	0.12	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.08	0.0	0.07	0.0	0.16	0.0	0.76	0.0	0.0	0.08	0.0	0.07	0.0	0.03	0.09	0.0	0.19	0.22	0.0	0.05	0.0	0.0	0.17	0.08	0.11	0.0	0.07	0.0	0.28	0.0	0.0	0.38	0.28	0.38
