	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_34	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_32
Brap	6.29	0.61	0.0	22.99	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.18	0.0	0.24	39.19	51.01	0.0	5.41	0.32	0.84
Cd33	0.0	0.17	0.0	0.74	1.13	0.17	0.14	0.57	1.1	0.3	0.31	0.41	0.37	0.46	2.24	2.37	0.0	0.78	0.53	0.55
Dennd1b	0.0	0.0	0.0	16.94	42.02	0.0	0.0	0.0	30.33	32.15	16.25	0.0	0.0	0.0	61.88	151.02	0.0	27.56	0.0	23.13
Dtd1	154.61	3.97	0.0	74.72	0.0	0.0	0.0	0.0	0.0	196.41	0.0	72.87	0.0	0.0	987.35	634.0	0.0	214.05	0.0	131.06
Dusp8	0.0	1.18	0.0	0.0	92.06	0.0	0.0	0.07	66.4	79.1	35.65	0.0	0.0	0.0	442.35	285.66	0.0	18.85	161.19	0.0
E330013P04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.17	50.21	0.0	3.53	0.0	0.0
Ecm2	0.0	0.19	0.23	0.24	0.35	0.0	0.0	0.21	0.39	0.21	0.12	0.36	0.0	0.44	2.24	2.42	0.0	0.56	1.03	0.15
Eif2ak2	15.59	21.83	12.83	21.05	39.45	17.07	0.13	14.57	46.02	28.59	17.69	25.68	9.52	56.89	49.37	61.73	0.0	49.14	45.47	38.35
Eif6	0.0	0.0	29.43	5.75	218.33	0.0	234.91	0.0	0.0	0.0	0.0	82.83	0.0	0.0	0.0	478.68	0.0	28.73	285.07	0.0
Emg1	0.0	162.51	0.0	144.87	391.24	0.0	0.0	120.06	0.0	198.5	168.03	158.21	0.0	192.19	0.0	449.7	0.0	93.09	300.11	0.0
Erbb2ip	0.0	63.08	0.0	1.11	2.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	1.1	36.89	0.0	98.79	0.0	0.36	62.8	53.58
Ercc1	207.89	186.26	0.0	315.8	411.73	0.0	0.0	225.31	0.0	131.21	121.54	257.34	131.13	310.05	390.87	419.27	0.0	57.04	621.35	0.0
Fbl	21.29	0.0	0.0	0.0	24.04	0.0	0.0	0.0	0.0	123.41	0.0	79.05	0.0	0.0	315.36	419.74	0.0	8.51	93.92	167.91
Gm8221	0.0	0.04	0.0	0.17	0.1	0.0	0.0	0.08	0.09	0.06	0.05	0.0	0.0	0.0	0.16	0.17	0.0	0.1	0.14	0.0
Gnl2	9.19	0.0	288.4	0.0	171.72	0.0	0.0	73.65	173.96	0.0	0.0	175.6	0.15	480.83	487.04	586.78	0.0	39.25	257.79	80.53
Gtl3	0.0	1.01	0.0	0.0	0.0	0.0	0.0	118.84	0.0	153.97	0.0	124.28	0.0	0.0	411.74	305.88	0.0	87.29	0.0	145.07
Hdhd2	146.33	37.5	222.89	2.38	307.23	0.0	472.51	0.0	262.04	20.68	127.3	282.61	0.0	152.8	366.39	1117.8	0.0	89.62	223.36	146.77
Hnrnpa3	1.23	39.03	258.35	54.52	81.7	0.0	0.0	351.52	171.51	89.25	91.96	237.97	13.92	52.48	9.79	350.91	0.0	59.13	321.44	45.56
Hp1bp3	162.8	22.21	0.0	71.58	0.0	0.0	0.0	159.76	154.0	12.54	27.01	47.33	0.0	0.0	354.24	439.64	2.41	43.5	16.74	30.73
Hyal1	0.68	0.47	0.19	0.34	0.76	0.0	0.0	0.0	0.55	0.41	0.0	0.46	0.0	0.0	1.84	3.09	0.0	1.5	0.9	0.47
Idh3g	1.13	902.31	643.71	1096.94	317.79	0.0	0.0	718.07	457.39	193.43	428.1	429.8	432.44	737.16	1867.02	1590.52	0.0	549.0	856.9	0.0
Ifi203	1.29	2.06	4.21	2.11	2.96	1.3	0.0	1.68	2.14	2.61	1.52	2.27	0.65	3.0	3.92	9.28	0.0	3.85	4.39	0.61
Kdm6b	2.83	2.56	0.18	6.71	5.58	0.0	0.0	0.1	9.95	9.01	31.65	8.65	2.4	2.3	38.43	33.94	0.0	18.78	8.48	0.0
Kif22	0.0	0.0	13.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.99	0.0	1.89	26.52	0.0
Kifap3	10.7	134.64	192.11	193.85	82.09	0.0	302.59	1.33	14.97	13.46	92.17	80.62	5.3	0.0	172.87	580.19	0.0	120.33	695.84	81.28
Magi2	0.07	0.0	46.73	13.37	0.09	0.06	0.0	61.12	5.02	35.06	1.65	30.14	0.0	30.07	15.67	87.04	0.0	16.33	9.45	0.01
Man1a2	0.55	0.0	0.0	40.29	0.0	0.0	0.0	0.0	0.0	15.72	5.29	0.41	0.0	103.3	226.74	274.4	14.97	19.07	0.0	1.43
Mcm7	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.35	2.89	0.18	0.0	0.0	0.0	1049.6	556.8	314.1	0.0	0.0	0.0
Mfn1	0.56	0.14	0.0	0.24	87.74	0.1	0.0	92.33	0.09	39.46	0.29	64.3	0.07	0.0	245.81	207.9	0.0	9.1	0.1	74.78
Micu1	10.37	20.9	0.0	52.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.46	10.94	0.0	0.37	618.99	0.0	38.42	353.21	12.22
Mki67	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.09	5.34	6.39	0.0	0.03	0.0	0.0
Mrpl13	0.0	0.0	0.0	169.59	352.21	0.0	0.0	0.0	1.18	218.03	71.89	558.26	0.0	0.0	0.0	1176.48	0.0	151.57	581.98	103.97
Naip2	0.96	0.99	1.33	1.37	3.6	3.02	0.21	0.07	1.42	1.9	3.25	1.09	0.74	1.76	4.02	5.72	0.0	4.16	5.56	2.56
Ndufs1	169.3	383.04	0.0	150.02	832.28	439.75	0.0	117.47	18.99	479.68	239.7	4.11	144.68	314.67	850.88	642.19	0.0	194.61	32.23	3.81
Nprl2	0.0	660.08	167.58	0.0	444.16	0.0	0.0	231.33	0.31	0.0	191.15	90.05	190.3	0.0	588.35	680.76	0.0	126.24	18.68	304.79
Nsfl1c	587.39	215.48	611.03	263.69	591.25	0.0	0.0	268.33	30.19	199.85	0.0	195.04	546.18	513.65	983.13	1042.79	0.0	142.47	524.17	997.09
Nsun6	0.0	0.0	7.89	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	294.38	256.62	0.0	8.51	0.0	0.0
Nt5c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.13	0.0	205.9	144.95	0.0	238.19	470.81	0.0	56.31	61.46	187.83
Orc3	16.31	60.63	0.0	0.0	0.22	0.0	0.0	0.0	0.0	46.93	126.08	60.4	80.3	105.39	268.54	241.83	0.0	17.83	72.59	0.0
Pdcl3	0.0	107.77	0.0	182.77	200.06	0.0	0.0	0.0	255.6	125.54	117.7	132.6	0.0	0.0	531.82	261.36	0.0	48.22	0.0	0.0
Pepd	0.0	465.53	0.0	62.2	533.24	238.58	0.0	270.51	0.0	204.54	0.0	0.0	0.0	0.0	525.87	680.72	0.0	62.25	0.0	4.27
Pi4kb	8.8	0.0	0.11	0.0	6.82	0.0	0.0	2.7	5.8	0.0	0.0	0.0	37.82	0.0	20.16	15.32	0.0	6.78	0.0	0.25
Psmb3	582.65	412.68	1142.44	974.19	1090.4	1223.71	0.0	693.65	643.3	226.92	610.73	709.01	302.86	685.16	958.29	1671.82	0.0	782.72	1381.12	88.85
Ralgps2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	146.11	0.0	54.67	0.0	83.99	290.5	224.21	0.0	13.44	0.09	0.99
Rbx1	762.78	713.52	576.08	478.84	639.35	864.13	0.21	261.83	206.51	96.39	47.68	618.5	516.47	544.27	1021.5	2468.65	468.73	415.65	1122.52	318.92
Rdh16	0.46	0.08	0.09	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.27	0.13	0.0	0.24	1.06	1.96	0.0	0.8	0.15	0.29
Rnf6	18.75	0.0	10.99	0.0	0.0	0.0	0.0	0.11	0.0	0.0	109.52	277.98	10.47	6.77	0.27	458.43	0.0	76.77	554.51	0.0
Rpp30	0.0	0.28	260.11	126.84	225.17	29.94	0.0	0.0	207.95	0.0	0.0	0.0	167.7	95.75	0.0	506.89	0.0	80.95	736.9	0.0
Rrnad1	93.0	0.28	0.73	0.0	0.25	9.59	10.34	0.24	128.04	2.75	2.28	1.64	13.86	283.89	316.36	179.93	0.0	15.83	271.12	98.37
Slc30a6	447.27	14.01	0.0	161.71	167.46	0.0	0.0	0.0	0.0	12.26	0.0	0.0	0.0	0.0	550.87	353.81	0.0	8.94	280.77	0.0
Slc35a4	0.0	61.8	0.0	0.0	0.0	0.0	0.13	0.0	234.72	0.0	193.07	96.84	0.0	0.0	531.5	836.22	0.0	21.44	0.0	0.0
Snord116	0.0	0.0	0.0	0.0	5.72	0.0	0.0	0.0	0.0	13.86	0.0	0.0	9.81	0.0	107.44	31.82	0.0	9.2	10.47	16.36
Snord116l1	0.0	0.0	0.0	0.0	5.72	0.0	0.0	0.0	0.0	13.86	0.0	0.0	9.81	0.0	107.44	31.82	0.0	9.2	10.47	16.36
Snord116l2	0.0	0.0	0.0	0.0	5.72	0.0	0.0	0.0	0.0	13.86	0.0	0.0	9.81	0.0	107.44	31.82	0.0	9.2	10.47	16.36
Snw1	92.27	0.0	263.34	188.08	185.94	0.0	0.0	97.45	0.0	208.46	0.18	65.17	0.0	458.11	507.63	486.32	0.0	87.53	143.34	0.21
Trim23	102.1	0.0	0.0	60.63	0.0	29.86	0.0	71.72	75.16	0.0	8.71	7.62	0.08	0.0	407.8	271.16	0.0	51.39	93.78	49.58
Ttc1	0.35	29.36	669.04	211.89	33.85	0.0	0.0	294.86	0.0	196.16	0.0	24.22	0.26	285.4	545.86	986.79	0.0	141.33	0.0	218.3
Uba3	244.28	161.91	314.0	0.0	224.93	0.0	0.0	0.0	252.94	209.43	219.39	567.49	117.46	689.71	658.87	667.98	0.0	112.52	13.41	10.4
Ubr1	0.0	41.7	0.0	103.11	0.0	0.0	0.0	82.96	0.0	0.58	0.15	9.8	0.0	0.0	0.0	195.37	0.0	23.56	99.62	0.0
Usp33	159.32	0.0	252.95	0.0	53.63	0.0	0.0	0.0	6.07	0.0	56.94	61.27	76.82	2.39	568.41	330.22	0.0	76.02	115.54	18.73
Vip	26849.21	32658.1	48402.26	35690.76	21970.5	0.0	0.0	42738.55	39789.49	34420.5	53179.5	32676.37	46837.05	26385.26	1.12	0.0	0.0	364.43	6792.43	13441.86
Xist	0.22	0.41	0.0	0.32	0.38	0.0	0.0	0.33	0.51	0.61	0.38	0.24	0.14	0.26	1.18	0.73	0.0	0.32	0.39	0.0
Xrcc2	0.1	0.69	0.14	0.24	0.89	0.24	0.0	0.06	2.24	1.14	0.84	0.3	0.11	0.21	2.3	4.15	0.0	2.48	2.78	0.42
Zfp385c	0.53	0.53	0.0	0.44	0.16	1.3	0.0	0.42	1.97	0.14	0.78	0.38	0.28	1.95	0.27	2.94	0.0	0.96	2.9	0.0
Zfp825	50.2	0.0	2.64	4.28	292.75	0.83	0.0	370.29	39.64	2.3	40.04	4.36	0.0	27.26	566.72	796.29	0.0	84.01	255.59	259.55
Zmat1	0.0	0.0	0.0	0.0	88.69	0.0	0.0	0.1	0.0	0.54	0.0	0.0	0.0	0.0	396.91	263.34	0.0	40.7	0.17	160.12
c16_5S	0.0	0.0	0.0	0.0	35.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.83	450.03	0.0	6.9	0.0	0.0
