	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_89	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_37	Ntsr1_tdTpos_100cell_1
Amy2a3	0.47	0.13	0.14	0.43	0.44	0.5	0.04	0.04	0.01	0.31	0.31	0.0	0.11	0.51	0.0	0.08	0.23	1.13	0.07	0.64	0.24
Amy2a4	0.47	0.13	0.14	0.43	0.44	0.5	0.04	0.04	0.01	0.31	0.31	0.0	0.11	0.51	0.0	0.08	0.23	1.13	0.07	0.64	0.24
Arl1	248.52	47.49	164.38	0.0	131.04	1351.46	233.75	248.83	159.03	108.03	291.96	42.13	273.15	176.51	18.91	2.56	229.95	309.44	75.92	761.3	240.22
Aven	0.0	0.0	0.0	0.0	0.0	197.79	0.0	0.0	0.0	0.0	0.0	0.0	63.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B130006D01Rik	0.0	1.92	0.06	0.16	0.07	0.48	0.23	0.76	0.0	0.11	0.0	0.0	16.03	0.13	0.0	0.06	0.09	0.39	0.0	0.53	1.43
Bard1	0.0	0.84	0.37	0.63	0.25	1.17	0.25	0.29	0.17	0.36	0.51	0.0	0.86	0.31	0.76	0.18	0.15	0.59	0.07	0.99	0.11
Birc5	1.55	2.03	1.86	1.07	2.44	7.24	1.39	5.88	0.33	1.98	1.93	0.0	4.47	3.21	0.94	0.91	1.88	3.6	0.0	5.42	2.32
Ccdc126	0.0	0.09	0.0	54.48	0.0	97.22	50.36	0.0	0.0	0.0	0.0	0.0	1.33	0.19	0.0	0.0	0.05	0.0	0.0	0.0	7.65
Cdc14b	0.88	9.97	1.13	4.67	1.98	46.24	1.36	35.37	0.97	2.95	0.77	0.46	21.76	0.53	1.71	1.97	0.21	14.07	0.0	4.69	3.64
Clcc1	0.0	0.05	0.0	66.34	19.66	342.07	0.61	30.62	3.0	145.0	0.0	0.18	225.7	0.0	759.94	0.0	0.0	14.86	2.17	208.05	55.87
Dzip1	3.73	0.11	0.0	3.15	2.39	87.78	3.34	2.02	1.69	1.91	16.56	0.0	1.99	0.76	1.47	17.9	4.79	20.59	79.33	50.81	30.07
Eif2s2	44.29	34.93	22.45	227.24	52.04	252.33	80.79	54.52	116.73	48.3	128.92	33.53	100.92	45.86	39.29	51.81	28.02	72.62	151.01	21.84	153.91
Elovl5	0.0	10.93	0.0	0.0	0.0	178.7	0.0	0.14	0.0	0.0	0.0	0.0	16.17	0.0	457.82	0.0	0.0	0.0	0.0	0.0	20.27
Fam158a	0.0	0.4	79.26	0.0	0.0	254.77	0.25	0.52	0.0	1.03	0.0	0.0	358.13	0.0	0.0	0.0	108.83	0.0	0.0	0.0	41.87
Fastkd1	0.64	3.57	0.89	4.43	1.54	10.89	5.17	1.93	0.34	2.06	6.45	0.0	0.83	41.04	1.24	2.4	1.72	1.5	0.0	10.3	5.54
Fgfr1op2	12.72	371.5	20.35	0.0	24.59	640.17	313.4	250.24	0.0	112.65	191.75	23.06	156.41	121.8	71.66	41.4	214.33	16.24	29.03	51.29	35.53
Fryl	0.0	0.01	0.0	0.0	0.0	36.42	18.0	6.92	2.44	8.38	0.0	0.0	0.26	2.79	0.0	15.79	0.08	0.29	0.0	0.09	9.44
Gas5	96.52	49.68	132.28	141.93	25.58	393.46	401.63	115.32	56.1	78.88	98.52	11.51	221.54	37.48	167.59	50.6	121.25	22.12	35.18	410.58	98.47
Gm10635	0.2	0.68	0.08	0.16	0.55	0.57	0.15	0.0	0.62	0.11	0.37	0.0	252.59	0.12	0.16	0.07	0.03	0.15	0.0	1.3	2.79
Gm16702	101.55	120.84	38.31	146.46	55.57	310.46	75.83	137.21	21.38	84.76	38.86	16.08	112.68	68.61	130.02	62.85	47.87	72.9	32.97	104.64	94.4
Gm17296	0.0	0.0	0.0	1.39	0.0	14.99	3.28	0.0	0.0	3.99	0.54	0.0	3.05	1.24	0.0	0.0	0.0	1.0	0.0	0.0	0.53
Gm6313	17.83	23.98	10.96	32.74	10.91	30.28	20.17	9.86	14.73	17.3	6.64	4.94	32.51	12.56	6.84	12.25	12.09	19.55	3.15	29.7	13.82
Gm9962	1.37	1.08	0.23	0.85	0.38	3.19	0.88	1.51	0.0	0.0	0.0	0.0	57.5	1.07	1.36	0.47	0.23	0.24	0.0	2.04	8.43
Grik2	0.16	0.04	0.0	0.0	0.18	111.4	0.0	106.78	0.0	238.89	1.29	0.0	66.66	22.95	2.75	0.02	0.02	24.48	0.0	0.0	10.87
Hemk1	0.35	0.05	0.0	0.5	0.99	3.86	1.12	75.57	106.25	0.72	0.32	0.0	3.3	0.0	3.0	0.73	0.51	77.98	0.0	1.63	10.39
Impg2	0.39	0.98	0.74	0.38	0.32	3.24	0.77	0.98	0.11	0.34	0.1	0.0	1.14	0.85	0.72	0.12	0.28	0.57	0.0	0.78	1.02
Ivd	14.56	0.1	0.0	17.34	0.0	273.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.55	0.0	0.0	27.4	157.51	0.0	142.57	14.1
Kcnq5	108.61	6.74	2.01	1.48	77.97	153.53	1.42	10.73	0.06	0.0	38.19	0.0	171.99	0.78	1.89	22.17	1.76	6.11	0.0	54.05	2.21
Klhl21	0.2	0.14	0.0	0.0	0.44	72.79	0.15	0.31	0.12	0.0	0.0	0.0	122.69	0.0	0.0	0.04	0.08	0.25	0.0	0.24	2.29
Lass5	0.0	178.01	117.93	0.0	0.0	237.8	54.29	0.0	2.36	130.72	2.43	0.0	218.09	6.16	0.0	89.18	0.0	0.24	0.0	0.0	21.69
Med14	0.0	0.7	1.73	0.0	0.0	148.8	0.99	3.16	0.0	11.74	0.0	0.0	8.65	16.82	0.0	1.12	24.61	0.05	45.15	9.89	17.26
Mtap7d1	0.0	1.94	0.36	56.65	18.22	74.73	0.0	8.46	3.38	0.0	30.48	13.44	101.28	24.12	76.31	1.0	75.03	0.84	0.0	0.0	18.67
Nfat5	0.11	0.18	0.08	0.12	3.18	13.09	9.7	0.0	1.72	0.75	1.18	0.0	9.43	0.48	2.71	2.82	0.08	6.62	0.0	9.46	5.8
Nt5c3l	1.12	1.91	0.5	0.0	0.0	184.36	128.87	53.36	0.56	0.57	99.94	0.0	186.74	155.01	0.0	27.69	0.66	88.6	0.0	210.01	69.44
Paics	0.97	370.95	1.98	335.86	248.58	683.68	309.78	101.27	10.33	121.55	251.0	0.0	53.89	97.04	238.77	114.72	326.71	18.57	232.8	184.68	186.92
Pcdhb5	0.22	1.62	1.09	0.96	0.76	2.3	1.24	0.57	0.35	0.91	0.39	0.0	1.94	1.42	1.05	0.39	1.19	3.87	0.0	3.06	0.96
Pdzrn3	2.96	0.07	104.92	0.0	2.52	134.16	0.09	141.14	0.19	0.0	0.0	0.0	125.6	0.31	43.68	2.66	2.31	3.06	0.19	2.7	0.5
Pik3c3	197.35	0.03	0.07	2.46	201.94	534.67	6.41	0.76	88.49	0.0	104.16	0.0	6.75	57.8	199.3	9.93	99.35	68.87	0.0	276.33	86.52
Pip5k1a	11.81	0.84	0.09	67.29	17.93	205.91	148.32	94.07	3.79	0.0	23.49	0.14	82.0	12.36	0.0	0.38	34.72	97.04	0.0	77.37	26.29
Pmm1	267.23	400.74	323.77	324.46	315.87	971.17	122.63	166.17	270.04	379.6	168.04	778.03	655.94	465.48	0.78	216.43	12.0	704.34	0.0	295.73	247.63
Rab3gap1	22.9	24.39	123.23	81.02	137.83	183.9	58.79	81.98	4.35	57.04	2.91	273.07	223.19	14.12	0.0	2.53	6.81	0.12	0.24	1.3	51.95
Ralgapa2	1.01	1.27	1.3	1.63	2.56	26.06	1.0	5.21	1.17	2.81	0.65	0.57	3.03	6.5	1.2	2.09	24.87	0.26	0.0	39.17	3.97
Scn9a	0.0	0.0	0.0	0.0	0.04	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sfi1	0.0	1.25	0.06	0.0	0.51	57.61	1.71	6.21	10.09	0.78	0.68	0.0	0.74	11.02	0.47	0.73	0.08	0.72	0.0	138.81	1.94
Six6	0.0	0.32	0.18	0.0	0.1	2.06	0.86	0.58	0.07	0.14	0.17	0.0	1.22	0.3	0.23	0.15	0.32	0.0	0.26	1.09	0.0
Skiv2l2	2.31	0.76	66.62	50.11	4.14	523.01	46.56	189.55	2.81	122.67	125.69	2.85	0.0	23.3	348.68	74.8	19.82	32.36	0.0	161.45	120.08
Slc12a8	1.51	2.78	0.76	2.5	2.13	5.07	1.28	2.16	0.73	2.63	0.75	0.2	3.63	2.38	0.76	1.55	1.76	2.31	0.04	3.59	4.12
Slc36a1	0.0	4.33	0.0	2.05	0.08	73.49	0.04	0.0	0.02	0.15	7.46	0.0	50.88	0.71	0.0	0.08	0.85	14.82	0.0	0.0	4.98
Smyd4	0.65	2.95	0.33	0.86	2.7	83.61	3.35	2.44	2.1	1.81	3.57	0.0	6.79	17.83	0.63	2.12	2.53	3.13	0.63	51.24	10.56
Snap25	26182.83	24880.43	23752.44	25194.29	21404.94	11914.36	24000.2	24648.02	20866.53	23051.34	22470.57	12482.83	19257.32	22039.64	25542.47	21954.45	22725.47	21280.34	17118.88	19440.36	20846.74
Snord116	0.0	0.0	0.0	5.05	0.0	6.9	1.7	0.0	0.0	0.0	7.97	0.0	5.44	7.42	0.0	0.0	2.07	10.53	0.0	31.33	0.0
Snord116l1	0.0	0.0	0.0	5.05	0.0	6.9	1.7	0.0	0.0	0.0	7.97	0.0	5.44	7.42	0.0	0.0	2.07	10.53	0.0	31.33	0.0
Snord116l2	0.0	0.0	0.0	5.05	0.0	6.9	1.7	0.0	0.0	0.0	7.97	0.0	5.44	7.42	0.0	0.0	2.07	10.53	0.0	31.33	0.0
St3gal2	0.0	0.0	0.3	0.0	0.0	53.21	0.0	0.0	0.0	0.0	15.05	0.0	0.0	4.41	0.0	0.0	0.0	14.63	0.0	0.0	5.23
Taz	7.84	12.25	0.0	0.0	126.44	247.58	34.11	0.0	112.45	0.0	0.0	0.0	145.23	0.0	0.0	2.21	0.82	0.0	0.19	1.71	14.99
Tex9	0.77	4.6	0.13	0.67	3.29	59.35	94.9	26.13	0.12	1.12	1.26	0.0	21.33	11.77	1.38	11.54	0.97	1.2	0.79	24.9	3.7
Tlr13	0.0	0.6	0.0	0.27	0.0	1.14	0.84	1.47	0.05	0.21	0.0	0.0	0.74	0.21	0.0	0.03	0.0	0.69	0.0	0.89	0.08
Tm7sf2	17.94	0.07	0.0	0.0	0.0	94.97	0.0	0.0	0.0	0.0	74.36	0.0	0.0	0.0	0.0	112.8	0.08	2.34	0.0	168.67	23.02
Tmem167	10.33	5.07	34.1	1.1	65.62	103.71	33.34	3.92	16.95	43.2	17.87	0.0	121.82	50.83	1.83	11.3	0.95	17.34	0.36	28.46	38.76
Tmub2	0.0	0.45	145.2	494.36	24.49	449.28	0.09	0.0	1.38	0.0	0.0	0.0	197.88	36.72	0.0	0.05	0.0	81.83	0.0	186.96	89.42
Tnfrsf1b	0.0	0.0	0.02	0.25	0.0	0.75	0.05	0.09	0.04	0.0	0.0	0.0	0.55	0.27	0.0	0.18	0.0	0.07	0.0	0.89	0.06
Trim30b	0.0	0.0	0.05	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.05	0.0
Tsr2	0.0	134.34	0.06	89.03	113.85	188.22	129.76	64.82	0.0	44.73	48.03	0.0	159.69	11.85	0.0	0.46	64.89	141.35	0.0	158.76	57.59
Usp5	218.16	103.88	0.43	0.0	0.0	198.21	28.2	1.61	10.56	0.25	140.23	0.0	204.48	141.26	140.69	152.72	21.46	48.17	0.11	19.59	123.62
Zc3h12b	0.0	0.0	0.0	0.0	0.0	85.28	0.06	0.0	0.0	0.12	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	5.44	0.79
Zfp790	0.0	0.11	25.46	0.0	10.44	309.98	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.33	0.0	0.0	58.05	0.08	183.93	16.06
Zfp874a	0.0	1.6	0.0	2.19	0.66	246.01	0.66	0.13	0.0	125.06	0.0	0.0	327.57	74.19	0.62	0.82	0.38	16.18	0.0	0.8	82.22
Zfp882	3.01	1.27	30.05	7.02	2.0	132.32	1.3	10.91	0.38	1.24	1.92	0.0	2.21	0.91	3.7	1.49	20.4	23.71	0.32	4.64	3.4
c5_tRNA-Cys-TGY	0.0	24.29	0.55	0.0	0.0	110.22	52.57	19.29	8.93	0.0	0.0	0.0	100.72	9.18	0.0	21.92	33.57	36.46	0.0	74.43	5.1
c8_tRNA-Ala-GCA	34.42	202.95	0.0	0.0	0.0	104.79	107.87	18.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.98	9.34	0.0	0.0	39.88
mt_AK140174	0.0	0.0	0.0	0.0	0.0	113.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
