	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Ndnf_tdTnegative_cell_5	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
LOC100642166	0.26	12.77	0.0	7.91	16.85	4.75	60.96	60.31	0.0	5.14	10.9	0.91	4.38	39.61	53.14	0.0	6.31	1.36	17.6	9.83	55.35	32.58	0.87	0.29	5.22	26.64	9.67	7.28	1.79	24.43	30.23	31.72	2.72	7.67	10.03	19.01	5.47	8.92	0.63	50.08	10.34	7.8	30.31	0.0	22.54	26.31	31.8	0.25	0.56	7.31	0.22
Ldhb	6607.22	8970.97	5274.92	7692.96	6604.57	4364.95	6832.63	8752.31	3963.33	10118.08	10894.4	8525.9	7234.97	6527.59	8517.89	5463.85	9343.6	8808.99	6807.49	10165.1	9166.61	9602.81	7343.35	7061.15	11261.44	8285.69	10004.69	6616.59	8757.21	9074.03	13571.31	7287.29	12546.17	9106.97	9755.78	7935.39	8390.99	11010.48	8275.76	6703.36	7724.63	10182.84	6251.75	7739.08	9082.37	6628.6	11746.38	3251.53	5873.38	5577.5	7324.1
Nacc2	21.03	0.68	0.5	23.35	28.9	0.7	28.73	41.32	2.56	36.86	26.61	12.78	14.33	40.31	35.73	25.58	43.19	65.76	32.87	47.35	19.61	41.17	93.86	1.74	22.86	68.07	63.42	80.8	34.21	15.49	75.82	111.36	45.2	54.54	41.02	22.12	30.69	0.53	76.82	26.54	48.7	31.4	20.35	49.97	67.16	85.17	25.37	0.52	3.07	0.06	13.53
Nbea	0.02	3.28	0.0	4.89	30.11	0.0	24.09	13.45	0.0	5.89	5.39	4.31	18.3	1.88	36.72	4.63	8.84	12.26	2.75	47.25	4.35	41.63	6.19	15.46	18.0	24.54	22.85	61.12	21.56	16.53	9.35	26.19	8.29	20.07	16.66	10.66	7.1	23.83	18.61	31.61	1.12	14.05	5.91	47.19	11.31	11.66	10.9	0.0	0.17	0.0	30.51
Pex5	0.63	21.66	0.0	0.0	1.66	0.0	83.28	51.59	0.0	0.57	15.2	18.17	24.39	5.4	37.54	3.16	74.3	0.33	57.07	2.54	0.25	61.47	0.0	0.67	22.5	76.62	3.78	28.7	9.21	2.09	25.6	207.02	41.49	1.22	34.74	0.14	14.86	50.24	174.9	102.21	1.06	0.73	1.2	0.73	46.13	2.52	0.0	0.0	0.12	0.0	0.63
Phospho2	0.0	0.0	0.0	1.92	15.58	0.0	66.78	91.49	0.43	0.24	7.77	6.53	0.0	0.26	48.96	0.0	0.78	14.06	42.08	2.48	0.0	103.76	71.23	0.0	0.0	106.41	95.73	58.81	13.41	14.02	14.88	58.76	124.66	111.08	5.52	0.2	70.66	49.02	25.53	186.17	113.75	62.03	0.0	49.22	40.06	28.76	23.72	0.0	0.18	0.0	0.0
Ptpn5	0.28	0.0	0.0	98.17	12.82	0.1	103.77	139.65	0.0	29.01	11.35	86.05	65.99	42.71	106.12	37.84	74.3	58.88	44.58	17.57	0.0	60.84	0.0	0.0	18.21	62.26	72.21	21.93	46.55	57.34	10.82	53.78	180.56	11.87	17.53	59.33	137.45	251.35	95.21	105.09	105.66	33.55	16.39	73.44	53.95	85.45	29.14	0.0	0.37	0.0	10.08
Rnf114	2.43	0.0	0.0	34.95	45.61	0.0	67.77	110.47	0.0	1.49	0.0	22.14	11.15	2.02	20.72	0.0	41.86	46.86	74.66	21.59	90.31	40.11	0.19	0.0	65.95	58.06	95.74	74.46	70.14	31.87	85.87	68.16	49.99	0.0	129.48	0.0	41.58	50.94	1.6	104.4	80.16	3.46	50.02	0.12	35.34	0.14	28.59	0.25	0.86	0.0	0.0
Rnf170	16.54	0.0	0.0	0.0	15.61	0.0	59.71	87.27	0.0	18.13	0.49	28.07	6.03	0.14	32.58	13.5	51.21	48.88	40.94	1.48	0.0	25.49	11.92	0.0	0.09	68.72	5.14	102.92	14.68	65.86	88.61	0.0	37.32	70.43	26.52	40.49	67.8	25.32	24.81	14.5	46.09	0.0	0.0	147.38	17.64	0.52	1.04	0.0	0.0	0.0	0.16
Timm44	0.07	0.0	0.0	2.94	84.04	0.0	50.87	88.57	0.0	9.05	57.28	94.55	25.61	72.53	127.04	18.72	99.53	66.75	137.66	34.64	3.5	166.87	39.21	21.67	56.71	140.62	43.91	66.03	51.03	19.08	51.2	78.16	74.43	29.77	59.08	7.91	117.08	118.02	14.46	268.0	16.72	64.12	8.69	72.17	25.12	71.19	45.69	0.0	0.42	46.03	11.44
Tmem179	1.79	3.11	0.0	9.96	29.57	0.0	33.73	38.66	0.0	0.0	23.03	21.07	183.02	65.43	36.01	8.24	38.08	107.79	43.44	6.59	2.61	99.08	28.58	31.05	48.86	97.38	53.59	11.27	0.0	7.26	36.65	68.83	72.88	172.29	33.88	13.2	33.0	5.02	29.68	106.64	20.29	39.16	0.0	74.7	4.23	84.92	156.62	0.0	0.31	0.0	12.5
Tmsb15b1	5.36	0.0	0.0	0.0	70.14	0.0	72.08	0.0	0.0	0.0	12.7	0.0	5.71	0.0	91.76	0.0	6.5	4.85	53.6	0.0	0.0	13.44	0.0	0.0	2.56	154.65	8.69	50.52	0.0	62.02	38.94	65.59	53.71	42.78	44.68	11.48	150.03	10.68	14.37	40.21	0.0	0.0	6.76	0.0	6.41	3.0	0.57	0.0	0.95	0.0	0.0
Tram1l1	0.0	0.0	0.0	0.18	108.71	0.13	98.55	76.0	0.0	84.82	38.22	90.84	114.51	62.22	74.97	87.05	0.49	0.0	65.92	29.64	0.0	3.73	0.13	0.0	68.22	166.1	64.63	174.31	0.0	83.68	113.74	63.05	1.11	36.89	0.0	43.67	213.93	44.35	53.22	256.04	0.0	0.0	0.0	50.7	114.27	8.5	129.11	0.0	0.0	0.0	0.29
Tspan13	1.03	0.81	4.97	38.93	67.78	2.55	93.6	108.0	3.38	0.0	69.45	67.55	20.74	28.11	68.38	0.39	22.9	58.08	74.1	47.18	0.47	117.44	62.83	21.39	9.38	103.35	147.13	69.81	0.36	49.53	36.15	13.36	119.89	44.37	32.14	41.06	2.28	13.82	2.02	86.88	35.45	16.6	56.23	79.34	80.31	2.61	41.55	0.5	4.75	0.0	55.67
Ube3c	0.0	0.0	0.0	28.57	32.08	0.0	17.12	28.96	0.0	0.0	22.57	7.35	6.12	9.75	24.28	11.35	44.4	27.53	1.05	13.67	0.0	25.09	44.3	0.08	0.51	30.77	12.32	3.15	0.0	21.24	30.83	11.87	27.73	13.19	2.06	21.42	1.02	9.34	0.0	86.13	0.11	24.27	0.21	8.51	20.27	4.73	34.72	0.0	0.47	0.0	2.56
Ylpm1	0.0	0.0	0.0	1.69	23.18	0.0	3.16	3.3	0.0	0.73	2.95	0.72	13.43	0.08	16.41	0.0	4.57	13.23	26.73	1.91	0.0	10.94	4.86	0.18	5.44	7.16	6.63	10.73	11.22	4.31	3.74	31.61	7.51	1.58	0.18	16.41	0.67	8.1	1.62	29.87	3.67	24.6	0.0	9.78	3.96	0.0	0.55	0.0	0.05	0.0	3.28
