	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_99	Ndnf_tdTpositive_cell_8	CAV_LP_Ipsi_tdTpos_cell_25	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Kcnk9	0.0	0.0	0.0	0.0	46.91	40.93	50.68
Kera	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Khsrp	1.02	14.22	8.75	11.99	57.01	58.93	59.96
Krt80	0.0	0.0	0.0	0.0	5.1	3.98	4.4
Lao1	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lrrc29	0.0	0.0	0.0	0.0	1.45	1.65	1.65
Mir214	0.0	0.0	0.0	0.0	1.3	0.0	0.0
Mir425	0.0	0.0	0.0	0.0	0.0	7.64	8.37
Mir5133	0.0	0.0	0.0	0.0	9.73	4.58	10.05
Mnd1	0.0	0.0	0.0	0.0	0.58	1.1	1.2
Mrpl48	0.0	133.83	0.0	48.29	91.12	99.03	95.19
Msh4	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Msrb2	0.0	0.0	0.0	0.0	29.67	27.89	29.52
Muted	0.0	0.0	0.0	0.0	18.49	20.17	19.14
Ncf1	0.0	6.61	0.85	1.19	9.87	9.09	9.17
Ninj1	0.0	0.0	0.0	5.4	21.07	31.23	24.68
Nkx6-3	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Nr1h3	0.0	0.0	0.0	0.0	3.46	3.53	3.19
Nron	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Pi4k2b	0.13	0.0	0.0	0.0	2.42	1.97	2.56
Plau	0.0	0.0	0.0	0.0	3.33	3.87	4.54
Pom121	0.0	0.0	0.0	0.08	39.1	41.0	41.92
Porcn	0.0	0.0	0.0	0.0	66.34	72.89	77.9
Prkaca	0.0	30.57	0.0	19.98	171.78	178.98	179.22
Rab27a	0.71	1.4	0.93	0.2	5.9	4.91	4.52
Rnf31	0.0	0.0	0.0	0.0	18.76	19.96	19.74
Rusc2	0.0	0.0	0.0	0.0	69.0	79.5	70.54
Six3	0.0	0.0	0.0	0.0	6.63	6.73	6.66
Slc25a22	0.0	93.65	0.0	47.88	216.4	224.4	229.63
Slco6c1	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Tacc3	0.0	0.0	0.0	0.0	6.17	4.96	6.25
Tagap	0.0	0.36	0.0	0.0	1.16	1.01	1.5
Tas2r137	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tcf20	0.0	3.65	0.0	20.98	41.58	41.79	43.86
Tcte1	0.0	14.95	0.0	0.0	1.14	1.05	1.65
Tmem88	0.53	0.0	0.0	3.45	4.08	3.73	2.85
Tox2	0.0	0.0	0.0	1.79	19.69	23.35	22.45
Traf5	0.0	0.0	0.0	0.0	2.75	2.85	2.27
Ttc38	4.67	0.71	7.39	1.32	7.84	7.69	7.21
Ttc39d	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ttn	0.0	0.0	0.0	0.22	0.14	0.05	0.08
Vax2os2	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r1	0.0	0.0	0.0	0.0	0.53	0.47	0.56
Vmn2r2	0.0	0.0	0.0	0.0	0.05	0.0	0.0
Wbscr16	0.0	0.0	0.0	0.0	12.91	13.88	15.34
Wfdc13	0.0	0.0	0.0	0.25	0.0	0.0	0.28
X99384	0.0	0.0	0.0	0.0	6.96	9.09	8.22
Zfp518b	0.0	0.0	0.0	0.0	8.11	7.78	8.32
Zp3r	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c11_tRNA-Gln-CAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	6370.03	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
