	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_62	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Cerk	0.0	0.0	0.05	0.0	4.15	0.11	0.0	0.0	0.0	3.75	25.53	35.61	0.42	4.91	36.46	26.26	2.54	48.24	65.9	68.82	2.69	1.5	18.33	0.49	19.08	25.11	19.99	3.12	12.74	30.77	1.36	9.44	1.76	5.93	7.31	0.25	0.0
Cntnap1	0.0	8.36	31.77	0.0	3.16	0.0	0.0	0.0	0.0	3.83	34.62	21.71	12.88	8.26	5.69	4.22	21.03	4.67	10.72	6.59	0.85	10.33	12.14	9.6	19.18	12.28	17.0	15.23	30.63	14.63	9.95	9.86	0.11	0.37	14.5	14.72	0.0
Cox6a1	0.0	88.34	420.68	129.12	1129.56	1201.34	570.62	0.57	12.97	1600.12	1247.24	132.28	381.8	1683.87	1411.13	1645.69	1287.0	1488.09	1650.87	1212.83	1473.48	1608.43	1863.85	441.22	1561.05	1374.77	891.57	2320.93	1912.14	1600.61	2097.26	1107.87	1803.49	2138.23	1022.3	1364.31	1755.07
Cox8a	634.4	197.32	86.64	1.88	485.31	406.6	510.69	263.07	444.61	648.33	419.56	49.43	93.07	1069.01	454.2	831.57	475.76	503.63	757.73	743.95	544.16	750.91	853.88	194.64	863.9	477.06	224.89	1142.05	755.83	1277.21	1033.47	669.58	1388.39	1025.65	1246.0	603.33	760.63
Cplx1	0.0	536.26	304.83	0.0	883.73	398.62	0.26	0.13	1.16	918.29	1059.17	690.08	958.97	994.91	1014.15	1194.53	1190.34	1148.18	1678.45	1025.48	924.93	990.97	1234.37	632.95	1585.92	878.94	910.66	1322.39	2098.74	1330.63	1302.33	767.51	1132.62	1045.33	1760.34	1054.91	0.0
Cs	698.89	39.31	121.55	37.69	125.24	458.12	373.97	48.36	2.23	249.89	299.66	176.46	306.29	308.19	192.44	209.95	384.26	231.71	170.43	455.17	191.11	114.08	411.16	533.85	193.9	278.68	310.01	395.63	728.16	153.1	199.12	218.02	13.39	246.47	200.37	278.43	385.94
Dfna5	0.0	0.0	4.27	0.0	147.43	0.0	0.0	0.0	0.0	22.9	195.71	97.94	54.56	58.44	45.41	58.33	40.66	28.7	188.63	97.69	95.7	21.85	15.14	1.23	13.17	94.1	13.1	87.47	169.95	0.0	0.0	137.11	0.0	1.49	55.65	114.82	0.0
Dld	0.0	202.17	107.42	0.0	496.38	594.89	1.18	0.0	0.0	311.42	594.97	324.56	324.53	450.94	408.01	293.1	424.92	512.15	333.71	610.14	275.42	610.53	502.1	423.14	307.0	388.81	381.04	435.09	296.45	423.67	49.41	616.99	390.31	283.94	292.06	519.76	0.0
Fam43a	0.0	0.0	0.0	0.0	8.02	19.62	0.0	0.0	0.0	11.35	3.64	0.0	0.0	0.11	2.0	11.67	5.39	7.18	0.0	5.69	0.0	0.0	0.0	11.49	1.29	5.8	0.0	0.0	0.0	5.93	0.24	0.0	0.2	0.0	0.0	3.44	0.0
Fam73b	0.0	0.0	0.0	0.0	72.88	0.15	0.28	0.0	0.37	30.92	22.1	0.0	0.0	39.33	55.4	39.29	0.0	21.65	44.45	35.21	0.0	22.17	0.08	15.27	19.63	12.43	0.33	33.76	29.36	60.97	25.54	34.02	0.0	11.19	22.77	0.34	0.0
Ggt7	0.0	0.0	0.0	0.0	80.21	0.0	0.0	0.11	0.48	12.27	45.68	25.1	9.34	67.13	45.18	53.26	53.55	29.69	66.35	90.5	10.65	20.57	97.76	35.44	32.71	59.48	20.45	134.2	44.94	74.96	35.13	12.2	25.0	36.55	220.09	176.11	0.0
Glrb	0.0	69.01	125.81	0.0	266.87	63.4	0.06	116.6	0.0	111.48	289.15	106.94	192.42	169.66	232.89	279.89	196.64	452.11	352.29	480.21	10.05	424.05	165.32	221.29	296.39	234.08	226.46	171.25	218.21	185.75	273.86	113.13	45.79	175.79	183.43	259.04	0.0
Gm14430	0.0	0.0	0.0	0.0	17.66	0.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	6.05	13.5	13.46	3.22	12.83	12.31	3.07	11.03	18.55	13.57	4.08	11.25	0.32	9.13	0.54	0.0	8.34	13.81	2.38	0.0
Gm14434	0.0	0.0	0.0	0.0	17.66	0.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	6.05	13.5	13.46	3.22	12.83	12.31	3.07	11.03	18.55	13.57	4.08	11.25	0.32	9.13	0.54	0.0	8.34	13.81	2.38	0.0
Gm4724	0.0	0.0	0.0	0.0	17.66	0.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	6.05	13.5	13.46	3.22	12.83	12.31	3.07	11.03	18.55	13.57	4.08	11.25	0.32	9.13	0.54	0.0	8.34	13.81	2.38	0.0
Gnas	1.0	550.25	665.46	0.33	1113.92	669.94	327.86	77.13	0.88	671.76	821.96	794.42	838.04	1001.22	1306.9	625.6	767.0	750.72	1112.03	501.2	728.52	659.67	730.96	799.02	741.77	954.87	931.43	817.11	630.83	753.39	1292.36	926.29	604.12	652.46	973.56	831.62	8.55
Got1	0.0	873.56	1171.06	0.0	2014.81	2091.03	1066.94	0.27	1.85	1784.91	1964.28	1925.04	1546.94	1623.35	1996.52	1678.1	1325.33	1461.72	1798.12	1452.33	1469.17	1334.39	2033.04	2217.78	1708.19	1745.59	1823.15	2475.17	1712.39	2170.93	1774.11	1933.67	1213.18	1807.08	1091.97	2427.67	0.0
Hapln4	0.0	0.03	0.0	0.0	61.57	0.0	0.0	0.1	0.0	65.14	55.19	24.87	43.61	23.79	103.96	69.88	26.6	11.88	0.76	55.46	59.67	24.38	66.3	30.7	44.5	76.99	34.79	10.92	37.32	45.07	44.07	59.55	58.58	43.62	21.36	60.25	0.0
Hcn1	0.0	38.71	0.0	0.0	8.14	13.92	63.81	0.0	0.0	68.02	43.33	58.13	71.37	34.43	89.95	22.52	40.21	43.76	40.03	49.33	19.81	14.5	83.61	46.01	35.38	52.76	42.69	24.16	20.53	41.21	44.35	23.5	39.64	27.82	20.2	47.42	0.09
Hdhd2	0.0	43.48	208.0	0.0	217.42	8.57	44.46	462.75	1.64	228.52	210.08	204.7	203.33	178.93	202.23	91.01	160.22	359.72	299.27	184.16	0.0	353.42	87.37	239.52	159.47	168.4	251.16	204.7	180.97	297.37	158.36	184.76	19.9	187.44	177.95	71.55	1.48
Idh3a	0.0	392.73	1134.03	0.0	1862.32	1099.23	0.31	0.12	1.05	1477.73	1126.93	1252.57	1183.7	1075.07	1100.32	976.93	1212.4	1289.89	1130.49	1203.74	2010.61	956.07	1508.58	1132.16	1078.83	1279.95	1526.21	1710.6	1346.68	953.84	576.77	1368.48	831.2	1623.28	1082.32	1275.64	0.0
Idh3g	526.15	396.94	19.95	0.0	270.45	613.82	396.04	0.0	2.91	656.26	821.67	873.32	652.05	577.4	482.45	562.5	327.21	429.6	879.98	655.21	504.16	774.12	706.76	734.14	340.52	519.49	1078.76	628.83	650.68	591.11	478.48	493.23	76.38	408.46	360.28	475.3	0.0
Iqgap2	0.0	0.02	0.0	0.0	4.95	0.0	0.0	0.0	0.37	7.92	27.74	10.54	8.84	11.58	14.26	5.41	0.0	17.05	5.95	0.0	2.38	0.86	11.31	14.37	22.06	0.98	11.0	1.96	2.89	13.88	0.85	1.02	0.0	0.54	6.08	0.23	0.0
Itfg1	0.0	78.88	143.16	0.0	0.0	23.66	0.11	0.0	0.37	37.66	68.87	43.98	48.81	20.87	108.08	11.81	17.28	46.44	44.94	68.04	43.06	66.45	171.53	183.57	94.76	99.77	142.02	66.94	136.55	3.23	49.5	69.82	0.18	81.82	88.69	57.87	0.0
Kcna1	0.0	49.93	0.0	0.05	219.47	2.79	0.02	0.0	0.97	218.51	203.62	67.88	155.4	214.98	258.51	120.88	231.33	255.22	281.96	455.33	33.81	151.11	167.48	159.56	158.39	254.23	229.92	186.92	175.67	275.53	173.91	140.07	175.06	83.12	139.69	247.3	0.0
Kcna2	0.04	0.26	81.69	0.0	72.46	0.04	2.0	19.61	1.22	34.51	94.97	6.75	73.62	35.57	31.48	68.09	52.37	64.74	85.48	51.03	62.18	51.01	56.11	122.82	83.1	80.42	70.45	46.36	110.12	86.53	19.74	16.77	32.59	7.87	25.55	72.29	0.23
Ldhb	7486.96	6607.22	8970.97	5274.92	9309.63	8204.16	3502.13	5876.73	4622.23	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	9220.91	9343.6	10165.1	9166.61	9602.81	7785.08	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	8904.1	11010.48	8671.45	10182.84	9082.37	11746.38	5577.5
Lrp11	0.0	0.07	0.07	0.0	64.5	11.76	0.06	0.0	0.0	68.63	2.67	32.98	56.18	56.4	82.43	106.05	28.76	13.42	160.15	61.48	8.14	0.4	20.65	2.29	33.38	58.9	16.37	80.6	113.64	89.1	46.21	7.12	4.55	26.49	0.0	84.39	0.0
Lynx1	0.0	20.23	0.0	0.0	107.58	11.99	0.0	0.0	0.0	100.39	70.47	35.04	62.83	75.41	68.36	37.39	38.25	44.28	145.97	78.67	14.93	26.67	146.48	7.87	52.23	127.61	63.06	75.27	91.7	12.11	75.15	26.03	113.5	111.63	71.33	70.91	0.0
Lysmd2	0.0	113.6	211.53	0.0	105.37	0.0	0.0	0.0	0.0	45.7	136.33	116.27	143.72	26.29	157.03	60.22	69.81	104.32	100.13	220.26	146.78	150.34	0.0	14.05	142.84	135.43	34.57	121.77	174.9	101.11	68.93	107.64	0.0	198.23	100.02	116.38	0.0
Mkks	0.0	0.0	0.08	0.0	94.99	10.28	0.06	0.0	0.0	76.78	71.53	105.63	133.8	107.6	132.0	117.67	83.81	164.26	80.03	117.13	0.0	35.77	151.92	53.32	114.0	81.01	79.52	53.55	83.43	103.91	97.45	60.62	49.04	73.58	40.45	118.44	0.0
Nat8l	0.0	5.03	0.0	0.0	21.49	0.0	0.0	0.0	0.19	39.2	18.13	41.62	51.18	25.97	32.88	48.27	55.9	108.26	52.29	50.39	43.52	36.63	9.59	9.99	50.04	62.19	51.88	39.07	34.49	41.38	55.65	24.73	62.8	119.04	64.41	101.06	0.0
Nceh1	0.0	191.5	84.38	0.0	192.8	0.11	73.87	196.16	0.0	198.98	141.6	155.9	175.42	285.55	296.48	153.62	146.4	112.52	155.03	156.69	322.33	200.95	214.75	28.28	157.38	144.62	75.83	92.41	140.11	236.98	129.93	54.19	75.57	83.43	231.56	165.58	0.0
Ndufs1	26.31	152.35	126.66	0.0	227.76	408.81	370.31	111.38	134.84	226.99	421.33	199.26	125.0	357.86	188.15	347.46	382.7	444.11	449.77	359.95	608.24	398.23	435.33	367.94	452.55	402.09	559.92	392.51	326.27	394.01	247.15	318.98	288.71	584.74	448.64	522.58	0.26
Pdha1	0.0	39.87	82.5	0.0	349.66	530.32	33.16	84.57	31.49	455.23	402.49	251.31	422.75	488.6	491.75	527.34	292.93	509.53	566.3	506.41	569.29	625.97	625.34	380.09	356.84	447.02	627.43	446.99	870.02	514.36	458.95	410.31	214.99	334.89	868.38	784.21	0.0
Pdhb	583.79	274.94	568.87	297.09	1102.85	1160.01	373.38	0.38	10.37	599.13	844.56	702.96	679.7	784.01	736.2	862.37	665.93	898.7	752.24	896.19	2201.05	750.24	740.69	543.43	653.02	1065.42	574.8	1019.35	1204.37	1069.3	594.05	835.33	252.55	1048.21	577.32	830.46	0.47
Pnpo	0.0	40.86	315.19	0.0	136.46	443.85	0.09	477.95	0.0	242.26	209.81	153.49	235.08	348.56	567.45	109.72	146.86	183.78	271.97	237.08	293.17	336.97	327.65	283.12	206.88	118.88	287.86	414.51	275.39	90.49	403.69	355.7	187.14	321.02	322.58	223.68	0.0
Pvalb	0.0	0.28	0.0	0.0	2506.7	207.61	0.0	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1185.42	1292.73	1590.34	1199.86	1316.24	1251.83	1724.33	1917.82	1740.57	1769.21	1815.89	1408.27	1731.8	1698.2	1974.07	1237.21	1295.74	1759.25	1914.29	1681.17	3516.69	0.0
Scn8a	3.32	18.91	32.03	0.0	85.11	69.14	4.6	0.02	0.44	60.36	56.0	37.8	24.16	49.68	76.27	45.92	79.76	99.5	115.41	103.08	13.92	28.69	97.65	68.89	48.67	69.2	65.33	74.65	88.97	40.27	34.15	11.47	33.3	57.61	88.43	81.71	0.0
Serp2	0.0	0.0	0.0	0.0	47.7	19.57	0.0	0.0	0.0	18.86	37.83	52.19	53.56	117.1	157.3	65.59	46.57	44.31	14.28	76.78	302.23	47.4	92.48	0.43	70.32	42.39	104.59	67.52	55.45	125.62	1.72	87.74	0.0	28.14	75.77	41.07	0.0
Ssx2ip	0.0	0.0	0.0	0.0	9.26	0.0	0.0	0.0	0.0	61.26	35.51	27.77	11.65	12.36	69.2	49.57	0.0	35.0	19.49	34.21	0.67	71.96	39.18	10.15	50.55	15.98	25.85	6.15	0.0	4.42	0.0	9.38	9.36	0.0	0.0	0.11	0.0
Tmem25	0.0	0.0	0.1	0.0	127.57	0.0	0.0	0.0	0.0	289.04	125.78	137.33	50.32	179.68	147.1	77.8	77.97	288.44	55.28	168.55	195.01	154.25	118.05	284.12	112.39	236.84	233.07	242.73	76.47	413.21	136.11	275.42	257.07	51.62	158.39	273.23	0.0
Tmem65	0.0	12.21	1.54	8.83	86.36	115.69	0.05	0.0	0.34	55.66	34.94	20.18	95.99	63.81	5.26	44.17	48.79	88.19	66.78	93.4	6.2	18.53	88.9	47.72	141.36	112.07	100.9	74.58	72.17	5.35	85.34	48.29	69.17	12.84	29.89	106.09	0.0
Ttll7	0.0	1.66	0.0	0.0	28.98	0.5	0.0	0.0	0.0	66.25	64.88	4.46	20.16	50.64	58.66	65.32	51.67	48.32	86.13	87.84	10.16	34.62	70.05	59.92	26.08	44.25	49.81	71.31	53.56	34.36	30.42	76.78	173.03	18.59	85.59	34.98	0.0
Ube2d1	0.0	0.0	0.35	0.33	0.45	1.81	0.0	4.35	0.0	63.0	14.99	10.46	50.41	100.46	57.63	69.12	88.88	92.39	48.74	48.12	122.08	52.73	96.68	8.24	2.39	6.62	83.72	44.74	3.43	1.24	2.96	1.15	0.0	40.9	3.74	2.08	0.0
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.0	0.08	7.2	0.21	0.09	64.83	0.0	0.0	0.0	0.0	0.15	0.15	0.0	8.08	0.04	0.0	0.06	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.0	0.08	7.2	0.21	0.09	64.83	0.0	0.0	0.0	0.0	0.15	0.15	0.0	8.08	0.04	0.0	0.06	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.0	0.08	7.2	0.21	0.09	64.83	0.0	0.0	0.0	0.0	0.15	0.15	0.0	8.08	0.04	0.0	0.06	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	17.46	0.04	0.0	0.08	7.2	0.21	0.09	64.83	0.0	0.0	0.0	0.0	0.15	0.15	0.0	8.08	0.04	0.0	0.06	0.0	0.0	0.0
