	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_24	Ndnf_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tmem167	0.1	1.25	0.14	16.22	12.97	16.06
Tmem199	0.0	0.0	0.0	43.3	44.65	44.24
Tmem63c	0.0	0.0	0.0	40.93	37.28	44.54
Tomm40l	0.0	0.0	0.0	49.12	49.87	47.56
Tox	0.0	0.18	0.22	20.02	18.62	18.19
Tph1	0.0	0.0	0.0	0.23	0.28	0.18
Trim71	0.0	0.0	0.0	0.51	0.55	0.47
Ttc35	0.0	57.53	0.0	90.73	86.46	89.41
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Txnl4b	0.0	0.28	0.0	17.95	20.17	18.28
Urod	0.0	0.0	0.0	52.36	53.74	48.86
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vps26b	0.43	5.79	0.53	52.15	55.73	51.31
Wdr36	0.15	0.0	0.0	27.26	23.75	24.17
Zbtb8b	2.43	3.91	4.87	4.53	5.45	5.08
Zcrb1	0.42	0.0	0.0	86.85	91.07	90.3
Zfp444	0.16	2.07	1.37	16.62	18.72	17.47
Zfyve9	0.0	0.0	0.0	54.36	51.25	52.59
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c3_tRNA-Lys-AAG	0.0	0.0	0.0	0.0	0.0	0.0
c6_tRNA-Lys-AAG	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	4908.34	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	6.9	0.0	0.0	9032.87	8417.95	8583.15
