	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Slc17a6_tdTpositive_cell_42	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_31
Dapk2	0.0	0.0	1.48	36.66	17.59	0.0	0.0	0.0	0.0	0.0	0.0
Dctd	0.0	0.0	5.63	0.16	64.05	7.01	0.0	0.15	0.0	0.0	0.0
Ddx51	0.0	0.0	0.37	0.0	37.31	0.91	0.12	0.03	0.0	0.0	0.0
Dgke	0.65	0.08	26.91	39.5	50.15	23.43	0.58	12.81	10.96	2.02	0.33
Dmd	22.71	0.62	17.25	37.38	5.99	23.47	17.38	0.08	20.83	20.56	11.3
Dnd1	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0
Dock1	0.0	0.0	0.53	0.66	19.43	0.26	0.0	0.0	0.0	0.0	0.0
E030030I06Rik	6.04	4.24	15.81	22.42	17.54	11.68	2.39	12.1	4.46	0.93	0.0
Efcab1	0.0	0.0	29.82	0.0	8.37	0.0	0.0	0.0	0.0	0.0	0.0
Etv6	0.0	0.0	7.32	1.0	0.12	0.59	0.0	0.0	0.0	0.0	0.0
Fancd2	0.0	0.0	3.49	0.0	29.7	10.08	0.0	0.0	0.0	2.27	1.2
Fbxw8	0.0	0.0	1.29	1.63	22.91	0.83	0.0	0.0	0.0	0.0	0.0
Fgd1	0.0	0.0	0.39	1.58	0.22	0.18	0.0	0.0	0.0	0.0	0.0
Fmo5	0.0	0.06	0.07	0.22	0.67	0.0	0.0	0.16	0.0	0.04	0.0
Fndc5	1.58	29.12	7.48	20.54	105.34	1.44	0.0	0.0	0.0	0.0	1.43
Foxo4	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0
Foxr1	4.01	7.46	7.11	16.94	11.81	5.37	3.97	3.48	7.79	5.1	1.49
Gabpb2	1.36	1.44	1.94	1.24	1.12	3.03	0.72	0.95	0.79	0.95	0.76
Gm14431	0.0	0.15	1.74	1.96	5.45	0.99	1.51	0.0	0.0	0.37	1.33
Gm3264	0.0	0.0	7.76	0.0	73.08	4.39	0.0	0.0	0.0	0.0	0.0
Gm5615	0.28	0.12	1.0	1.87	2.37	0.0	0.34	0.07	0.19	0.0	0.46
Gm8898	0.0	0.15	1.74	1.96	5.45	0.99	1.51	0.0	0.0	0.37	1.33
Gnptg	88.81	1.42	131.5	188.45	306.52	103.44	0.0	0.0	0.0	0.0	348.09
Kdm2b	0.0	0.0	3.18	2.52	61.96	3.8	0.0	1.44	1.49	0.86	0.81
LOC627800	0.62	0.22	0.18	0.56	1.63	0.38	0.0	0.0	0.28	0.0	0.79
Lcmt1	0.25	328.49	153.39	172.04	551.21	238.21	173.3	225.72	18.74	628.91	392.46
Lepr	1.95	5.02	14.57	15.83	6.79	10.15	16.11	11.46	5.07	13.33	5.17
Liph	0.0	0.26	0.89	1.9	0.56	0.51	1.15	0.37	0.0	0.41	0.27
Lpcat2b	0.0	0.0	0.2	0.08	0.54	0.0	0.0	0.0	0.0	0.0	0.0
Lysmd1	0.14	0.0	15.9	0.12	0.0	46.86	128.18	0.0	0.18	35.06	0.0
Med12l	0.0	0.0	5.91	2.78	31.94	4.61	0.0	0.0	0.08	0.0	0.0
Nelf	0.0	0.0	13.92	51.44	0.0	10.82	0.1	0.0	0.0	41.12	0.0
Nhlrc3	0.0	0.0	1.01	0.0	7.67	2.47	0.0	0.0	0.0	0.0	0.0
Nnat	0.0	0.0	0.47	1.47	0.6	0.0	0.0	0.0	0.0	0.0	0.0
Olfr1033	0.0	0.0	0.28	0.05	1.44	0.08	0.0	0.98	0.0	0.65	0.32
Olfr856-ps1	162.78	183.85	436.97	383.02	294.45	229.43	29.79	113.08	119.52	61.46	249.57
Osgep	29.29	23.87	20.59	73.35	118.53	3.77	0.18	0.0	0.0	0.0	0.0
Ostc	174.47	315.47	329.35	126.32	474.85	226.43	189.7	163.52	328.04	224.46	260.37
Palmd	0.0	0.0	16.06	2.15	30.7	0.25	0.0	0.0	0.0	0.0	0.0
Pdzd11	0.0	260.16	129.37	93.78	570.35	139.55	468.76	281.21	0.0	251.32	132.44
Pfkfb3	0.12	0.3	2.5	0.48	22.27	2.24	0.0	0.0	0.09	0.35	0.0
Pgam2	0.0	0.0	0.0	0.0	264.08	17.23	0.0	0.0	0.0	0.0	0.0
Pqbp1	200.48	179.23	206.45	203.41	615.9	170.62	85.53	144.65	25.51	120.11	462.66
Prf1	0.0	0.0	0.0	0.38	0.55	0.2	0.0	0.08	0.0	0.0	0.0
Psg25	0.26	0.12	0.26	0.64	0.61	0.19	0.0	0.73	0.45	0.0	0.0
Psme3	0.0	0.0	6.93	0.67	116.51	11.4	0.0	27.45	0.0	1.51	0.0
Rasgrp4	0.0	0.0	0.88	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rnf149	0.0	16.41	41.39	37.61	83.81	13.89	0.12	0.0	0.18	0.13	0.0
Rpa1	0.0	0.0	18.59	10.08	161.74	48.03	0.0	1.67	123.7	0.0	0.0
Rpsa	93.34	402.66	201.51	172.83	442.72	177.22	344.48	302.57	243.31	84.02	152.31
Rrp1b	0.0	0.78	7.85	10.17	37.67	3.28	0.13	0.37	0.37	0.07	0.0
Sf3a2	0.0	0.0	0.0	1.6	67.34	1.63	0.0	0.0	0.0	0.0	0.0
Sgms2	0.0	0.29	3.32	0.19	0.75	0.17	0.05	0.08	0.15	0.0	0.0
Slc1a7	1.02	0.67	4.8	4.45	3.76	2.29	1.89	1.39	2.94	1.34	1.94
Snapc3	0.24	0.0	30.16	13.92	247.93	48.43	0.0	0.0	0.0	0.0	13.64
Snord116	0.0	0.0	9.2	11.84	11.83	0.0	0.0	5.24	0.0	0.0	0.0
Snord116l1	0.0	0.0	9.2	11.84	11.83	0.0	0.0	5.24	0.0	0.0	0.0
Snord116l2	0.0	0.0	9.2	11.84	11.83	0.0	0.0	5.24	0.0	0.0	0.0
Spred3	0.0	0.0	1.84	0.39	0.96	1.46	0.0	1.16	0.11	0.0	0.0
Ssx9	0.0	0.0	0.0	0.0	3.51	0.0	0.0	0.0	0.0	0.0	0.0
Stc1	0.35	0.0	9.42	0.08	129.29	0.16	0.0	0.0	0.0	0.0	0.0
Taf4a	6.72	12.6	0.16	0.26	53.71	3.55	26.02	0.0	0.0	0.0	0.0
Tchh	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.0
Tkt	0.0	10.9	12.19	0.0	58.26	27.63	0.0	0.0	0.0	0.09	0.0
Tnfrsf1b	0.0	0.0	0.17	0.26	0.13	0.06	0.0	0.0	0.09	0.0	0.0
Traip	0.0	0.0	0.58	0.0	0.0	5.3	0.0	0.0	0.0	0.0	0.0
Trerf1	0.0	3.99	8.42	12.83	30.79	1.5	0.0	0.0	0.0	0.0	0.0
Trim12c	0.38	2.05	2.89	2.33	3.75	1.12	1.24	1.21	2.1	0.99	1.82
Trpc4ap	1.86	4.78	29.62	11.58	121.74	12.74	0.0	0.44	0.0	2.96	0.0
Tspan11	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0
Tyr	38.61	40.03	87.14	152.91	72.75	57.49	90.69	29.87	43.05	112.13	34.84
Uba52	1418.44	719.94	1296.46	1097.31	1231.37	552.34	464.69	1021.15	1114.33	1028.38	462.83
Ulk2	0.0	40.72	30.62	26.86	59.09	25.72	26.55	4.54	13.19	0.83	1.38
Ulk4	0.0	0.0	3.53	0.0	17.2	1.38	0.0	0.0	0.0	0.15	5.82
Wbp1	0.0	0.0	0.87	0.0	0.55	2.02	0.0	55.83	0.0	0.0	0.0
Zfp316	5.49	3.78	13.58	14.58	29.2	14.4	8.3	14.01	14.21	7.23	11.39
Zfp414	0.0	0.0	27.96	58.41	254.32	61.26	0.0	0.0	0.0	0.0	0.0
Zfp940	0.0	0.0	19.23	1.43	0.24	19.86	21.91	3.78	10.67	0.0	74.44
