	Calb2_tdTpositive_cell_13	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_61	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rpl13	652.66	17.72	0.0	45.53	0.0	52.21	376.11	11.9	31.71	0.0	151.52	67.42	91.01	298.01	547.98	271.56	634.23	0.0	16.83	13.16	63.77	130.53	45.45	157.35	93.77	120.64	510.21	616.96	603.97
Scaf4	3.65	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.71	24.1	25.73
Slc25a3	424.26	3.03	1.23	152.55	55.71	60.41	280.52	231.83	12.67	108.8	34.35	149.17	76.38	226.65	360.27	366.56	478.94	54.16	0.28	74.26	178.42	113.82	48.41	236.04	34.36	109.54	494.12	522.08	471.49
Trmt12	62.97	1.41	0.0	0.0	0.0	0.0	35.69	0.0	0.0	0.0	0.0	0.0	37.3	45.85	0.0	66.05	0.0	0.0	0.0	0.0	25.35	28.34	0.0	0.0	0.0	0.0	5.77	5.33	6.13
Tsnax	478.58	7.75	0.25	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.88	3.51	34.42	29.98	272.04	0.0	4.81	20.62	4.44	13.87	45.3	0.0	8.75	12.04	0.0	208.3	195.42	197.29
Ttc14	41.96	0.0	0.0	41.14	0.0	12.09	12.05	4.84	0.35	0.05	2.69	23.91	3.4	61.13	20.35	44.94	0.0	0.0	1.48	20.31	0.06	6.92	38.81	0.03	38.63	0.07	53.02	40.47	55.01
Ubap1	189.27	0.0	0.0	78.14	0.0	5.75	98.48	45.51	65.73	0.0	29.74	131.44	0.0	262.71	4.01	301.74	0.0	0.0	0.0	5.5	69.21	52.13	0.0	0.0	0.0	0.0	39.17	41.05	37.89
Vmn2r29	113.7	0.0	0.0	6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.22	294.47	0.0	0.0	42.63	0.0	0.0	0.0	0.0	26.64	0.0	0.0	9.85	9.88	9.48
Vps33a	112.68	0.0	0.0	0.45	0.0	8.56	33.15	25.52	0.0	0.0	0.0	0.12	1.22	7.42	109.29	156.36	0.0	69.39	0.0	62.73	35.62	63.07	0.0	66.41	0.12	0.0	80.81	76.86	78.85
Zcrb1	380.03	5.17	0.0	22.41	0.0	0.47	39.89	46.05	0.0	0.0	1.33	4.42	10.23	6.67	194.68	80.59	0.0	2.24	2.63	0.0	14.04	41.2	0.0	53.77	10.53	27.65	86.85	91.07	90.3
Zfp84	70.7	1.26	22.23	23.12	0.0	0.4	0.07	0.22	0.46	0.17	1.1	0.58	26.64	0.23	1.2	105.69	1.03	0.5	0.73	0.27	0.12	15.21	1.96	0.21	52.11	0.19	10.36	10.02	9.32
