	Ctgf_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Dhx58	0.0	1.52	1.52
Dnajc5b	0.0	0.11	0.11
Dnmt3l	0.0	0.12	0.12
Dspp	0.0	0.11	0.11
Dyrk4	0.0	0.1	0.1
Eif5a2	0.0	34.63	33.4
Ercc4	1.63	11.49	11.64
F630028O10Rik	0.0	0.07	0.07
Fam83b	0.0	0.06	0.06
Fam83g	0.0	0.02	0.02
Fam89a	0.0	2.44	2.44
Fgfr4	0.0	0.03	0.03
Fkbpl	0.0	9.24	8.46
Fmo4	0.0	0.06	0.06
Fndc3c1	0.0	0.02	0.02
Foxi1	0.0	0.04	0.09
Gabrr3	0.0	0.07	0.07
Gal	0.0	0.15	0.15
Galr3	0.0	0.25	0.25
Gdf6	0.0	0.03	0.06
Gm10046	0.0	0.72	0.42
Gm12633	0.0	0.06	0.06
Gm1647	0.0	0.14	0.14
Gm4598	0.0	0.19	0.19
Gm4745	0.0	0.08	0.08
Gm5065	0.42	0.72	0.73
Gm6307	2.29	2.63	2.88
Gm9199	0.0	0.21	0.59
Gm9961	0.0	0.19	0.2
Golga3	0.0	30.4	31.03
Gpr135	0.0	14.34	18.34
Gpr44	0.0	0.08	0.08
Gpr65	0.0	0.15	0.15
Gzma	0.0	0.12	0.12
Haao	0.0	0.25	0.25
Hal	0.0	0.04	0.04
Hhla1	0.0	0.04	0.09
Hist1h3f	0.0	0.14	0.14
Hoxd8	0.0	0.07	0.07
Idi2	0.0	0.13	0.37
Ier5	0.0	75.41	62.19
Igfbp1	0.0	0.07	0.07
Il18rap	0.0	0.04	0.04
Inhbc	0.0	0.05	0.1
Jakmip1	0.0	88.25	89.79
Kctd19	0.0	0.03	0.03
Kel	0.0	0.04	0.04
Kera	0.0	0.05	0.05
Lao1	0.0	0.05	0.05
Lect2	0.0	0.12	0.12
Lgals8	2.75	19.48	20.5
Lipm	0.0	0.11	0.11
Lrig2	0.0	16.34	16.12
Lsm2	0.0	13.31	14.75
Ltbp2	0.0	0.3	0.3
Ltf	0.0	0.04	0.04
Manea	0.0	21.88	22.83
Mapk14	0.0	80.37	75.14
Mep1a	0.0	0.03	0.03
Mpz	0.0	0.1	0.1
Msh4	0.0	0.03	0.06
Muc4	0.0	0.02	0.02
Mxi1	0.0	35.92	32.05
Myog	0.0	0.07	0.07
Myom2	0.0	0.08	0.08
Myst4	6.48	24.86	26.41
Naip6	0.0	0.38	0.38
Ncr1	0.0	0.07	0.07
Nkx6-3	0.0	0.04	0.09
Nox4	0.0	0.06	0.06
Nr0b1	0.0	0.06	0.06
Nron	0.0	0.03	0.06
Olfr1419	0.0	0.1	0.1
Olfr1420	0.0	0.11	0.11
Olfr15	0.0	0.11	0.11
Olfr56	0.0	0.1	0.05
Paip2b	0.0	57.15	55.42
Pate4	0.0	0.1	0.1
Pcyt1b	0.0	29.61	27.62
Pfn3	0.0	0.19	0.2
Pld6	0.0	1.35	1.74
Pot1a	0.0	13.12	15.9
Ppp2r3a	0.0	16.62	17.01
Prkar2a	0.0	34.51	34.11
Prps1l1	0.0	0.06	0.06
Ptpn9	0.0	27.41	26.18
Ptx3	0.0	0.21	0.21
Ptx4	0.0	0.07	0.07
Qrfp	0.0	0.14	0.14
Rab44	0.0	0.12	0.12
Rab9b	0.49	18.22	16.93
Rhbdd1	0.0	4.54	5.06
Ripply2	0.0	4.81	6.27
Rnf133	0.0	0.08	0.08
Rpl31-ps12	229.4	242.37	239.94
Rtp1	0.0	0.16	0.16
Sct	0.0	0.21	0.21
Sec22c	3.24	22.99	22.18
Senp8	0.0	4.71	4.13
Shc2	1.11	33.75	36.5
Shroom4	0.08	2.7	2.7
Slc10a6	0.0	0.05	0.05
Slc1a4	0.0	45.0	43.97
Slc22a14	0.0	0.05	0.05
Slc22a3	0.0	2.7	2.7
Slc34a1	0.0	0.1	0.1
Slc34a3	0.0	0.05	0.05
Slc4a1	0.0	0.02	0.02
Slc4a5	0.0	0.04	0.04
Slco6c1	0.0	0.04	0.04
Slfnl1	0.0	0.06	0.06
Sowahb	0.0	16.21	14.23
Speer6-ps1	0.0	0.21	0.21
Srrm4	0.0	18.15	20.38
Stx11	0.0	0.14	0.14
Tal2	0.0	0.18	0.18
Tas1r2	0.0	0.03	0.03
Tas2r137	0.0	0.1	0.1
Tcstv1	0.0	0.12	0.12
Tktl1	0.0	0.08	0.08
Tmem184c	0.0	60.35	59.3
Tom1l1	0.0	21.69	19.79
Tra2a	0.0	83.97	73.86
Tssc4	0.0	30.32	35.52
Tssk3	0.0	0.2	0.2
Ttc39d	0.0	0.05	0.05
Tubb1	0.0	0.07	0.07
Txndc2	0.0	0.12	0.12
Ubn1	0.0	27.68	27.37
Ubr1	0.0	27.03	25.69
Urb2	0.11	7.6	6.9
Ush1c	0.0	0.1	0.1
Usp26	0.0	0.02	0.02
Vax2os2	0.0	0.07	0.07
Vgll2	0.0	0.07	0.07
Vmn1r210	0.0	0.11	0.11
Vmn1r45	0.0	0.03	0.06
Wdr82	0.0	79.99	77.35
Ythdc2	0.72	20.51	18.43
Zfp957	0.0	0.07	0.07
Zp3r	0.0	0.05	0.05
Zscan10	0.0	0.04	0.04
mt_AK131586	2.54	25813.35	24561.45
mt_AK166684	0.0	18796.57	18655.33
mt_BC104337	0.0	9032.87	8583.15
