	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	PvalbD.Slc32a1_tdTpositive_cell_2	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Eif4ebp1	0.0	0.0	33.1	0.0	5.88	9.23	6.92
Erc1	0.0	2.24	36.79	0.42	22.95	20.68	22.78
Ern1	0.0	0.0	0.04	0.0	5.24	6.03	6.84
Fam132a	0.0	0.0	0.9	0.0	19.02	20.52	16.2
Fam35a	0.0	0.0	0.05	0.0	5.26	3.97	4.71
Fam78b	0.0	0.1	60.01	0.0	19.33	19.56	18.57
Fanca	0.0	0.0	0.11	0.0	0.98	0.89	1.24
Fat1	0.0	0.0	16.48	0.0	12.35	11.48	14.61
Fjx1	0.0	0.0	59.61	0.0	73.38	79.2	83.24
Fndc3a	0.0	0.07	73.88	0.06	29.2	26.93	27.65
Foxp4	0.0	0.0	12.95	0.0	18.34	21.45	18.34
Frat2	0.0	0.0	22.66	0.0	7.51	8.93	8.29
Fv1	0.0	0.0	97.86	0.0	7.32	6.92	8.38
Fzd9	0.0	0.0	25.7	0.0	4.04	4.87	6.01
G0s2	0.0	0.0	185.91	0.0	6.64	7.51	7.11
Ggn	0.0	0.0	1.52	0.0	1.41	1.0	1.0
Gm14169	0.0	0.0	95.47	0.0	6.72	7.18	7.95
Gm19583	0.0	0.0	0.11	0.0	0.0	0.0	0.08
Gm4787	0.0	0.0	13.2	0.0	0.69	0.67	1.48
Gm6213	0.0	0.0	0.19	0.0	0.0	0.0	0.0
Gm6307	0.0	1.11	2.91	0.0	2.63	1.94	2.88
Gm6525	0.0	0.0	99.14	0.0	0.67	0.38	1.23
Gm9781	0.0	0.0	3.85	0.0	34.08	28.38	28.71
Gpr165	0.0	0.0	28.43	0.76	8.54	7.55	8.69
Gpx2	0.0	0.0	0.16	0.0	0.0	0.0	0.43
Gpx2-ps1	0.0	0.0	19.36	0.0	1.49	1.78	1.19
Gramd2	0.0	0.0	0.12	0.0	8.7	8.68	7.4
Gstp2	0.0	0.0	22.09	0.0	0.77	0.64	2.8
Hcrtr2	0.0	0.0	10.8	0.0	1.32	1.42	1.29
Hist2h2ac	2.03	0.0	19.29	0.0	0.45	0.0	0.44
Htr6	0.0	0.0	0.37	0.0	6.9	7.2	6.67
I830077J02Rik	0.0	0.0	0.32	0.0	0.95	0.98	0.88
Ier2	0.0	0.0	51.37	0.0	30.94	26.06	17.59
Il12a	0.0	0.0	0.27	0.0	2.92	2.23	3.01
Kcnn1	0.08	0.07	39.01	0.0	9.26	11.18	10.81
Khdc1c	0.0	0.0	70.99	0.0	0.36	0.0	0.0
Kif13b	0.07	0.0	11.35	0.0	16.45	15.53	19.12
Kif27	0.0	0.0	0.96	0.0	3.04	2.92	2.82
Ky	0.0	0.0	0.03	0.0	2.21	2.0	1.76
L3mbtl4	0.53	0.1	1.19	0.0	1.03	0.79	0.97
LOC626082	0.0	0.0	9.21	0.0	3.83	2.43	2.59
Lclat1	0.0	0.0	73.06	0.08	29.19	27.61	27.25
Lrig2	0.0	0.0	62.19	0.0	16.34	15.85	16.12
Maz	0.0	0.0	42.38	3.24	134.05	157.29	149.83
Mblac2	0.0	0.0	72.3	0.06	22.91	22.21	21.07
Mei4	0.0	0.0	5.16	0.11	1.37	0.95	0.82
Mina	0.0	0.0	1.78	0.0	14.02	11.47	12.01
Mir344	0.0	0.0	8.23	0.0	8.39	1.58	1.73
Mir344-2	0.0	0.0	10.79	0.0	9.05	4.26	11.68
Mir425	0.0	0.0	14.71	0.0	0.0	7.64	8.37
Mir467a-1	0.0	0.0	6.25	0.0	0.0	0.0	0.0
Mir5133	0.0	0.0	5.74	0.0	9.73	4.58	10.05
Mir673	0.0	0.0	8.81	0.0	0.0	0.0	0.0
Mvd	0.0	0.0	85.48	0.2	22.49	27.95	25.99
Myl1	0.0	0.0	93.41	0.0	0.69	0.89	0.77
Ncoa5	0.0	0.0	66.12	3.94	38.97	41.03	41.29
Nek8	0.0	0.0	0.77	0.0	3.11	2.16	2.62
Neu2	0.0	0.0	0.11	0.0	6.89	7.29	7.94
Neurod1	0.0	0.0	0.07	0.0	13.75	12.99	13.13
Nmbr	0.0	0.0	0.15	0.0	4.2	5.41	6.1
Npr3	0.0	0.0	1.2	0.0	6.38	5.5	6.24
Npy5r	0.0	0.0	0.07	0.0	5.09	5.11	5.85
Nudt17	0.0	0.0	2.5	0.0	10.17	8.27	8.89
Oas1b	0.0	1.8	3.15	0.19	2.98	1.86	2.78
Opn4	0.0	0.0	37.24	0.0	0.22	0.33	0.78
Pag1	0.0	0.0	21.21	0.0	12.55	11.49	12.95
Palld	0.0	0.0	14.39	0.0	1.05	0.99	1.14
Pcdha7	0.0	0.0	48.02	0.0	4.95	6.18	4.71
Pex11c	0.0	0.0	0.61	0.0	1.43	1.43	1.29
Phgdh	0.0	0.0	319.86	0.19	78.48	87.44	88.17
Pigw	4.6	0.58	86.92	0.0	6.0	4.95	5.9
Pla2g15	0.0	0.0	82.78	0.13	23.78	24.63	23.49
Plch1	0.0	0.0	62.38	0.0	5.59	5.47	5.68
Plek2	0.0	0.0	38.24	0.0	0.19	0.24	0.13
Polm	0.0	0.0	3.33	0.0	5.83	5.75	6.02
Prlr	0.08	0.0	1.9	0.0	0.85	0.69	1.04
Prodh2	0.0	0.0	0.09	0.0	0.0	0.05	0.0
Prrt4	0.0	0.0	6.51	0.0	2.85	3.2	3.54
Prss56	0.0	0.0	4.25	0.0	0.4	0.42	0.41
Rap1a	0.0	0.0	188.5	0.26	74.21	65.82	72.21
Rbm39	42.55	0.16	246.51	0.5	157.24	142.95	151.0
Rgs13	0.0	0.0	111.48	0.0	0.53	0.44	0.83
Scnn1g	0.0	0.0	0.05	0.0	0.2	0.03	0.14
Sec16b	0.0	0.0	0.04	0.0	1.04	0.96	1.24
Serinc3	150.67	2.4	215.54	53.15	199.4	197.55	189.33
Setd8	0.0	0.0	28.01	0.0	35.35	35.71	33.18
Sh2d4a	1.96	0.0	4.53	1.27	2.15	1.7	2.72
Slc17a6	0.0	0.0	0.11	0.0	19.38	16.38	18.73
Slc22a21	0.0	0.0	86.2	0.0	1.45	1.45	2.21
Slc35d1	0.0	0.0	60.49	0.6	9.42	9.47	8.83
Snai2	1.71	0.0	53.59	0.17	1.33	1.01	1.82
Snora68	0.0	0.0	50.86	0.0	11.17	4.51	0.0
Snord2	0.0	0.0	14.06	0.0	6.28	8.11	3.24
Sox30	0.0	0.0	0.06	0.0	0.03	0.09	0.1
Srp54a	0.0	0.0	48.96	0.19	26.55	24.93	28.66
Sry	0.0	0.0	0.14	0.0	0.0	0.0	0.0
Svs3b	0.0	0.0	0.47	0.0	0.0	0.0	0.0
Taf6l	0.23	0.41	21.06	0.0	9.96	11.52	11.93
Tbl1x	0.0	0.0	129.96	0.0	41.08	38.06	42.11
Timeless	0.0	0.0	27.56	0.0	2.55	3.19	3.2
Tmem121	0.0	0.0	0.52	0.0	21.36	26.4	26.49
Tmem45b	2.39	0.0	8.56	3.05	4.36	3.16	4.63
Tmsb15b1	0.0	0.0	154.08	7.25	7.6	10.23	8.22
Top2a	0.0	0.0	0.06	0.0	1.0	1.31	1.2
Tppp3	0.0	0.0	106.1	0.0	40.53	52.86	49.07
Traf6	0.46	0.0	48.05	0.06	10.24	10.31	10.0
Trib3	0.0	0.0	0.41	0.0	0.58	0.91	0.7
Tril	0.0	0.0	29.99	0.0	21.66	22.0	27.44
Tshb	0.0	0.0	86.72	0.0	0.19	0.53	0.97
Twistnb	0.0	0.0	170.26	0.0	9.49	9.94	11.29
Unc119	0.0	0.0	103.25	0.0	38.1	42.75	36.91
Usp26	0.0	0.0	38.83	0.0	0.02	0.0	0.02
Vmn2r41	0.0	0.0	0.08	0.0	0.0	0.0	0.0
Wisp3	0.0	0.0	0.24	0.0	0.56	0.75	0.67
Wnt2	0.0	0.0	0.08	0.0	4.97	5.12	4.35
Zfp51	0.0	22.29	155.08	0.67	3.78	2.27	2.49
Zfp827	0.1	0.0	26.25	0.0	19.14	18.31	19.24
c11_tRNA-Thr-ACA	0.0	0.0	3.13	0.0	2.7	0.0	0.0
c11_tRNA-Thr-ACG	0.0	0.0	3.2	0.0	0.0	0.0	0.0
c14_tRNA-Lys-AAG	0.0	0.0	14.76	0.0	3.36	3.16	0.0
c14_tRNA-Thr-ACA	0.0	0.0	3.13	0.0	2.7	0.0	0.0
c15_tRNA-Gly-GGA	0.0	0.0	44.76	0.0	0.0	0.0	0.0
c16_tRNA-Thr-ACG	0.0	0.0	3.2	0.0	0.0	0.0	0.0
c2_tRNA-His-CAY_	0.0	0.0	2.4	0.0	0.0	0.0	0.0
c3_tRNA-His-CAY_	0.0	0.0	3.2	0.0	2.56	0.0	0.0
c4_tRNA-His-CAY_	0.0	0.0	0.8	0.0	0.0	0.0	0.0
mt_AK131586	6370.03	3.58	0.0	0.0	25813.35	24091.17	24561.45
mt_AK141672	123.7	128.13	303.43	154.15	203.22	178.4	206.5
mt_AK166684	0.0	0.0	0.0	26.94	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
