	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_81	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ankrd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.58	0.0	0.08	0.24	0.17
Apol9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.27	0.0	0.23
Arhgap19	0.0	0.13	0.06	0.5	0.21	0.0	0.08	21.9	0.13	3.34	2.64	3.01
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
B930003M22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.17	0.0	4.27	4.87	7.46
B930007M17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.16	0.07
Bcas3	38.1	4.78	0.0	0.0	7.53	1.87	17.55	190.72	0.76	34.11	38.44	34.0
Bckdhb	10.02	0.0	71.01	0.0	0.0	0.39	45.55	125.97	75.98	41.25	42.85	39.75
Bcl2l12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.27	0.0	2.66	2.69	2.57
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Car8	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.15	0.0	5.21	4.26	5.44
Cd160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.45	0.0	0.8	0.76	0.85
Cdh1	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.08	0.0	1.0	1.45	1.1
Cdipt	68.13	48.71	10.61	0.0	83.35	75.29	87.12	192.5	116.4	152.84	166.97	161.42
Cdk6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	1.08	0.79	1.45
Cdr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.47	0.0	10.68	13.01	12.52
Chrm4	0.0	0.0	1.46	0.0	0.0	4.39	1.12	44.76	2.32	45.22	46.97	34.33
Chrna3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.73	0.59	0.68
Colec10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.13	0.06	0.04
Cyb5rl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.07	0.0	3.48	2.22	3.27
Dact1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.54	0.0	6.64	6.34	5.2
Dgcr8	0.0	0.0	0.0	0.0	0.0	10.29	0.0	53.98	0.0	25.08	23.04	22.09
Diras2	0.0	0.16	0.0	0.15	0.08	9.75	8.43	31.4	0.25	212.34	197.14	211.74
E2f4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.82	0.0	31.64	31.27	33.23
Edar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.07	0.0	0.53	0.3	0.36
Eed	0.0	0.0	0.0	0.0	39.28	0.0	1.14	82.9	0.0	16.7	17.13	15.39
Efr3b	44.92	0.0	1.51	43.12	59.84	34.98	34.19	82.09	0.43	94.67	93.25	100.15
Fam131b	0.0	0.0	0.0	4.46	2.33	0.0	0.0	27.09	0.0	111.09	108.93	108.41
Fancd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.36	0.0	2.89	2.44	3.14
Fbf1	0.0	0.0	5.59	0.08	0.0	0.0	1.29	8.01	0.0	36.37	34.81	37.68
Fbrsl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.72	0.0	31.38	34.29	34.11
Fbxo27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.42	0.0	17.1	17.79	17.76
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gab2	0.0	0.0	0.0	0.07	1.01	0.12	1.22	19.15	0.0	10.12	9.8	10.74
Gamt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	22.92	29.52	26.92
Gas1	0.0	0.0	0.0	0.0	4.5	0.0	0.0	8.54	0.0	6.95	8.27	9.45
Gcn1l1	0.0	0.0	0.18	0.04	0.07	0.04	0.04	13.5	0.12	28.17	29.42	31.62
Gfra1	0.0	0.0	0.0	9.24	12.52	0.0	37.55	56.25	0.0	28.74	27.62	32.44
Gm16291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	0.19	0.18	0.24
Gm19522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.98	1.54	1.61
Gm2115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.96	0.0	16.24	12.74	15.97
Gm5607	0.08	7.53	9.44	6.02	6.68	7.97	5.13	23.82	5.66	10.94	9.85	11.52
Gon4l	7.51	2.73	0.07	0.0	3.59	2.32	10.15	33.0	0.0	32.89	32.01	35.12
Gpr25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	9.06	9.75	10.24
Grid2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	7.2	8.47	8.34
Grin2a	0.0	0.0	0.0	0.73	6.29	0.0	0.09	34.57	0.0	34.45	27.49	46.14
H2-DMa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.99	0.0	29.17	27.48	26.34
H2afx	0.0	0.0	0.0	0.0	0.0	0.0	0.29	5.18	0.0	38.02	45.36	44.32
Hapln4	24.87	45.71	74.41	161.04	53.42	42.97	18.52	248.6	0.0	79.51	87.78	92.43
Has3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	2.0	2.01	1.52
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hs3st3a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.92	1.14	1.03
Hs6st2	0.0	0.52	24.92	38.19	3.59	0.0	0.0	38.75	0.0	30.42	28.53	28.81
Itga10	0.0	0.0	14.24	0.0	0.0	0.0	0.0	0.28	0.0	2.43	1.96	1.63
Jph3	0.0	0.0	0.55	0.0	4.66	0.0	1.98	5.63	1.36	145.11	164.46	159.09
Kcna4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.95	0.0	16.2	14.71	15.3
Kcng2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.69	0.0	6.48	7.22	6.47
Kctd13	0.92	41.17	0.0	0.0	1.97	2.26	4.05	67.09	0.0	179.74	187.58	185.98
Leprel1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65	0.0	3.21	2.41	2.91
Lingo2	0.0	0.0	0.0	0.0	0.09	0.0	0.0	28.56	0.0	16.19	15.98	15.78
Lmnb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	7.04	8.86	8.66
Lrp11	32.98	95.14	42.11	26.03	22.15	13.39	118.61	133.78	0.0	152.32	157.73	150.59
Lrrc15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.04	0.05	0.02
Lrrc29	0.0	0.0	0.0	0.0	2.19	0.0	2.78	13.12	3.66	1.45	1.65	1.65
Lrrc8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.65	0.0	65.49	59.15	66.4
Med30	0.0	0.0	0.0	0.0	14.7	0.0	0.0	27.45	0.0	32.79	34.96	32.66
Mfsd6	0.0	37.68	0.07	3.98	6.91	0.0	31.89	104.1	11.21	57.73	56.59	56.2
Morc2a	0.0	0.0	0.0	0.0	12.33	0.0	0.0	30.28	0.0	29.09	28.97	28.81
Nat8l	41.62	60.64	40.92	45.77	40.89	23.95	63.61	161.43	0.08	153.84	160.67	162.44
Ncapg2	0.0	0.0	0.0	0.0	0.0	0.06	0.0	19.03	0.0	2.76	2.23	2.75
Nkx2-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.48	0.41	0.9
Nr5a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.11	0.03	0.08
Nynrin	0.0	0.0	0.0	0.0	0.0	0.0	0.52	7.67	0.0	4.88	4.92	4.96
Pcdhb22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.74	0.0	7.34	6.97	7.49
Pcdhga5	0.0	0.0	0.0	1.91	0.0	0.0	0.0	33.18	0.0	11.11	12.56	10.75
Pcnx	0.0	0.0	0.0	0.0	1.51	2.09	3.12	26.37	0.0	41.89	39.12	41.76
Pgpep1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.76	5.75	5.95	5.56
Prox2	0.0	0.24	0.0	1.36	0.35	0.46	0.29	33.46	0.89	4.38	3.61	4.22
Proz	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	8.45	8.19	8.94
Prpsap1	0.0	38.07	0.0	0.45	25.89	0.0	40.34	130.68	0.0	40.51	43.83	42.81
Ptgdr	0.0	0.49	0.0	0.13	0.12	0.0	0.0	0.45	0.0	0.84	1.05	0.9
Rarres1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	0.0	1.39	1.67	1.46
Rcor2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	12.31	15.3	13.41
Reep1	24.55	1.19	1.06	27.14	82.25	57.42	103.7	205.02	0.0	107.81	106.11	104.33
Rin2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	14.14	15.19	12.41
Rlbp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.14	0.0	21.25	21.05	20.33
S100b	0.0	0.0	0.0	11.4	3.43	0.0	0.0	78.64	0.0	142.33	130.78	139.88
Scrt1	0.12	0.0	0.15	1.44	1.59	0.09	0.1	3.05	0.0	78.92	87.07	87.71
Sdf2l1	0.0	0.57	0.0	0.0	0.0	0.0	0.0	37.8	0.0	14.91	13.02	13.36
Sfrp1	0.0	0.0	0.0	0.0	0.07	0.08	0.11	0.91	0.12	5.61	5.56	5.12
Sgsm1	0.0	6.13	9.87	8.14	31.59	9.76	6.09	43.14	11.2	64.4	60.59	64.75
Slc15a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.09	0.0	16.56	15.41	15.65
Smc5	0.0	0.0	0.0	0.0	19.5	13.57	0.28	24.3	0.0	15.72	13.11	15.71
Snord89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.05	0.0	0.0	0.0	8.82
Spc25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.52	1.05	1.61
Spg21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.63	0.0	25.57	26.44	23.71
Stil	0.0	0.0	0.06	0.0	0.0	0.0	0.0	8.48	0.0	0.49	0.4	0.44
Tcf7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	4.64	4.58	5.57
Tmem104	0.0	0.0	22.71	3.78	1.47	0.0	0.0	10.55	0.0	10.19	9.7	9.58
Tmem79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	1.1	1.23	1.18
Vmn2r118	0.0	0.0	0.0	29.03	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Vps54	0.26	18.1	0.52	0.44	0.0	0.15	11.36	34.42	0.0	19.2	18.06	18.81
Vstm2l	0.37	0.0	0.0	0.0	0.96	0.0	0.0	4.35	0.0	89.77	107.87	106.01
Zfp36l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.04	0.04	0.12
Zfp687	0.0	0.14	0.0	0.0	0.83	1.92	0.0	16.22	0.11	16.24	17.64	17.33
Zwilch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.01	0.0	2.92	2.65	3.35
c4_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.03	0.0	0.0	0.0	8.82
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.17	9032.87	8417.95	8583.15
