	Calb2_tdTpositive_cell_18	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_4	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_2	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Capn12	0.0	0.0	0.0	37.53	0.0	0.0	0.0	0.15	2.33	0.07	6.86	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.07	0.0	0.63	0.73	0.8
Ccdc38	0.16	0.0	0.0	0.0	0.0	0.0	2.18	1.3	2.74	0.0	20.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.6	0.9
Chrna10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.37	0.25
Ckap4	0.0	0.0	0.06	0.0	0.0	13.28	30.23	22.62	0.0	6.65	268.81	0.0	96.55	0.0	0.0	0.0	1.35	0.0	0.0	0.0	1.22	0.0	29.01	0.0	0.0	10.64	0.0	0.0	0.0	0.0	0.0	7.23	19.09	18.54	21.09
Cltc	223.09	262.07	402.15	97.41	47.4	210.89	284.52	82.81	142.78	211.6	532.35	117.25	377.27	139.95	106.98	55.53	340.97	288.41	362.05	138.05	279.06	194.24	165.71	44.64	30.97	316.72	23.54	330.29	51.99	161.81	149.24	22.07	317.09	302.53	308.61
Cnr1	518.51	10009.06	14271.7	0.0	155.35	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	3047.63	2040.5	6746.03	17862.67	19681.78	7913.61	17646.7	12520.63	22064.64	33041.05	0.08	4931.9	0.19	0.0	12766.46	14288.55	25768.68	23267.78	1642.99	80.79	75.85	84.42
Coch	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	304.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	167.72	0.0	0.0	0.0	0.0	0.0	0.0	38.28	42.49	35.9
Ddx25	0.0	0.0	56.65	0.0	0.0	0.0	6.16	1.83	147.74	4.33	668.26	230.72	410.47	0.0	357.66	0.0	123.08	189.31	0.0	0.0	95.92	0.0	340.67	0.0	0.0	69.04	0.0	525.87	0.0	0.0	124.57	0.0	58.59	56.65	53.14
Diras2	0.0	1.45	4.42	0.28	0.0	1.38	1.55	0.65	11.82	6.75	22.11	2.66	0.16	0.11	0.0	0.1	24.41	0.31	0.0	9.31	4.89	0.08	0.0	0.24	0.18	13.97	0.0	0.0	0.07	0.32	6.62	0.23	212.34	197.14	211.74
Eef1a2	0.84	18.86	26.91	0.0	0.0	0.36	24.7	0.21	15.73	0.0	117.33	0.49	24.88	0.0	0.63	47.93	0.48	9.98	0.0	2.42	0.44	30.8	35.17	0.0	0.0	33.41	0.0	0.92	0.0	5.27	1.36	0.0	919.63	958.3	943.69
Eif1a	0.0	104.43	73.59	0.0	0.0	191.67	105.24	38.81	60.72	8.82	421.7	219.27	205.2	0.12	0.0	0.0	0.0	18.05	0.0	131.79	93.8	151.18	65.72	0.0	0.0	153.74	0.0	0.0	131.03	137.0	71.03	0.0	35.72	34.3	30.69
Fbxo7	0.0	0.0	34.48	0.0	0.0	0.0	48.46	0.0	0.39	3.53	156.14	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	32.71	0.0	0.0	24.11	0.0	0.0	0.0	0.0	0.0	0.0	27.69	29.75	30.81
Fbxo9	0.0	11.14	95.1	0.0	0.0	11.76	37.29	9.48	38.75	8.89	135.01	5.17	19.12	0.0	0.0	0.0	3.95	0.0	0.0	2.81	1.66	4.49	6.39	0.0	0.0	69.26	4.47	0.0	94.78	77.75	73.77	2.34	115.71	125.15	111.58
Ftcd	0.0	0.0	0.9	1.12	0.0	0.14	0.14	1.35	0.18	0.07	5.07	0.37	0.81	1.83	0.82	0.05	0.79	0.24	1.64	0.52	0.12	0.13	1.43	0.0	0.5	0.98	0.0	1.94	0.89	0.0	0.34	0.78	0.66	0.81	0.71
Gls	9.75	1.8	131.51	0.53	0.0	42.12	11.9	4.46	74.32	5.49	350.35	113.84	1.78	0.23	6.28	0.66	29.2	56.22	12.94	9.57	105.71	53.58	29.48	0.0	4.41	79.25	0.04	5.99	169.3	3.37	74.34	0.87	225.87	209.02	220.21
Gm1943	180.99	0.0	1.9	0.0	0.0	211.44	56.07	160.01	0.97	4.91	449.52	101.05	0.62	0.0	0.0	3.77	32.87	0.0	2.55	0.25	2.53	0.0	43.67	0.0	0.0	83.38	0.46	0.0	0.0	0.0	29.19	0.0	22.02	24.93	20.32
Gm20571	0.0	5.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.66	3.68	0.0	0.0	0.0	0.0	0.0	11.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	0.0	5.06	4.94	0.94
Gnpda1	0.0	0.0	6.95	0.0	188.38	0.0	56.2	0.0	78.87	107.94	412.85	0.0	0.0	0.0	0.0	348.93	0.0	0.0	0.0	0.35	135.24	371.15	237.69	0.0	0.0	24.93	0.0	314.85	1.27	129.78	137.84	0.0	26.15	27.37	25.14
Grin2d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	4.48	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.0	6.5	0.0	0.0	8.24	10.5	10.52
Gspt2	0.0	0.0	64.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.92	0.0	0.0	0.0	0.0	0.13	0.0	184.6	0.0	0.0	0.0	0.29	3.64	0.0	0.0	0.1	0.0	6.23	43.91	0.0	99.12	0.0	29.34	30.76	27.86
Ift27	0.0	174.77	0.0	0.0	0.0	0.0	0.0	0.0	28.69	69.36	350.85	92.4	0.0	0.0	0.0	0.0	0.0	148.3	198.64	0.0	125.4	55.31	22.84	0.0	253.61	84.53	0.0	0.0	0.27	97.53	0.0	3.27	23.71	28.62	29.72
Ilf2	65.29	181.0	138.45	0.0	615.76	332.33	195.26	409.39	170.04	208.74	1106.37	569.79	172.27	0.18	208.76	353.9	213.4	334.87	61.1	270.61	328.7	211.94	284.36	0.0	18.53	187.5	0.0	0.0	0.0	355.3	15.35	0.0	85.14	89.67	83.21
Kbtbd2	159.88	34.2	39.3	2.8	0.02	1.48	48.93	24.89	5.77	93.45	350.49	0.0	1.54	1.09	0.84	0.56	0.1	1.46	0.89	0.71	0.2	51.56	111.31	0.0	1.84	20.64	1.15	278.85	10.86	106.04	0.42	0.65	39.61	38.27	32.53
Kdm4c	0.0	57.04	140.82	0.0	0.0	71.5	0.0	0.0	20.45	0.0	305.63	0.0	0.0	1.74	25.68	0.0	80.61	0.0	0.0	98.65	21.33	0.0	0.31	0.0	0.7	20.08	0.0	0.0	71.92	0.0	55.01	0.0	17.6	15.77	16.5
Khk	0.0	0.0	78.35	671.78	0.0	0.0	55.77	0.0	0.0	0.0	239.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.56	0.0	0.3	0.0	0.0	23.68	0.0	0.0	0.0	0.0	0.0	0.0	11.23	13.16	11.72
Letm1	0.0	0.0	9.85	0.0	0.0	0.0	0.0	6.54	0.07	2.7	127.35	0.0	45.38	0.0	0.0	0.0	0.37	86.62	24.93	42.63	30.88	0.0	16.73	0.0	0.0	32.88	0.0	0.0	0.0	0.0	40.59	0.15	54.68	58.8	55.57
Lhfpl4	1.85	2.86	1.65	0.11	0.0	2.32	5.39	1.28	28.04	3.6	58.02	46.39	12.65	2.48	0.83	2.42	34.73	3.7	4.95	1.62	19.67	16.54	25.22	0.51	1.75	30.4	1.09	1.43	1.72	31.6	0.77	2.44	70.47	72.39	74.47
Lpcat1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.34	31.04	33.54	37.1
Med21	0.0	159.95	124.03	0.0	0.0	298.88	621.09	171.95	310.22	91.04	403.16	49.75	165.17	0.0	0.0	0.0	177.29	0.0	0.0	155.24	323.83	178.55	238.81	0.0	0.0	12.2	0.0	295.45	0.36	121.83	353.43	80.83	42.58	40.23	37.45
Metap1d	0.0	12.85	27.76	0.0	0.0	68.92	329.76	1.76	173.32	61.51	301.34	21.41	20.73	147.9	0.0	0.0	65.47	49.53	58.21	0.0	26.12	10.89	40.31	0.0	52.87	0.1	0.0	0.0	31.17	71.33	144.16	67.35	21.98	21.76	22.78
Mfhas1	0.0	8.34	0.0	73.43	0.0	0.0	24.59	0.0	0.0	0.03	26.57	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	12.4	1.26	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	9.1	0.0	0.0	20.47	19.59	19.15
Mlxip	1.53	3.23	5.55	3.57	1.64	7.0	1.47	2.98	4.58	2.75	11.26	3.06	3.71	0.49	2.74	6.97	2.28	1.68	2.62	2.21	0.92	1.86	0.7	0.33	2.58	3.77	9.48	7.63	3.93	25.45	1.92	1.94	16.93	16.04	18.33
Mrpl19	3.75	73.6	39.88	5.72	0.78	36.95	19.86	47.28	26.8	0.86	192.13	24.66	29.42	3.13	4.09	4.92	1.05	73.1	4.35	28.25	22.14	48.88	29.86	0.14	2.23	36.43	2.73	3.18	1.08	25.08	46.8	2.11	14.75	15.2	14.39
Mybbp1a	0.0	19.12	0.09	0.0	0.0	0.0	9.46	0.0	0.0	38.56	128.96	0.0	0.0	0.0	0.0	0.3	0.0	0.0	30.78	0.0	23.48	0.09	1.4	0.0	0.0	64.81	0.0	0.0	2.78	0.12	0.0	0.0	34.36	37.22	35.73
Nfe2l1	0.0	18.56	15.88	0.0	0.0	0.0	15.97	17.28	34.49	11.52	163.18	5.38	39.53	0.6	0.0	8.75	4.84	22.58	8.66	1.85	23.32	11.84	28.52	14.71	20.24	52.03	0.0	2.14	9.33	54.02	22.5	1.52	227.17	223.7	221.14
Ngfr	0.19	0.16	0.52	0.15	0.0	0.3	0.49	0.38	0.6	0.22	1.42	0.5	0.35	0.11	0.28	0.73	0.18	0.84	0.24	0.29	0.37	0.89	0.19	0.66	0.22	0.14	0.55	0.75	0.11	0.15	0.77	0.0	2.13	2.73	1.77
Pabpc1	0.81	5.43	54.4	43.71	0.12	57.34	71.02	18.35	27.77	66.63	263.33	52.33	1.07	0.0	190.85	0.0	14.36	33.58	1.17	0.0	1.52	6.29	59.45	4.03	23.03	59.77	16.4	244.48	7.29	20.64	1.9	0.76	117.21	122.41	111.85
Pdp2	0.0	0.0	0.11	0.28	0.0	0.1	29.29	0.37	27.91	0.0	126.37	9.74	46.12	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	15.39	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.62	4.82	4.95	4.35
Ppp1r13b	0.0	0.31	0.47	2.67	0.0	0.0	0.0	0.0	4.22	0.04	122.8	0.0	1.69	0.0	0.0	0.0	96.52	0.0	2.74	0.0	23.06	0.65	0.0	0.0	0.0	1.71	0.0	0.0	0.12	0.0	0.0	0.0	46.63	47.78	45.5
Ppp2r2c	9.13	15.87	77.53	0.0	0.0	0.0	44.13	18.08	19.68	54.77	77.74	4.15	0.08	0.35	16.7	27.59	24.16	3.72	0.0	0.66	6.75	0.53	5.65	0.0	0.0	137.0	0.0	0.0	0.0	10.79	12.56	4.34	446.28	420.01	458.99
Ralgapb	0.0	40.24	4.7	0.0	0.0	0.52	5.69	0.0	0.64	1.2	43.92	13.2	0.0	0.0	0.0	4.43	0.35	0.0	0.0	0.0	3.78	16.12	5.14	0.0	0.0	4.39	0.0	0.0	0.37	0.0	9.6	0.0	55.12	50.01	54.12
Rit1	0.0	55.78	26.38	0.0	0.0	0.0	78.94	0.0	1.78	45.16	397.19	83.13	50.05	0.0	0.0	0.0	5.13	0.0	0.0	110.86	60.14	62.36	0.0	0.0	0.0	24.22	0.0	0.0	0.0	0.0	141.06	0.0	23.27	24.0	22.49
Rnf181	0.0	353.74	487.07	0.0	770.27	231.05	337.08	225.37	101.5	192.03	754.0	858.46	43.76	0.26	716.01	382.11	262.43	176.66	0.0	0.0	380.88	397.22	209.91	0.0	0.0	144.11	0.0	0.46	109.72	367.48	194.57	367.56	91.55	91.68	85.55
Rtn3	0.0	87.16	225.91	0.0	0.0	65.58	48.28	174.91	93.09	109.0	610.74	125.81	118.75	0.25	19.52	42.11	267.26	0.17	70.16	59.96	167.54	114.27	119.64	0.18	12.93	617.94	0.0	258.34	114.82	403.37	110.08	6.41	912.78	919.98	888.17
Slc25a22	0.0	81.18	75.74	0.0	0.0	0.0	33.38	136.67	82.87	152.1	430.2	22.03	110.08	0.0	0.0	0.24	86.93	39.17	1.14	1.38	151.92	11.19	66.25	0.0	0.0	239.27	0.0	0.0	17.44	9.19	9.64	29.4	216.4	224.4	229.63
Slc30a9	0.0	77.48	4.61	0.0	0.0	0.11	75.86	6.05	30.14	70.8	51.38	0.29	40.67	0.0	0.0	0.0	0.0	34.61	201.94	92.75	28.25	41.92	55.01	0.0	1.25	81.54	0.0	0.0	0.08	0.0	0.69	0.0	113.22	114.28	108.85
Spata2l	0.0	0.0	34.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342.87	0.0	0.0	10.34	0.0	0.0	0.0	0.0	163.98	0.0	1.66	51.54	1.77	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	48.98	51.18	41.3
Spock3	254.33	91.46	190.23	0.0	0.0	0.0	342.17	672.3	214.16	342.98	769.39	296.47	435.97	0.11	26.56	7.56	172.7	274.42	7.85	0.26	202.36	112.79	132.16	0.0	0.2	419.36	0.0	579.69	1.71	80.9	228.44	0.0	95.24	87.12	87.34
Sssca1	288.53	292.88	256.69	0.0	0.0	284.24	58.4	161.02	126.76	136.6	434.77	90.64	69.47	0.0	238.86	204.71	108.36	0.0	0.64	0.0	34.69	212.45	231.2	0.0	0.0	90.51	0.0	0.96	0.0	220.21	86.09	0.0	46.21	51.81	44.01
Syt13	0.0	32.13	1.59	0.0	0.0	0.19	15.69	0.0	1.3	23.21	227.45	60.34	0.0	0.21	0.0	0.24	0.09	147.07	0.66	5.59	13.06	5.75	0.0	0.01	0.0	116.84	0.0	0.16	15.87	12.51	0.16	0.14	164.41	163.63	166.3
Tacc1	0.0	74.01	58.85	0.0	42.72	34.67	10.01	82.21	56.72	59.4	185.42	49.41	85.77	0.0	0.26	0.24	104.81	0.54	0.19	59.82	63.78	19.64	30.79	103.12	72.49	149.47	36.45	5.12	0.04	17.9	137.18	2.69	90.1	86.11	87.61
Tbc1d8	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.38	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.48	0.0	0.08	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.6	20.16	19.89	20.27
Tdrd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.39	0.19	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.03	0.0	0.04	0.0	0.0	0.11	0.08	0.1	0.0	0.45	0.46	0.55
Tecpr1	0.0	6.12	0.18	0.0	0.0	0.0	0.0	0.51	0.53	0.0	38.48	0.0	0.88	0.0	0.0	0.3	19.24	0.21	2.36	0.0	0.58	0.51	5.7	0.0	0.0	6.11	0.0	0.0	4.15	24.94	0.0	0.0	59.71	59.83	62.65
Tnpo2	0.12	10.64	17.49	0.0	0.0	0.0	6.5	2.11	8.86	2.03	14.01	0.0	14.99	0.0	0.0	0.19	0.2	0.0	6.98	0.87	9.61	24.32	6.25	0.0	0.0	11.39	0.0	8.47	10.37	0.4	19.48	0.0	98.65	98.42	99.6
Tob1	0.0	47.95	27.81	173.57	0.0	6.82	26.69	0.0	19.45	37.41	220.63	22.44	65.46	0.0	0.0	0.0	24.42	42.05	0.0	7.21	7.42	22.02	23.58	0.0	0.0	14.94	0.0	31.35	52.89	30.16	0.0	34.71	47.94	49.02	45.32
Trak1	0.23	15.53	1.34	0.1	0.0	1.12	18.05	0.0	0.35	0.0	51.01	13.37	0.0	0.0	0.0	0.0	55.27	1.52	0.0	27.71	30.48	0.36	12.06	0.0	0.0	17.16	0.0	1.26	0.11	10.9	31.59	0.0	90.13	90.67	87.04
Trappc9	77.03	43.81	148.7	37.18	8.05	18.31	92.69	143.06	77.0	68.85	279.67	25.78	51.0	54.78	39.81	125.57	42.54	53.65	39.51	57.48	70.74	11.53	34.22	19.84	67.74	48.16	50.72	34.74	94.16	29.67	124.73	92.85	73.93	77.56	77.87
Trpc4ap	0.0	8.35	35.27	0.0	0.0	5.45	1.3	33.21	23.37	0.0	207.57	0.0	0.0	0.0	7.45	0.2	0.0	50.24	45.8	9.22	32.58	94.27	29.82	0.0	0.0	6.85	0.0	137.59	0.0	0.0	1.61	4.36	127.08	131.22	130.17
Ubap2l	49.74	50.66	93.71	0.57	0.0	61.87	52.28	9.46	64.47	8.8	248.17	130.61	73.94	0.0	119.4	48.29	124.78	5.59	0.0	19.42	80.19	12.29	50.39	515.38	0.0	27.21	66.32	0.0	48.24	52.24	0.11	0.0	67.31	63.27	70.59
Ube2b	121.52	316.19	399.04	0.0	40.63	384.87	298.06	420.51	179.38	608.2	915.3	411.49	253.57	346.76	384.3	315.8	347.8	206.53	163.67	382.76	410.54	318.08	282.46	0.0	46.13	363.61	0.0	16.45	199.64	393.24	412.43	585.49	176.02	166.29	168.17
Vapa	4.58	347.15	285.45	0.63	209.28	226.77	227.07	285.41	153.0	186.05	507.14	265.7	262.69	393.6	145.48	129.63	318.75	226.04	163.96	360.58	232.5	496.89	336.25	0.0	0.0	301.33	0.0	92.28	359.41	522.11	266.12	0.32	199.06	202.84	193.73
Xrn1	0.0	0.89	29.25	2.0	0.0	66.73	5.56	0.0	0.0	2.71	134.54	0.09	19.8	0.0	0.0	0.0	0.0	0.0	0.0	46.79	4.73	16.68	16.97	0.0	0.0	2.62	0.0	15.42	4.84	0.0	0.0	0.0	12.86	10.62	12.98
Yrdc	0.0	0.0	0.0	0.0	0.0	0.0	4.93	15.53	0.0	57.15	139.23	0.0	84.31	0.0	0.0	0.0	0.0	89.8	0.0	0.0	4.15	13.25	11.84	0.0	0.0	57.75	0.0	0.0	0.0	0.0	9.56	0.0	28.42	31.75	27.82
Ywhag	56.22	166.62	99.37	0.0	0.0	103.68	209.53	145.09	90.9	72.4	224.18	207.56	105.21	0.0	82.41	17.69	121.57	209.19	137.42	27.71	124.04	237.43	176.41	0.0	0.51	403.89	0.18	72.36	68.97	148.15	121.87	14.31	763.25	785.32	749.06
Zdhhc9	0.81	0.17	0.46	0.0	0.0	0.0	3.52	0.29	0.04	0.15	4.12	0.0	0.22	0.0	0.0	0.11	0.22	0.14	0.0	0.0	0.11	0.0	1.83	0.0	0.0	5.3	0.0	1.24	0.0	0.0	1.98	0.0	47.74	47.8	47.1
Zfp2	0.0	0.0	10.19	0.0	0.0	0.12	49.82	89.41	79.61	74.5	573.37	62.23	123.68	0.0	0.0	0.0	0.0	162.85	0.14	66.41	111.01	81.04	53.69	0.0	0.0	100.35	0.0	0.0	0.0	0.16	1.3	0.0	18.58	18.71	16.26
Zmat3	2.66	8.28	3.05	0.0	22.34	1.13	2.75	1.65	18.71	1.94	116.55	1.96	6.46	2.05	0.9	1.52	2.95	4.14	1.78	1.14	37.28	1.06	2.03	1.97	1.16	55.07	0.08	0.7	1.96	1.06	17.64	1.15	42.46	39.38	38.1
c12_LSU-rRNA_Hsa	82.42	77.86	146.51	16.53	37.8	92.87	95.09	126.61	67.83	79.12	204.91	110.65	81.31	58.4	57.71	65.81	95.84	94.33	124.29	123.86	126.69	163.04	138.43	40.18	185.48	313.36	46.63	149.96	98.16	101.77	141.44	103.21	76.27	63.34	83.31
c16_LSU-rRNA_Hsa	183.67	194.57	443.24	215.29	162.22	152.62	204.24	291.76	177.37	239.76	508.07	171.62	220.7	168.61	218.66	196.54	262.77	497.21	251.3	281.03	264.59	369.03	325.87	190.23	393.74	637.84	134.16	392.32	307.57	467.12	340.54	259.04	922.7	980.77	1029.35
c6_LSU-rRNA_Hsa	231.31	212.74	348.68	94.82	117.95	157.92	256.3	276.8	120.81	208.9	403.64	234.47	153.61	166.26	123.55	180.93	326.3	238.85	362.08	203.89	269.7	331.55	261.69	102.83	363.16	744.94	115.41	336.18	184.97	325.53	317.14	171.67	312.44	307.06	347.86
c7_LSU-rRNA_Hsa	1.12	32.19	42.07	9.05	102.67	18.29	35.91	13.33	8.47	25.42	41.34	45.6	23.87	9.49	17.17	13.96	19.43	30.25	28.97	28.75	36.48	34.27	20.31	9.8	31.88	105.6	7.69	27.26	31.38	46.96	45.23	17.42	94.71	85.64	91.89
c9_LSU-rRNA_Hsa	175.22	202.35	386.48	143.43	158.2	222.35	168.68	244.14	138.9	175.27	359.2	254.18	191.55	164.85	144.98	179.23	194.87	432.98	290.78	251.46	242.38	351.84	267.61	112.75	331.74	649.94	192.05	331.21	257.51	290.45	253.29	271.39	591.27	523.27	614.46
