	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	PvalbF.Gad2_tdTpositive_cell_76	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Usp26	0.0	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.0	0.04
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmo1	0.0	0.0	0.0	0.15	0.14	0.16
Ywhag	0.0	0.0	119.42	763.25	785.32	749.06
Zfp703	0.0	0.0	0.0	30.6	32.52	34.56
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	3744.02	0.0	25813.35	24091.17	24561.45
