	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_13	Nkx2.1_tdTpositive_cell_12	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_33	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_61	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
Chrm4	0.0	0.0	19.87	0.0	0.0	0.0	0.0	0.0	0.83	2.55	1.85	0.29	0.0	1.41	1.91	0.0	0.16	0.13	3.33	0.0	1.03	0.0	0.16	0.15	0.24	0.39	0.0	0.49	0.0	0.0
Ctdspl2	0.0	0.0	49.24	4.45	9.07	0.14	2.76	19.83	15.73	3.31	35.34	0.7	27.14	27.2	20.84	0.96	1.77	0.24	1.94	0.55	3.65	0.0	0.0	0.26	3.13	6.47	0.0	36.88	0.16	0.0
D17Wsu92e	0.0	0.0	33.94	9.56	65.35	10.21	16.51	0.0	66.47	0.3	52.08	102.57	0.0	0.54	11.06	29.93	22.33	0.0	0.0	0.0	50.92	50.85	28.29	0.0	10.46	22.3	32.23	6.86	0.1	0.0
Ddx52	0.0	204.62	88.91	0.0	84.64	0.0	0.0	0.77	43.83	28.72	36.12	39.75	53.74	0.82	104.16	0.0	38.91	63.53	40.18	19.09	93.2	39.67	16.06	21.68	35.33	0.0	37.3	50.57	0.12	0.0
Gm10662	0.0	0.0	3.59	0.0	0.0	0.0	0.97	1.78	3.32	0.0	3.63	0.94	2.49	1.07	1.97	0.0	0.35	0.44	0.4	0.0	1.2	1.03	1.98	0.9	1.33	4.48	1.31	1.4	0.0	0.55
Grb2	0.0	0.0	64.92	18.89	11.36	0.75	14.79	29.57	41.71	27.68	17.68	27.25	0.93	0.0	27.72	25.38	45.63	8.58	62.01	28.15	10.97	17.26	3.51	46.62	18.35	7.65	92.53	34.76	0.14	0.26
Gria1	0.14	0.0	211.71	38.32	64.79	136.25	88.38	152.6	244.59	68.11	44.98	255.33	73.78	77.93	292.79	123.64	150.01	136.63	155.88	114.7	200.35	214.5	108.59	87.08	161.06	78.9	149.16	179.5	1.34	0.0
Ldhb	0.0	2832.54	6706.03	10118.08	10894.4	8302.41	6527.59	7520.49	6319.12	9343.6	8620.64	6372.23	5546.84	10165.1	5751.11	7461.8	7095.88	11261.44	8757.21	13571.31	12546.17	7758.33	9755.78	7935.39	7095.61	11010.48	10182.84	11746.38	5873.38	5577.5
Lrrfip1	0.0	0.0	23.15	9.64	16.9	0.0	14.88	1.49	128.49	36.01	122.33	70.2	1.74	26.6	98.15	10.54	30.94	11.34	20.19	7.73	41.28	76.55	28.78	12.1	2.28	51.8	30.87	63.38	0.88	0.0
Myo1b	0.0	0.0	26.05	0.0	0.0	0.0	0.0	0.0	22.2	26.85	0.0	32.24	0.24	0.0	31.01	0.14	0.0	9.73	45.32	10.66	1.14	1.71	30.39	23.46	0.39	0.0	0.0	19.38	0.0	186.55
Parp2	0.0	0.0	16.76	0.0	63.8	0.0	43.31	0.0	0.0	70.92	0.0	124.19	0.0	8.81	128.67	0.0	0.0	0.0	209.41	20.12	64.0	65.47	78.58	123.2	22.44	0.0	25.82	17.27	0.21	0.0
Phactr3	0.0	0.0	13.23	0.0	6.74	0.0	7.1	9.33	12.41	7.66	4.19	28.5	0.0	1.61	7.88	0.0	0.2	1.23	12.33	1.7	14.22	42.54	0.42	28.61	24.6	11.11	6.06	8.93	0.3	0.0
Phlda3	0.0	0.0	0.0	0.0	3.32	0.0	0.0	0.0	1.19	0.0	0.44	0.0	0.0	0.0	30.86	0.0	0.0	23.82	34.66	0.0	0.28	0.0	0.0	25.21	28.01	0.0	0.0	8.37	0.0	0.0
Phyhipl	0.0	0.0	162.14	53.83	269.26	1.6	7.98	54.62	195.03	44.34	130.65	126.45	29.14	89.52	45.4	108.96	9.51	16.59	20.46	81.97	117.76	42.45	105.85	70.97	86.18	88.56	65.91	87.68	0.0	0.0
Plekhj1	0.0	0.0	28.71	0.2	45.52	36.77	21.53	0.0	1.86	17.68	6.78	43.2	8.4	6.87	37.51	1.13	39.27	1.21	46.75	30.31	7.65	0.0	53.69	37.45	20.98	0.88	20.97	8.23	0.0	0.0
Polr2d	0.0	0.0	138.59	189.57	57.09	110.07	66.73	0.0	254.88	131.96	79.88	151.65	44.84	66.48	64.26	132.7	29.14	78.46	88.28	115.99	172.15	64.07	0.0	84.14	141.28	150.0	95.98	0.0	0.8	0.0
Polr2g	0.0	0.0	629.81	204.72	369.97	123.6	279.29	237.65	585.17	350.94	514.27	177.4	228.66	412.35	565.22	147.92	100.1	442.56	449.61	421.9	191.36	104.86	184.06	401.71	434.46	302.73	291.45	191.1	3.12	0.0
Psmg3	0.0	0.0	147.83	56.77	228.06	0.0	57.24	0.0	269.73	97.29	74.59	142.98	0.0	47.97	62.03	56.84	0.85	0.0	83.92	119.4	103.32	124.89	45.27	0.0	65.31	118.83	168.68	45.47	0.0	0.0
Rab9	0.0	0.0	260.86	153.2	37.01	0.0	100.8	114.13	247.08	191.83	0.0	129.82	79.89	111.06	127.89	60.57	45.7	64.3	78.99	73.94	117.47	66.77	50.81	149.75	149.33	121.48	247.16	74.84	0.26	0.0
Rpl36a	0.0	0.0	402.1	272.82	314.36	0.0	163.72	94.55	185.88	175.18	307.94	76.05	166.53	195.76	230.07	143.97	12.81	298.5	327.58	135.58	161.1	82.75	222.2	213.62	244.1	57.43	136.11	111.59	1.67	0.0
Scrt1	0.0	0.0	0.93	0.12	1.18	0.0	0.0	0.15	0.0	0.81	0.32	0.59	0.0	0.8	0.57	0.4	0.33	0.09	1.19	0.76	0.0	0.53	0.22	0.63	0.08	0.71	0.45	0.47	0.0	0.0
Sfr1	0.32	0.0	489.43	211.06	160.08	328.37	372.84	298.84	379.89	227.08	65.33	154.71	42.06	184.17	430.06	147.19	84.02	343.01	313.88	155.25	115.59	188.07	157.88	515.15	178.39	201.4	379.54	304.26	140.13	0.0
Taf10	0.0	0.0	28.95	0.0	0.0	0.0	0.0	0.0	27.25	6.84	0.0	7.82	0.0	0.0	44.81	0.0	0.0	9.91	0.0	0.0	6.33	9.0	0.0	15.95	0.0	0.75	0.0	0.0	0.0	0.0
Tmem223	0.0	0.0	241.97	344.89	301.47	147.84	71.02	107.63	253.34	204.09	363.09	246.69	182.37	61.65	314.49	0.0	26.54	237.8	0.48	221.42	201.43	111.72	150.61	231.58	231.21	242.97	96.1	316.08	468.21	0.0
Tom1l2	0.29	0.0	38.0	8.74	14.37	4.23	17.23	16.19	33.63	32.24	1.96	32.65	11.44	57.71	87.08	5.08	147.52	35.49	53.87	16.91	28.83	11.49	35.71	22.0	27.93	7.25	49.11	40.38	0.3	0.0
Ubr4	0.0	0.0	13.88	1.37	2.72	0.12	4.91	21.57	15.34	20.08	7.77	10.48	0.15	5.02	28.43	7.69	1.66	12.48	8.21	8.72	7.97	20.59	0.24	15.31	0.12	27.28	1.26	32.95	0.25	0.0
Wbp4	0.0	0.59	34.69	9.49	26.71	0.4	26.15	1.77	37.79	49.6	62.97	25.76	0.75	2.44	37.83	0.21	36.57	17.21	59.45	34.49	24.87	26.68	14.76	49.52	45.05	39.78	32.02	9.61	0.51	1.37
Zfp623	0.0	0.0	51.94	0.0	0.0	0.0	0.0	0.24	30.23	0.0	0.0	0.0	0.0	0.0	33.96	0.0	0.0	0.0	27.01	0.0	0.0	2.81	0.0	0.0	19.56	39.56	15.48	14.58	0.0	0.0
Zxdc	0.0	0.0	37.94	0.0	0.0	0.15	36.37	0.0	45.37	23.26	2.16	26.53	0.0	35.97	40.34	0.0	0.0	0.0	11.67	0.0	24.84	0.0	0.1	1.12	32.91	27.43	21.73	0.54	0.36	0.0
