	Chrna2_tdTpositive_cell_84	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_68	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slc17a7	0.42	0.0	0.0	1060.92	1095.63	1130.72
Slc5a12	0.08	0.0	0.8	0.38	0.28	0.6
Slc7a5	13.11	3.34	0.0	49.64	51.38	45.15
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Spin4	0.0	0.0	0.0	0.59	0.51	0.61
Srrm3	0.0	0.0	0.0	33.91	36.39	36.64
Ssfa2	0.0	0.0	0.0	25.24	24.84	25.08
Ston1	0.14	0.0	0.0	3.37	2.93	2.74
Stx19	0.0	0.0	0.0	0.25	0.16	0.7
Sult1a1	0.0	0.0	0.0	8.06	8.94	7.94
Tanc1	0.0	0.0	0.0	13.46	13.48	14.58
Tgm3	0.55	0.42	0.58	3.24	2.81	3.68
Tmem93	0.0	0.0	0.0	47.16	53.14	47.95
Trpm6	0.0	0.0	0.0	0.38	0.4	0.31
Ubxn11	0.0	0.0	0.0	11.38	12.23	12.92
Unc13b	0.0	0.0	0.0	27.99	23.92	28.75
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vipr2	0.0	0.0	0.0	0.57	1.39	1.32
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wasf3	38.69	0.0	0.0	65.21	62.16	68.55
Wdfy2	0.0	0.0	0.0	10.75	8.45	11.2
Wnt5b	0.0	0.0	0.0	1.58	2.2	1.72
Zdhhc22	0.0	0.0	0.0	44.51	41.05	46.58
Zfp259	0.0	0.0	0.0	25.94	28.09	25.72
Zfp455	0.0	0.0	0.0	3.73	3.41	3.94
Zfp560	0.56	2.14	6.75	4.31	4.24	4.49
Zfp677	0.0	0.0	0.0	1.22	1.08	1.78
Zfp69	0.0	0.0	0.0	1.38	1.18	1.3
c10_tRNA-Asn-AAC	0.0	0.0	0.0	0.0	0.0	0.0
c11_tRNA-Asn-AAC	0.0	0.0	0.0	0.0	0.0	0.0
c13_5S	0.0	0.0	0.0	0.0	2.59	2.01
c1_tRNA-Asn-AAC	0.0	0.0	0.0	0.0	0.0	0.0
c3_tRNA-Asn-AAC	0.0	0.0	0.0	0.0	0.0	0.0
cx_tRNA-Arg-AGG	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	4908.34	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_AK167184	391.88	354.85	360.13	1245.24	1213.84	1125.67
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
