	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_5	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
G630071F17	0.0	0.63	2.36	0.0	0.58	0.6	0.27	1.16	0.97	0.11	0.26	0.82
Gga2	0.7	47.75	42.26	0.0	1.43	1.03	0.88	0.66	1.91	0.15	2.21	0.0
Gm5607	6.74	19.05	19.44	0.0	14.33	12.71	11.26	9.95	7.33	1.63	8.3	9.75
Gpr162	0.0	1.98	2.13	0.0	0.07	2.4	2.22	0.65	0.0	1.26	0.0	0.25
Hist1h2bq	0.09	0.1	0.34	0.0	0.06	0.06	0.03	0.04	0.08	0.0	0.0	0.0
Hist1h2br	0.09	0.1	0.34	0.0	0.06	0.06	0.03	0.04	0.08	0.0	0.0	0.0
Ift88	14.71	0.13	129.24	0.0	81.53	0.07	9.82	118.29	69.05	26.29	41.35	0.0
Itgam	0.34	1.04	0.91	0.0	0.62	0.36	0.23	0.12	0.1	0.0	0.29	0.0
Kctd3	0.0	0.0	123.8	0.0	0.0	0.2	76.97	108.66	39.65	0.0	0.17	0.74
Klra2	0.43	0.77	1.28	0.0	0.22	0.09	0.19	0.16	0.56	0.0	0.0	0.0
Krr1	13.62	95.52	66.52	0.0	167.79	17.4	3.12	66.06	26.34	111.41	64.15	66.65
Limch1	0.0	0.0	58.93	0.0	14.99	0.0	0.0	36.98	2.22	34.11	0.0	4.4
Lrrn4cl	3.59	10.01	10.75	0.0	10.14	5.3	7.05	15.55	7.31	1.08	8.12	9.86
March3	0.0	0.24	0.7	0.0	0.11	0.0	0.06	0.2	0.0	0.0	0.0	0.0
Mdc1	1.21	1.4	3.14	0.0	1.37	1.26	1.1	1.31	1.29	0.25	0.97	2.35
Nfx1	0.0	57.03	144.31	0.0	0.33	2.41	9.71	57.31	90.51	0.0	71.25	155.12
Nop16	2.66	257.2	316.94	0.0	2.97	3.57	158.97	84.44	3.63	148.31	37.01	1.04
Osbpl3	0.46	65.97	81.88	0.0	0.38	7.98	0.29	14.0	22.13	0.0	0.0	31.4
Parl	19.6	29.74	170.69	0.0	0.0	0.16	2.96	50.57	0.0	8.65	38.61	190.86
Pigb	0.0	13.87	35.22	0.0	8.13	0.05	0.15	53.07	0.0	0.0	0.0	0.0
Polr1b	0.2	168.77	119.61	0.0	101.32	1.28	0.87	2.24	1.09	0.17	1.39	54.2
Pou3f2	25.77	146.43	294.77	0.0	38.81	4.77	0.83	26.64	5.21	3.54	35.39	71.91
Prkag2	0.17	2.63	159.92	0.0	0.04	0.0	0.0	42.72	118.41	172.84	14.39	0.0
Psg25	0.0	1.91	2.21	0.0	1.19	0.14	0.15	1.29	0.12	0.0	0.0	0.58
Ptcd2	0.0	392.16	436.54	0.0	0.35	0.06	0.07	62.86	161.88	230.21	0.0	126.63
Rab11fip1	1.55	5.64	5.11	0.0	2.93	1.81	1.53	1.04	1.25	0.22	2.06	1.94
Rad50	0.0	0.0	33.26	0.0	0.0	2.92	0.61	22.24	0.0	0.0	0.0	50.44
Rbm14	0.0	41.9	156.59	0.0	0.0	13.07	0.0	0.0	34.2	0.0	6.92	0.0
Rgs4	5481.44	3323.7	5464.61	2.55	5539.67	5399.11	5037.98	5187.94	6274.8	5381.62	5420.33	6781.39
Rimbp2	5.16	0.1	53.77	0.0	0.11	0.42	0.55	0.28	0.49	0.0	0.15	5.58
Rpp25	0.0	109.31	166.79	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0
Tanc2	5.64	38.03	102.05	0.62	14.15	48.13	14.24	110.45	90.67	71.96	0.08	52.06
Tbr1	1.8	179.89	99.37	0.0	118.29	0.11	0.0	41.75	0.17	0.0	0.0	234.42
Thoc1	6.6	253.01	236.8	23.23	415.65	79.57	17.02	6.84	5.73	0.0	0.0	89.73
Trim36	3.85	9.68	9.79	0.0	8.43	3.74	4.1	4.08	4.38	1.72	7.08	5.39
Trim43a	0.81	1.22	8.18	0.0	2.18	0.29	0.05	0.75	0.86	0.0	0.0	2.17
Trim43b	3.1	26.06	18.42	0.0	6.43	5.83	4.43	8.6	3.59	2.05	5.11	4.66
Urm1	3.2	40.47	36.73	0.0	0.0	0.05	0.0	0.0	2.18	0.0	0.0	0.0
Wdr26	26.56	63.42	146.97	0.0	80.51	0.42	5.82	2.32	4.77	0.16	3.62	29.57
Wsb2	0.0	267.54	375.69	0.0	46.98	0.31	119.11	0.0	182.49	253.44	0.0	0.0
Zfp345	1.08	3.97	3.05	0.0	0.89	1.22	0.28	1.67	0.84	0.26	0.71	2.44
c1_tRNA-Gly-GGY	0.0	15.55	9.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK159675	5.11	4.46	9.95	0.0	12.23	10.4	2.33	6.14	7.91	3.91	0.0	19.01
