	Cux2_tdTpositive_cell_68	Gad2_tdTpositive_cell_21	Nos1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTnegative_cell_31	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_94	Rbp4_tdTpositive_cell_139	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Frmpd4	0.2	0.09	15.8	19.69	37.62	0.0	22.06	0.0	3.83	73.16	76.72	10.12	0.39	4.33	3.11	25.31	0.0	1.79	7.68	4.3	10.73	7.23	12.05	13.29	7.67	8.64	7.45	9.43	4.88	7.15	2.04	23.12	2.09	0.6	8.71
Gadd45a	13.95	0.0	0.0	168.69	61.06	52.46	14.98	122.9	118.82	79.11	22.75	38.92	0.47	1.86	0.24	33.25	0.0	0.0	158.63	88.45	73.06	129.8	61.92	43.51	48.07	48.81	64.49	53.46	0.0	8.07	29.09	25.14	31.18	7.85	0.0
Gm13306	109.39	0.0	0.0	0.0	81.28	310.16	272.53	188.03	85.18	135.7	116.73	0.0	0.0	0.0	58.63	150.83	0.0	0.0	164.03	114.56	177.66	125.27	74.98	54.7	62.2	75.81	76.52	71.98	138.81	80.83	235.31	176.84	97.07	149.77	258.72
Gm14430	0.0	0.15	0.0	19.02	9.33	0.0	0.22	2.16	0.04	22.76	9.58	0.0	0.72	0.0	0.04	0.0	4.38	2.15	11.7	6.07	1.76	4.79	6.89	1.83	4.81	3.28	5.97	4.22	0.48	0.0	13.98	0.0	0.0	0.0	0.04
Gm14434	0.0	0.15	0.0	19.02	9.33	0.0	0.22	2.16	0.04	22.76	9.58	0.0	0.72	0.0	0.04	0.0	4.38	2.15	11.7	6.07	1.76	4.79	6.89	1.83	4.81	3.28	5.97	4.22	0.48	0.0	13.98	0.0	0.0	0.0	0.04
Gm2002	0.24	0.0	0.0	0.0	0.6	0.43	0.11	5.79	0.0	9.95	0.51	0.0	0.11	0.0	0.0	0.27	0.0	0.0	0.61	0.21	2.82	5.81	2.35	0.0	0.41	0.96	4.28	1.89	2.41	27.58	0.0	0.0	0.36	0.28	0.2
Gm2506	109.39	0.0	0.0	0.0	81.28	310.16	272.53	188.03	85.18	135.7	116.73	0.0	0.0	0.0	58.63	150.83	0.0	0.0	164.03	114.56	177.66	125.27	74.98	54.7	62.2	75.81	76.52	71.98	138.81	80.83	235.31	176.84	97.07	149.77	258.72
Gm4724	0.0	0.15	0.0	19.02	9.33	0.0	0.22	2.16	0.04	22.76	9.58	0.0	0.72	0.0	0.04	0.0	4.38	2.15	11.7	6.07	1.76	4.79	6.89	1.83	4.81	3.28	5.97	4.22	0.48	0.0	13.98	0.0	0.0	0.0	0.04
Gng12	0.0	0.0	0.0	0.08	33.87	31.9	12.98	67.54	18.51	0.54	73.31	113.2	0.0	0.0	0.0	10.23	0.0	0.0	82.54	59.28	64.85	54.63	46.95	34.0	15.67	42.99	43.91	42.28	0.0	50.24	16.64	0.31	0.07	2.44	18.79
Htr1f	0.0	0.0	0.0	18.5	7.08	0.11	0.65	22.17	0.0	104.02	11.23	0.0	0.0	0.0	1.99	5.13	0.22	0.0	31.62	39.89	7.69	16.52	18.84	25.63	20.28	24.77	16.9	19.97	63.53	8.47	161.27	0.0	0.0	0.0	81.87
Il11ra2	0.24	0.0	0.0	0.0	0.6	0.43	0.11	5.79	0.0	9.95	0.51	0.0	0.11	0.0	0.0	0.27	0.0	0.0	0.61	0.21	2.82	5.81	2.35	0.0	0.41	0.96	4.28	1.89	2.41	27.58	0.0	0.0	0.36	0.28	0.2
Jak2	0.0	0.0	0.0	0.0	2.08	0.0	0.0	1.31	0.0	70.93	4.4	0.0	0.0	1.89	1.79	34.26	3.34	0.0	5.4	8.03	7.14	1.69	8.74	1.55	7.31	4.39	6.68	6.12	0.0	0.11	0.0	0.18	0.0	1.25	1.15
Kcnt1	0.88	0.0	0.0	0.0	5.9	3.2	0.0	46.67	0.0	77.43	25.3	0.18	0.0	0.0	0.0	6.17	0.0	0.0	14.7	5.82	7.57	7.42	8.5	4.24	8.11	7.82	6.18	9.38	0.0	28.1	0.0	57.95	2.09	4.31	25.64
Klhl12	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.36	0.11	0.18	99.67	0.33	0.0	0.0	0.0	17.67	0.0	0.0	33.99	9.83	13.99	30.45	4.68	15.53	0.0	0.62	6.55	13.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0
Klhl26	0.0	0.0	0.0	0.0	0.0	0.19	10.15	0.13	0.0	0.0	87.83	0.0	0.0	0.0	11.42	16.37	0.0	52.15	1.6	12.45	8.26	5.03	4.29	6.34	6.66	9.64	5.36	4.21	0.0	0.0	0.0	1.52	0.0	0.0	0.43
Nat10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.77	0.13	0.0	0.0	0.0	0.0	55.85	0.0	0.0	8.6	12.73	5.7	11.58	15.38	4.72	2.48	7.74	3.02	4.74	0.0	0.0	0.0	0.0	0.0	0.0	3.79
Neurl1a	0.0	0.0	0.0	0.0	23.36	0.0	0.22	0.06	0.0	4.91	40.05	22.2	0.0	0.0	0.94	0.0	0.0	0.0	7.67	3.87	3.73	5.19	7.11	2.51	8.87	2.94	7.91	6.76	0.0	4.47	4.29	0.0	0.0	0.0	0.88
Pcp4	1913.19	675.49	4425.79	7467.74	4785.11	6240.76	5326.1	6808.32	7407.1	3006.03	1998.8	2854.7	3177.92	2350.13	2471.06	7030.52	1798.0	5492.66	4246.61	4480.25	4373.65	4108.26	3507.01	4928.48	3901.08	5219.57	3442.63	3306.12	7638.97	6941.16	7178.2	6670.6	6291.11	8685.7	6217.49
Peo1	0.12	0.57	0.03	0.0	0.41	0.31	0.0	0.15	0.0	0.16	58.59	0.0	0.0	0.0	0.0	0.17	0.32	0.0	6.95	0.9	0.23	3.18	6.77	5.7	2.32	2.2	1.59	3.07	0.09	0.33	0.0	0.0	0.0	0.0	0.08
Plcb4	0.0	0.0	0.0	0.1	16.46	6.58	3.48	13.19	0.0	68.04	2.12	4.68	0.0	0.0	0.0	35.07	0.0	0.0	19.57	22.46	31.9	29.39	54.53	23.07	39.62	13.25	39.95	21.23	0.0	88.26	24.03	5.1	45.28	0.13	0.07
Plcxd3	0.0	0.0	0.0	0.19	0.0	234.04	77.04	99.38	0.19	317.59	281.44	69.5	0.0	1.86	0.15	0.0	0.0	0.0	130.31	132.95	210.17	74.55	124.38	110.02	105.39	119.02	83.47	79.96	180.33	189.0	200.49	0.24	173.5	1.92	78.89
Rell1	0.0	0.0	0.0	0.0	42.68	47.2	43.86	13.41	9.84	33.29	38.48	3.73	0.0	0.92	0.0	43.29	0.0	26.05	36.73	51.86	48.18	28.57	29.25	27.02	31.28	18.3	35.54	44.87	0.0	13.37	69.46	51.79	53.85	125.19	0.0
Rprd2	0.51	0.0	0.0	0.04	22.35	12.85	0.0	1.67	0.25	33.58	27.34	0.0	0.0	0.0	0.03	10.53	0.0	0.0	6.64	8.59	5.55	6.01	8.0	4.41	11.09	2.2	5.32	4.92	17.46	0.0	0.0	4.0	0.32	0.0	9.72
Rprm	113.77	0.0	0.0	0.0	201.51	9.55	54.83	93.53	2.95	527.45	336.99	0.0	0.0	172.52	87.68	0.0	0.0	0.0	211.71	202.46	270.69	195.59	287.25	144.13	579.7	330.45	224.26	206.3	0.0	15.01	65.5	31.97	89.17	4.69	0.0
Skil	126.66	122.72	127.22	336.26	134.18	61.43	37.76	11.82	64.91	148.72	255.32	132.7	58.67	74.02	96.23	118.97	18.94	0.07	184.74	164.97	140.22	165.45	151.37	83.11	153.75	76.93	150.74	164.3	129.06	119.25	39.49	29.73	57.9	13.91	102.7
Slc37a3	2.35	0.0	0.0	0.09	0.0	0.0	0.0	24.97	0.0	80.88	75.1	0.0	1.52	26.17	0.0	11.7	0.0	0.0	51.94	27.1	21.49	23.27	17.81	25.78	44.93	19.22	34.98	30.04	46.24	0.0	0.0	45.17	6.39	71.45	0.0
Snrpa	0.0	0.0	0.0	0.0	92.68	5.2	0.21	0.31	49.75	55.07	83.07	44.4	0.0	70.45	8.33	1.86	0.0	0.35	59.34	45.16	107.79	61.39	33.7	52.62	39.4	76.69	54.77	40.08	44.89	0.0	56.35	0.0	0.24	0.0	22.4
Stat1	0.51	0.25	0.06	0.1	0.41	1.43	0.28	0.28	0.07	0.79	21.76	0.31	0.0	1.45	0.34	0.36	0.23	0.39	6.41	1.39	4.75	9.04	11.83	7.1	2.84	1.3	3.35	7.26	0.06	0.33	0.76	0.0	0.88	0.45	0.36
Tmem151b	0.34	0.17	0.07	0.29	17.13	0.0	18.5	114.05	0.19	18.97	36.22	0.0	34.86	0.0	0.1	37.83	0.0	0.11	19.06	30.13	31.23	37.34	42.2	33.01	33.74	39.57	81.44	91.66	0.07	0.29	0.0	0.0	0.0	0.0	0.0
Usp46	0.0	0.0	0.0	0.11	39.71	8.88	17.49	97.21	47.06	50.28	95.75	28.81	11.54	5.54	8.57	48.38	0.0	0.0	65.27	61.53	49.85	103.77	132.56	64.91	70.26	29.74	110.93	99.33	28.03	0.0	24.16	1.77	36.31	0.22	41.7
Yipf4	9.89	0.0	11.12	0.0	9.71	0.0	0.0	21.99	68.83	70.92	85.71	0.25	1.6	0.0	28.04	68.05	0.0	117.69	38.18	34.62	35.96	24.06	48.11	26.9	39.13	7.46	41.4	50.45	20.09	46.59	22.09	0.21	17.35	26.39	8.47
Zc3h18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.45	0.0	11.04	22.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16	3.81	2.76	2.88	1.28	1.99	2.7	1.58	1.1	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zcchc2	0.0	0.0	0.0	14.87	0.0	1.14	0.0	0.0	0.0	3.62	0.17	0.0	0.0	0.0	0.1	0.0	0.0	0.0	5.63	3.48	1.18	3.05	7.96	1.14	3.66	3.94	3.3	4.17	0.0	0.05	3.84	0.0	13.42	0.0	0.0
Zfp566	0.0	0.0	0.0	0.0	118.01	0.0	0.0	0.0	0.0	107.47	130.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.27	6.43	0.0	13.76	13.66	0.0	13.61	0.83	9.28	17.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK136262	0.0	0.01	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.18	0.0	0.0	100.77	9.86	261.93	46.91	210.2	165.57	50.19	19.33	0.19	1.6	0.12	52.84	0.09	4.5	2.02	0.0	3.94
mt_AK142003	0.0	0.01	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.18	0.0	0.0	100.77	9.86	261.93	46.91	210.2	165.57	50.19	19.33	0.19	1.6	0.12	52.84	0.09	4.5	2.02	0.0	3.94
mt_AK166798	0.0	0.01	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.18	0.0	0.0	100.77	9.86	261.93	46.91	210.2	165.57	50.19	19.33	0.19	1.6	0.12	52.84	0.09	4.5	2.02	0.0	3.94
mt_AK166978	0.0	0.01	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.18	0.0	0.0	100.77	9.86	261.93	46.91	210.2	165.57	50.19	19.33	0.19	1.6	0.12	52.84	0.09	4.5	2.02	0.0	3.94
